Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.023925617	0.015760712	0.07100734	0.0061738193	500.0	-0.25809866	0.024020331	-0.22274168	-0.4223019	16000	2.8871e-07	0.04986436	-0.0051381188	-0.047635254	1.3564423	0.005662526	0.0580625	127.0	22.19458794593811	0.0	0.0	0.0	0.0	0.0
1	0.051005803	0.04317409	0.15580164	0.0063206623	500.0	-0.035214446	0.029462943	0.021658137	-0.13715523	32000	2.2351742e-08	0.0011938575	-0.0073354132	-0.00091538124	1.3564423	0.0059587383	0.09825	127.0	45.820937395095825	0.0	0.0	0.0	0.0	0.0
2	0.05434232	0.043398	0.214445	0.009023176	500.0	0.009519375	0.016474305	0.039836958	-0.06724867	48000	-1.1175871e-08	0.00019882608	-0.009459449	-8.653637e-05	1.3564423	0.0060706823	0.0855	127.0	67.69046998023987	0.0	0.0	0.0	0.0	0.0
3	0.06834988	0.03929422	0.16825962	0.013285592	500.0	0.017995853	0.01099315	0.053837255	-0.05127752	64000	-7.450581e-09	0.00017705905	-0.008356502	-6.727391e-05	1.3564423	0.0071446546	0.0925	127.0	87.13916110992432	0.0	0.0	0.0	0.0	0.0
4	0.0847318	0.0562664	0.21201304	0.017791042	500.0	0.023956334	0.010527564	0.056315705	-0.02893743	80000	1.1175871e-08	0.00020695904	-0.006194342	-8.3608415e-05	1.3564423	0.007664533	0.0674375	127.0	108.60806012153625	0.0	0.0	0.0	0.0	0.0
5	0.06229665	0.046386287	0.20638183	0.013856363	500.0	0.027357135	0.008190118	0.055736445	0.0017507002	96000	-7.8231096e-08	0.00016834558	-0.0077057676	-0.0001063265	1.3564423	0.004716578	0.06568749	127.0	130.7834792137146	0.0	0.0	0.0	0.0	0.0
6	0.07600179	0.04382689	0.19403882	0.009321102	500.0	0.023811508	0.009430561	0.05699867	0.0061934963	112000	-1.1175871e-08	0.000103729435	-0.0070353523	-5.515798e-05	1.3564423	0.0062804148	0.052875	127.0	151.60430479049683	0.0	0.0	0.0	0.0	0.0
7	0.07394538	0.04850418	0.2211114	0.021686025	500.0	0.023617698	0.007051236	0.048581094	0.0060266927	128000	1.6763806e-08	0.00011404128	-0.0071616787	-5.0345825e-05	1.3564423	0.0066409945	0.07025	127.0	178.56892323493958	0.0	0.0	0.0	0.0	0.0
8	0.08185798	0.044228442	0.19022803	0.025944933	500.0	0.022305893	0.0055887895	0.037737004	0.00883922	144000	2.2351742e-08	6.021456e-05	-0.0103950985	-2.1618116e-05	1.3564423	0.0069096438	0.090500005	127.0	208.44898772239685	0.0	0.0	0.0	0.0	0.0
9	0.08883026	0.06406138	0.3215316	0.022521479	500.0	0.02221235	0.0050072023	0.036344945	0.008117184	160000	7.450581e-09	0.00012887144	-0.008042135	-3.2762327e-05	1.3564423	0.007184328	0.0738125	127.0	235.71813201904297	0.0	0.0	0.0	0.0	0.0
10	0.10725283	0.05926449	0.24756697	0.031120647	500.0	0.021882515	0.0038633817	0.035113163	0.01077316	176000	-1.4901161e-08	7.710913e-05	-0.007141144	-1.705565e-05	1.3564423	0.0071624154	0.06525	127.0	256.8253757953644	0.0	0.0	0.0	0.0	0.0
11	0.093514495	0.04789161	0.23151152	0.03150627	500.0	0.022184093	0.0037993977	0.03256368	0.009343803	192000	2.2351742e-08	6.211588e-05	-0.006392252	-2.3741446e-05	1.3564423	0.005066864	0.04625	127.0	276.0804691314697	0.0	0.0	0.0	0.0	0.0
