Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.031038621	0.039786495	0.18735506	0.00289503	500.0	-0.27667284	0.023010328	-0.240393	-0.41001123	16000	1.2107193e-07	0.057361037	-0.0070325397	-0.054830812	1.3564423	0.0076193144	0.1008125	127.0	21.967933654785156	0.0	0.0	0.0	0.0	0.0
1	0.039175104	0.0368338	0.13032474	0.0028740512	500.0	-0.038944624	0.031504005	0.021595515	-0.12569577	32000	-1.1175871e-08	0.0011797661	-0.007543374	-0.00090870925	1.3564423	0.005611215	0.085187495	127.0	42.69743800163269	0.0	0.0	0.0	0.0	0.0
2	0.114452854	0.168272	0.8814952	0.0035075066	500.0	0.0044008465	0.018858327	0.03735517	-0.05926584	48000	3.7252903e-09	0.0018033527	-0.0063843783	-0.00053073745	1.3564423	0.005368449	0.064687505	127.0	65.36658811569214	0.0	0.0	0.0	0.0	0.0
3	0.39365482	0.696367	3.169905	0.008848194	500.0	0.02710248	0.014514293	0.065943055	-0.04553692	64000	-3.7252903e-09	0.02799071	-0.0057435944	-0.011677591	1.3564423	0.0067424225	0.0569375	127.0	84.88167905807495	0.0	0.0	0.0	0.0	0.0
4	1.5285561	1.8720331	7.5966525	0.08041977	500.0	0.18606521	0.1003965	0.5020946	-0.05101902	80000	7.450581e-09	0.21342503	-0.006839632	-0.07389336	1.3564423	0.008401218	0.102437496	127.0	105.0775408744812	0.0	0.0	0.0	0.0	0.0
5	2.5301383	1.627268	6.3369536	0.23266521	500.0	0.52726257	0.28574276	1.211594	-0.1408181	96000	7.450581e-09	0.18521346	-0.009206429	-0.05691999	1.3564423	0.006844201	0.11675	127.0	124.09054613113403	0.0	0.0	0.0	0.0	0.0
6	2.3134856	1.4697412	6.65253	0.49141586	500.0	0.8183659	0.3953457	1.6577686	-0.071725294	112000	-2.2351742e-08	0.16301213	-0.009634221	-0.043981206	1.3564423	0.009032636	0.098875	127.0	144.10984206199646	0.0	0.0	0.0	0.0	0.0
7	4.989463	4.06689	15.902038	0.5397382	500.0	0.8815684	0.41768357	1.7611381	-0.053072743	128000	7.450581e-09	1.0123552	-0.008545466	-0.4309293	1.3564423	0.009047419	0.1116875	127.0	167.31566214561462	0.0	0.0	0.0	0.0	0.0
8	9.454744	4.4424815	19.38334	2.7436845	500.0	1.6324542	0.5981174	2.697136	0.19187632	144000	9.313226e-10	1.6736431	-0.007906343	-0.6708019	1.3564423	0.007374608	0.084562495	127.0	186.55001258850098	0.0	0.0	0.0	0.0	0.0
9	14.642646	3.8791525	22.81692	8.855893	500.0	2.6730442	0.8969191	4.4931517	0.12549153	160000	7.450581e-09	2.1261337	-0.008128308	-0.7948074	1.3564423	0.004732755	0.0791875	127.0	208.07963943481445	0.0	0.0	0.0	0.0	0.0
10	17.348377	4.250536	26.072762	4.8449674	500.0	3.6880004	1.3000507	5.667743	-0.0630625	176000	-1.1175871e-08	1.8536165	-0.008105268	-0.30285597	1.3564423	0.005134997	0.063875	127.0	229.828768491745	0.0	0.0	0.0	0.0	0.0
11	17.96696	4.1065316	25.823273	9.333314	500.0	4.3995285	1.3895242	6.160266	0.13850343	192000	-7.450581e-09	1.7416565	-0.0075268336	-0.047011293	1.3564423	0.0059904703	0.0591875	127.0	249.80057191848755	0.0	0.0	0.0	0.0	0.0
12	18.844326	4.79769	30.668701	9.604507	500.0	4.5611053	1.4510108	6.343367	0.09968226	208000	-1.1175871e-08	1.888372	-0.00787756	-0.06595038	1.3564423	0.006459818	0.0495625	127.0	269.65057730674744	0.0	0.0	0.0	0.0	0.0
