Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.021544801	0.01858519	0.0714843	0.0039969576	500.0	-0.25788596	0.02398667	-0.22102675	-0.42369556	16000	-2.1979213e-07	0.04978619	-0.0051915124	-0.04767543	1.3564423	0.0053622015	0.0535625	127.0	40.52472376823425	0.0	0.0	0.0	0.0	0.0
1	0.052973434	0.052981395	0.21535498	0.0041492432	500.0	-0.035727516	0.030304076	0.024996586	-0.1388031	32000	-3.3527613e-08	0.0012695321	-0.007603229	-0.00094310415	1.3564423	0.0059527196	0.096499994	127.0	66.97529554367065	0.0	0.0	0.0	0.0	0.0
2	0.057596203	0.059386436	0.2532393	0.006196111	500.0	0.008216607	0.018350696	0.041919984	-0.06729263	48000	-1.4901161e-08	0.00030557252	-0.008686082	-0.00012079638	1.3564423	0.005636907	0.0806875	127.0	95.50447130203247	0.0	0.0	0.0	0.0	0.0
3	0.08056911	0.06282407	0.28342804	0.011176799	500.0	0.017002717	0.011151156	0.052363276	-0.05228292	64000	0.0	0.00024365357	-0.0079586655	-6.7006746e-05	1.3564423	0.0067998525	0.077125005	127.0	120.26419973373413	0.0	0.0	0.0	0.0	0.0
4	0.111401685	0.094186924	0.30487388	0.011790703	500.0	0.024449179	0.009998178	0.054365322	-0.024098799	80000	0.0	0.0003516099	-0.005587081	-9.372801e-05	1.3564423	0.006908964	0.051562503	127.0	145.80391144752502	0.0	0.0	0.0	0.0	0.0
5	0.081480496	0.08216256	0.38938075	0.011790061	500.0	0.029407347	0.0070755067	0.05602353	0.00463669	96000	2.9802322e-08	0.0002494132	-0.006459479	-9.833424e-05	1.3564423	0.0048027104	0.0599375	127.0	171.12934923171997	0.0	0.0	0.0	0.0	0.0
6	0.09733628	0.070977	0.33838916	0.008649599	500.0	0.027738249	0.009221076	0.05955957	0.00845515	112000	3.7252903e-08	0.00014877674	-0.0071173036	-4.971106e-05	1.3564423	0.0068926187	0.0629375	127.0	195.8826494216919	0.0	0.0	0.0	0.0	0.0
7	0.0930648	0.07386004	0.26641756	0.0154606365	500.0	0.026292073	0.008268878	0.056289054	0.008343086	128000	1.8626451e-09	0.000117672185	-0.0066396995	-3.4139e-05	1.3564423	0.005982535	0.053	127.0	219.22151923179626	0.0	0.0	0.0	0.0	0.0
8	0.09696995	0.06266615	0.24108124	0.020274999	500.0	0.026214793	0.008248606	0.05165995	0.0019661188	144000	-1.4901161e-08	9.53905e-05	-0.008141452	-3.1075127e-05	1.3564423	0.0065615727	0.069375	127.0	244.52391457557678	0.0	0.0	0.0	0.0	0.0
9	0.098973006	0.093004905	0.44954705	0.01221283	500.0	0.024787059	0.007996378	0.052177228	0.0018042699	160000	-2.2351742e-08	0.00022071743	-0.006833557	-6.345501e-05	1.3564423	0.005866172	0.060625	127.0	269.0801477432251	0.0	0.0	0.0	0.0	0.0
10	0.12376985	0.09097113	0.35020414	0.022081107	500.0	0.024030514	0.007074269	0.041110948	-0.010440469	176000	1.1175871e-08	0.0001278564	-0.006923873	-3.1365704e-05	1.3564423	0.006873594	0.059125002	127.0	294.1815912723541	0.0	0.0	0.0	0.0	0.0
11	0.105833545	0.07945653	0.38296095	0.023410035	500.0	0.024542687	0.0070925974	0.044249043	0.0022896081	192000	-3.3527613e-08	0.00011851906	-0.005589709	-3.2452816e-05	1.3564423	0.005176857	0.049687497	127.0	321.0096695423126	0.0	0.0	0.0	0.0	0.0
