Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.14978993	0.10104081	0.48772746	0.046907436	500.0	-0.1967736	0.022616338	-0.16837597	-0.32270566	16000	-1.0803342e-07	0.03492746	-0.005267554	-0.03314423	1.3564423	0.0059857424	0.0515	127.0	27.649606466293335	0.0	0.0	0.0	0.0	0.0
1	0.3019017	0.20844693	0.8874709	0.06377131	500.0	-0.010918453	0.02548687	0.04115746	-0.08843517	32000	-1.4901161e-08	0.0031375964	-0.010807757	-0.0020392588	1.3564423	0.0063323695	0.111375004	127.0	49.611274003982544	0.0	0.0	0.0	0.0	0.0
2	0.56064814	0.32825238	1.429227	0.1127364	500.0	0.057827927	0.02448783	0.106719874	-0.026879597	48000	-1.4901161e-08	0.005141681	-0.010694839	-0.0020710458	1.3564423	0.007982511	0.103375	127.0	74.98712873458862	0.0	0.0	0.0	0.0	0.0
3	0.9642768	0.38238278	1.820566	0.2100556	500.0	0.12261951	0.02183022	0.18770492	0.037404284	64000	2.0489097e-08	0.009958348	-0.011340376	-0.0048671635	1.3564423	0.00820734	0.1009375	127.0	96.43568348884583	0.0	0.0	0.0	0.0	0.0
4	1.5232415	0.5591893	3.1392276	0.53519285	500.0	0.20245835	0.023950664	0.25908998	0.097990744	80000	-5.2154064e-08	0.026029442	-0.00725971	-0.011078286	1.3564423	0.0043886863	0.0650625	127.0	125.80422329902649	0.0	0.0	0.0	0.0	0.0
5	2.1679907	0.65743434	3.5298002	1.1423451	500.0	0.3099434	0.030904168	0.41008863	0.20028603	96000	1.4901161e-08	0.048006475	-0.0069842543	-0.02389808	1.3564423	0.0053087315	0.06275	127.0	160.643208026886	0.0	0.0	0.0	0.0	0.0
6	2.6854248	1.0937786	6.0758557	0.9209706	500.0	0.47388488	0.07729139	0.65269387	0.24936122	112000	2.4214387e-08	0.08286259	-0.0065363976	-0.031896867	1.3564423	0.0061995587	0.060312502	127.0	195.4663999080658	0.0	0.0	0.0	0.0	0.0
7	4.5483932	3.2301228	15.615932	1.7264028	500.0	0.6379023	0.19446443	1.045013	0.13586009	128000	2.9802322e-08	0.69854796	-0.0055781985	-0.2995614	1.3564423	0.0061486717	0.0611875	127.0	220.57393145561218	0.0	0.0	0.0	0.0	0.0
8	8.192092	3.187296	15.143783	1.7777022	500.0	1.1909846	0.50748205	2.338522	-0.022575594	144000	1.4901161e-08	1.178472	-0.0068924534	-0.692829	1.3564423	0.0078108297	0.06375	127.0	243.01635551452637	0.0	0.0	0.0	0.0	0.0
9	13.283407	5.6425667	23.532093	3.7422762	500.0	2.1232584	0.99132544	3.954232	-0.097529724	160000	5.5879354e-08	2.8599854	-0.007958179	-1.4498124	1.3564423	0.0063672937	0.07175	127.0	269.49381709098816	0.0	0.0	0.0	0.0	0.0
