Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.050022166	0.05099003	0.2119366	0.0057906224	500.0	-0.27388576	0.023238111	-0.24032585	-0.40365285	16000	-2.2724271e-07	0.057216674	-0.0066442764	-0.054348882	1.3564423	0.006643749	0.082	127.0	37.96976351737976	0.0	0.0	0.0	0.0	0.0
1	0.11074435	0.13759875	0.7475726	0.009467781	500.0	-0.034195594	0.02701014	0.02243872	-0.10871482	32000	5.9604645e-08	0.002926356	-0.005895642	-0.0017056352	1.3564423	0.0046355585	0.0686875	127.0	70.27863454818726	0.0	0.0	0.0	0.0	0.0
2	0.12473837	0.16101372	0.6520768	0.014437615	500.0	0.018578293	0.018778248	0.052103676	-0.05237248	48000	7.450581e-09	0.0016751152	-0.00624937	-0.00051697984	1.3564423	0.00471399	0.0665625	127.0	95.0297200679779	0.0	0.0	0.0	0.0	0.0
3	0.14768721	0.16571674	0.7434199	0.014304026	500.0	0.029650314	0.014372087	0.07362549	-0.042579554	64000	3.7252903e-09	0.0016425464	-0.007978797	-0.00048089694	1.3564423	0.008680547	0.1076875	127.0	117.77826619148254	0.0	0.0	0.0	0.0	0.0
4	0.6918938	1.106658	4.224678	0.021373553	500.0	0.052391358	0.02110054	0.13476294	-0.022555351	80000	-1.3038516e-08	0.080352716	-0.004374872	-0.03108786	1.3564423	0.0059379092	0.049625	127.0	139.8261353969574	0.0	0.0	0.0	0.0	0.0
5	1.7031413	2.2123196	9.270132	0.037673175	500.0	0.20945245	0.16460076	0.7431259	-0.09352661	96000	9.313226e-09	0.31876647	-0.0058720466	-0.14960624	1.3564423	0.0072018323	0.082375005	127.0	160.30273938179016	0.0	0.0	0.0	0.0	0.0
6	2.2888074	1.7446041	6.3117495	0.36166015	500.0	0.70523816	0.557089	2.1921008	-0.23371755	112000	-3.7252903e-09	0.1623398	-0.009021134	-0.03154636	1.3564423	0.009561689	0.119312495	127.0	181.25422263145447	0.0	0.0	0.0	0.0	0.0
7	4.4625573	3.9389153	12.666577	0.39346302	500.0	0.9116244	0.6140329	2.2769623	-0.20162368	128000	-3.7252903e-09	0.88167983	-0.0074722357	-0.31628695	1.3564423	0.008395102	0.099437505	127.0	201.6790487766266	0.0	0.0	0.0	0.0	0.0
8	6.333009	3.9980612	14.2332325	0.3487927	500.0	1.4010288	0.9512047	3.1854403	-0.27568823	144000	-1.1175871e-08	0.72100574	-0.007930173	-0.16257715	1.3564423	0.008325739	0.084437504	127.0	223.93104338645935	0.0	0.0	0.0	0.0	0.0
9	10.176328	6.0401306	31.138964	0.772437	500.0	2.1176538	1.1486225	4.067711	-0.21758449	160000	-7.450581e-09	1.7369599	-0.007176907	-0.4426515	1.3564423	0.006334607	0.0863125	127.0	245.98311758041382	0.0	0.0625	0.0	0.0	0.0
10	14.335577	6.6905203	30.667376	1.7400287	500.0	2.9726338	1.2899524	4.6887774	-0.23119307	176000	7.450581e-09	2.4827178	-0.008092249	-0.6080886	1.3564423	0.0072882394	0.078687504	127.0	269.2945771217346	0.0	0.0	0.0	0.0	0.0
11	15.693848	8.343916	32.60599	0.5548266	500.0	3.6670673	1.5010843	6.1709585	-0.19761552	192000	-1.4901161e-08	2.8175116	-0.008657198	-0.5354004	1.3564423	0.006738386	0.071062505	127.0	292.20024943351746	0.0	0.09375	0.0	0.0	0.0
12	16.756073	6.8075237	34.115707	0.46755174	500.0	4.360362	1.8472677	6.9553967	-0.5829541	208000	6.519258e-09	2.1534507	-0.006881154	-0.14878586	1.3564423	0.003855973	0.05575	127.0	314.600638628006	0.0	0.0	0.0	0.0	0.0
13	16.483404	8.518902	34.363716	0.57403153	500.0	4.290699	1.728589	6.74582	-0.2135856	224000	1.8626451e-08	2.755157	-0.0066551478	-0.8235171	1.3564423	0.0068313517	0.051875	127.0	338.46299171447754	0.0	0.0625	0.0	0.0	0.0
14	18.560429	8.288537	39.267906	0.3441491	500.0	4.7639027	1.8351506	7.2287297	-1.6065642	240000	-7.450581e-09	2.3686094	-0.007638231	-0.51630217	1.3564423	0.007738056	0.0595625	127.0	361.5185112953186	0.0	0.0625	0.0	0.0	0.0
15	20.13918	6.986093	34.292652	3.2449574	500.0	4.819313	1.7480117	7.9333477	-0.5676573	256000	-2.6077032e-08	2.4419928	-0.007089084	-0.20171772	1.3564423	0.005594666	0.054124996	127.0	383.74389266967773	0.0	0.0625	0.0	0.0	0.0
16	20.365799	7.9522576	34.92935	1.0663817	500.0	4.794716	1.5867382	6.9142222	-0.09281753	272000	1.4901161e-08	2.4648156	-0.008113654	-0.1790627	1.3564423	0.007542099	0.061875	127.0	406.1135051250458	0.0	0.09375	0.0	0.0	0.0
17	22.012585	8.035532	37.562664	9.536732	500.0	5.0409684	1.6591519	7.014153	0.06936388	288000	-1.4901161e-08	3.1112237	-0.0065927557	-0.3330773	1.3564423	0.00492841	0.039437503	127.0	428.4404401779175	0.0	0.09375	0.0	0.0	0.0
18	26.611206	6.464128	39.19297	14.944669	500.0	5.354922	1.4773295	7.9857416	0.013184153	304000	3.3527613e-08	3.0492468	-0.007883567	-0.8529229	1.3564423	0.006793523	0.067875	127.0	450.4663116931915	0.0	0.15625	0.0	0.0	0.0
