Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.05912277	0.061179258	0.24361971	0.008848614	500.0	-0.27409777	0.023393057	-0.24032585	-0.4057759	16000	-7.8231096e-08	0.058117047	-0.0064940453	-0.055093616	1.3564423	0.0066306554	0.0818125	127.0	33.459298610687256	0.0	0.0	0.0	0.0	0.0
1	0.09843672	0.100234166	0.46139026	0.009079948	500.0	-0.03167486	0.02672115	0.024419054	-0.10615966	32000	5.2154064e-08	0.001977284	-0.0064487993	-0.0013473146	1.3564423	0.004568692	0.061	127.0	54.9542179107666	0.0	0.0	0.0	0.0	0.0
2	0.13509633	0.1249272	0.5460982	0.0143228285	500.0	0.014241677	0.019737722	0.049875326	-0.05968355	48000	7.450581e-09	0.001196836	-0.006025484	-0.00046513998	1.3564423	0.0042578825	0.050812498	127.0	76.76114845275879	0.0	0.0	0.0	0.0	0.0
3	0.34723985	0.4476551	2.0146554	0.014690604	500.0	0.026473632	0.014360319	0.07121029	-0.04528854	64000	-3.7252903e-09	0.013619928	-0.0067710965	-0.0049128598	1.3564423	0.0075383903	0.078875005	127.0	97.24729490280151	0.0	0.0	0.0	0.0	0.0
4	2.0443635	1.7858118	6.7318754	0.08614012	500.0	0.13386428	0.068875596	0.35615596	-0.03345734	80000	3.7252903e-08	0.30229324	-0.0064449953	-0.13594006	1.3564423	0.007508854	0.0661875	127.0	117.46051263809204	0.0	0.0	0.0	0.0	0.0
5	4.29779	2.8831933	12.100511	0.3190238	500.0	0.5687351	0.28101966	1.19139	-0.07067417	96000	3.7252903e-09	0.84142095	-0.007605596	-0.32857975	1.3564423	0.005949867	0.083187506	127.0	139.13046193122864	0.0	0.0	0.0	0.0	0.0
6	4.57817	3.5379987	19.052206	0.21213238	500.0	1.1794944	0.60722375	2.3557084	-0.17894465	112000	1.1175871e-08	0.68935037	-0.009941891	-0.08978719	1.3564423	0.010100415	0.1205	127.0	159.21495294570923	0.0	0.03125	0.0	0.0	0.0
7	8.765244	5.5145774	21.445051	1.5833772	500.0	1.5590272	0.7459681	2.8206015	-0.14303961	128000	0.0	2.1773672	-0.0085642245	-0.64703107	1.3564423	0.007589362	0.0965	127.0	179.74934816360474	0.0	0.0625	0.0	0.0	0.0
8	13.066473	6.646866	35.57764	0.36325398	500.0	2.4777358	0.9474907	3.9715064	-0.028238375	144000	-2.9802322e-08	3.363769	-0.008055741	-1.0372279	1.3564423	0.007246582	0.078875005	127.0	200.044517993927	0.0	0.03125	0.0	0.0	0.0
9	13.321447	4.7288914	19.9437	0.93267107	500.0	3.2170756	1.2873687	5.53336	-0.42330992	160000	-2.6077032e-08	1.4551244	-0.008205228	-0.249838	1.3564423	0.005388699	0.066937506	127.0	221.46617102622986	0.0	0.0	0.0	0.0	0.0
10	15.184237	5.015514	26.902826	7.114854	500.0	3.655846	1.4855344	5.7803226	-0.4679129	176000	0.0	1.8478105	-0.006498786	-0.20624644	1.3564423	0.006123892	0.055625	127.0	244.43233704566956	0.0	0.0625	0.0	0.0	0.0
11	17.67874	5.447789	29.670818	6.8983936	500.0	3.9064791	1.2181259	5.5421686	0.12268282	192000	1.4901161e-08	2.530724	-0.0069581387	-0.28216654	1.3564423	0.007559055	0.056687504	127.0	266.3861322402954	0.0	0.0625	0.0	0.0	0.0
12	18.239208	5.925894	31.162634	7.8431473	500.0	4.339286	1.2451041	6.5668244	0.13075975	208000	-1.8626451e-08	2.559207	-0.0075844657	-0.2930314	1.3564423	0.0062546805	0.0548125	127.0	290.09278655052185	0.0	0.125	0.0	0.0	0.0
13	18.944416	5.781473	34.87136	7.601648	500.0	4.448274	0.97183037	6.335373	0.9530292	224000	1.8626451e-08	2.1544986	-0.0073059574	-0.3940305	1.3564423	0.008041966	0.064624995	127.0	312.7894353866577	0.0	0.21875	0.0	0.0	0.0
14	17.039577	6.2730274	30.354265	6.6915245	500.0	4.496362	1.0963416	6.7844505	0.5894397	240000	0.0	2.5730505	-0.0068557425	-0.71958995	1.3564423	0.004735143	0.048625	127.0	334.3027083873749	0.0	0.25	0.0	0.0	0.0
15	19.549082	6.4603734	40.643303	9.408942	500.0	4.24249	0.92975754	6.989037	1.0312718	256000	1.4901161e-08	2.4709728	-0.008559899	-0.3769779	1.3564423	0.0054336237	0.067	127.0	356.006450176239	0.0	0.09375	0.0	0.0	0.0
16	21.295048	5.0570893	30.568249	12.104798	500.0	4.8906903	1.0634878	7.4579506	0.7384474	272000	-1.4901161e-08	2.0595453	-0.0072000423	-0.5422625	1.3564423	0.006585617	0.05575	127.0	378.41607213020325	0.0	0.125	0.0	0.0	0.0
17	19.760092	6.7592535	30.003593	8.488555	500.0	5.02306	1.1870321	6.6327267	0.7013806	288000	0.0	2.2773182	-0.0060851704	-0.7055833	1.3564423	0.006141089	0.041125	127.0	401.2464666366577	0.0	0.15625	0.0	0.0	0.0
18	23.402027	5.917822	40.015278	7.4045477	500.0	5.048528	1.2869498	6.8867598	0.7566385	304000	-7.450581e-09	1.783778	-0.008386921	-0.24706939	1.3564423	0.0075804293	0.0621875	127.0	424.70018124580383	0.0	0.25	0.0	0.0	0.0
19	25.158228	3.0156515	31.298323	16.007381	500.0	5.6016173	1.3482317	7.4388723	1.1087911	320000	1.1175871e-08	0.6825074	-0.009392781	-0.106088534	1.3564423	0.008097084	0.07	127.0	447.6606709957123	0.0	0.0625	0.0	0.0	0.0
20	25.202639	4.493962	32.529583	7.9890428	500.0	6.052432	1.4704479	8.659796	1.4344141	336000	-1.8626451e-09	1.3699667	-0.007000356	-0.29270062	1.3564423	0.0047822213	0.055625	127.0	469.55224871635437	0.0	0.03125	0.0	0.0	0.0
21	24.661364	3.3418593	30.755314	15.911744	500.0	6.184968	1.5835738	8.042374	1.3929808	352000	-7.450581e-09	0.92018735	-0.007187749	-0.19685152	1.3564423	0.0057501784	0.0616875	127.0	492.13621497154236	0.0	0.0	0.0	0.0	0.0
22	26.078419	2.8271968	32.811344	20.383354	500.0	6.052668	1.6886951	7.973196	1.3054808	368000	4.656613e-09	0.6312447	-0.0074739815	-0.13122478	1.3564423	0.003891893	0.053187497	127.0	513.3795862197876	0.0	0.15625	0.0	0.0	0.0
23	25.962973	3.8947625	39.138912	18.637383	500.0	6.0698323	1.4257904	7.6694217	1.8942729	384000	0.0	0.79908526	-0.0073197214	-0.08414278	1.3564423	0.0058550527	0.057187498	127.0	534.2657191753387	0.0	0.09375	0.0	0.0	0.0
24	26.324265	3.1960213	35.429276	21.872879	500.0	6.0762725	1.3024118	7.8705335	1.960445	400000	-1.5832484e-08	0.7316196	-0.007505863	-0.09357834	1.3564423	0.004493841	0.062374998	127.0	555.9162511825562	0.0	0.0625	0.0	0.0	0.0
25	26.814243	5.534975	55.097965	22.687918	500.0	6.1164093	1.264035	7.8521056	2.1980636	416000	1.1175871e-08	1.6512079	-0.008015506	-0.07887449	1.3564423	0.008095056	0.0813125	127.0	578.2268640995026	0.0	0.03125	0.0	0.0	0.0
26	27.231325	3.270815	38.909885	22.8731	500.0	6.249469	1.3103051	8.062366	2.1450753	432000	-1.4901161e-08	0.75952715	-0.008279567	-0.05187399	1.3564423	0.0074545364	0.0705	127.0	599.7364375591278	0.0	0.125	0.0	0.0	0.0
27	27.649036	2.993005	33.355843	21.755594	500.0	6.3806825	1.4071643	8.009016	2.2440028	448000	5.5879354e-09	0.509596	-0.00846431	-0.08059469	1.3564423	0.00758812	0.0685625	127.0	621.2615027427673	0.0	0.0625	0.0	0.0	0.0
28	29.670525	9.470604	72.69392	22.178156	500.0	6.280278	1.3821815	8.182947	2.2977488	464000	2.9802322e-08	4.5092106	-0.005716948	-0.33770114	1.3564423	0.004808956	0.066875	127.0	642.9708173274994	0.0	0.15625	0.0	0.0	0.0
29	27.460333	2.4848251	34.04773	23.314098	500.0	6.6381006	1.333201	8.3519335	2.7126331	480000	2.2351742e-08	0.56877625	-0.008394885	-0.2413229	1.3564423	0.0076443227	0.0785	127.0	664.4975428581238	0.0	0.09375	0.0	0.0	0.0
30	29.304245	3.854822	45.256073	24.37665	500.0	6.409797	1.1415222	7.860024	2.8235242	496000	-2.7939677e-08	1.0158412	-0.007713058	-0.24505752	1.3564423	0.0057517327	0.062562495	127.0	686.9893667697906	0.0	0.03125	0.0	0.0	0.0
31	31.784998	10.009666	82.42541	26.442318	500.0	6.692281	1.2906346	9.744613	2.5733862	512000	-1.4901161e-08	5.8357544	-0.0044970396	-0.7536725	1.3564423	0.0059024943	0.0508125	127.0	709.7888841629028	0.0	0.21875	0.0	0.0	0.0
32	31.561628	9.822827	74.51451	24.562988	500.0	7.1495333	1.4260617	9.482396	2.8967488	528000	2.2351742e-08	4.776216	-0.0065922784	-0.39088774	1.3564423	0.0063567893	0.0719375	127.0	732.6522204875946	0.0	0.09375	0.0	0.0	0.0
