Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.021731967	0.018343365	0.07123811	0.003990428	500.0	-0.25857502	0.024029437	-0.22223762	-0.42372292	16000	-6.146729e-08	0.049902912	-0.0050375834	-0.04765644	1.3564423	0.005658591	0.057875	127.0	26.35486626625061	0.0	0.0	0.0	0.0	0.0
1	0.05236401	0.049711622	0.17198561	0.004193349	500.0	-0.036088195	0.029508553	0.022621997	-0.13969117	32000	2.6077032e-08	0.0012688162	-0.007451612	-0.000969191	1.3564423	0.005863363	0.097062506	127.0	48.9048388004303	0.0	0.0	0.0	0.0	0.0
2	0.050403353	0.050680954	0.24723567	0.006064478	500.0	0.00951491	0.016925883	0.040627956	-0.067714676	48000	-7.450581e-09	0.00023424989	-0.009250764	-0.00010201847	1.3564423	0.005865101	0.082375005	127.0	71.26610374450684	0.0	0.0	0.0	0.0	0.0
3	0.06975064	0.05199774	0.22741058	0.0077667	500.0	0.01700428	0.011030339	0.052129544	-0.053051792	64000	1.4901161e-08	0.00020962805	-0.008144073	-6.761827e-05	1.3564423	0.0067308233	0.0838125	127.0	94.07029867172241	0.0	0.0	0.0	0.0	0.0
4	0.09497181	0.07964914	0.27031177	0.010027386	500.0	0.023604173	0.010281252	0.055590346	-0.028247759	80000	-2.6077032e-08	0.00029008655	-0.0058726035	-9.8037235e-05	1.3564423	0.007459113	0.06125	127.0	115.91937971115112	0.0	0.0	0.0	0.0	0.0
5	0.06434367	0.06350846	0.30665496	0.009072698	500.0	0.027689861	0.0077550053	0.05662343	0.0033533648	96000	-2.2351742e-08	0.00019892317	-0.007282586	-0.00011197846	1.3564423	0.004901821	0.0674375	127.0	138.5957112312317	0.0	0.0	0.0	0.0	0.0
6	0.07864952	0.056888897	0.2741385	0.0051293597	500.0	0.024917524	0.009739941	0.058361605	0.0044952333	112000	3.3527613e-08	0.00011998865	-0.006952334	-5.920195e-05	1.3564423	0.0064769373	0.05625	127.0	161.36443734169006	0.0	0.0	0.0	0.0	0.0
7	0.073427565	0.06103697	0.26538667	0.012565923	500.0	0.023732647	0.008203446	0.054296367	0.0038791373	128000	-1.8626451e-08	0.00013468364	-0.0068825143	-5.636033e-05	1.3564423	0.0062418333	0.063625	127.0	184.78897428512573	0.0	0.0	0.0	0.0	0.0
8	0.08013233	0.054044053	0.20825541	0.016853401	500.0	0.022566143	0.0065418775	0.042080387	0.0068811104	144000	-2.9802322e-08	6.594687e-05	-0.009850429	-2.3910306e-05	1.3564423	0.0069306223	0.0861875	127.0	207.36172795295715	0.0	0.0	0.0	0.0	0.0
9	0.08473259	0.07442073	0.36380172	0.0127559975	500.0	0.021045139	0.006420408	0.039458595	0.0017906502	160000	-7.450581e-09	0.00014400433	-0.0075216703	-4.167351e-05	1.3564423	0.006494075	0.072875	127.0	229.6443328857422	0.0	0.0	0.0	0.0	0.0
10	0.10897593	0.08595821	0.39655814	0.020285988	500.0	0.021815062	0.0058402596	0.036490664	0.008090064	176000	1.4901161e-08	0.00012651054	-0.0062128557	-3.1493502e-05	1.3564423	0.00719696	0.0723125	127.0	251.4566786289215	0.0	0.0	0.0	0.0	0.0
11	0.086751625	0.060244784	0.27125007	0.017749282	500.0	0.021572186	0.006341716	0.036837295	0.0035308227	192000	-4.4703484e-08	7.326717e-05	-0.005865255	-3.1027244e-05	1.3564423	0.0055201445	0.054937504	127.0	274.28172755241394	0.0	0.0	0.0	0.0	0.0
12	0.110201344	0.08214661	0.30682805	0.016397214	500.0	0.018786736	0.008028931	0.038263544	0.00027678907	208000	-2.6077032e-08	8.090079e-05	-0.0044516986	-3.0005578e-05	1.3564423	0.0032909284	0.0349375	127.0	295.67143988609314	0.0	0.0	0.0	0.0	0.0
13	0.11579521	0.091783546	0.38840675	0.016699474	500.0	0.021906748	0.009722087	0.04329028	-0.0057327747	224000	1.8626451e-08	9.125266e-05	-0.006033948	-2.4443483e-05	1.3564423	0.0061293626	0.06025	127.0	317.79012966156006	0.0	0.0	0.0	0.0	0.0
14	0.13147342	0.100967884	0.41441426	0.028485669	500.0	0.024826651	0.011376138	0.05042787	-0.005438708	240000	1.4901161e-08	0.000104594976	-0.006037463	-2.5928814e-05	1.3564423	0.004820909	0.0591875	127.0	340.30739974975586	0.0	0.0	0.0	0.0	0.0
15	0.13763392	0.09732836	0.45315525	0.017484022	500.0	0.026493287	0.0140157025	0.059028834	-0.019729052	256000	-2.2351742e-08	8.827905e-05	-0.0063008405	-1.6549731e-05	1.3564423	0.006711634	0.0621875	127.0	362.22253012657166	0.0	0.0	0.0	0.0	0.0
16	0.12269394	0.09767827	0.3707309	0.019311227	500.0	0.02528559	0.014412025	0.06491443	-0.0015521199	272000	-1.4901161e-08	6.251983e-05	-0.008054411	-1.2927443e-05	1.3564423	0.005892651	0.080125	127.0	385.3527569770813	0.0	0.0	0.0	0.0	0.0
17	0.13999733	0.121833265	0.46926677	0.021047411	500.0	0.027366035	0.018163864	0.08833382	-0.013024684	288000	-1.4901161e-08	0.00012796989	-0.0072274543	-3.8591956e-05	1.3564423	0.006764509	0.0658125	127.0	408.16704297065735	0.0	0.0	0.0	0.0	0.0
18	0.13741139	0.12697737	0.5833025	0.019662287	500.0	0.028401656	0.020039693	0.08112844	-0.012683339	304000	1.1175871e-08	0.00013682709	-0.006684957	-1.5645343e-05	1.3564423	0.006652263	0.0699375	127.0	430.736695766449	0.0	0.0	0.0	0.0	0.0
19	0.18701716	0.1643266	0.5476103	0.025748312	500.0	0.032973908	0.02235976	0.07073349	-0.008959234	320000	2.2351742e-08	0.00024390905	-0.006036126	-8.673291e-05	1.3564423	0.0055157803	0.0625625	127.0	454.4086871147156	0.0	0.0	0.0	0.0	0.0
20	0.17448963	0.16997641	0.61340237	0.02940827	500.0	0.03691562	0.02539681	0.08764233	-0.011876926	336000	1.4901161e-08	0.00023466552	-0.008035267	-9.2664784e-05	1.3564423	0.0074164886	0.0823125	127.0	478.23395466804504	0.0	0.0	0.0	0.0	0.0
21	0.20291851	0.16846256	0.58038074	0.042600628	500.0	0.048037045	0.028360419	0.10940519	-0.016549654	352000	1.4901161e-08	0.00019288878	-0.008317024	-4.6737543e-05	1.3564423	0.0057862727	0.084	127.0	501.2756037712097	0.0	0.0	0.0	0.0	0.0
22	0.3390906	0.24456231	0.92313784	0.02895209	500.0	0.06424132	0.033252887	0.1287773	-0.024439327	368000	7.450581e-09	0.0005703965	-0.0048536886	-0.00028687844	1.3564423	0.0043890695	0.040124997	127.0	524.3770492076874	0.0	0.0	0.0	0.0	0.0
23	0.29750925	0.21940033	0.73096347	0.042468026	500.0	0.064138964	0.044084348	0.13760297	-0.03810447	384000	-1.4901161e-08	0.00027173126	-0.007173255	-8.040882e-05	1.3564423	0.005921386	0.045625	127.0	547.3683888912201	0.0	0.0	0.0	0.0	0.0
24	0.23641856	0.19483952	0.6841077	0.03609743	500.0	0.049037874	0.048371356	0.13208112	-0.050439544	400000	1.1175871e-08	0.0002278075	-0.0066961735	-6.595564e-05	1.3564423	0.0044480274	0.050499998	127.0	571.3275187015533	0.0	0.0	0.0	0.0	0.0
25	0.36493745	0.2855712	0.90723443	0.046173215	500.0	0.07223152	0.04567548	0.14637625	-0.029829498	416000	-7.450581e-09	0.0005154566	-0.007338262	-0.00018395977	1.3564423	0.006713193	0.068	127.0	597.0653989315033	0.0	0.0	0.0	0.0	0.0
26	0.33363318	0.2968081	1.0516363	0.04091232	500.0	0.08005205	0.050437223	0.18801722	-0.044403706	432000	2.6077032e-08	0.00059564086	-0.0060167015	-0.00012599613	1.3564423	0.004399646	0.047000002	127.0	620.9107739925385	0.0	0.0	0.0	0.0	0.0
27	0.26178572	0.22191094	0.8982204	0.02146901	500.0	0.066065446	0.052318085	0.18171087	-0.042941287	448000	-1.1175871e-08	0.00027488865	-0.0088696685	-6.9903406e-05	1.3564423	0.007823849	0.074562505	127.0	646.059330701828	0.0	0.0	0.0	0.0	0.0
28	0.45739627	0.3454642	1.2275136	0.050995458	500.0	0.09257077	0.056310654	0.21223721	-0.041582912	464000	-7.450581e-09	0.0013503189	-0.0068013323	-0.00046634692	1.3564423	0.0040710215	0.063687496	127.0	669.3999192714691	0.0	0.0	0.0	0.0	0.0
29	0.7276114	1.1275911	6.2836895	0.0635311	500.0	0.10015607	0.08432324	0.32013875	-0.08583778	480000	2.2351742e-08	0.05644086	-0.006743973	-0.024884995	1.3564423	0.006939317	0.070437506	127.0	691.7201635837555	0.0	0.0	0.0	0.0	0.0
30	0.6274699	0.66052157	2.683319	0.05625185	500.0	0.18469778	0.18058756	1.010308	-0.28114867	496000	1.4901161e-08	0.012280565	-0.010388138	-0.001986672	1.3564423	0.005610933	0.083875	127.0	715.6950330734253	0.0	0.0	0.0	0.0	0.0
