Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.18727633	0.18386117	0.8131966	0.023340466	500.0	0.17480122	0.02230484	0.27134126	0.13407363	16000	1.3504177e-07	0.016112117	-0.0055483477	-0.014556367	1.3475134	0.0046912	0.036	127.0	23.227478981018066	0.0	0.0	0.0	0.0	0.0
1	0.28577405	0.28879872	1.0765442	0.015748855	500.0	0.06326194	0.01269153	0.110893786	0.033907343	32000	-7.450581e-09	0.0027240778	-0.005392487	-0.00057106453	1.3475134	0.00603187	0.04025	127.0	44.52441382408142	0.0	0.0	0.0	0.0	0.0
2	0.5193745	0.76008356	4.440727	0.030779652	500.0	0.06877557	0.01319953	0.11388341	0.03595861	48000	-1.8626451e-08	0.02381566	-0.003936004	-0.007575525	1.3475134	0.0076009124	0.0696875	127.0	65.1412570476532	0.0	0.0	0.0	0.0	0.0
3	0.89826727	1.0814418	4.636313	0.058495928	500.0	0.11016244	0.057962503	0.2934535	-0.046655796	64000	-5.5879354e-08	0.045065425	-0.006467576	-0.017693859	1.3475134	0.007133529	0.081125	127.0	86.95658493041992	0.0	0.0	0.0	0.0	0.0
4	2.1598952	2.9187417	12.445205	0.08761482	500.0	0.2614454	0.13432945	0.69569457	-0.049865156	80000	3.7252903e-09	0.41098273	-0.0061689373	-0.21658054	1.3475134	0.007843546	0.0855	127.0	108.50868773460388	0.0	0.0	0.0	0.0	0.0
5	4.407693	4.2183094	18.423193	0.3644249	500.0	0.8549379	0.54340327	2.3370237	-0.3819437	96000	-1.4901161e-08	0.70736194	-0.010631066	-0.28846407	1.3475134	0.00978972	0.144875	127.0	129.79870414733887	0.0	0.0	0.0	0.0	0.0
6	8.179159	6.320204	24.655317	0.7673328	500.0	2.1785257	1.3061004	4.6268234	-1.1061	112000	-2.6077032e-08	2.1216655	-0.008721506	-0.61850154	1.3475134	0.0064830706	0.0915	127.0	152.47889494895935	0.0	0.0	0.0	0.0	0.0
7	7.345052	5.1009755	17.929136	1.2676853	500.0	3.0625803	1.6836928	6.385101	-1.3603889	128000	-1.4901161e-08	2.1372516	-0.008183712	-0.94002473	1.3475134	0.006649055	0.0735	127.0	174.24714589118958	0.0	0.0	0.0	0.0	0.0
8	10.184538	7.193286	27.389774	2.1659768	500.0	3.1385927	1.7749609	5.9735537	-1.2167153	144000	1.6763806e-08	3.5458462	-0.005499319	-0.98051476	1.3475134	0.0051601175	0.048625	127.0	196.2459855079651	0.0	0.0	0.0	0.0	0.0
9	10.161243	7.7632813	28.684263	0.33671978	500.0	3.31565	1.9185926	6.708351	-0.7198218	160000	-2.7939677e-09	3.2304754	-0.007492364	-0.91557324	1.3475134	0.0063860305	0.066125	127.0	215.43770575523376	0.0	0.0625	0.0	0.0	0.0
10	15.144379	5.4610095	26.526382	4.4412694	500.0	3.736745	2.056976	7.577326	-0.44281706	176000	-7.450581e-09	2.0833266	-0.010329647	-0.34015274	1.3475134	0.009311887	0.11175	127.0	236.77680611610413	0.0	0.0	0.0	0.0	0.0
