Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.08278522	0.063892506	0.32264084	0.013666858	500.0	0.19975044	0.015809879	0.28849941	0.16718712	16000	2.7939677e-07	0.025019623	-0.0049750335	-0.023801431	1.3475134	0.004788301	0.0298125	127.0	21.68050742149353	0.0	0.0	0.0	0.0	0.0
1	0.10403415	0.070906594	0.33972964	0.017727839	500.0	0.05443326	0.018674778	0.11550054	0.0015685782	32000	-3.7252903e-09	0.0009028217	-0.008058772	-0.0006285523	1.3475134	0.007830625	0.0703125	127.0	39.71755933761597	0.0	0.0	0.0	0.0	0.0
2	0.1422105	0.16860235	0.9613915	0.0123010725	500.0	0.038206525	0.01588444	0.08578543	0.006995462	48000	2.2351742e-08	0.001317413	-0.005713992	-0.00050260697	1.3475134	0.009642106	0.0721875	127.0	59.01739263534546	0.0	0.0	0.0	0.0	0.0
3	0.16369255	0.15763536	0.7810652	0.014874751	500.0	0.029539179	0.013693223	0.068046555	-0.0017326176	64000	-2.9802322e-08	0.0008581138	-0.008233969	-0.00016938921	1.3475134	0.00799523	0.09225	127.0	79.68202829360962	0.0	0.0	0.0	0.0	0.0
4	0.3137687	0.3389898	1.698347	0.017475428	500.0	0.046924382	0.01647303	0.095350206	0.008596763	80000	1.4901161e-08	0.004496842	-0.0055480823	-0.0015761238	1.3475134	0.007815841	0.0636875	127.0	101.0202100276947	0.0	0.0	0.0	0.0	0.0
5	0.624622	0.3907293	1.5679936	0.07417123	500.0	0.08778527	0.021830138	0.1559028	0.024119236	96000	-2.6077032e-08	0.00762498	-0.0077550034	-0.0036259033	1.3475134	0.0059300773	0.0765	127.0	120.26283669471741	0.0	0.0	0.0	0.0	0.0
6	2.4204056	2.3918922	12.333742	0.21388976	500.0	0.19462763	0.068390645	0.39545375	0.009947702	112000	2.9802322e-08	0.41848502	-0.0036939098	-0.23408559	1.3475134	0.005336734	0.045375	127.0	140.49531841278076	0.0	0.0	0.0	0.0	0.0
7	2.1498718	2.0606773	8.109818	0.33313274	500.0	0.5555668	0.37749967	1.8339809	-0.2711887	128000	7.450581e-09	0.15978232	-0.010306295	-0.04178223	1.3475134	0.010473774	0.130875	127.0	159.08315062522888	0.0	0.0	0.0	0.0	0.0
8	9.229156	5.8593993	23.348764	0.7779611	500.0	1.2220035	0.7488721	2.6117074	-0.38055694	144000	-2.0489097e-08	3.099464	-0.0052796626	-1.4185083	1.3475134	0.003714453	0.0580625	127.0	178.21713757514954	0.0	0.0	0.0	0.0	0.0
9	7.7040625	5.405877	19.9352	0.59885013	500.0	2.5553803	1.4777222	4.873073	-0.81670237	160000	1.8626451e-08	2.0368705	-0.0057820557	-0.540646	1.3475134	0.004901386	0.0480625	127.0	197.30958080291748	0.0	0.0	0.0	0.0	0.0
10	8.961596	7.994959	31.667536	0.64533246	500.0	2.4539943	1.4413826	4.7637057	-0.37091509	176000	7.450581e-09	3.1546392	-0.004861025	-0.68126893	1.3475134	0.0066017397	0.066	127.0	215.54742693901062	0.0	0.0	0.0	0.0	0.0
11	12.991372	5.7463646	23.744827	0.3700006	500.0	3.052511	1.6052077	5.6287074	-0.4483627	192000	-3.7252903e-09	1.7045912	-0.009340657	-0.40238178	1.3475134	0.008280236	0.100250006	127.0	236.8555908203125	0.0	0.0	0.0	0.0	0.0
12	16.555195	6.1737504	28.231117	5.263309	500.0	3.936489	1.707553	6.558634	-0.43772697	208000	-2.2351742e-08	2.2460265	-0.008052375	-0.32264906	1.3475134	0.005406157	0.075187504	127.0	258.37620639801025	0.0	0.0	0.0	0.0	0.0
13	15.742409	9.201846	47.63194	2.951716	500.0	4.3620086	1.8393493	7.2829165	-0.15047741	224000	0.0	3.8185804	-0.0056562684	-0.79688704	1.3475134	0.0050332965	0.045375	127.0	279.3151922225952	0.0	0.09375	0.0	0.0	0.0
14	14.034874	8.692179	33.936348	1.291609	500.0	4.012252	2.0051603	7.6198974	-0.9873222	240000	-1.3038516e-08	2.3564608	-0.0067104697	-0.46317425	1.3475134	0.006171692	0.052249998	127.0	300.35284519195557	0.0	0.0	0.0	0.0	0.0
15	17.222687	11.612404	47.874165	1.3235886	500.0	4.0539594	2.3917367	8.203311	-1.5930119	256000	-4.4703484e-08	5.281987	-0.0072973897	-1.0753815	1.3475134	0.0047002872	0.0635	127.0	321.2292912006378	0.0	0.0625	0.0	0.0	0.0
16	18.77047	8.848316	39.849377	2.7429678	500.0	5.1871376	2.7893405	9.76098	-1.9649209	272000	2.9802322e-08	3.452282	-0.007893968	-0.6796715	1.3475134	0.007244544	0.06075	127.0	341.94811248779297	0.0	0.0	0.0	0.0	0.0
17	21.753172	9.507551	50.022964	5.309814	500.0	5.8304386	2.509015	9.207223	-1.4698579	288000	7.450581e-09	4.1280766	-0.0076285433	-0.3990601	1.3475134	0.006187648	0.063374996	127.0	362.9375145435333	0.0	0.09375	0.0	0.0	0.0
18	23.01926	11.475298	53.062824	9.0096855	500.0	6.0402994	2.4402847	9.258101	-1.1606959	304000	-4.4703484e-08	5.807582	-0.0072217872	-1.5328288	1.3475134	0.0067364806	0.06275	127.0	382.84444856643677	0.0	0.125	0.0	0.0	0.0
19	22.638351	8.949944	42.74255	9.714776	500.0	6.1508064	2.605004	10.46971	-0.11996125	320000	-1.4901161e-08	4.15014	-0.007398305	-0.6104882	1.3475134	0.0062704645	0.0573125	127.0	405.42223167419434	0.0	0.03125	0.0	0.0	0.0
20	26.207691	11.432966	48.473297	6.8138843	500.0	6.571663	2.363219	10.362195	-0.11049725	336000	3.7252903e-09	5.274417	-0.007288398	-0.8185843	1.3475134	0.005859498	0.0566875	127.0	426.49989318847656	0.0	0.125	0.0	0.0	0.0
