Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.07841492	0.063450545	0.32264084	0.013666858	500.0	0.19992474	0.015855627	0.28849941	0.16718712	16000	9.5926225e-08	0.025283517	-0.0050960323	-0.02405414	1.3475134	0.0047071963	0.029625	127.0	25.199342489242554	0.0	0.0	0.0	0.0	0.0
1	0.1143357	0.12329209	0.69998163	0.02792675	500.0	0.05428789	0.01898427	0.11636845	0.00096478313	32000	5.5879354e-09	0.0012278784	-0.0076459288	-0.0006420519	1.3475134	0.007644224	0.0669375	127.0	43.94276213645935	0.0	0.0	0.0	0.0	0.0
2	0.14910652	0.20357642	1.1897771	0.014987082	500.0	0.039543685	0.015348072	0.087740645	0.008423939	48000	2.2351742e-08	0.0017132246	-0.0054507805	-0.0005364087	1.3475134	0.009548354	0.0828125	127.0	63.20584177970886	0.0	0.0	0.0	0.0	0.0
3	0.22802702	0.23224054	1.2064121	0.015199748	500.0	0.037026435	0.015288228	0.08384272	0.0027337074	64000	1.4901161e-08	0.0022012284	-0.007113534	-0.00043857895	1.3475134	0.0076986225	0.08687501	127.0	81.68969917297363	0.0	0.0	0.0	0.0	0.0
4	0.5265477	0.5916445	2.079402	0.020497622	500.0	0.06681133	0.020486822	0.13235109	0.011900917	80000	-7.450581e-09	0.01659574	-0.007040964	-0.006833235	1.3475134	0.007942945	0.071687505	127.0	99.86343193054199	0.0	0.0	0.0	0.0	0.0
5	1.2253811	1.2217815	5.2618523	0.087860994	500.0	0.14986227	0.050109096	0.2955197	0.015302874	96000	-2.2351742e-08	0.100275025	-0.0066879867	-0.039949816	1.3475134	0.0063678077	0.083812505	127.0	121.76090240478516	0.0	0.0	0.0	0.0	0.0
6	1.8988432	1.2603704	4.833252	0.40019262	500.0	0.41199404	0.20085055	0.9283531	-0.15466112	112000	1.4901161e-08	0.0858147	-0.008074191	-0.034721468	1.3475134	0.007456747	0.1123125	127.0	141.84192419052124	0.0	0.0	0.0	0.0	0.0
7	1.3223375	0.64475876	3.126326	0.3752994	500.0	0.5228933	0.24233408	1.2151405	-0.18354578	128000	-7.450581e-09	0.05082956	-0.007462293	-0.03323535	1.3475134	0.007898901	0.065	127.0	161.5752398967743	0.0	0.0	0.0	0.0	0.0
8	1.5400155	0.7992602	3.2451735	0.6084934	500.0	0.39228845	0.19375916	1.2246457	-0.07769174	144000	-1.4901161e-08	0.03350267	-0.007229074	-0.0075117717	1.3475134	0.0061667846	0.0649375	127.0	180.1069052219391	0.0	0.0	0.0	0.0	0.0
9	1.6116519	0.7092135	3.3197994	0.45128557	500.0	0.41909453	0.18262208	1.0625384	-0.0034362301	160000	1.4901161e-08	0.01730477	-0.007239437	-0.004661072	1.3475134	0.0072306553	0.0649375	127.0	203.08211970329285	0.0	0.0	0.0	0.0	0.0
