Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.2421501	0.23108652	0.9948563	0.011330917	500.0	0.18406045	0.02292336	0.2819528	0.144676	16000	1.4156103e-07	0.016352784	-0.0055010496	-0.014398101	1.3475134	0.005391229	0.031812496	127.0	20.766653299331665	0.0	0.0	0.0	0.0	0.0
1	0.31670082	0.28470653	0.9557274	0.037865985	500.0	0.0717243	0.010206353	0.10954689	0.046215862	32000	-7.450581e-09	0.002771017	-0.0058796043	-0.0007802448	1.3475134	0.0067245085	0.049875	127.0	41.07394337654114	0.0	0.0	0.0	0.0	0.0
2	0.92874134	1.1760353	5.4492226	0.042720728	500.0	0.08393583	0.019699775	0.15127617	0.026671577	48000	1.4901161e-08	0.06277392	-0.0037060145	-0.024579365	1.3475134	0.004380754	0.0461875	127.0	60.40033984184265	0.0	0.0	0.0	0.0	0.0
3	1.5589329	1.5896263	6.302706	0.18270282	500.0	0.2303098	0.0799944	0.42141676	0.0059013963	64000	7.450581e-09	0.120064825	-0.005455322	-0.051498134	1.3475134	0.004794595	0.0621875	127.0	78.49187207221985	0.0	0.0	0.0	0.0	0.0
4	2.0835724	1.8651328	10.386956	0.18436739	500.0	0.40871876	0.20054576	0.99152887	-0.121030025	80000	0.0	0.16828421	-0.008478345	-0.060521636	1.3475134	0.0100244945	0.1248125	127.0	99.52773976325989	0.0	0.0	0.0	0.0	0.0
5	4.753395	4.6817174	14.849609	0.25667837	500.0	0.7552057	0.41452733	1.5842988	-0.39239275	96000	-1.1175871e-08	1.2246342	-0.0052288533	-0.6055472	1.3475134	0.0055995937	0.066875	127.0	119.75133633613586	0.0	0.0	0.0	0.0	0.0
6	7.8519983	6.300019	28.766619	1.0436064	500.0	1.6970283	0.9562328	3.3657506	-1.049012	112000	-2.2351742e-08	2.1802354	-0.008523676	-0.61760175	1.3475134	0.007430704	0.110874996	127.0	138.27054643630981	0.0	0.0	0.0	0.0	0.0
7	10.347195	6.411587	28.050455	1.3418242	500.0	2.508169	1.4325186	5.2788377	-1.1327888	128000	7.450581e-09	1.8761852	-0.009501953	-0.5845962	1.3475134	0.008316491	0.1063125	127.0	159.68027019500732	0.0	0.0	0.0	0.0	0.0
8	10.11397	5.929713	27.530836	2.697461	500.0	3.3463168	1.9277338	7.3962693	-1.2767335	144000	-3.7252903e-09	2.0977979	-0.009481452	-0.6342527	1.3475134	0.007729177	0.0876875	127.0	178.36234283447266	0.0	0.0	0.0	0.0	0.0
9	12.849485	5.9109683	25.720875	2.2742875	500.0	3.6257746	1.9657221	7.0598335	-1.0844388	160000	7.450581e-09	1.7765418	-0.008935552	-0.37804493	1.3475134	0.007525839	0.0878125	127.0	202.07210636138916	0.0	0.0	0.0	0.0	0.0
10	17.560844	7.6209307	35.56127	5.0876594	500.0	4.3802977	2.1756756	7.823311	-0.7362733	176000	3.7252903e-09	4.5635905	-0.009476126	-0.98380667	1.3475134	0.009282295	0.112312496	127.0	223.829754114151	0.0	0.03125	0.0	0.0	0.0
11	21.32795	8.862126	36.435093	5.0867734	500.0	5.1946583	2.022944	7.802853	0.13756278	192000	1.8626451e-09	5.571875	-0.0074168416	-0.7689568	1.3475134	0.0052733812	0.0690625	127.0	243.52144026756287	0.0	0.03125	0.0	0.0	0.0
12	20.731606	9.530416	46.296185	4.6438565	500.0	5.4915667	1.6247809	7.5396614	0.80804896	208000	3.7252903e-09	5.129797	-0.0071157124	-0.5155424	1.3475134	0.0063502244	0.0605	127.0	264.6201148033142	0.0	0.125	0.0	0.0	0.0
13	28.026306	10.16865	50.2958	10.198165	500.0	5.4400578	1.6922063	7.6477103	0.34579188	224000	2.6077032e-08	8.577625	-0.005312608	-2.1183596	1.3475134	0.004519931	0.043625	127.0	287.01891255378723	0.0	0.375	0.0	0.0	0.0
14	31.347282	9.615108	46.36436	12.443593	500.0	6.874961	2.3421664	9.480797	-0.11115688	240000	-1.1175871e-08	6.403715	-0.0070382673	-0.8965061	1.3475134	0.0052178088	0.0488125	127.0	310.4183416366577	0.0	0.21875	0.0	0.0	0.0
15	33.153774	9.4053135	57.385086	20.159092	500.0	7.5555763	2.409492	10.024164	-0.4911376	256000	0.0	6.0063725	-0.006182226	-0.58207357	1.3475134	0.0045629307	0.048750002	127.0	329.42827343940735	0.0	0.25	0.0	0.0	0.0
16	34.85455	11.02151	61.55494	17.268913	500.0	8.232177	2.6385934	11.116548	-0.7070198	272000	-1.8626451e-08	7.1289034	-0.0075960006	-1.0092967	1.3475134	0.006400274	0.0519375	127.0	352.2784802913666	0.0	0.34375	0.0	0.0	0.0
17	33.80456	10.351114	54.913177	13.398855	500.0	8.428692	2.56265	11.203448	-0.5255318	288000	0.0	6.5093718	-0.006911136	-0.490797	1.3475134	0.005346176	0.0554375	127.0	372.29762506484985	0.0	0.1875	0.0	0.0	0.0
18	32.819	8.544701	55.020576	16.260881	500.0	8.241532	2.8423233	11.576017	-0.6752398	304000	-1.8626451e-08	4.9166636	-0.006578709	-0.3880025	1.3475134	0.0057569426	0.057375	127.0	391.99435019493103	0.0	0.25	0.0	0.0	0.0
19	31.841566	9.618205	51.294407	11.765335	500.0	7.847559	2.5687592	11.489874	0.55527747	320000	-1.4901161e-08	5.103222	-0.0068816883	-1.1703879	1.3475134	0.0052974634	0.0516875	127.0	413.4191915988922	0.0	0.09375	0.0	0.0	0.0
20	33.766872	10.156033	52.947063	13.040764	500.0	7.9544854	2.4701314	11.583093	0.00272049	336000	-1.4901161e-08	5.0803676	-0.008709655	-0.9368391	1.3475134	0.0070993574	0.0748125	127.0	435.18731474876404	0.0	0.15625	0.0	0.0	0.0
21	34.341328	8.371544	51.01073	18.478586	500.0	8.062312	2.5013254	11.563344	0.7392899	352000	-3.7252903e-09	4.4804688	-0.007164098	-0.6582007	1.3475134	0.005842518	0.05675	127.0	456.11259031295776	0.0	0.09375	0.0	0.0	0.0
22	34.91065	7.927012	50.14428	21.896479	500.0	8.2746935	2.4862676	11.722618	0.60724896	368000	7.450581e-09	5.0366	-0.00787017	-1.5041877	1.3475134	0.0059238942	0.0569375	127.0	484.68394565582275	0.0	0.09375	0.0	0.0	0.0
