Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.21293907	0.26574713	1.2147112	0.023534557	500.0	0.16866574	0.022541964	0.26629514	0.12313681	16000	5.2154064e-08	0.015341544	-0.00517212	-0.0127551835	1.3475134	0.0049370644	0.040062502	127.0	24.785659790039062	0.0	0.0	0.0	0.0	0.0
1	0.3006013	0.37790832	1.9325796	0.015613498	500.0	0.06778644	0.014567261	0.11574185	0.034145843	32000	5.401671e-08	0.004792273	-0.005014268	-0.0010688901	1.3475134	0.004860222	0.0393125	127.0	44.51942801475525	0.0	0.0	0.0	0.0	0.0
2	0.55941826	0.8042792	4.6183157	0.033312187	500.0	0.0753691	0.018875321	0.13833892	0.030920766	48000	-3.7252903e-09	0.026743265	-0.0046907803	-0.010150976	1.3475134	0.007932506	0.085125	127.0	66.88193011283875	0.0	0.0	0.0	0.0	0.0
3	1.1845639	1.6335775	6.913683	0.044992656	500.0	0.14829761	0.0860533	0.42849383	-0.07695392	64000	7.450581e-09	0.11361492	-0.0053029167	-0.04756681	1.3475134	0.0071290927	0.0811875	127.0	86.54934287071228	0.0	0.0	0.0	0.0	0.0
4	2.2400594	2.1433387	8.854315	0.06806379	500.0	0.41002375	0.23303998	1.0947679	-0.174135	80000	-1.4901161e-08	0.19301346	-0.009251692	-0.08889737	1.3475134	0.009354185	0.1224375	127.0	108.27440857887268	0.0	0.0	0.0	0.0	0.0
5	4.093458	3.1299632	11.983861	0.40657023	500.0	0.8498024	0.4952619	2.0040665	-0.46950787	96000	-7.450581e-09	0.3984073	-0.009593515	-0.16129827	1.3475134	0.007767502	0.1104375	127.0	138.256254196167	0.0	0.0	0.0	0.0	0.0
6	8.70418	6.77911	29.318619	0.697439	500.0	1.5898939	0.941641	3.369538	-1.0210601	112000	1.6763806e-08	2.6872892	-0.0069955033	-0.77656114	1.3475134	0.0075856554	0.095750004	127.0	167.54927492141724	0.0	0.0	0.0	0.0	0.0
7	9.072168	6.203008	26.14572	1.3242248	500.0	2.6387405	1.4415028	5.466486	-1.3613206	128000	-2.2351742e-08	2.053172	-0.0076679224	-0.67828906	1.3475134	0.006640572	0.0746875	127.0	192.34090495109558	0.0	0.0	0.0	0.0	0.0
8	12.0954	6.7596946	29.435621	3.5328112	500.0	3.12339	1.6927973	6.5610895	-1.2497036	144000	9.313226e-09	3.1545253	-0.0072246464	-1.0761838	1.3475134	0.0061309887	0.076124996	127.0	213.0677661895752	0.0	0.0	0.0	0.0	0.0
9	14.585539	7.4421163	34.148365	1.0339671	500.0	3.8398652	2.0117671	7.154666	-0.8083739	160000	-3.3527613e-08	3.4228792	-0.00851777	-0.81150895	1.3475134	0.007516484	0.095875	127.0	236.07183003425598	0.0	0.0625	0.0	0.0	0.0
10	20.175941	9.249193	41.6146	7.2823744	500.0	4.563013	2.0755916	7.441315	-0.35222077	176000	0.0	5.158985	-0.007257467	-0.68588644	1.3475134	0.0066264877	0.0775	127.0	255.87193512916565	0.0	0.09375	0.0	0.0	0.0
11	22.391682	10.939276	43.813526	3.512706	500.0	5.298924	2.1591911	8.519828	-0.5331961	192000	-5.5879354e-09	5.4294534	-0.006489378	-1.3488925	1.3475134	0.004896614	0.0500625	127.0	277.97623682022095	0.0	0.0625	0.0	0.0	0.0
12	21.382284	11.384504	47.393208	3.7243254	500.0	6.077402	2.4212286	9.190376	-1.1850727	208000	9.313226e-09	6.469449	-0.0078037037	-1.2442702	1.3475134	0.006684882	0.067499995	127.0	298.44460558891296	0.0	0.125	0.0	0.0	0.0
