Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.08476287	0.06561103	0.3304665	0.013781754	500.0	0.19299972	0.016043616	0.28421867	0.15968227	16000	9.9651515e-08	0.023191072	-0.005261154	-0.02207768	1.3475134	0.00450315	0.028250001	127.0	19.536179304122925	0.0	0.0	0.0	0.0	0.0
1	0.106591776	0.07295196	0.34887612	0.017607993	500.0	0.052924722	0.018785397	0.10853161	-0.0015473664	32000	3.7252903e-09	0.00083568256	-0.00810625	-0.00056395057	1.3475134	0.008047517	0.070125	127.0	37.01115655899048	0.0	0.0	0.0	0.0	0.0
2	0.14352174	0.16263044	0.9277938	0.013323546	500.0	0.037925866	0.015596613	0.083613046	0.0088118315	48000	0.0	0.0012400504	-0.0053648367	-0.0004963326	1.3475134	0.008753593	0.064625	127.0	54.400245666503906	0.0	0.0	0.0	0.0	0.0
3	0.18664816	0.17545836	0.82463247	0.017336737	500.0	0.0306307	0.014288464	0.07252027	0.00292252	64000	1.8626451e-08	0.001039771	-0.007906845	-0.0002744304	1.3475134	0.00723299	0.081562504	127.0	71.94149398803711	0.0	0.0	0.0	0.0	0.0
4	0.3567109	0.3631977	1.6501755	0.018667173	500.0	0.05422965	0.02129502	0.12774572	0.009119444	80000	1.4901161e-08	0.0051975073	-0.0059927325	-0.0020499467	1.3475134	0.0073536886	0.06375	127.0	89.40733242034912	0.0	0.0	0.0	0.0	0.0
5	0.6439183	0.43205097	1.7049224	0.07115166	500.0	0.10416842	0.034195784	0.20382729	0.02292825	96000	-1.8626451e-08	0.0077830064	-0.007896624	-0.0038790875	1.3475134	0.0060710455	0.0726875	127.0	106.83556985855103	0.0	0.0	0.0	0.0	0.0
6	2.4120514	2.4178824	12.307993	0.25937343	500.0	0.21611081	0.08700379	0.46555555	0.0009382516	112000	2.2351742e-08	0.42069274	-0.00361201	-0.24686399	1.3475134	0.005091199	0.0420625	127.0	125.69774675369263	0.0	0.0	0.0	0.0	0.0
7	2.0668886	1.6348349	7.2171884	0.29743707	500.0	0.5705761	0.40896782	1.9089851	-0.3577674	128000	0.0	0.08912658	-0.013786256	-0.025193535	1.3475134	0.010996718	0.141125	127.0	143.68999481201172	0.0	0.0	0.0	0.0	0.0
8	9.284122	6.916478	32.4187	0.8539663	500.0	1.160094	0.71576124	2.4749248	-0.37518203	144000	4.0978193e-08	4.010559	-0.005139518	-1.6762202	1.3475134	0.004474717	0.0493125	127.0	161.84034252166748	0.0	0.03125	0.0	0.0	0.0
9	6.8464255	4.8835306	21.144793	0.3604697	500.0	2.5864067	1.5091691	5.054889	-0.88515556	160000	1.4901161e-08	1.8840741	-0.0054271403	-0.586184	1.3475134	0.005202924	0.042625003	127.0	179.9995038509369	0.0	0.0	0.0	0.0	0.0
