Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.23771577	0.22644609	0.9838942	0.011206647	500.0	0.18917733	0.023080627	0.28523386	0.14934981	16000	1.5646219e-07	0.017585821	-0.0057113073	-0.01558958	1.3475134	0.0055607893	0.0356875	127.0	20.657387733459473	0.0	0.0	0.0	0.0	0.0
1	0.32662556	0.2866968	0.9672093	0.04345346	500.0	0.07154688	0.010636921	0.11478174	0.04707476	32000	4.0978193e-08	0.0028590863	-0.0058732713	-0.0007752086	1.3475134	0.006987882	0.05125	127.0	39.07742476463318	0.0	0.0	0.0	0.0	0.0
2	0.93669623	1.1786699	5.736078	0.043756437	500.0	0.08399314	0.017566228	0.14244755	0.02593093	48000	1.4901161e-08	0.063522466	-0.003791945	-0.023381857	1.3475134	0.0046779816	0.042625003	127.0	57.6811900138855	0.0	0.0	0.0	0.0	0.0
3	1.4845774	1.4905987	5.945639	0.16660418	500.0	0.22696345	0.07992893	0.43975466	0.01600524	64000	0.0	0.103815325	-0.0054920805	-0.042566102	1.3475134	0.0047766343	0.062625	127.0	77.44048428535461	0.0	0.0	0.0	0.0	0.0
4	2.247828	1.9836308	10.983073	0.19063526	500.0	0.4037381	0.18948686	0.9065025	-0.10101552	80000	0.0	0.20360883	-0.0076293554	-0.07693623	1.3475134	0.010051821	0.1159375	127.0	97.71909809112549	0.0	0.0	0.0	0.0	0.0
5	4.9524126	4.6050105	15.845093	0.30553564	500.0	0.7646507	0.419676	1.5577036	-0.35506815	96000	-1.8626451e-08	1.213201	-0.0052538346	-0.59722745	1.3475134	0.005451185	0.06649999	127.0	117.08298110961914	0.0	0.0	0.0	0.0	0.0
6	7.637969	6.1772084	28.7131	1.2003967	500.0	1.762604	0.95221436	3.4173913	-1.0945871	112000	-9.313226e-09	2.0203931	-0.008060319	-0.50921875	1.3475134	0.006693972	0.1036875	127.0	135.5251431465149	0.0	0.0	0.0	0.0	0.0
7	9.967857	6.60174	29.353416	1.1740904	500.0	2.338925	1.3739722	5.0646276	-1.215174	128000	-2.2351742e-08	1.9108555	-0.008825032	-0.6504434	1.3475134	0.00841466	0.1038125	127.0	154.99584889411926	0.0	0.0	0.0	0.0	0.0
8	10.216579	7.272736	38.110867	2.5737143	500.0	3.1646643	1.8472294	7.265261	-1.1919075	144000	3.7252903e-09	2.4990988	-0.0095687285	-0.6049663	1.3475134	0.00792973	0.09975	127.0	174.21210479736328	0.0	0.0625	0.0	0.0	0.0
9	14.542653	6.3854313	27.58314	3.3492258	500.0	3.7141254	1.9592566	7.094693	-1.0682136	160000	3.7252903e-09	2.3948982	-0.009967845	-0.53385955	1.3475134	0.007935415	0.110437505	127.0	192.84035205841064	0.0	0.0	0.0	0.0	0.0
10	17.654545	8.239098	36.735523	4.799714	500.0	4.867905	2.324565	8.566998	-1.2830975	176000	1.4901161e-08	5.0819507	-0.008886055	-1.0735779	1.3475134	0.0074354587	0.0918125	127.0	211.23369812965393	0.0	0.0	0.0	0.0	0.0
11	19.240318	8.717298	34.670475	4.2708325	500.0	5.2042713	2.0104434	8.198513	0.087609276	192000	3.7252903e-09	5.154846	-0.007198205	-0.7442483	1.3475134	0.0050720014	0.065625	127.0	230.81923723220825	0.0	0.0625	0.0	0.0	0.0
12	19.647537	8.814518	39.994164	5.3907466	500.0	5.0927005	1.4878324	7.3901772	0.8072539	208000	0.0	4.340784	-0.0065176357	-0.5993136	1.3475134	0.005924221	0.059062503	127.0	250.07837319374084	0.0	0.09375	0.0	0.0	0.0
13	28.452736	9.948958	44.697575	10.843219	500.0	5.121579	1.4973764	7.705111	0.6465627	224000	-1.8626451e-09	9.382076	-0.005548332	-3.1728747	1.3475134	0.005071876	0.045375	127.0	270.3997495174408	0.0	0.15625	0.0	0.0	0.0
14	30.673279	9.080126	49.235714	13.572368	500.0	6.8786287	2.2513704	9.51691	-0.034146674	240000	3.7252903e-09	5.5220013	-0.006949652	-0.61133236	1.3475134	0.006489671	0.0538125	127.0	290.24691367149353	0.0	0.21875	0.0	0.0	0.0
15	34.35979	9.77313	60.063618	17.805984	500.0	7.565781	2.4691253	10.102068	-1.0366753	256000	-3.7252903e-09	6.1852427	-0.0061138794	-1.1812243	1.3475134	0.0055573834	0.0489375	127.0	309.67134642601013	0.0	0.28125	0.0	0.0	0.0
