Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.18764704	0.18457489	0.827208	0.023464082	500.0	0.1732777	0.021896265	0.26714382	0.13423558	16000	1.3969839e-08	0.015749676	-0.0055218018	-0.014206313	1.3475134	0.004663813	0.0354375	127.0	21.835169792175293	0.0	0.0	0.0	0.0	0.0
1	0.2733397	0.27057642	0.98311573	0.01525895	500.0	0.06390908	0.013332616	0.115132675	0.035090107	32000	-2.2351742e-08	0.0024001696	-0.005411537	-0.0005173357	1.3475134	0.005874155	0.0410625	127.0	41.87176060676575	0.0	0.0	0.0	0.0	0.0
2	0.51828456	0.8233641	4.8123693	0.030120615	500.0	0.065651506	0.013217746	0.11060346	0.031574897	48000	-1.1175871e-08	0.028685056	-0.0036011955	-0.00845829	1.3475134	0.0073729586	0.0670625	127.0	60.218199729919434	0.0	0.0	0.0	0.0	0.0
3	0.7165381	1.0052407	5.244195	0.04127765	500.0	0.10144188	0.06312487	0.29455733	-0.0814662	64000	-2.9802322e-08	0.034871764	-0.006217825	-0.010903708	1.3475134	0.0076851444	0.097	127.0	81.84125804901123	0.0	0.0	0.0	0.0	0.0
4	1.7619181	2.4539003	9.639399	0.061984524	500.0	0.24615636	0.14219156	0.68436533	0.00043658912	80000	2.6077032e-08	0.269854	-0.0066249087	-0.1414491	1.3475134	0.008444192	0.095125005	127.0	101.76153254508972	0.0	0.0	0.0	0.0	0.0
5	3.698268	3.7563014	13.968913	0.2100336	500.0	0.7545229	0.48074973	2.1196902	-0.29531956	96000	1.4901161e-08	0.5603545	-0.010465856	-0.23938935	1.3475134	0.008830547	0.1364375	127.0	122.35562348365784	0.0	0.0	0.0	0.0	0.0
6	8.129439	6.881119	28.736004	0.68565863	500.0	2.019507	1.1887008	4.197066	-1.0434629	112000	-2.2351742e-08	2.4774156	-0.007960472	-0.68766487	1.3475134	0.007066642	0.1041875	127.0	141.14119267463684	0.0	0.0	0.0	0.0	0.0
7	7.240922	5.6428432	19.500374	0.593847	500.0	2.9847383	1.6208376	6.2684107	-1.3946891	128000	-2.9802322e-08	2.208983	-0.008860128	-0.9332575	1.3475134	0.0067722755	0.081625	127.0	161.00198197364807	0.0	0.0	0.0	0.0	0.0
8	10.458339	7.6316295	28.514278	2.1941452	500.0	3.2008972	1.7214966	6.032023	-1.1639031	144000	0.0	3.9017625	-0.0062155575	-1.0957239	1.3475134	0.0062869806	0.06275	127.0	181.83741426467896	0.0	0.0	0.0	0.0	0.0
9	10.538626	7.8386927	29.48242	0.27126512	500.0	3.3923144	1.9772568	7.1010113	-0.7591266	160000	-1.1175871e-08	3.2049108	-0.0069528674	-0.9255332	1.3475134	0.0066283587	0.065875	127.0	200.90070223808289	0.0	0.0	0.0	0.0	0.0
