Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.07902189	0.06411697	0.32631868	0.013766942	500.0	0.19735709	0.015728643	0.2852162	0.16525	16000	2.0023435e-08	0.024557909	-0.005219271	-0.023374641	1.3475134	0.004591987	0.0295625	127.0	28.513657093048096	0.0	0.0	0.0	0.0	0.0
1	0.11017622	0.11740261	0.666407	0.02672074	500.0	0.054648537	0.019685196	0.11850484	0.0007625446	32000	5.7742e-08	0.0012107876	-0.0075459555	-0.0006718766	1.3475134	0.007449967	0.065625	127.0	53.04325890541077	0.0	0.0	0.0	0.0	0.0
2	0.13599358	0.19936904	1.176191	0.014186386	500.0	0.03911772	0.01586826	0.0883037	0.008735113	48000	7.450581e-09	0.0016431541	-0.0054609245	-0.00048039405	1.3475134	0.009286737	0.080937505	127.0	75.2855134010315	0.0	0.0	0.0	0.0	0.0
3	0.18795839	0.17053165	0.8350185	0.01416916	500.0	0.03480068	0.014257689	0.07803708	0.0023145974	64000	0.0	0.0011099426	-0.008190649	-0.00023736799	1.3475134	0.007034946	0.087625004	127.0	95.26090693473816	0.0	0.0	0.0	0.0	0.0
4	0.45567065	0.57656014	2.2562115	0.0181207	500.0	0.055294488	0.016472239	0.12370906	0.014964029	80000	9.313226e-09	0.015259818	-0.0056184893	-0.006561329	1.3475134	0.007270179	0.0615	127.0	115.02206230163574	0.0	0.0	0.0	0.0	0.0
5	1.00701	1.1226252	4.8290234	0.06124268	500.0	0.13405493	0.057311222	0.31553584	-0.0007765591	96000	1.8626451e-08	0.0753381	-0.006863054	-0.029672712	1.3475134	0.0073889988	0.09675	127.0	137.20488476753235	0.0	0.0	0.0	0.0	0.0
6	1.5500655	1.0403597	4.460638	0.2983782	500.0	0.37456414	0.19177306	0.9772636	-0.15876329	112000	-4.4703484e-08	0.04915635	-0.010482857	-0.01958498	1.3475134	0.00803061	0.1226875	127.0	159.9332456588745	0.0	0.0	0.0	0.0	0.0
7	1.0638894	0.56724274	2.6090362	0.30162755	500.0	0.45955485	0.18484358	0.9415743	-0.1487261	128000	3.7252903e-08	0.049044922	-0.007318657	-0.03360261	1.3475134	0.007502053	0.066375	127.0	181.45880389213562	0.0	0.0	0.0	0.0	0.0
8	1.4382236	1.0426048	5.756292	0.5055711	500.0	0.3347235	0.16062869	1.0697058	-0.04422141	144000	7.450581e-09	0.056807864	-0.005383608	-0.012758608	1.3475134	0.0054046414	0.0541875	127.0	201.47024488449097	0.0	0.0	0.0	0.0	0.0
9	1.2581205	0.5676692	2.6996388	0.49561575	500.0	0.3724184	0.16841449	1.0804397	-0.05345028	160000	-1.21071935e-08	0.017709242	-0.008031964	-0.009969316	1.3475134	0.006597381	0.074625	127.0	222.87916159629822	0.0	0.0	0.0	0.0	0.0
10	1.8765135	1.8308723	7.7655582	0.5334087	500.0	0.37282562	0.1597047	0.81559914	0.01988943	176000	5.401671e-08	0.16331318	-0.004794669	-0.071311764	1.3475134	0.0072695757	0.0745	127.0	245.01181817054749	0.0	0.0	0.0	0.0	0.0
11	1.825947	0.98571354	4.680595	0.29180932	500.0	0.61698145	0.34776303	1.5527341	-0.33691418	192000	-9.313226e-09	0.05623087	-0.00873182	-0.021022186	1.3475134	0.0071994197	0.071062505	127.0	266.860249042511	0.0	0.0	0.0	0.0	0.0
12	2.366015	2.3209536	11.283047	0.35778424	500.0	0.7180575	0.41885087	1.9987128	-0.27015033	208000	-1.4901161e-08	0.21705154	-0.006259337	-0.08414461	1.3475134	0.006165524	0.052875	127.0	290.1337447166443	0.0	0.0	0.0	0.0	0.0
13	3.5035229	2.6709824	11.488823	0.47272626	500.0	0.921684	0.438106	2.383982	-0.23709494	224000	1.4901161e-08	0.25218287	-0.0048299246	-0.11982697	1.3475134	0.0060592983	0.0530625	127.0	314.2338287830353	0.0	0.0	0.0	0.0	0.0
14	3.5965486	3.1533766	11.351045	0.20444705	500.0	0.9968858	0.6263508	2.4737124	-0.6526286	240000	-3.7252903e-09	0.28050536	-0.0070813424	-0.083773196	1.3475134	0.0071560647	0.060875	127.0	338.19532322883606	0.0	0.0	0.0	0.0	0.0
15	3.5874076	2.7015357	12.795451	0.4955713	500.0	1.1336294	0.6632139	2.83813	-0.755119	256000	9.313226e-09	0.23662797	-0.006645853	-0.057851896	1.3475134	0.0059597027	0.061750002	127.0	362.06357192993164	0.0	0.0	0.0	0.0	0.0
16	4.4009438	4.5822816	18.723806	0.12322766	500.0	1.3568509	0.9131483	3.5853276	-0.6677303	272000	0.0	0.6601292	-0.007057879	-0.19564319	1.3475134	0.005785998	0.06275	127.0	385.657532453537	0.0	0.0	0.0	0.0	0.0
