Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.2482791	0.1881303	0.7901353	0.023556266	500.0	0.19136152	0.023237448	0.2863596	0.15160057	16000	-1.15484e-07	0.017171504	-0.006250976	-0.015508806	1.3475134	0.005806675	0.040687498	127.0	26.307356357574463	0.0	0.0	0.0	0.0	0.0
1	0.3761868	0.29060486	1.1009482	0.07597135	500.0	0.072094254	0.009705781	0.112479195	0.046469197	32000	2.6077032e-08	0.0032441057	-0.0064575234	-0.0009059288	1.3475134	0.0069643734	0.055687502	127.0	47.72670006752014	0.0	0.0	0.0	0.0	0.0
2	1.2033658	1.1423128	5.3228674	0.08783747	500.0	0.098594815	0.021158736	0.16328268	0.040272266	48000	-3.7252903e-08	0.07545576	-0.0043085515	-0.031337395	1.3475134	0.0051164003	0.047125	127.0	68.97885823249817	0.0	0.0	0.0	0.0	0.0
3	2.3576121	2.173813	9.92198	0.31493887	500.0	0.2792471	0.10066152	0.5326789	0.012543574	64000	1.1175871e-08	0.30006307	-0.0051172385	-0.11317149	1.3475134	0.005087653	0.0585	127.0	90.55342364311218	0.0	0.0	0.0	0.0	0.0
4	3.9916716	2.6476781	12.933258	0.48896363	500.0	0.6255308	0.27226815	1.2345737	-0.036887437	80000	7.450581e-09	0.5361192	-0.006694357	-0.23293835	1.3475134	0.008520883	0.0896875	127.0	110.58896994590759	0.0	0.0	0.0	0.0	0.0
5	7.560072	4.9934363	18.841276	0.9045667	500.0	1.247301	0.65445614	2.4971118	-0.2466206	96000	0.0	1.7382073	-0.0058400505	-0.76849777	1.3475134	0.0055191414	0.079125	127.0	133.14897918701172	0.0	0.0	0.0	0.0	0.0
6	9.325761	5.038553	27.18093	3.220716	500.0	2.2934074	1.209603	4.10002	-0.6554171	112000	2.2351742e-08	1.4344554	-0.007889139	-0.23986068	1.3475134	0.0060336525	0.08193751	127.0	155.78266167640686	0.0	0.0	0.0	0.0	0.0
7	11.959455	5.81144	26.833311	2.1836734	500.0	2.7548685	1.426911	5.2679157	-0.5832549	128000	1.4901161e-08	1.8459368	-0.0075415093	-0.46049264	1.3475134	0.007211155	0.0853125	127.0	176.94708728790283	0.0	0.0	0.0	0.0	0.0
8	12.523638	6.3159494	29.377295	5.606086	499.84375	3.5172157	1.6950933	6.3762393	-0.26818764	144000	2.7939677e-09	2.241644	-0.0074994247	-0.3245824	1.3475134	0.0063278195	0.0831875	127.0	199.40638637542725	0.0	0.0	0.0	0.0	0.0
9	16.13902	7.320794	35.922215	4.0479946	500.0	3.8357735	1.6078298	6.788702	-0.09703294	160000	0.0	2.8118043	-0.0077871475	-0.3159456	1.3475134	0.00906764	0.1011875	127.0	222.11192679405212	0.0	0.03125	0.0	0.0	0.0
10	20.906025	7.7863474	43.128086	10.057323	500.0	4.64166	1.6380647	7.615156	0.3077257	176000	-1.8626451e-08	4.2189536	-0.0072798533	-0.802888	1.3475134	0.0068372656	0.078625	127.0	244.35090470314026	0.0	0.09375	0.0	0.0	0.0
11	20.638496	7.8957915	42.403202	7.493105	500.0	5.4291086	1.5911224	8.061271	1.0511818	192000	1.8626451e-08	4.3906293	-0.0052714115	-0.75975806	1.3475134	0.0039968253	0.0485	127.0	266.6038975715637	0.0	0.0625	0.0	0.0	0.0
12	19.655085	6.351618	39.70929	9.385853	500.0	5.267541	1.172406	7.804847	1.5368162	208000	-3.7252903e-09	2.7208648	-0.005655513	-0.57848763	1.3475134	0.006193921	0.0519375	127.0	289.0170187950134	0.0	0.0	0.0	0.0	0.0
13	26.23848	9.142826	46.18397	12.843911	500.0	5.067009	1.3406993	7.853482	1.2090222	224000	1.8626451e-08	6.138205	-0.006133618	-1.6815023	1.3475134	0.0058136242	0.053687498	127.0	311.2541115283966	0.0	0.0625	0.0	0.0	0.0
14	27.703352	9.371303	56.780003	13.412268	500.0	6.018802	1.3368585	9.235126	1.5989671	240000	3.7252903e-09	4.4108267	-0.00667463	-1.0336962	1.3475134	0.0068090484	0.055562504	127.0	333.4084720611572	0.0	0.03125	0.0	0.0	0.0
15	31.183886	8.440125	49.33839	17.665573	500.0	6.519866	1.9318439	10.662367	-1.0906252	256000	-3.7252903e-09	3.7285275	-0.0063870857	-0.6476966	1.3475134	0.004361759	0.044437498	127.0	355.8057544231415	0.0	0.03125	0.0	0.0	0.0
16	29.384502	8.2915	42.997112	15.458489	500.0	7.286411	2.0161355	11.598442	-1.28309	272000	-3.7252903e-09	4.0373325	-0.006465287	-0.78487563	1.3475134	0.0037025826	0.0414375	127.0	377.90317010879517	0.0	0.0	0.0	0.0	0.0
17	29.626848	8.724131	51.078266	11.195709	500.0	7.1945558	1.8977582	10.894559	0.42751044	288000	-1.0244548e-08	3.9766326	-0.0066097258	-0.85508204	1.3475134	0.005071518	0.043875	127.0	401.15751361846924	0.0	0.03125	0.0	0.0	0.0
18	31.475399	7.297531	49.92873	13.850728	498.5625	7.116965	2.087588	11.166277	1.1929532	304000	2.6077032e-08	3.5932426	-0.009017082	-0.5544672	1.3475134	0.007937925	0.069000006	127.0	425.4679811000824	0.0	0.0625	0.0	0.0	0.0
19	37.18009	7.4420567	54.273224	21.355757	500.0	7.717447	1.8381542	10.323048	1.9423243	320000	4.1909516e-08	3.6324582	-0.006346617	-1.1316228	1.3475134	0.0056781447	0.051250003	127.0	450.2959189414978	0.0	0.0625	0.0	0.0	0.0
20	34.158527	8.850244	55.817375	17.096294	500.0	8.431839	2.1144376	12.0408535	2.006081	336000	1.8626451e-09	4.0040255	-0.0062458203	-0.83653903	1.3475134	0.005134128	0.04025	127.0	473.01625394821167	0.0	0.03125	0.0	0.0	0.0
21	35.838978	5.354197	49.435677	23.426867	500.0	8.153896	2.0104244	12.088684	2.2120914	352000	-1.8626451e-08	1.947778	-0.0069101555	-0.33232972	1.3475134	0.0053698826	0.0441875	127.0	496.7210023403168	0.0	0.0	0.0	0.0	0.0
22	39.10088	7.420688	56.55709	24.749798	500.0	8.515877	2.291908	12.48392	1.8223264	368000	-1.4901161e-08	2.2477396	-0.008752664	-0.59112835	1.3475134	0.005359468	0.060000002	127.0	518.8939566612244	0.0	0.0	0.0	0.0	0.0
23	37.39211	6.069634	56.25303	30.263647	500.0	8.751031	2.2476945	13.371917	2.0205388	384000	0.0	1.5103644	-0.008122914	-0.21295473	1.3475134	0.004282508	0.0590625	127.0	541.6685545444489	0.0	0.03125	0.0	0.0	0.0
24	41.05723	6.8128896	61.424747	27.56178	500.0	8.95748	2.6636558	13.714118	2.3357933	400000	0.0	2.1792393	-0.0074453717	-0.35849833	1.3475134	0.0045194216	0.053375	127.0	564.2389430999756	0.0	0.09375	0.0	0.0	0.0
25	44.342926	8.584615	60.27696	18.952202	500.0	9.43974	3.295598	13.780314	-9.678194	416000	-5.5879354e-09	3.4431243	-0.008296312	-0.8809337	1.3475134	0.0056879376	0.0616875	127.0	587.5693390369415	0.0	0.25	0.0	0.0	0.0
26	42.36263	10.856385	63.12573	23.497446	498.75	10.071285	2.944781	14.422802	-2.9734378	432000	-7.450581e-09	6.2638087	-0.0064984253	-1.0143374	1.3475134	0.0038443948	0.048249997	127.0	612.0639536380768	0.0	0.21875	0.0	0.0	0.0
27	41.07994	8.17789	61.153126	24.207273	500.0	9.442785	2.9302735	14.8327055	2.5817761	448000	-2.7939677e-08	2.8935723	-0.008375562	-0.2913009	1.3475134	0.007267685	0.0776875	127.0	635.5400006771088	0.0	0.09375	0.0	0.0	0.0
28	40.443405	12.842004	63.185776	16.575304	499.40625	10.338511	3.0632684	14.785865	2.3760648	464000	0.0	6.6748843	-0.0059441086	-2.4236028	1.3475134	0.0057277745	0.051437497	127.0	660.8376936912537	0.0	0.125	0.0	0.0	0.0
29	44.188835	12.315387	65.556496	19.530725	500.0	10.040648	3.2699242	15.384103	-2.4194279	480000	-1.8626451e-08	4.164716	-0.008827918	-0.597288	1.3475134	0.0073095583	0.068875	127.0	686.7086226940155	0.0	0.21875	0.0	0.0	0.0
30	48.056374	10.520334	72.69929	29.343277	499.75	10.585622	3.2714407	16.064312	2.2254941	496000	7.450581e-09	3.8098474	-0.007195771	-0.9770163	1.3475134	0.0056342916	0.06525	127.0	711.9351959228516	0.0	0.375	0.0	0.0	0.0
31	47.72238	9.758448	76.90536	28.08059	500.0	11.270491	3.6066253	17.034805	2.578633	512000	-2.0489097e-08	4.668503	-0.006539371	-0.3854077	1.3475134	0.004894176	0.0530625	127.0	735.8840067386627	0.0	0.46875	0.0	0.0	0.0
32	55.5088	13.003428	79.298874	17.629696	494.8125	12.361054	4.0467167	16.689491	2.6601725	528000	-1.8626451e-09	8.722469	-0.0084880795	-1.3813262	1.3475134	0.0075246347	0.0668125	127.0	758.759369134903	0.0	0.5625	0.0	0.0	0.0
