Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.20585757	0.16368252	0.814651	0.039195303	500.0	0.17541169	0.021937909	0.26857907	0.13614966	16000	-4.1909516e-08	0.015292423	-0.0056565604	-0.013895662	1.3475134	0.0051403	0.0391875	127.0	24.609309196472168	0.0	0.0	0.0	0.0	0.0
1	0.32496774	0.23945408	0.9742076	0.030091938	500.0	0.06550644	0.011215204	0.11139038	0.04107817	32000	1.1175871e-08	0.00221674	-0.006002529	-0.0004021398	1.3475134	0.0059711896	0.0441875	127.0	46.59680914878845	0.0	0.0	0.0	0.0	0.0
2	0.9332778	1.3285571	7.7996716	0.070616	500.0	0.074137054	0.012116949	0.114883915	0.04858074	48000	1.1175871e-08	0.08873389	-0.0035205747	-0.03063165	1.3475134	0.0072266883	0.0656875	127.0	68.71741604804993	0.0	0.0	0.0	0.0	0.0
3	1.4498608	1.9252092	10.355937	0.07462069	500.0	0.1840606	0.11247003	0.47360703	-0.09179298	64000	2.2351742e-08	0.16942982	-0.0056571034	-0.048316576	1.3475134	0.0079458915	0.096375	127.0	90.83805680274963	0.0	0.0	0.0	0.0	0.0
4	3.9704056	3.7169988	14.693741	0.14545043	500.0	0.52370274	0.24228606	1.1198785	-0.025430657	80000	1.0244548e-08	0.83899534	-0.0065165227	-0.35301858	1.3475134	0.00880725	0.088625	127.0	111.4571783542633	0.0	0.0	0.0	0.0	0.0
5	8.073796	5.1120925	18.462997	1.6626654	500.0	1.3555074	0.71695054	2.9332397	-0.16497901	96000	1.8626451e-08	1.711565	-0.008022478	-0.7580668	1.3475134	0.0069793127	0.0963125	127.0	133.2275161743164	0.0	0.0	0.0	0.0	0.0
6	12.083476	5.3781347	21.693218	2.4476817	500.0	2.6578956	1.3361915	4.9320474	-0.76442766	112000	7.450581e-09	2.1040866	-0.007853879	-0.48459086	1.3475134	0.0068474794	0.09125	127.0	156.89317917823792	0.0	0.0	0.0	0.0	0.0
7	12.621016	5.8892937	27.979233	3.3861606	500.0	3.5340452	1.6651531	6.190315	-0.7181639	128000	7.450581e-09	2.3470736	-0.0076483143	-0.35526073	1.3475134	0.0066051986	0.0690625	127.0	179.86387658119202	0.0	0.0625	0.0	0.0	0.0
8	15.816027	6.8378844	32.88471	6.5873666	500.0	3.8454149	1.7506174	6.689225	-0.49351048	144000	7.450581e-09	3.0670338	-0.006919648	-0.34085703	1.3475134	0.006392199	0.0633125	127.0	200.34381413459778	0.0	0.0	0.0	0.0	0.0
9	16.937317	8.156287	36.68533	4.882836	500.0	4.3231974	1.7078382	6.6710744	-0.15603599	160000	0.0	3.747531	-0.0066044135	-0.23743069	1.3475134	0.0069425083	0.0610625	127.0	222.85245752334595	0.0	0.0625	0.0	0.0	0.0
