Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.2310352	0.24528535	1.1334115	0.039195303	500.0	0.17491171	0.022327743	0.26857907	0.13133764	16000	9.49949e-08	0.015540151	-0.00560028	-0.013116945	1.3475134	0.0053076767	0.042625	127.0	37.4198215007782	0.0	0.0	0.0	0.0	0.0
1	0.3474714	0.3429333	1.8239192	0.03162415	500.0	0.07082132	0.012858383	0.11512822	0.044007182	32000	1.8626451e-09	0.004315187	-0.0055324854	-0.0008047806	1.3475134	0.0055231727	0.0460625	127.0	61.958842039108276	0.0	0.0	0.0	0.0	0.0
2	0.87237483	1.0696203	6.04376	0.11155771	500.0	0.08891716	0.020986287	0.16199338	0.044234686	48000	1.3038516e-08	0.055647813	-0.004533189	-0.021984829	1.3475134	0.0074793724	0.077375	127.0	87.27499556541443	0.0	0.0	0.0	0.0	0.0
3	1.7292958	1.8047028	7.5965495	0.08826539	500.0	0.21202734	0.10252906	0.4869802	-0.030642286	64000	5.5879354e-08	0.16932882	-0.005339296	-0.06465551	1.3475134	0.0063870763	0.085125	127.0	110.71679353713989	0.0	0.0	0.0	0.0	0.0
4	3.5467138	2.919636	11.754616	0.35058585	500.0	0.55917007	0.25530517	1.1678106	-0.040425584	80000	-2.9802322e-08	0.48942268	-0.00734281	-0.20901746	1.3475134	0.008229165	0.097500004	127.0	137.47381114959717	0.0	0.0	0.0	0.0	0.0
5	6.5896397	4.2511377	16.012585	1.1727446	500.0	1.2227589	0.67296517	2.6817224	-0.28808704	96000	-5.2154064e-08	1.0423617	-0.007619845	-0.44139418	1.3475134	0.007635055	0.0995	127.0	166.46376037597656	0.0	0.0	0.0	0.0	0.0
6	9.309874	5.728308	24.243746	1.0457888	500.0	2.2638817	1.2069751	4.3958287	-0.7597593	112000	-1.8626451e-09	1.7907507	-0.008097531	-0.54114485	1.3475134	0.006627039	0.090875	127.0	190.92278409004211	0.0	0.0	0.0	0.0	0.0
7	10.05986	6.383185	24.70321	1.838679	500.0	2.995885	1.5561944	5.852041	-0.6940756	128000	0.0	2.2075872	-0.00811271	-0.70344746	1.3475134	0.0077097598	0.081125	127.0	215.65528416633606	0.0	0.03125	0.0	0.0	0.0
8	11.82601	6.63206	30.16064	4.3728766	500.0	3.5464296	1.7568357	6.8741646	-0.35213324	144000	0.0	2.8399916	-0.007463173	-0.7492114	1.3475134	0.006592849	0.07875	127.0	241.5068929195404	0.0	0.0	0.0	0.0	0.0
9	10.966429	5.007893	18.327488	1.5564387	500.0	3.7897003	1.7184521	6.608971	0.07777612	160000	1.4901161e-08	2.0102258	-0.007865479	-0.59460986	1.3475134	0.006794072	0.070625	127.0	267.0732660293579	0.0	0.0	0.0	0.0	0.0
10	17.59645	6.901973	32.494144	7.6340637	500.0	3.6780167	1.4176719	6.2393084	0.51159024	176000	0.0	3.741453	-0.007588436	-0.8039266	1.3475134	0.0068719033	0.071375	127.0	293.17395663261414	0.0	0.0625	0.0	0.0	0.0
11	20.276245	7.492554	34.60603	4.886426	500.0	4.512493	1.4598618	6.6864085	0.6566335	192000	1.4901161e-08	3.2361534	-0.0051511386	-0.62370205	1.3475134	0.0053138435	0.053875	127.0	319.5260226726532	0.0	0.0	0.0	0.0	0.0
12	19.47076	8.0504265	39.496323	6.2312584	500.0	5.1981726	1.6776816	7.1520243	-0.29616594	208000	1.4901161e-08	2.9863153	-0.006372677	-0.28155637	1.3475134	0.005087793	0.048625	127.0	344.8269531726837	0.0	0.0	0.0	0.0	0.0
13	25.90665	6.308795	36.905964	13.066425	500.0	5.260465	1.7597177	7.800202	0.34499204	224000	3.7252903e-08	3.7701817	-0.0057086535	-1.0934187	1.3475134	0.0055152345	0.04975	127.0	369.24435901641846	0.0	0.0	0.0	0.0	0.0
14	25.192368	6.7936645	37.871998	10.982769	500.0	6.513535	1.9678378	8.512706	0.44015905	240000	-7.450581e-09	2.818139	-0.005742829	-0.32853225	1.3475134	0.0056375787	0.0368125	127.0	392.7873578071594	0.0	0.0	0.0	0.0	0.0
15	25.231022	8.378397	37.527992	7.7143826	500.0	6.4430017	2.239047	9.046378	-0.26570636	256000	3.7252903e-09	4.105607	-0.0055170693	-0.16973113	1.3475134	0.0046986938	0.034937497	127.0	416.99341797828674	0.0	0.0	0.0	0.0	0.0
16	29.957127	8.242878	49.6569	14.315867	500.0	6.496089	2.0484312	8.897321	0.6018716	272000	0.0	4.675768	-0.005194181	-0.68883234	1.3475134	0.005266871	0.0399375	127.0	440.33285903930664	0.0	0.03125	0.0	0.0	0.0
17	28.977924	8.381316	44.776596	9.737803	500.0	7.2789545	2.0186102	9.247505	0.83429503	288000	7.450581e-09	4.082927	-0.0077132783	-0.3199219	1.3475134	0.008111549	0.0501875	127.0	464.33163142204285	0.0	0.0	0.0	0.0	0.0
18	31.139925	10.42995	50.18628	8.17401	500.0	7.2431645	1.9957236	9.31819	1.1091814	304000	1.4901161e-08	5.6316338	-0.00627482	-0.47233403	1.3475134	0.0065796264	0.04575	127.0	490.99281311035156	0.0	0.125	0.0	0.0	0.0
19	33.507896	7.38087	47.009525	18.312494	500.0	7.577988	1.866966	9.829617	0.7965763	320000	-5.5879354e-09	3.8522186	-0.0051930854	-0.29490933	1.3475134	0.004408582	0.0421875	127.0	517.175998210907	0.0	0.0625	0.0	0.0	0.0
20	31.20379	8.43075	52.52962	16.587307	500.0	8.024409	1.9908705	10.099281	1.2755759	336000	1.8626451e-09	3.859347	-0.007109304	-0.3343525	1.3475134	0.00705684	0.047250003	127.0	555.748594045639	0.0	0.0	0.0	0.0	0.0
21	34.13012	9.461366	58.385265	17.814075	500.0	7.593073	1.8942729	10.025455	0.72576576	352000	-7.450581e-09	4.8334455	-0.0059624603	-0.76152766	1.3475134	0.0045123007	0.0365625	127.0	594.4073016643524	0.0	0.125	0.0	0.0	0.0
22	37.131294	8.506855	51.040688	18.67382	500.0	8.008244	2.3944814	11.475356	0.0135914385	368000	2.7939677e-08	4.6614647	-0.008069387	-0.85264367	1.3475134	0.0054847747	0.051875003	127.0	627.393563747406	0.0	0.03125	0.0	0.0	0.0
23	35.623337	10.026366	53.24129	11.364937	492.3125	8.969909	2.5693257	12.5038805	0.82914513	384000	-1.8626451e-08	5.987954	-0.0072375983	-0.5656487	1.3475134	0.006837935	0.048562504	127.0	654.4322640895844	0.0	0.21875	0.0	0.0	0.0
24	33.62496	8.824229	50.83979	16.393986	500.0	8.273606	2.490257	12.305861	-1.648526	400000	7.450581e-09	5.4067655	-0.0085077835	-0.78012913	1.3475134	0.006930015	0.0498125	127.0	681.6376030445099	0.0	0.125	0.0	0.0	0.0
25	36.133602	11.349413	55.921078	11.364948	499.53125	8.251113	2.6396787	11.706294	-5.406582	416000	-1.4901161e-08	6.2430234	-0.009214636	-0.47802457	1.3475134	0.006875577	0.0735	127.0	708.1592495441437	0.0	0.25	0.0	0.0	0.0
26	41.362366	11.543412	72.876625	21.567434	496.5	8.699884	2.671869	12.374126	0.4379946	432000	0.0	6.8943195	-0.007520043	-1.5176536	1.3475134	0.0050021554	0.067375004	127.0	734.8625347614288	0.0	0.5	0.0	0.0	0.0
27	34.433533	13.0663	57.998928	5.685739	498.75	9.085524	2.7296336	14.254636	0.49464995	448000	1.1175871e-08	7.3081484	-0.007876582	-3.0004075	1.3475134	0.0055910894	0.060312502	127.0	763.778731584549	0.0	0.1875	0.0	0.0	0.0
28	38.346645	10.914625	58.23243	19.668896	498.375	8.87331	3.3442607	14.600971	-7.877447	464000	-2.6077032e-08	6.345303	-0.0065192664	-1.0899916	1.3475134	0.0053585153	0.0430625	127.0	793.2155103683472	0.0	0.15625	0.0	0.0	0.0
29	40.003723	11.762235	56.977737	15.771537	496.34375	9.33718	3.7212725	15.069378	-11.094423	480000	-1.4901161e-08	7.1910367	-0.008272354	-0.80970836	1.3475134	0.0043296255	0.051625002	127.0	824.4265179634094	0.0	0.40625	0.0	0.0	0.0
30	42.854626	10.03018	57.508358	19.575144	500.0	9.507572	2.969511	14.672852	1.2270846	496000	1.4901161e-08	4.7838607	-0.0067579346	-1.5101899	1.3475134	0.0051891617	0.05875	127.0	856.9814236164093	0.0	0.4375	0.0	0.0	0.0
