Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.31840286	0.22380142	1.1443925	0.07241308	500.0	-0.19113669	0.03090726	-0.15855865	-0.3447665	16000	7.264316e-08	0.04504182	-0.0057514133	-0.04114052	1.3564423	0.0060070497	0.0500625	127.0	34.345354080200195	0.0	0.0	0.0	0.0	0.0
1	0.7340983	0.49706286	2.1052887	0.15870225	500.0	0.011132454	0.025934061	0.07790446	-0.077237	32000	8.940697e-08	0.018134939	-0.0074822856	-0.01028304	1.3564423	0.0045586843	0.0623125	127.0	66.36295008659363	0.0	0.0	0.0	0.0	0.0
2	1.162728	0.8370462	3.8368647	0.20340125	500.0	0.13080081	0.033247627	0.22647023	0.009500802	48000	5.401671e-08	0.03898035	-0.008233293	-0.012184588	1.3564423	0.0074955486	0.0851875	127.0	94.19277906417847	0.0	0.0	0.0	0.0	0.0
3	2.3132286	1.4075009	6.234422	0.3483752	500.0	0.24755266	0.04336148	0.411396	0.10878197	64000	-2.2351742e-08	0.13825856	-0.010205926	-0.059447892	1.3564423	0.008509306	0.1006875	127.0	128.66443634033203	0.0	0.0	0.0	0.0	0.0
4	4.8864527	2.4092724	11.193224	1.1645615	500.0	0.5557129	0.10763225	0.83514595	0.28196082	80000	2.2351742e-08	0.51112866	-0.0065999664	-0.24128987	1.3564423	0.004167186	0.054812502	127.0	164.61463284492493	0.0	0.0	0.0	0.0	0.0
5	8.256256	4.2265687	20.041788	2.6699088	500.0	1.0724357	0.19625095	1.6471359	0.5351317	96000	-2.9802322e-08	1.4523144	-0.00856884	-0.67681086	1.3564423	0.006157608	0.0699375	127.0	187.98692154884338	0.0	0.0	0.0	0.0	0.0
6	12.523428	5.053322	30.144001	4.680951	500.0	2.0177317	0.4938711	3.0749187	0.75242805	112000	-2.2351742e-08	2.192142	-0.008422616	-1.0239019	1.3564423	0.006051925	0.0696875	127.0	211.8383870124817	0.0	0.0	0.0	0.0	0.0
7	15.718637	5.5849233	29.419905	7.3960886	500.0	3.1185586	1.0622748	4.982573	0.26961133	128000	-3.7252903e-09	2.0169635	-0.009999873	-0.5231571	1.3564423	0.0074426597	0.09118751	127.0	237.01784443855286	0.0	0.0	0.0	0.0	0.0
8	23.56129	4.9091024	33.603306	12.706198	500.0	4.1210866	1.2925569	6.1022315	0.4941196	144000	1.9557774e-08	3.9901254	-0.0103013	-1.9212718	1.3564423	0.0075082965	0.09325001	127.0	261.1725723743439	0.0	0.0625	0.0	0.0	0.0
9	24.868755	6.147737	36.81651	15.2573	500.0	5.603368	1.4997336	7.3132944	0.5100641	160000	-5.5879354e-09	2.2061887	-0.010673257	-0.1615748	1.3564423	0.007371474	0.08212501	127.0	284.5340037345886	0.0	0.0625	0.0	0.0	0.0
10	26.565937	5.54895	38.36235	15.04573	500.0	6.173102	1.4263798	7.55761	1.07989	176000	-3.7252903e-09	2.3233485	-0.008351972	-0.17942578	1.3564423	0.0062802527	0.058125004	127.0	307.80034470558167	0.0	0.15625	0.0	0.0	0.0
11	28.350328	5.740353	38.63688	12.791259	500.0	6.2677097	1.0760874	7.212044	1.8108976	192000	-3.7252903e-09	2.0610313	-0.009636506	-0.2231252	1.3564423	0.00734483	0.0775	127.0	329.4106307029724	0.0	0.0625	0.0	0.0	0.0
12	29.585232	5.2283783	38.89376	16.758326	500.0	6.5610223	1.0602498	7.4751945	1.6489669	208000	5.5879354e-09	2.2042408	-0.009153948	-0.11444906	1.3564423	0.006390199	0.064687505	127.0	351.7266216278076	0.0	0.09375	0.0	0.0	0.0
13	32.230656	4.6496387	43.431583	23.85695	500.0	6.7812343	0.8051218	7.4007287	2.7757368	224000	7.450581e-09	1.9065839	-0.008869603	-0.2421701	1.3564423	0.0072326106	0.071624994	127.0	374.04183769226074	0.0	0.15625	0.0	0.0	0.0
14	33.712807	6.2221837	45.385326	18.734106	500.0	7.021535	0.7550046	7.738123	3.3450716	240000	-1.1175871e-08	2.412879	-0.008449294	-0.21827659	1.3564423	0.0048068864	0.059062503	127.0	396.8684997558594	0.0	0.28125	0.0	0.0	0.0
15	34.58087	5.53585	46.032543	19.623478	500.0	7.487234	0.88987106	8.313138	3.2972324	256000	-1.8626451e-09	2.2714863	-0.010980628	-0.058826294	1.3564423	0.0063857464	0.0808125	127.0	421.6347277164459	0.0	0.53125	0.0	0.0	0.0
16	37.42266	5.809408	46.15986	19.651659	500.0	7.660408	0.77880734	8.333585	3.6930377	272000	-3.7252903e-09	2.3280828	-0.010071741	-0.30090073	1.3564423	0.0074529285	0.0806875	127.0	447.77653455734253	0.0	0.4375	0.0	0.0	0.0
17	36.925293	6.071185	47.225887	21.676912	500.0	8.125985	0.8945281	8.916389	3.4392953	288000	0.0	2.121048	-0.007902134	-0.32162428	1.3564423	0.0053362055	0.063625	127.0	471.2723925113678	0.0	0.46875	0.0	0.0	0.0
18	37.8251	6.487166	47.147305	18.9386	500.0	8.0903845	0.83090717	9.16518	3.8731055	304000	7.450581e-09	1.9242165	-0.008586062	-0.14124995	1.3564423	0.0058794697	0.06325	127.0	496.7347249984741	0.0	0.40625	0.0	0.0	0.0
19	40.067085	6.32049	56.6904	30.366587	500.0	8.16659	0.92787665	9.494268	3.1408875	320000	3.7252903e-08	2.3570268	-0.0084135	-0.45845327	1.3564423	0.0063076303	0.05675	127.0	520.5606091022491	0.0	0.34375	0.0	0.0	0.0
20	38.327522	6.3886914	50.62701	20.34193	500.0	8.734312	1.1071646	10.237185	3.5234494	336000	-3.5390258e-08	1.9807396	-0.009965317	-0.3290453	1.3564423	0.007174309	0.071875006	127.0	543.2824285030365	0.0	0.4375	0.0	0.0	0.0
21	38.802635	6.0091424	51.735638	24.730186	500.0	8.496735	0.94190717	9.78347	3.9420989	352000	3.7252903e-09	1.3481747	-0.008405921	-0.09701359	1.3564423	0.005965893	0.0644375	127.0	577.05451130867	0.0	0.4375	0.0	0.0	0.0
22	40.655266	5.9253983	50.630386	31.139612	500.0	8.378041	0.9931533	9.948632	3.789184	368000	-1.4901161e-08	1.6922015	-0.009063131	-0.3672247	1.3564423	0.005489833	0.065124996	127.0	614.8777787685394	0.0	0.59375	0.0	0.0	0.0
23	42.577995	6.5344615	60.34378	28.024841	500.0	8.677319	1.3358703	10.686423	4.282715	384000	9.313226e-09	2.0091958	-0.009464202	-0.19420663	1.3564423	0.007283405	0.0715625	127.0	649.712896823883	0.0	0.625	0.0	0.0	0.0
24	43.736767	6.982636	64.73533	31.52665	500.0	9.111693	1.3249654	11.012998	2.356582	400000	-1.4901161e-08	3.083314	-0.009807402	-0.5329615	1.3564423	0.007336824	0.07781251	127.0	681.2302980422974	0.0	0.59375	0.0	0.0	0.0
25	42.721886	7.113272	58.60257	30.607899	500.0	9.350771	1.0676223	10.675685	4.3368363	416000	-3.7252903e-09	2.548441	-0.009261118	-0.19875884	1.3564423	0.0064161075	0.0715625	127.0	718.6716923713684	0.0	0.59375	0.0	0.0	0.0
26	47.175346	8.16868	68.61043	34.178272	500.0	9.181511	1.0742157	10.534822	3.897144	432000	0.0	3.7749171	-0.008275879	-1.1022737	1.3564423	0.007948931	0.065500006	127.0	755.9369721412659	0.0	0.40625	0.0	0.0	0.0
27	48.928673	9.833515	82.21947	33.828125	500.0	10.1040325	1.3737286	11.828983	4.0302362	448000	-1.8626451e-09	5.428081	-0.009417864	-0.4208299	1.3564423	0.0086977165	0.0941875	127.0	776.9493699073792	0.0	0.6875	0.0	0.0	0.0
28	47.68154	11.555393	83.52937	37.33976	500.0	10.388523	1.304129	12.2551155	4.8351254	464000	1.4901161e-08	7.3301363	-0.00884022	-0.9373336	1.3564423	0.0055716913	0.0906875	127.0	802.0182106494904	0.0	0.625	0.0	0.0	0.0
29	48.360657	12.084389	97.783195	35.456352	500.0	10.780989	1.3386376	12.561233	4.194769	480000	0.0	7.0432205	-0.008966537	-0.6569915	1.3564423	0.009425405	0.0878125	127.0	827.6309463977814	0.0	0.5	0.0	0.0	0.0
30	45.695908	10.916271	97.41779	32.716164	500.0	10.326512	1.4285868	12.948161	4.691063	496000	-3.7252903e-09	6.101477	-0.0077965287	-0.5804162	1.3564423	0.0067124804	0.0795	127.0	847.8427860736847	0.0	0.46875	0.0	0.0	0.0
31	54.6019	16.660652	119.78492	40.016407	500.0	10.410966	1.3034155	13.088385	4.899441	512000	1.4901161e-08	14.363934	-0.008419056	-3.7317786	1.3564423	0.007192137	0.0780625	127.0	873.3944189548492	0.0	0.5	0.0	0.0	0.0
32	55.384953	20.042786	115.89605	34.935833	500.0	11.906671	1.9573781	15.466375	4.8679442	528000	2.2351742e-08	17.666037	-0.008240394	-1.9672086	1.3564423	0.008841397	0.0864375	127.0	899.010968208313	0.0	0.625	0.0	0.0	0.0
33	60.76703	22.686499	111.28404	34.973076	500.0	12.133065	2.5539355	17.113308	3.6434584	544000	3.7252903e-09	19.019426	-0.008742668	-7.0901794	1.3564423	0.009286594	0.076812506	127.0	921.7496845722198	0.0	0.625	0.0	0.0	0.0
34	65.8714	25.383963	120.82758	38.770912	500.0	13.325045	3.3054976	19.537031	3.5544505	560000	7.450581e-09	20.611246	-0.009144867	-5.5008106	1.3564423	0.0064703766	0.0705	127.0	947.276172876358	0.0	0.59375	0.0	0.0	0.0
35	62.91205	28.57736	124.21387	33.70741	500.0	13.583038	4.1135454	21.597961	1.8558993	576000	-7.450581e-09	18.617765	-0.00861136	-4.27609	1.3564423	0.00840522	0.0694375	127.0	984.8291544914246	0.0	0.65625	0.0	0.0	0.0
36	58.824387	25.657633	131.1783	40.46344	500.0	13.674629	4.513659	23.007864	4.903361	592000	1.1175871e-08	17.17609	-0.009447832	-3.0927157	1.3564423	0.0075670583	0.084625006	127.0	1019.0977745056152	0.0	0.46875	0.0	0.0	0.0
37	69.76259	30.839155	132.47278	39.31018	500.0	14.339853	4.748807	23.506878	5.211368	608000	-1.1175871e-08	20.215702	-0.008971848	-3.1481333	1.3564423	0.008165078	0.075312495	127.0	1059.3506486415863	0.0	0.5625	0.0	0.0	0.0
38	71.71803	35.394653	133.57324	33.700638	500.0	16.190195	5.795671	24.668392	5.691359	624000	-1.8626451e-09	30.71123	-0.008256371	-6.8281145	1.3564423	0.0074441656	0.068125	127.0	1083.3872509002686	0.0	0.6875	0.0	0.0	0.0
39	72.70835	36.190186	133.48004	29.250069	500.0	14.8650875	5.2242556	25.849955	6.4577274	640000	-1.1175871e-08	26.931166	-0.007927432	-6.8801923	1.3564423	0.007686832	0.066125	127.0	1105.0670590400696	0.0	0.5	0.0	0.0	0.0
40	65.87771	31.11957	134.32005	40.40314	500.0	14.94142	6.2270555	27.213705	5.4801874	656000	-5.5879354e-09	19.868359	-0.00797997	-2.5125616	1.3564423	0.0068662018	0.072812505	127.0	1128.932203054428	0.0	0.4375	0.0	0.0	0.0
41	69.14171	31.065609	139.61636	39.026497	500.0	14.933331	5.8222833	27.65769	6.078533	672000	9.313226e-09	19.393696	-0.007655251	-3.1170535	1.3564423	0.0066440646	0.082625	127.0	1154.3852200508118	0.0	0.59375	0.0	0.0	0.0
42	74.84335	35.233025	138.32637	37.430042	500.0	15.526188	6.212353	28.189249	5.778404	688000	-3.7252903e-09	21.151382	-0.008935979	-3.0495248	1.3564423	0.0077703865	0.100687504	127.0	1178.6216690540314	0.0	0.71875	0.0	0.0	0.0
43	68.83441	32.89735	136.268	33.984833	500.0	16.486246	6.717996	28.923164	4.1740975	704000	1.8626451e-08	26.362803	-0.008506412	-4.84797	1.3564423	0.0052550114	0.0770625	127.0	1202.047441482544	0.0	0.71875	0.0	0.0	0.0
44	82.186516	38.820213	138.38371	35.882214	500.0	16.959196	6.58653	29.5029	5.796947	720000	2.7939677e-09	24.360886	-0.008621444	-5.6818485	1.3564423	0.008184368	0.0718125	127.0	1224.9348299503326	0.0	0.78125	0.0	0.0	0.0
45	75.533264	35.395943	135.58743	37.050556	500.0	17.763124	7.440844	30.352823	3.663827	736000	-1.8626451e-08	24.595982	-0.009365514	-1.9386821	1.3564423	0.007847095	0.08675	127.0	1249.6860117912292	0.0	0.75	0.0	0.0	0.0
46	74.92192	38.64193	142.38622	29.524914	500.0	17.918509	7.1099534	30.711124	2.824927	752000	0.0	36.66192	-0.0086790435	-5.685304	1.3564423	0.006250325	0.0835625	127.0	1273.512470960617	0.0	0.75	0.0	0.0	0.0
47	73.552185	36.876766	139.77116	28.296135	500.0	16.308367	6.890018	30.90837	4.3477955	768000	1.6763806e-08	23.545807	-0.008003186	-3.1802626	1.3564423	0.006196265	0.069125004	127.0	1297.7450902462006	0.0	0.8125	0.0	0.0	0.0
48	85.900986	40.65067	145.47609	32.393852	500.0	17.56618	8.547946	31.007143	2.5452237	784000	-2.2351742e-08	20.21277	-0.00917442	-4.047822	1.3564423	0.008724669	0.09468751	127.0	1321.0764045715332	0.0	0.75	0.0	0.0	0.0
49	84.45929	38.104034	141.7709	39.064342	500.0	19.513865	8.74135	31.77693	4.934088	800000	-9.313226e-09	28.292158	-0.00854958	-2.8389	1.3564423	0.008722028	0.0713125	127.0	1343.3495342731476	0.0	0.84375	0.0	0.0	0.0
50	95.55791	37.770607	144.2243	37.24916	500.0	22.08282	8.541259	32.19061	5.8660746	816000	-7.450581e-09	36.105556	-0.008369488	-3.8007386	1.3564423	0.006657807	0.0691875	127.0	1367.8919196128845	0.0	0.9375	0.0	0.0	0.0
51	81.22388	40.160328	139.01697	30.759682	500.0	19.487	7.8761425	32.311504	7.0720134	832000	-1.4901161e-08	26.99181	-0.008206027	-5.521175	1.3564423	0.007838112	0.0713125	127.0	1396.4452514648438	0.0	0.75	0.0	0.0	0.0
52	84.87976	41.85642	141.03508	35.045532	500.0	19.045713	9.113251	32.924843	4.9043827	848000	4.656613e-09	23.11894	-0.008479163	-2.2179713	1.3564423	0.0087792445	0.095375	127.0	1422.8016028404236	0.0	0.75	0.0	0.0	0.0
53	82.203865	41.223537	141.04681	32.19754	500.0	18.449768	8.620911	33.29863	5.0627036	864000	3.7252903e-09	35.07351	-0.008538721	-6.2246056	1.3564423	0.006965749	0.0886875	127.0	1447.0645916461945	0.0	0.9375	0.0	0.0	0.0
54	95.18196	39.597775	142.2589	35.386337	500.0	21.624922	8.982734	33.460953	5.374443	880000	-3.7252903e-09	29.846321	-0.009865243	-5.0527916	1.3564423	0.0062059034	0.088875	127.0	1470.552176952362	0.0	0.875	0.0	0.0	0.0
55	96.00877	43.38268	152.51259	29.3565	500.0	21.721498	9.123232	34.634247	-2.0579681	896000	-3.7252903e-09	36.51809	-0.008569064	-5.147839	1.3564423	0.0076171206	0.0775	127.0	1495.0458478927612	0.0	0.9375	0.0	0.0	0.0
56	93.31401	41.81095	144.30067	34.196095	500.0	20.357079	9.275624	35.244896	-1.0093575	912000	-7.450581e-09	29.462454	-0.007905669	-4.1664395	1.3564423	0.0075226678	0.07925	127.0	1518.293937921524	0.0	0.90625	0.0	0.0	0.0
