Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.25413218	0.19251293	0.80287623	0.023933345	500.0	0.18364988	0.022714807	0.27976	0.14515533	16000	-1.3783574e-07	0.0153306555	-0.005557805	-0.013745195	1.3475134	0.005465499	0.0335	127.0	27.65978479385376	0.0	0.0	0.0	0.0	0.0
1	0.36456543	0.29436034	1.0587268	0.073066644	500.0	0.07308835	0.009872506	0.112756655	0.04968716	32000	2.6077032e-08	0.003265598	-0.0065612285	-0.0010127146	1.3475134	0.007136479	0.058312498	127.0	48.14257740974426	0.0	0.0	0.0	0.0	0.0
2	1.1932787	1.1513611	5.198553	0.110616624	500.0	0.09931778	0.025888711	0.18158045	0.029422343	48000	-1.4901161e-08	0.0753029	-0.0041989023	-0.0315483	1.3475134	0.0046319966	0.04875	127.0	69.86320567131042	0.0	0.0	0.0	0.0	0.0
3	2.4824276	2.27725	10.980638	0.32846227	500.0	0.29198894	0.103071876	0.5529974	0.005421862	64000	-3.7252903e-08	0.33220962	-0.004982457	-0.13190651	1.3475134	0.0047224853	0.055874996	127.0	92.68248343467712	0.0	0.0	0.0	0.0	0.0
4	3.7728698	2.430533	12.189494	0.49800232	500.0	0.64731115	0.2932096	1.2959869	-0.04132536	80000	2.9802322e-08	0.425446	-0.007482509	-0.18077551	1.3475134	0.008742032	0.101687506	127.0	115.11761856079102	0.0	0.0	0.0	0.0	0.0
5	7.4168644	4.9591784	17.768887	0.88528484	500.0	1.24477	0.65951943	2.4344952	-0.22438769	96000	3.7252903e-08	1.7093413	-0.0055854814	-0.75240237	1.3475134	0.0056600193	0.0765	127.0	137.74097752571106	0.0	0.0	0.0	0.0	0.0
6	9.218053	5.272647	27.082258	3.2959962	500.0	2.2269764	1.2197616	4.120235	-0.6940522	112000	2.9802322e-08	1.5743012	-0.0076690456	-0.3070699	1.3475134	0.006013003	0.0801875	127.0	159.9998595714569	0.0	0.0	0.0	0.0	0.0
7	12.060273	5.8394337	26.66632	2.5760694	500.0	2.746042	1.4724329	5.0780115	-0.5553393	128000	-1.4901161e-08	1.876786	-0.007998667	-0.49402624	1.3475134	0.007669938	0.0954375	127.0	193.46126127243042	0.0	0.0	0.0	0.0	0.0
8	13.056387	6.243915	28.094389	5.799854	500.0	3.584158	1.7701069	6.585021	-0.2993899	144000	1.4901161e-08	2.1805239	-0.007200203	-0.27951944	1.3475134	0.00710311	0.085	127.0	225.6951494216919	0.0	0.0	0.0	0.0	0.0
9	15.642892	7.529891	41.652794	6.0446596	500.0	4.026419	1.718667	6.9011455	-0.09944315	160000	-3.7252903e-09	2.5078363	-0.007986292	-0.4231692	1.3475134	0.008889033	0.102125	127.0	255.49157691001892	0.0	0.0	0.0	0.0	0.0
10	20.4673	6.2901025	32.57497	11.436033	500.0	4.536205	1.6316142	7.999678	0.36533833	176000	2.2351742e-08	3.605402	-0.0076654516	-0.9852476	1.3475134	0.007956131	0.08543751	127.0	277.2084131240845	0.0	0.0	0.0	0.0	0.0
11	20.772379	6.808182	37.98563	8.977198	500.0	5.3732557	1.5991634	7.8712144	0.96881473	192000	3.7252903e-09	3.6739633	-0.0059662177	-0.57452047	1.3475134	0.0047055553	0.047624998	127.0	302.0318691730499	0.0	0.0	0.0	0.0	0.0
12	21.652637	8.068695	44.54231	10.556086	500.0	5.2539787	1.187693	7.095757	1.4253994	208000	2.2351742e-08	3.725584	-0.005525505	-0.45046082	1.3475134	0.0057644676	0.0516875	127.0	331.134804725647	0.0	0.0	0.0	0.0	0.0
13	27.258709	10.556828	49.076508	13.753922	500.0	5.283635	1.269903	7.805636	1.413274	224000	-5.5879354e-09	6.9791665	-0.005338763	-2.182726	1.3475134	0.0058597387	0.049625	127.0	356.0296473503113	0.0	0.1875	0.0	0.0	0.0
14	27.615608	11.206082	50.16077	12.101074	500.0	6.2380037	1.5577937	10.102427	1.6761751	240000	3.7252903e-09	5.533721	-0.0068436163	-1.2997686	1.3475134	0.0063847364	0.0594375	127.0	381.01757168769836	0.0	0.0	0.0	0.0	0.0
15	32.98468	11.780643	69.75499	15.845067	500.0	6.784648	1.8816632	11.21445	1.3922893	256000	7.450581e-09	6.4757414	-0.0077725137	-1.6564668	1.3475134	0.0047606044	0.0528125	127.0	404.8101830482483	0.0	0.09375	0.0	0.0	0.0
16	30.487295	8.260336	46.530434	13.800251	500.0	7.670672	2.5884836	12.569739	-5.8699203	272000	1.8626451e-09	5.7380123	-0.008008429	-1.7712773	1.3475134	0.005991899	0.0503125	127.0	430.6995062828064	0.0	0.0	0.0	0.0	0.0
17	29.144274	7.778757	42.05263	11.682994	500.0	7.420491	1.9819769	11.316675	-2.1818979	288000	5.5879354e-09	3.78674	-0.008879016	-1.0123107	1.3475134	0.0067438143	0.065937504	127.0	457.38881516456604	0.0	0.0	0.0	0.0	0.0
18	31.23308	6.697609	42.681103	11.461801	500.0	7.206249	1.9756317	10.82613	0.6651205	304000	-2.2351742e-08	3.296163	-0.008030411	-0.51417947	1.3475134	0.008300036	0.065375	127.0	480.32321333885193	0.0	0.0	0.0	0.0	0.0
19	35.76155	4.5617924	49.15318	26.591902	500.0	7.7746515	1.9515963	9.935299	1.2491599	320000	-1.4901161e-08	2.138061	-0.0074589895	-0.6463144	1.3475134	0.0058865678	0.059437502	127.0	502.6412789821625	0.0	0.0	0.0	0.0	0.0
20	33.091507	8.416066	45.66391	17.594732	500.0	8.495861	2.0837455	10.938117	1.7518053	336000	2.2351742e-08	3.6124017	-0.0074961693	-1.0884869	1.3475134	0.006550994	0.048375	127.0	527.7336230278015	0.0	0.0	0.0	0.0	0.0
21	37.353867	6.1683564	55.54442	23.613327	500.0	7.711506	2.028004	10.898292	-0.63044953	352000	7.450581e-09	2.6012192	-0.005731607	-0.7436758	1.3475134	0.0055835377	0.0405	127.0	551.8452370166779	0.0	0.0	0.0	0.0	0.0
22	38.581055	5.838158	50.479866	24.59072	500.0	8.35427	2.3209608	12.228981	-3.7858343	368000	-7.450581e-09	2.7248778	-0.008069231	-0.37834984	1.3475134	0.007311778	0.0640625	127.0	577.2768251895905	0.0	0.0625	0.0	0.0	0.0
23	36.017223	6.5344434	52.309147	21.729591	500.0	8.407105	2.412534	11.951488	-1.1797987	384000	2.2351742e-08	2.0455828	-0.0069281114	-0.37046593	1.3475134	0.004369668	0.0460625	127.0	604.4250791072845	0.0	0.0	0.0	0.0	0.0
24	39.054962	6.0306096	58.608727	30.051449	500.0	8.29042	2.5668674	12.585568	-6.6568484	400000	-7.450581e-09	1.7992301	-0.008115127	-0.17921937	1.3475134	0.0066463496	0.063999996	127.0	630.5559895038605	0.0	0.09375	0.0	0.0	0.0
25	44.255054	6.36933	56.62019	28.25021	500.0	8.844776	2.587883	12.430095	-0.22711486	416000	-7.450581e-09	2.6862833	-0.0081827175	-0.8126242	1.3475134	0.004988266	0.053375	127.0	656.4900510311127	0.0	0.09375	0.0	0.0	0.0
26	41.485023	8.6534	57.685993	21.904694	500.0	9.424814	2.7290719	13.883418	-3.2304342	432000	1.1175871e-08	3.3028545	-0.008308237	-0.8141911	1.3475134	0.0043152682	0.058562502	127.0	681.3605213165283	0.0	0.03125	0.0	0.0	0.0
27	42.71632	7.951662	54.603493	25.656246	500.0	8.950136	2.6167514	14.095845	-0.7187251	448000	-1.1175871e-08	2.574102	-0.007676095	-0.8733422	1.3475134	0.005836365	0.0590625	127.0	705.0661427974701	0.0	0.125	0.0	0.0	0.0
28	42.728752	8.341093	59.36329	21.683681	500.0	9.950859	3.0546036	14.781505	1.7524798	464000	-3.3527613e-08	3.448634	-0.0074622836	-0.68147343	1.3475134	0.007545163	0.062374998	127.0	729.3994028568268	0.0	0.0625	0.0	0.0	0.0
29	45.180305	7.6926336	60.649426	21.558434	500.0	10.1890135	3.0011678	14.596281	2.0173285	480000	0.0	3.318789	-0.007175494	-0.6319773	1.3475134	0.0055475547	0.059812505	127.0	753.6076335906982	0.0	0.1875	0.0	0.0	0.0
30	44.151833	8.89873	58.63837	24.251366	500.0	10.002832	2.9101753	14.200187	1.5197666	496000	0.0	2.8409169	-0.0072331405	-0.91303575	1.3475134	0.005329985	0.0618125	127.0	779.7481691837311	0.0	0.21875	0.0	0.0	0.0
31	47.226746	7.797079	57.9614	21.755676	500.0	10.557005	3.3931632	15.468304	1.0568062	512000	1.8626451e-08	2.4673448	-0.007859243	-0.52693605	1.3475134	0.006026934	0.068749994	127.0	807.5858681201935	0.0	0.3125	0.0	0.0	0.0
32	49.259403	9.157368	61.401062	22.882702	500.0	11.562328	3.6561184	15.983192	1.2822815	528000	7.450581e-09	2.5489473	-0.008302053	-0.51062393	1.3475134	0.0053977184	0.0706875	127.0	834.5126800537109	0.0	0.625	0.0	0.0	0.0
33	48.21525	8.861649	57.535324	8.655214	500.0	11.907071	3.6265073	16.51595	1.620175	544000	2.2351742e-08	4.6293616	-0.008515943	-2.0795214	1.3475134	0.005322936	0.0655	127.0	862.6430723667145	0.0	0.3125	0.0	0.0	0.0
34	51.28883	8.305055	70.67147	31.773003	500.0	11.465403	4.216596	16.52724	-14.322792	560000	3.7252903e-09	5.6275086	-0.010591123	-0.7335343	1.3475134	0.0076460363	0.0845	127.0	886.142614364624	0.0	0.65625	0.0	0.0	0.0
35	43.57413	11.128144	57.30862	18.971891	500.0	11.6102705	3.8989432	16.827724	2.5965352	576000	1.4901161e-08	5.328055	-0.008421535	-1.8216954	1.3475134	0.005720341	0.0663125	127.0	909.1837313175201	0.0	0.3125	0.0	0.0	0.0
36	46.404766	12.063907	82.590614	23.611404	500.0	10.680511	4.6966434	15.956685	-14.362339	592000	-1.8626451e-08	6.18216	-0.0077463416	-1.5591388	1.3475134	0.0066043036	0.0759375	127.0	934.2653880119324	0.0	0.71875	0.0	0.0	0.0
37	44.102726	12.79183	71.34826	23.48032	500.0	10.876966	4.072601	16.743937	0.2198602	608000	2.9802322e-08	4.991711	-0.00894523	-0.86585975	1.3475134	0.0064114146	0.0644375	127.0	957.9194073677063	0.0	0.28125	0.0	0.0	0.0
38	55.36195	12.595139	80.75889	22.945778	500.0	12.060778	4.5629864	17.261108	-6.909606	624000	2.2351742e-08	7.001307	-0.010124968	-2.05621	1.3475134	0.006144735	0.0778125	127.0	984.9619901180267	0.0	0.75	0.0	0.0	0.0
39	47.079384	14.241484	71.07338	23.197021	500.0	11.56548	5.036277	18.924362	-3.7384543	640000	-9.313226e-09	5.1396875	-0.007529127	-0.89503336	1.3475134	0.009190066	0.075	127.0	1011.0025382041931	0.0	0.6875	0.0	0.0	0.0
40	57.19216	16.030287	91.17142	26.48821	500.0	12.814385	4.7985616	19.16265	0.10021734	656000	0.0	10.331731	-0.008665146	-2.5930047	1.3475134	0.0052028103	0.0671875	127.0	1034.6956806182861	0.0	0.75	0.0	0.0	0.0
41	55.8824	18.702847	93.00331	23.35871	500.0	13.1073	5.7804174	21.181356	-3.6045501	672000	1.5832484e-08	12.691114	-0.0089134695	-1.7098792	1.3475134	0.007965326	0.072000004	127.0	1057.4241571426392	0.0	0.625	0.0	0.0	0.0
42	59.245728	19.900475	100.53254	25.349009	500.0	14.467414	6.0279274	22.357534	1.7724458	688000	1.1175871e-08	14.2657385	-0.008895488	-1.4552946	1.3475134	0.006578122	0.0660625	127.0	1081.2416932582855	0.0	0.75	0.0	0.0	0.0
43	58.25129	22.371923	97.8654	25.156376	500.0	13.935322	6.6492114	23.245514	-7.6232977	704000	-2.2351742e-08	21.422005	-0.0074407845	-3.9168735	1.3475134	0.0049647116	0.0658125	127.0	1109.3287286758423	0.0	0.59375	0.0	0.0	0.0
44	65.41873	21.170479	99.16865	24.726042	500.0	15.281669	6.918685	24.657578	0.1994051	720000	2.4214387e-08	16.430206	-0.0077688154	-4.115211	1.3475134	0.006074459	0.069375	127.0	1134.4410841464996	0.0	0.90625	0.0	0.0	0.0
45	58.006035	27.02653	103.387024	11.935484	500.0	15.819054	8.2203455	26.513783	-7.686354	736000	-3.7252903e-09	35.18395	-0.006887259	-12.5717	1.3475134	0.0057729715	0.058250003	127.0	1161.3579711914062	0.0	0.65625	0.0	0.0	0.0
46	65.77336	26.621563	97.842766	9.762791	500.0	15.7505	8.634168	26.808064	-0.5159399	752000	-1.1175871e-08	30.172327	-0.008454995	-6.404929	1.3475134	0.0068504876	0.068625	127.0	1185.9506962299347	0.0	0.75	0.0	0.0	0.0
47	72.62915	23.605762	105.11152	10.141989	500.0	16.830711	8.635514	28.063353	-6.281065	768000	-1.1175871e-08	23.160877	-0.008119263	-5.3221774	1.3475134	0.005860051	0.0575	127.0	1211.1584198474884	0.0	0.875	0.0	0.0	0.0
48	68.24249	26.289669	105.20161	17.122032	500.0	17.437841	9.536491	29.24409	-13.247137	784000	-1.4901161e-08	23.644281	-0.008781539	-6.7586265	1.3475134	0.004472357	0.072875	127.0	1233.50426030159	0.0	0.90625	0.0	0.0	0.0
49	63.22567	26.804955	98.77871	18.999592	500.0	16.563988	9.51016	30.605246	-1.5477651	800000	-1.1175871e-08	19.827019	-0.008192256	-2.6531248	1.3475134	0.00683629	0.07175	127.0	1260.0951209068298	0.0	0.78125	0.0	0.0	0.0
50	73.63451	25.320782	111.032364	19.525082	500.0	18.213783	9.640176	30.705362	-9.424078	816000	0.0	17.584389	-0.0073570856	-2.4041123	1.3475134	0.005615218	0.0680625	127.0	1285.0632734298706	0.0	0.90625	0.0	0.0	0.0
51	63.62239	25.727013	107.81605	16.704275	500.0	18.01716	8.971257	31.701769	-4.058813	832000	3.5390258e-08	18.324493	-0.0069338717	-4.4096327	1.3475134	0.006934284	0.054	127.0	1312.1474151611328	0.0	0.65625	0.0	0.0	0.0
52	68.545105	24.72175	99.42141	15.058514	500.0	17.745508	9.771079	32.272266	-3.9075506	848000	-1.4901161e-08	23.219517	-0.007820685	-4.216403	1.3475134	0.00633831	0.0630625	127.0	1336.2519791126251	0.0	0.8125	0.0	0.0	0.0
53	63.11445	20.70107	98.71752	30.95346	500.0	17.403193	9.182827	31.727144	-18.279726	864000	2.6077032e-08	23.712791	-0.007681132	-5.686096	1.3475134	0.0046539353	0.054750003	127.0	1362.3900344371796	0.0	0.75	0.0	0.0	0.0
54	66.09363	25.353716	104.77976	20.031609	500.0	16.251415	8.255548	31.15537	-0.9534991	880000	0.0	19.758419	-0.008498337	-2.711279	1.3475134	0.0065493463	0.0825625	127.0	1385.0201563835144	0.0	0.65625	0.0	0.0	0.0
55	58.066917	34.11774	113.093864	16.018467	500.0	14.221625	9.915388	32.707466	-5.5410423	896000	-8.381903e-09	14.2590065	-0.007398744	-2.3881059	1.3475134	0.0058889873	0.068812504	127.0	1418.668143749237	0.0	0.59375	0.0	0.0	0.0
56	61.419365	30.100761	104.24831	14.945629	500.0	16.21224	10.585378	33.300873	-14.81366	912000	7.450581e-09	30.923462	-0.0072413227	-6.500608	1.3475134	0.00491225	0.049125	127.0	1454.575748682022	0.0	0.75	0.0	0.0	0.0
57	66.66776	31.144814	105.97917	16.737438	500.0	15.806873	9.516987	32.122746	-13.24131	928000	-1.8626451e-08	21.387989	-0.008423198	-4.3970394	1.3475134	0.007987026	0.0820625	127.0	1486.5108728408813	0.0	0.71875	0.0	0.0	0.0
58	66.49812	35.071465	111.367424	15.057531	500.0	16.452402	10.132314	33.744324	-9.771513	944000	1.3038516e-08	22.428135	-0.008415438	-4.5898256	1.3475134	0.005705951	0.0673125	127.0	1509.4467055797577	0.0	0.75	0.0	0.0	0.0
59	65.794716	33.850185	115.62908	4.8274555	500.0	16.964201	10.654518	34.58067	-4.8720036	960000	-3.7252903e-09	17.169098	-0.0072078556	-3.640277	1.3475134	0.005012898	0.05275	127.0	1532.6680977344513	0.0	0.71875	0.0	0.0	0.0
60	70.79683	35.35119	110.75399	15.334221	500.0	18.538414	10.692832	35.38247	-6.080105	976000	-3.7252903e-09	28.426506	-0.009243724	-5.245436	1.3475134	0.007065683	0.074062504	127.0	1557.9120914936066	0.0	0.78125	0.0	0.0	0.0
61	66.78754	32.448376	109.41259	18.031378	500.0	18.234715	11.133053	35.003414	-10.815284	992000	0.0	24.23473	-0.0067660497	-5.112065	1.3475134	0.0051282807	0.0453125	127.0	1582.8357636928558	0.0	0.625	0.0	0.0	0.0
62	73.48479	33.24976	112.17727	15.416537	500.0	17.20819	11.7516365	35.9928	-9.1468	1008000	1.3038516e-08	18.59531	-0.008226504	-3.4376166	1.3475134	0.0049243737	0.0805625	127.0	1610.3442754745483	0.0	0.75	0.0	0.0	0.0
63	67.829506	33.18881	113.41083	15.883494	500.0	18.905426	11.544435	36.42317	-6.7868404	1024000	-2.0489097e-08	20.508102	-0.008519474	-5.545685	1.3475134	0.005331667	0.060062498	127.0	1639.5470640659332	0.0	0.75	0.0	0.0	0.0
64	66.06645	30.233475	114.466095	16.34304	500.0	16.852491	11.507631	37.183277	-20.141039	1040000	0.0	22.046158	-0.008508186	-4.9134536	1.3475134	0.0056369905	0.0770625	127.0	1664.4759185314178	0.0	0.71875	0.0	0.0	0.0
65	80.449265	29.496288	112.71198	25.974972	500.0	18.790707	11.586893	37.37024	-16.873047	1056000	1.1175871e-08	26.497822	-0.007340509	-7.1661363	1.3475134	0.007069594	0.0798125	127.0	1693.776041984558	0.0	0.8125	0.0	0.0	0.0
66	78.36182	28.484602	109.457214	20.873827	500.0	21.631868	11.505582	37.823467	-8.466131	1072000	7.450581e-09	20.37489	-0.0065468024	-4.353442	1.3475134	0.00593217	0.0511875	127.0	1717.9020116329193	0.0	0.8125	0.0	0.0	0.0
67	76.521576	31.878582	113.93958	8.81269	500.0	20.507263	11.661822	37.83543	-6.2735634	1088000	3.7252903e-09	25.260738	-0.0070605264	-5.2340527	1.3475134	0.004416981	0.053625003	127.0	1743.7152485847473	0.0	0.90625	0.0	0.0	0.0
68	86.262184	20.544565	111.15491	28.75662	500.0	22.399117	11.272398	37.7267	-6.5898194	1104000	-7.450581e-09	19.479843	-0.007822762	-4.1442723	1.3475134	0.0064830594	0.0705	127.0	1770.8903250694275	0.0	0.9375	0.0	0.0	0.0
69	85.521355	21.310387	108.00465	33.994205	500.0	21.853495	11.26195	38.142742	-10.605237	1120000	7.450581e-09	20.581636	-0.0081532635	-7.4201117	1.3475134	0.006639414	0.06725	127.0	1798.4710144996643	0.0	0.96875	0.0	0.0	0.0
70	80.11623	25.863173	111.04986	18.247536	500.0	23.004736	10.99362	38.319252	-6.8620653	1136000	2.2351742e-08	19.225632	-0.006700962	-5.035803	1.3475134	0.0051383935	0.045187503	127.0	1824.475614786148	0.0	0.875	0.0	0.0	0.0
71	89.5385	26.280533	113.396065	14.082302	500.0	22.2086	12.292531	38.6661	-8.442358	1152000	0.0	16.59026	-0.008428477	-5.186122	1.3475134	0.0063243518	0.0725	127.0	1851.7107939720154	0.0	0.90625	0.0	0.0	0.0
72	89.229164	29.562918	111.4247	13.871013	500.0	22.747005	11.709732	38.20595	-13.01159	1168000	-1.4901161e-08	24.590837	-0.010024829	-7.536894	1.3475134	0.005631525	0.0584375	127.0	1878.197275876999	0.0	0.9375	0.0	0.0	0.0
73	82.738815	29.331432	112.51141	14.773501	500.0	22.436085	12.205154	38.39237	-12.498669	1184000	7.450581e-09	33.89703	-0.0077907196	-6.667187	1.3475134	0.0058532823	0.051875003	127.0	1905.4320344924927	0.0	0.90625	0.0	0.0	0.0
74	98.2009	16.241634	112.648735	46.32436	500.0	25.031347	11.624054	37.452553	-8.1771965	1200000	-1.4901161e-08	6.7845354	-0.008641055	-1.4714683	1.3475134	0.0069241435	0.0866875	127.0	1932.557090997696	0.0	0.96875	0.0	0.0	0.0
75	76.83949	32.327557	113.52655	17.991705	500.0	21.732805	11.373699	37.6069	-5.754736	1216000	3.5390258e-08	34.711464	-0.007587507	-14.004052	1.3475134	0.0060095447	0.060000002	127.0	1957.0664021968842	0.0	0.71875	0.0	0.0	0.0
76	86.69667	32.525784	119.55363	14.282018	500.0	21.386925	12.300051	37.460793	-17.465933	1232000	1.1175871e-08	20.04644	-0.008653671	-1.8883691	1.3475134	0.00864657	0.092875004	127.0	1983.0413348674774	0.0	0.90625	0.0	0.0	0.0
77	84.926025	31.743158	113.40375	13.592011	500.0	22.383554	11.917533	38.215237	-11.569141	1248000	-2.4214387e-08	13.888219	-0.007487784	-1.2980397	1.3475134	0.0068379287	0.0658125	127.0	2012.8472785949707	0.0	0.90625	0.0	0.0	0.0
78	83.13762	30.838606	114.34264	16.880222	500.0	22.613205	12.501708	38.849987	-6.8194838	1264000	0.0	30.167168	-0.0097573465	-4.862506	1.3475134	0.0055498187	0.080375	127.0	2036.9268336296082	0.0	0.96875	0.0	0.0	0.0
79	78.8683	30.183737	115.129845	13.683109	500.0	21.973122	12.482723	37.32191	-23.46162	1280000	3.7252903e-09	33.086594	-0.007948505	-8.303291	1.3475134	0.0061602793	0.061937504	127.0	2062.17937707901	0.0	0.75	0.0	0.0	0.0
80	87.543335	30.732111	113.81794	17.336075	500.0	20.832348	11.790045	36.570503	-26.663942	1296000	-1.1175871e-08	33.725067	-0.008856598	-5.007363	1.3475134	0.006026581	0.0775	127.0	2086.520041704178	0.0	0.90625	0.0	0.0	0.0
81	86.5113	28.154903	110.363686	18.488773	500.0	22.064259	10.851634	36.807293	-15.185629	1312000	-2.9802322e-08	38.978752	-0.008971894	-7.4935007	1.3475134	0.0072300816	0.06937501	127.0	2110.2928009033203	0.0	0.84375	0.0	0.0	0.0
82	85.62711	29.317417	110.8969	14.155335	500.0	21.860617	10.775571	37.150295	-7.9939647	1328000	-1.4901161e-08	21.039238	-0.0075053135	-4.0241776	1.3475134	0.00715377	0.061562497	127.0	2137.120657682419	0.0	0.90625	0.0	0.0	0.0
83	88.11194	27.591024	115.30778	16.648804	500.0	22.568571	10.617441	37.657547	-10.029764	1344000	-3.7252903e-09	30.596382	-0.0077697746	-5.6909456	1.3475134	0.00510921	0.056500003	127.0	2163.697939157486	0.0	0.8125	0.0	0.0	0.0
84	78.62903	33.14809	117.74292	13.064841	500.0	19.251461	10.907125	38.373016	-16.964151	1360000	0.0	29.939842	-0.008368241	-4.610345	1.3475134	0.006272453	0.075937495	127.0	2187.259708881378	0.0	0.875	0.0	0.0	0.0
85	93.24895	20.376818	111.00245	38.861008	500.0	22.359722	10.790799	38.24328	-5.6982856	1376000	1.4901161e-08	17.748442	-0.008190611	-3.8513355	1.3475134	0.007814122	0.0711875	127.0	2211.155038833618	0.0	0.9375	0.0	0.0	0.0
86	87.29355	28.705976	117.40746	8.38047	500.0	22.50527	10.772588	37.644	-3.96653	1392000	-1.8626451e-09	19.171524	-0.0073309178	-7.11462	1.3475134	0.004365555	0.058312498	127.0	2235.3358387947083	0.0	0.9375	0.0	0.0	0.0
87	91.11801	12.405031	112.76867	55.27745	500.0	24.01297	11.475514	37.696278	3.4554892	1408000	-7.450581e-09	5.654701	-0.007943809	-0.9446858	1.3475134	0.00696351	0.0646875	127.0	2260.524448633194	0.0	1.0	0.0	0.0	0.0
88	89.76541	23.236544	116.47971	14.766351	500.0	23.550856	11.525189	38.06269	-5.3388863	1424000	-7.450581e-09	11.405036	-0.008223619	-1.2474551	1.3475134	0.007243006	0.0680625	127.0	2285.5773231983185	0.0	0.90625	0.0	0.0	0.0
89	92.366745	16.500107	113.21556	40.824627	500.0	24.438656	11.15543	38.49701	-7.8386245	1440000	-5.5879354e-09	11.151685	-0.008070175	-2.8182986	1.3475134	0.0056724558	0.066	127.0	2310.764688014984	0.0	0.96875	0.0	0.0	0.0
90	93.32103	13.571244	113.21508	50.881615	500.0	23.757462	11.01787	37.660126	-7.703808	1456000	-9.313226e-09	7.6844196	-0.007396845	-3.0925958	1.3475134	0.005802018	0.059375	127.0	2334.9957342147827	0.0	1.0	0.0	0.0	0.0
91	90.422455	24.988438	115.73567	16.091177	500.0	24.758863	11.536099	37.407944	-0.44210517	1472000	1.8626451e-08	14.154391	-0.008093081	-4.716499	1.3475134	0.0039626905	0.0634375	127.0	2359.2012667655945	0.0	0.96875	0.0	0.0	0.0
