Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.09685373	0.06263054	0.33053377	0.015408541	500.0	0.19240725	0.015765784	0.28254837	0.16044873	16000	9.778887e-09	0.022405505	-0.005303775	-0.0213514	1.3475134	0.004859403	0.0316875	127.0	27.663503885269165	0.0	0.0	0.0	0.0	0.0
1	0.13126408	0.07319411	0.35422418	0.033551466	500.0	0.053664602	0.018085113	0.10717019	0.0016867071	32000	-7.450581e-09	0.0007167667	-0.00810324	-0.00043704922	1.3475134	0.008137412	0.07000001	127.0	52.257561922073364	0.0	0.0	0.0	0.0	0.0
2	0.20767018	0.22715642	1.2678812	0.023439908	500.0	0.040122718	0.013333887	0.10927462	0.012245994	48000	-1.4901161e-08	0.0022297406	-0.004895524	-0.0009018944	1.3475134	0.0077927746	0.062625006	127.0	77.50972938537598	0.0	0.0	0.0	0.0	0.0
3	0.31821758	0.22904594	1.0681174	0.025455352	500.0	0.05141173	0.023367511	0.116181195	0.002839096	64000	7.450581e-09	0.0020124982	-0.008717134	-0.0005450963	1.3475134	0.00678904	0.0883125	127.0	102.44817638397217	0.0	0.0	0.0	0.0	0.0
4	0.5574258	0.36050293	1.402182	0.03296421	500.0	0.09352421	0.026103579	0.17174742	0.017472222	80000	7.450581e-09	0.0052472767	-0.007396984	-0.0020818706	1.3475134	0.0072597177	0.0715625	127.0	126.84844279289246	0.0	0.0	0.0	0.0	0.0
5	1.1991167	0.6834105	3.3822196	0.34200978	500.0	0.16290799	0.040029917	0.27242082	0.035003662	96000	-1.4901161e-08	0.031561386	-0.0057280064	-0.017540356	1.3475134	0.0050947377	0.065437496	127.0	151.8454282283783	0.0	0.0	0.0	0.0	0.0
6	4.450458	3.6098027	13.7670765	0.49336666	500.0	0.37971285	0.14138907	0.73642755	0.0342491	112000	-5.5879354e-08	1.1300097	-0.004164234	-0.7195452	1.3475134	0.005539948	0.0474375	127.0	178.2910671234131	0.0	0.0	0.0	0.0	0.0
7	4.4845533	3.143896	11.796967	0.7528976	500.0	1.0562599	0.62208974	2.632051	-0.3372019	128000	1.8626451e-09	0.4558277	-0.010263056	-0.13904458	1.3475134	0.009339314	0.116	127.0	205.47277522087097	0.0	0.0	0.0	0.0	0.0
8	10.818945	5.122134	24.38122	1.6950151	500.0	2.1109324	1.2314409	4.2713017	-0.7169614	144000	-2.2351742e-08	2.018713	-0.0061145956	-0.6589899	1.3475134	0.0042492496	0.062374998	127.0	231.64544820785522	0.0	0.0	0.0	0.0	0.0
9	9.565033	5.1825423	23.915834	0.7990498	500.0	3.19127	1.6019092	5.6159506	-0.4860369	160000	3.7252903e-09	1.7828095	-0.0072659	-0.49852657	1.3475134	0.006966103	0.052625	127.0	256.3787953853607	0.0	0.0	0.0	0.0	0.0
10	11.093524	5.341033	22.403276	0.9460381	500.0	2.8656197	1.3925034	4.983965	-0.13679916	176000	-2.0489097e-08	1.5171876	-0.007962625	-0.24811378	1.3475134	0.007260843	0.082	127.0	284.18171548843384	0.0	0.0	0.0	0.0	0.0
11	17.701277	8.554405	38.08434	1.3450581	500.0	3.3313692	1.411982	5.5301456	-0.18115753	192000	-1.4901161e-08	4.420802	-0.0067656175	-1.2518115	1.3475134	0.0070021963	0.0591875	127.0	310.46251249313354	0.0	0.0	0.0	0.0	0.0
12	22.538841	7.357769	40.10639	9.776004	500.0	4.578706	1.7576878	7.2594075	-0.6906631	208000	0.0	4.22383	-0.006720528	-1.3390721	1.3475134	0.0049867686	0.049375	127.0	339.3879466056824	0.0	0.0	0.0	0.0	0.0
13	25.232872	9.21707	43.861214	12.3284645	500.0	5.6854935	2.246204	8.736553	-0.051797643	224000	1.8626451e-09	4.187768	-0.007435331	-0.7531196	1.3475134	0.0054770615	0.063250005	127.0	366.7739727497101	0.0	0.0	0.0	0.0	0.0
14	23.99865	11.621026	43.00613	4.3130283	500.0	6.2725677	2.3245246	9.811707	0.114741385	240000	2.6077032e-08	5.8204365	-0.0063533895	-1.2396166	1.3475134	0.0054286784	0.051249996	127.0	392.90306639671326	0.0	0.0	0.0	0.0	0.0
15	25.864288	9.066138	43.752357	4.7582426	500.0	6.6235747	2.6695473	10.427071	-1.0903977	256000	-7.450581e-09	3.5830398	-0.008892325	-0.38040558	1.3475134	0.006549729	0.066750005	127.0	419.9112582206726	0.0	0.0	0.0	0.0	0.0
16	27.928318	10.677532	48.1483	12.302425	500.0	6.8520317	2.6502416	11.19648	-0.8693124	272000	2.9802322e-08	5.6416945	-0.008002104	-0.54615664	1.3475134	0.006503444	0.0566875	127.0	448.1681659221649	0.0	0.03125	0.0	0.0	0.0
17	30.67547	10.6142435	45.143932	1.7062835	500.0	7.222088	2.7119253	12.082693	-0.5806472	288000	-7.450581e-09	5.4811473	-0.008091811	-0.7811097	1.3475134	0.006181019	0.0629375	127.0	475.4925694465637	0.0	0.0	0.0	0.0	0.0
18	26.417501	11.72792	48.105137	4.445537	500.0	7.3765187	2.9465685	12.280342	-0.14443225	304000	-3.5390258e-08	5.6633916	-0.0076235966	-1.3277284	1.3475134	0.007467961	0.0573125	127.0	501.2814631462097	0.0	0.0	0.0	0.0	0.0
19	29.225029	12.983308	47.637333	10.701231	500.0	7.2232275	2.7443044	12.772974	0.45154178	320000	1.4901161e-08	7.4964	-0.0062097763	-1.5782006	1.3475134	0.0068195947	0.055062503	127.0	527.945249080658	0.0	0.0	0.0	0.0	0.0
20	34.03898	10.955978	52.6029	13.094055	500.0	7.939122	3.2596602	13.901423	-2.3718505	336000	1.4901161e-08	5.579854	-0.008158332	-0.8302586	1.3475134	0.006856217	0.068812504	127.0	555.7967345714569	0.0	0.125	0.0	0.0	0.0
21	33.835426	14.236715	56.643867	7.0110545	500.0	8.978308	3.279963	14.149024	0.56201094	352000	-3.7252903e-09	7.731795	-0.0077552474	-0.94091994	1.3475134	0.0055323215	0.0625	127.0	583.1189157962799	0.0	0.28125	0.0	0.0	0.0
22	33.969284	14.748632	53.845116	5.158742	500.0	9.185525	3.5071025	14.3852005	-0.22457084	368000	1.4901161e-08	9.118157	-0.0072341915	-1.3904389	1.3475134	0.007322751	0.0596875	127.0	612.9925498962402	0.0	0.375	0.0	0.0	0.0
23	30.230793	14.669552	52.80894	4.570746	500.0	8.94969	3.3650618	14.416138	0.6126166	384000	7.450581e-09	9.827393	-0.0075329533	-2.383581	1.3475134	0.0054020733	0.05625	127.0	642.7857956886292	0.0	0.4375	0.0	0.0	0.0
24	33.74516	15.466098	54.029446	2.218982	500.0	8.496558	3.659488	14.243277	-0.09486519	400000	-9.313226e-09	8.884825	-0.0074503683	-1.4605061	1.3475134	0.0052529234	0.057062503	127.0	672.0687482357025	0.0	0.3125	0.0	0.0	0.0
25	34.354156	13.807636	55.190674	6.584379	500.0	8.436795	3.412492	14.236546	0.32448223	416000	-7.450581e-09	6.2414894	-0.0075245285	-1.000838	1.3475134	0.00673523	0.0660625	127.0	700.2541871070862	0.0	0.3125	0.0	0.0	0.0
26	35.82472	14.488848	53.1473	5.1181107	500.0	9.143652	3.4977708	14.67432	-0.04318583	432000	7.450581e-09	6.661742	-0.0083658695	-0.983781	1.3475134	0.0074820546	0.0634375	127.0	727.5188295841217	0.0	0.0625	0.0	0.0	0.0
27	32.386555	16.724257	58.859722	9.057978	500.0	8.779411	4.139849	14.470294	-12.822309	448000	1.1175871e-08	11.517453	-0.0077409074	-3.1681986	1.3475134	0.005317564	0.05325	127.0	755.1314470767975	0.0	0.3125	0.0	0.0	0.0
28	30.077864	13.6913185	52.06892	11.358997	500.0	8.111748	3.718636	13.850034	-11.780947	464000	3.7252903e-09	11.28816	-0.00723682	-3.2205746	1.3475134	0.008733189	0.057499997	127.0	783.1439027786255	0.0	0.0	0.0	0.0	0.0
29	32.818264	14.302137	56.79707	10.871399	500.0	7.797269	2.5972216	11.850335	-0.18605474	480000	-1.4901161e-08	8.28972	-0.0070051	-1.0331795	1.3475134	0.0065282388	0.0581875	127.0	811.144847869873	0.0	0.15625	0.0	0.0	0.0
30	32.794147	14.509534	57.395237	7.5343184	500.0	7.8803134	3.057065	12.363119	-1.2952108	496000	-2.514571e-08	6.505062	-0.0074705672	-0.79449415	1.3475134	0.006470058	0.057812497	127.0	839.7447907924652	0.0	0.1875	0.0	0.0	0.0
31	35.965904	14.677908	56.225147	8.770267	500.0	8.225232	3.1328347	12.888785	-0.69847155	512000	-3.7252903e-09	6.9528465	-0.0068077156	-0.88130814	1.3475134	0.0054674437	0.0518125	127.0	870.7003452777863	0.0	0.15625	0.0	0.0	0.0
32	41.00653	14.855366	59.53048	6.3850155	500.0	9.330934	3.323949	13.488502	-0.39212197	528000	-5.5879354e-09	7.6452055	-0.007083096	-1.2634728	1.3475134	0.0063712653	0.0456875	127.0	899.613199710846	0.0	0.3125	0.0	0.0	0.0
33	39.977295	16.28082	84.34486	12.23475	500.0	9.215302	3.8314714	14.2312565	-2.0953074	544000	9.313226e-09	9.848679	-0.0077372016	-0.82328343	1.3475134	0.0063344254	0.04975	127.0	927.5903060436249	0.0	0.28125	0.0	0.0	0.0
34	39.988525	13.146537	58.028675	11.1591835	500.0	9.9620905	4.029472	14.887705	-0.91677547	560000	7.450581e-09	5.9802494	-0.008195523	-0.5618683	1.3475134	0.0054156724	0.0571875	127.0	955.4034125804901	0.0	0.34375	0.0	0.0	0.0
35	42.29618	11.947487	57.429066	15.246398	500.0	10.2810755	3.7514117	14.159944	-0.5656524	576000	-2.7939677e-09	5.042935	-0.0072607975	-0.35542813	1.3475134	0.007243177	0.05175	127.0	982.400904417038	0.0	0.40625	0.0	0.0	0.0
36	34.33731	14.708119	56.23829	8.160601	500.0	9.518395	3.6943443	14.299044	-0.16225487	592000	-7.450581e-09	8.286585	-0.008755026	-2.3308673	1.3475134	0.006016547	0.0605	127.0	1010.254308462143	0.0	0.15625	0.0	0.0	0.0
37	42.32428	14.339436	65.446754	12.326645	500.0	9.258657	3.5593953	13.739973	-0.89344394	608000	1.4901161e-08	6.4656277	-0.0075874873	-1.458087	1.3475134	0.0064940713	0.0530625	127.0	1037.9363605976105	0.0	0.375	0.0	0.0	0.0
38	38.860146	13.022226	61.752945	13.408286	500.0	9.70091	3.980381	14.936756	-0.7901559	624000	7.450581e-09	6.264439	-0.007943065	-0.82183486	1.3475134	0.008795934	0.053625003	127.0	1065.3448843955994	0.0	0.1875	0.0	0.0	0.0
39	37.076065	14.686507	57.035187	13.56579	500.0	9.202051	3.4903219	14.199666	-1.4920807	640000	-1.4901161e-08	5.3454447	-0.008346485	-0.6299661	1.3475134	0.0076682344	0.0635625	127.0	1093.1795091629028	0.0	0.125	0.0	0.0	0.0
40	43.714226	10.816468	58.156025	19.299875	500.0	10.166633	3.6307507	14.417422	-0.48172307	656000	2.2351742e-08	4.7099934	-0.0071533183	-0.5435934	1.3475134	0.006374417	0.0586875	127.0	1121.2375345230103	0.0	0.40625	0.0	0.0	0.0
41	42.84592	11.388769	53.17987	16.155611	500.0	10.296633	3.7789516	14.542928	-0.48215604	672000	-2.2351742e-08	3.4717393	-0.008651938	-0.7168139	1.3475134	0.007411156	0.0636875	127.0	1149.6274280548096	0.0	0.15625	0.0	0.0	0.0
42	44.664616	12.87743	70.633224	15.118736	500.0	10.802811	3.8838894	14.912658	-1.6373166	688000	1.1175871e-08	5.485675	-0.008801108	-0.72821057	1.3475134	0.008816147	0.06725	127.0	1177.544403553009	0.0	0.3125	0.0	0.0	0.0
43	45.220818	9.495506	57.680588	21.083067	500.0	11.12935	4.030807	15.24031	-0.90337837	704000	7.450581e-09	3.1424346	-0.008370051	-0.21146163	1.3475134	0.0067369617	0.07287499	127.0	1204.8010261058807	0.0	0.40625	0.0	0.0	0.0
44	43.61901	11.921785	60.762047	5.293676	500.0	11.601865	4.049079	15.321002	-0.736835	720000	-9.313226e-09	6.5763874	-0.008120075	-1.4398925	1.3475134	0.008042237	0.0663125	127.0	1233.6940469741821	0.0	0.28125	0.0	0.0	0.0
45	42.272186	12.902471	64.74618	21.061188	500.0	10.756937	3.5382853	14.316358	-0.0068902224	736000	1.4901161e-08	4.8376656	-0.008330471	-1.2521907	1.3475134	0.007462704	0.066937506	127.0	1262.3542802333832	0.0	0.34375	0.0	0.0	0.0
46	47.10009	11.086976	65.26185	19.562515	500.0	11.309049	3.8428087	15.027829	-0.033463925	752000	2.2351742e-08	4.1978183	-0.009590596	-0.48855728	1.3475134	0.007015037	0.082499996	127.0	1292.3329784870148	0.0	0.46875	0.0	0.0	0.0
47	46.029617	9.189171	65.84128	23.739475	500.0	11.743668	3.924791	15.653577	0.36928576	768000	-1.3969839e-08	4.0648704	-0.007959234	-0.5700067	1.3475134	0.0061910744	0.06650001	127.0	1320.117287158966	0.0	0.28125	0.0	0.0	0.0
48	43.699554	11.751004	59.27937	20.404667	500.0	11.379528	3.7539487	15.018909	0.94667256	784000	-1.1175871e-08	4.817259	-0.00713732	-0.70553654	1.3475134	0.0065531973	0.060812503	127.0	1347.4106180667877	0.0	0.375	0.0	0.0	0.0
49	44.079117	10.707475	58.04403	20.883118	500.0	11.092416	3.8185031	14.6483755	0.67168534	800000	1.8626451e-09	5.326207	-0.008085562	-0.5372719	1.3475134	0.0058845347	0.053125	127.0	1375.4092888832092	0.0	0.15625	0.0	0.0	0.0
50	43.717407	12.110263	57.5044	17.780298	500.0	10.962298	3.4781778	13.998754	1.6786003	816000	-1.8626451e-09	5.734917	-0.0074136537	-1.3143438	1.3475134	0.006727041	0.06075	127.0	1403.4848093986511	0.0	0.25	0.0	0.0	0.0
51	40.96958	13.404213	64.99186	17.980629	500.0	10.342895	3.7866483	14.446694	0.73752993	832000	2.0489097e-08	6.29925	-0.009385556	-0.7250663	1.3475134	0.009402997	0.072125	127.0	1431.3830285072327	0.0	0.25	0.0	0.0	0.0
52	41.979927	8.123864	52.57455	23.94061	500.0	9.942214	3.7724853	14.160671	1.2513402	848000	3.259629e-09	3.2222939	-0.009333158	-0.42074633	1.3475134	0.008219437	0.076625004	127.0	1458.4818665981293	0.0	0.21875	0.0	0.0	0.0
53	45.56613	9.323785	56.943172	19.012926	500.0	10.73668	3.653345	13.982168	1.8211731	864000	-2.2351742e-08	3.5195246	-0.007494967	-0.36655068	1.3475134	0.0063763666	0.066937506	127.0	1486.1346044540405	0.0	0.40625	0.0	0.0	0.0
54	48.160934	15.037229	83.57167	14.535586	500.0	11.258065	3.8976574	14.522151	1.8238703	880000	-3.7252903e-09	9.295953	-0.007296868	-1.2171223	1.3475134	0.006243975	0.0638125	127.0	1512.4117574691772	0.0	0.34375	0.0	0.0	0.0
55	39.35778	16.635483	82.66062	16.087206	500.0	10.866514	4.2635984	15.607747	1.3688408	896000	-9.313226e-09	10.941772	-0.0081744585	-1.75208	1.3475134	0.0052110236	0.070625	127.0	1540.718005180359	0.0	0.21875	0.0	0.0	0.0
56	43.19131	15.140908	79.74094	15.587228	500.0	10.266904	4.1468825	14.6762085	1.9410105	912000	-3.7252903e-09	7.3772573	-0.009492988	-0.60892093	1.3475134	0.008483988	0.081875	127.0	1567.9383873939514	0.0	0.28125	0.0	0.0	0.0
