Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.08995114	0.054309018	0.2332695	0.015408541	500.0	0.19238417	0.015616187	0.27952343	0.16044873	16000	2.2910535e-07	0.022704214	-0.0054147122	-0.021670591	1.3475134	0.005582057	0.030375	127.0	25.10990262031555	0.0	0.0	0.0	0.0	0.0
1	0.12612024	0.12758458	0.7210719	0.023353841	500.0	0.052482117	0.018259374	0.10949732	-0.0013773665	32000	-2.2351742e-08	0.0012026224	-0.007460542	-0.0006059821	1.3475134	0.0072376495	0.0588125	127.0	46.848976373672485	0.0	0.0	0.0	0.0	0.0
2	0.18385008	0.18019834	0.70190376	0.014155167	500.0	0.038644433	0.012256791	0.07951441	0.01170335	48000	0.0	0.0012233945	-0.0070638917	-0.0004121858	1.3475134	0.008388853	0.0848125	127.0	67.89921355247498	0.0	0.0	0.0	0.0	0.0
3	0.42692867	0.60931194	3.4482784	0.053274784	500.0	0.05188989	0.020896707	0.11693828	0.0030177683	64000	-3.7252903e-09	0.017559994	-0.004851214	-0.0054348544	1.3475134	0.007129669	0.0798125	127.0	92.96252703666687	0.0	0.0	0.0	0.0	0.0
4	1.1610615	1.1679995	5.4291716	0.12786534	500.0	0.14955539	0.065537706	0.34165084	-0.05805146	80000	-2.9802322e-08	0.08621727	-0.005612117	-0.0309118	1.3475134	0.008820732	0.08275001	127.0	121.08234190940857	0.0	0.0	0.0	0.0	0.0
5	1.4497342	0.7665378	2.8977358	0.451676	500.0	0.36250076	0.18348412	0.7522027	-0.03491889	96000	3.7252903e-09	0.026957449	-0.010515396	-0.010834007	1.3475134	0.0069897026	0.115	127.0	147.74590516090393	0.0	0.0	0.0	0.0	0.0
6	1.5373595	0.49055663	2.4495568	0.5397548	500.0	0.49169475	0.21715584	0.9079795	-0.041871108	112000	-1.8626451e-08	0.022931973	-0.007767925	-0.013689285	1.3475134	0.005657436	0.06856249	127.0	169.68078303337097	0.0	0.0	0.0	0.0	0.0
7	1.5783297	0.56859004	2.9941404	0.48118684	500.0	0.4508777	0.16740112	0.8556401	0.024222735	128000	-7.450581e-09	0.015231036	-0.00995635	-0.005505774	1.3475134	0.008718837	0.086125	127.0	193.4877758026123	0.0	0.0	0.0	0.0	0.0
8	1.9775268	0.7306582	3.238348	0.7220109	500.0	0.46942127	0.17265609	0.90163714	0.05090068	144000	7.450581e-09	0.021404758	-0.007927623	-0.0071472703	1.3475134	0.0057355743	0.070125006	127.0	217.0254385471344	0.0	0.0	0.0	0.0	0.0
9	3.052077	2.6467226	14.732669	0.9270905	500.0	0.58226234	0.2314885	1.2697968	0.06887753	160000	1.4901161e-08	0.34371656	-0.004244708	-0.090585575	1.3475134	0.005556624	0.055375	127.0	239.6202049255371	0.0	0.0	0.0	0.0	0.0
10	2.599873	1.5231246	6.965565	0.3388045	500.0	0.8282247	0.3954347	1.7786292	-0.34853882	176000	1.1175871e-08	0.14784816	-0.007279886	-0.07647269	1.3475134	0.007171384	0.062562495	127.0	265.6652121543884	0.0	0.0	0.0	0.0	0.0
11	2.7872462	2.4357228	11.357106	0.32794678	500.0	0.7027129	0.31176934	1.2937065	-0.1269044	192000	-1.8626451e-08	0.2155476	-0.0048399037	-0.058714528	1.3475134	0.0062405667	0.0606875	127.0	291.27718329429626	0.0	0.0	0.0	0.0	0.0
12	3.16775	1.9301167	8.227243	0.61325264	500.0	0.81819004	0.39628205	1.6559936	-0.2748565	208000	-3.3527613e-08	0.08573251	-0.0068088006	-0.022942673	1.3475134	0.0055870595	0.06837501	127.0	315.8994040489197	0.0	0.0	0.0	0.0	0.0
13	3.9399104	1.4852787	7.7094088	1.1721313	500.0	0.8241709	0.42903286	1.9776187	-0.29253155	224000	8.381903e-09	0.084490545	-0.006207415	-0.035940215	1.3475134	0.0047684787	0.053375	127.0	337.5333948135376	0.0	0.0	0.0	0.0	0.0
14	3.5883555	1.3828658	8.086242	1.277505	500.0	0.9377139	0.37274206	1.7972277	-0.15507041	240000	3.7252903e-09	0.087422214	-0.0064959396	-0.019218374	1.3475134	0.0049344543	0.048125	127.0	360.6223542690277	0.0	0.0	0.0	0.0	0.0
15	3.5894642	1.173937	5.7139955	0.99145734	500.0	0.80693173	0.31768534	1.4645082	-0.09148451	256000	-1.3038516e-08	0.062231913	-0.00638852	-0.020623565	1.3475134	0.0060710814	0.04775	127.0	388.30904173851013	0.0	0.0	0.0	0.0	0.0
16	3.5264106	1.4017323	5.5380797	1.1034573	500.0	0.9053114	0.29204988	1.4828013	0.10146597	272000	2.9802322e-08	0.05173939	-0.00842955	-0.0276605	1.3475134	0.0065192543	0.07224999	127.0	415.84133672714233	0.0	0.0	0.0	0.0	0.0
