Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.17509913	0.109260574	0.46723285	0.028745724	500.0	0.19010355	0.02314934	0.28549182	0.15092054	16000	3.1664968e-07	0.019169252	-0.006661163	-0.018107638	1.3475134	0.0052843224	0.0440625	127.0	23.192084312438965	0.0	0.0	0.0	0.0	0.0
1	0.2275188	0.1629639	0.62357056	0.053917382	500.0	0.060296606	0.012154114	0.10653091	0.03156634	32000	-2.2351742e-08	0.0011654717	-0.007263751	-0.00042906642	1.3475134	0.0074851136	0.0670625	127.0	43.49177813529968	0.0	0.0	0.0	0.0	0.0
2	0.7194834	0.5994872	2.791943	0.08914565	500.0	0.06615627	0.0146245975	0.106631026	0.028152071	48000	-1.4901161e-08	0.022048887	-0.004534087	-0.010379357	1.3475134	0.0053212354	0.05525	127.0	65.09885764122009	0.0	0.0	0.0	0.0	0.0
3	1.5504072	1.3091927	6.036992	0.23350707	500.0	0.17332916	0.06319458	0.326631	0.014050573	64000	1.4901161e-08	0.12118061	-0.005191516	-0.04880966	1.3475134	0.0052145896	0.056624997	127.0	84.63675618171692	0.0	0.0	0.0	0.0	0.0
4	2.7835088	1.9967575	8.358525	0.40163416	500.0	0.40465805	0.17248733	0.7907721	0.013713695	80000	4.4703484e-08	0.3093741	-0.006106341	-0.13670161	1.3475134	0.008212403	0.0805	127.0	107.09145784378052	0.0	0.0	0.0	0.0	0.0
5	6.305542	4.2016835	15.819095	0.67263746	500.0	0.8877135	0.48736417	2.0195913	-0.13148002	96000	-1.1175871e-08	1.5060608	-0.0057141967	-0.78999746	1.3475134	0.004789402	0.064625	127.0	125.86823582649231	0.0	0.0	0.0	0.0	0.0
6	8.559125	4.740216	20.375027	2.5579953	500.0	1.8461995	1.0469499	3.8520288	-0.49764904	112000	1.1175871e-08	1.4795156	-0.008094665	-0.45931455	1.3475134	0.0070008123	0.098875	127.0	147.9667935371399	0.0	0.0	0.0	0.0	0.0
7	11.706329	4.9206414	22.130426	2.6927674	500.0	2.619041	1.4034117	5.2826505	-0.58204496	128000	0.0	1.6388738	-0.008897254	-0.5586697	1.3475134	0.0068166205	0.0900625	127.0	168.95536947250366	0.0	0.0	0.0	0.0	0.0
8	13.396406	4.218864	24.740364	6.881954	500.0	3.533628	1.7737579	6.6241665	-0.56216455	144000	-1.8626451e-08	1.3144457	-0.009287428	-0.24892017	1.3475134	0.0073069353	0.0841875	127.0	187.9678282737732	0.0	0.0	0.0	0.0	0.0
9	15.149623	4.871419	28.709944	8.307915	500.0	4.1261244	1.9761794	6.840825	-0.72616905	160000	0.0	1.4256332	-0.008149157	-0.2025268	1.3475134	0.0063895443	0.0734375	127.0	208.70155501365662	0.0	0.0	0.0	0.0	0.0
