Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.15085976	0.10262909	0.5509801	0.033977102	500.0	0.17620729	0.022090394	0.26949406	0.1365485	16000	-1.6018748e-07	0.017105922	-0.0058706263	-0.016156044	1.3475134	0.004904447	0.041875	127.0	23.556225538253784	0.0	0.0	0.0	0.0	0.0
1	0.19688538	0.117842816	0.46564466	0.027123429	500.0	0.058579758	0.013507785	0.111788794	0.031391222	32000	-2.2351742e-08	0.0007803906	-0.006576724	-0.00029067294	1.3475134	0.0066433055	0.0498125	127.0	43.855066776275635	0.0	0.0	0.0	0.0	0.0
2	0.43654442	0.55997044	3.3051243	0.050437566	500.0	0.05176229	0.01238123	0.08751076	0.027048316	48000	2.9802322e-08	0.014028556	-0.0039687287	-0.00487451	1.3475134	0.0073911697	0.072875	127.0	64.43651509284973	0.0	0.0	0.0	0.0	0.0
3	0.87811804	0.8728931	4.9555025	0.09077419	500.0	0.10535269	0.044964455	0.22333314	-0.016001523	64000	1.4901161e-08	0.03966222	-0.0066072126	-0.012242491	1.3475134	0.0070572356	0.090812504	127.0	84.05653548240662	0.0	0.0	0.0	0.0	0.0
4	2.5108306	2.2738166	8.88211	0.14287458	500.0	0.27376178	0.091515996	0.5098207	0.04613184	80000	4.5634806e-08	0.34545654	-0.006105802	-0.1687526	1.3475134	0.007265636	0.073125005	127.0	104.65902400016785	0.0	0.0	0.0	0.0	0.0
5	5.8284492	3.9783034	15.00175	1.1714981	500.0	0.7912687	0.39207605	1.7443795	-0.05340054	96000	-1.4901161e-08	1.1925167	-0.0074773077	-0.6580398	1.3475134	0.0063755806	0.084	127.0	124.06377840042114	0.0	0.0	0.0	0.0	0.0
6	10.889683	4.9174604	24.648026	1.5140274	500.0	2.0700567	1.0650332	4.1412215	-0.4173519	112000	3.7252903e-09	2.1787667	-0.009680806	-0.8102205	1.3475134	0.0072567323	0.1124375	127.0	145.12845063209534	0.0	0.03125	0.0	0.0	0.0
7	11.904526	4.615299	23.406984	3.5782979	500.0	3.4028175	1.6640515	6.0622	-0.7582538	128000	-1.4901161e-08	1.7644166	-0.008797863	-0.35492462	1.3475134	0.005856368	0.0691875	127.0	166.0823154449463	0.0	0.03125	0.0	0.0	0.0
8	15.074129	4.505474	23.881208	7.662275	500.0	3.7309077	1.8341944	6.158299	-0.6813439	144000	-1.8626451e-08	1.8465588	-0.0073535037	-0.3247205	1.3475134	0.0062913494	0.06375	127.0	185.81240057945251	0.0	0.03125	0.0	0.0	0.0
9	16.938728	5.2604227	27.3089	5.194354	500.0	4.233406	1.9075962	6.5986743	-0.3403712	160000	-7.450581e-09	1.8025894	-0.007998943	-0.24321702	1.3475134	0.0069537293	0.06775001	127.0	206.58026266098022	0.0	0.125	0.0	0.0	0.0
10	20.919802	4.872999	33.052807	9.699224	500.0	4.634666	1.8624657	7.008669	0.05633822	176000	7.450581e-09	2.0352826	-0.008367896	-0.54262793	1.3475134	0.0074995896	0.082499996	127.0	227.9777774810791	0.0	0.0625	0.0	0.0	0.0
11	23.105713	4.7767878	34.073822	12.398925	500.0	5.4294806	1.8923498	7.6675634	0.3772477	192000	5.5879354e-09	1.6235259	-0.008306023	-0.16369501	1.3475134	0.0070036715	0.061750002	127.0	249.12827110290527	0.0	0.0625	0.0	0.0	0.0
