Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.0636454	0.053398848	0.24395	0.015197444	500.0	0.20021985	0.015776446	0.2900886	0.16768658	16000	7.450581e-09	0.02611834	-0.0053642113	-0.024920795	1.3475134	0.004599793	0.036125	127.0	24.88041114807129	0.0	0.0	0.0	0.0	0.0
1	0.07818164	0.069682755	0.3812049	0.020726806	500.0	0.052929536	0.02065143	0.11628699	-0.0048617646	32000	1.6763806e-08	0.0010679477	-0.007665476	-0.0008074371	1.3475134	0.008142901	0.0735	127.0	45.58508491516113	0.0	0.0	0.0	0.0	0.0
2	0.10000677	0.1527382	0.90163845	0.013810132	500.0	0.03475111	0.01875025	0.09508072	0.0035496503	48000	0.0	0.0010910177	-0.005822733	-0.0003150599	1.3475134	0.00797978	0.0775	127.0	68.11738157272339	0.0	0.0	0.0	0.0	0.0
3	0.1132184	0.09762689	0.44170156	0.013470318	500.0	0.034572676	0.015717171	0.08538053	-0.00060249865	64000	2.9802322e-08	0.000375971	-0.010829866	-0.00012850188	1.3475134	0.007401797	0.098625004	127.0	94.05619764328003	0.0	0.0	0.0	0.0	0.0
4	0.26142514	0.29932454	1.5963296	0.033825483	500.0	0.03902245	0.011729414	0.07393878	0.01084733	80000	7.450581e-09	0.0042158877	-0.0056947414	-0.001201156	1.3475134	0.007071808	0.061125	127.0	117.36771035194397	0.0	0.0	0.0	0.0	0.0
5	0.8284093	0.8018375	4.5850058	0.1200856	500.0	0.07537833	0.020593269	0.13897742	-0.0010119379	96000	-9.313226e-09	0.042584963	-0.005044587	-0.018041383	1.3475134	0.005499425	0.065625	127.0	143.33500003814697	0.0	0.0	0.0	0.0	0.0
6	1.5578103	1.1832548	4.8438983	0.25183088	500.0	0.23478043	0.084976986	0.43737328	-0.040502742	112000	7.450581e-09	0.101970434	-0.0070763985	-0.047220334	1.3475134	0.006775303	0.0925	127.0	165.83966398239136	0.0	0.0	0.0	0.0	0.0
7	1.5343971	1.3184993	5.641845	0.36949727	500.0	0.3430636	0.18456382	0.93879217	-0.14556354	128000	2.2351742e-08	0.06902371	-0.005773682	-0.030825373	1.3475134	0.007422613	0.0758125	127.0	188.19278073310852	0.0	0.0	0.0	0.0	0.0
8	1.8639671	1.8025008	8.085627	0.49437928	500.0	0.4618319	0.33113217	1.620177	-0.30606967	144000	0.0	0.10930659	-0.006349877	-0.017913766	1.3475134	0.003985272	0.057437498	127.0	210.67152523994446	0.0	0.0	0.0	0.0	0.0
9	4.819145	4.4528484	13.412706	0.5561567	500.0	0.8591186	0.5774651	2.0862284	-0.49280733	160000	-1.1175871e-08	0.9272965	-0.006680707	-0.40656367	1.3475134	0.00719502	0.0795	127.0	233.28339767456055	0.0	0.0	0.0	0.0	0.0
10	4.553643	4.4636703	15.1015005	0.31504944	500.0	1.4664919	1.0055896	3.4758298	-0.9641953	176000	-7.450581e-09	0.7116643	-0.008268264	-0.26284802	1.3475134	0.0067007556	0.070374995	127.0	256.56914138793945	0.0	0.0	0.0	0.0	0.0
11	5.2061667	4.765004	17.150232	0.18736981	500.0	1.7053416	1.1501136	4.3277063	-0.9286232	192000	-2.6077032e-08	0.9432326	-0.0078895595	-0.30796194	1.3475134	0.006017276	0.0755	127.0	277.38145327568054	0.0	0.0	0.0	0.0	0.0
12	5.8609514	4.86577	19.726662	0.6265166	500.0	1.9153385	1.348688	5.2554355	-0.95735383	208000	1.8626451e-09	0.91802174	-0.009070645	-0.22611403	1.3475134	0.0071844305	0.0775	127.0	299.30693316459656	0.0	0.0	0.0	0.0	0.0
13	5.8000016	5.509901	18.780626	0.87321997	500.0	1.8682525	1.5485115	6.7368417	-1.1113023	224000	2.9802322e-08	1.0954498	-0.0060523166	-0.34097725	1.3475134	0.0036786366	0.0453125	127.0	321.61365485191345	0.0	0.0	0.0	0.0	0.0
14	5.867356	6.8767486	28.521553	0.60555625	500.0	1.7700604	1.562318	6.9228215	-1.0467025	240000	0.0	1.4820122	-0.005318	-0.4253285	1.3475134	0.004618548	0.041125	127.0	344.87196946144104	0.0	0.0	0.0	0.0	0.0
15	6.548867	6.582765	23.101929	0.610438	500.0	2.0131922	1.8437423	6.8970027	-0.9142598	256000	-3.7252903e-09	1.4581337	-0.006336774	-0.44808364	1.3475134	0.00553828	0.063062504	127.0	369.1749496459961	0.0	0.0	0.0	0.0	0.0
16	11.136251	9.296519	32.171307	1.0687109	500.0	2.8343089	2.0418625	9.449824	-0.35180578	272000	-7.450581e-09	2.659534	-0.0058535193	-0.96706206	1.3475134	0.0046468927	0.07018751	127.0	391.6178650856018	0.0	0.125	0.0	0.0	0.0
17	11.399994	9.271264	29.833115	0.842663	500.0	3.517393	2.9550226	11.83642	-1.4067819	288000	-3.7252903e-09	1.3510587	-0.008378375	-0.37603056	1.3475134	0.008296753	0.0765	127.0	416.16715025901794	0.0	0.03125	0.0	0.0	0.0
18	14.579105	9.257198	29.09247	0.8215016	500.0	5.103146	3.6493707	12.436604	-0.11392978	304000	1.4901161e-08	2.5152311	-0.0069019767	-1.0661647	1.3475134	0.00598541	0.055375002	127.0	442.38006949424744	0.0	0.09375	0.0	0.0	0.0
19	17.127914	8.428686	35.189278	2.5852363	500.0	4.6761417	3.0567095	10.864148	-0.48037857	320000	7.450581e-09	1.9824761	-0.0079819225	-0.70828116	1.3475134	0.007609283	0.0744375	127.0	466.8989794254303	0.0	0.1875	0.0	0.0	0.0
20	14.621626	7.8430643	30.020283	1.217037	500.0	4.85451	2.8585598	10.0997505	-0.009118244	336000	0.0	3.1272683	-0.006512361	-2.0751035	1.3475134	0.006472566	0.0471875	127.0	493.1132526397705	0.0	0.0	0.0	0.0	0.0
21	14.272604	10.377431	36.053146	1.2709442	500.0	4.4129405	2.7017765	10.412184	-0.024865374	352000	0.0	2.5923986	-0.006269851	-0.9089466	1.3475134	0.006578223	0.0591875	127.0	519.0788736343384	0.0	0.0625	0.0	0.0	0.0
22	17.378958	11.3573675	38.503433	1.2070764	500.0	5.1526318	2.7820415	10.480636	0.34067205	368000	2.9802322e-08	3.01269	-0.0069157626	-1.2849771	1.3475134	0.0060754735	0.07225	127.0	542.7310740947723	0.0	0.09375	0.0	0.0	0.0
23	22.072727	12.248676	39.118538	1.3144515	500.0	5.8826113	3.4270961	12.743844	-0.15634632	384000	1.4901161e-08	3.1301608	-0.006344925	-1.0831089	1.3475134	0.0071641104	0.06925	127.0	567.3513090610504	0.0	0.0625	0.0	0.0	0.0
24	19.660564	12.472496	43.523434	0.4972017	500.0	6.110676	3.664184	14.072678	-0.11481367	400000	0.0	4.0907326	-0.008076697	-2.3826213	1.3475134	0.005763813	0.053812504	127.0	590.7185573577881	0.0	0.0	0.0	0.0	0.0
25	17.425587	12.204755	36.7223	0.23327395	500.0	5.086531	3.6617818	13.409625	-3.8292696	416000	1.8626451e-08	2.2643523	-0.0069526965	-0.98604655	1.3475134	0.0058032814	0.051250003	127.0	613.3969066143036	0.0	0.09375	0.0	0.0	0.0
26	19.001366	12.016798	42.480003	4.7258286	500.0	4.578891	3.35564	12.793561	-0.85257906	432000	-1.4901161e-08	1.4407074	-0.006017524	-0.44812924	1.3475134	0.0053035775	0.045625	127.0	636.9206366539001	0.0	0.15625	0.0	0.0	0.0
27	22.358387	12.33993	43.736248	7.9586625	500.0	4.934619	3.381014	12.716377	0.13232362	448000	2.7939677e-09	1.2342744	-0.0076114926	-0.52133197	1.3475134	0.0068391603	0.0598125	127.0	661.6640377044678	0.0	0.28125	0.0	0.0	0.0
28	18.673582	12.857366	43.340878	1.1608953	500.0	4.8008347	3.5007498	12.47345	-0.90788454	464000	0.0	3.0034583	-0.007615321	-0.7820851	1.3475134	0.006508766	0.047375	127.0	687.612105846405	0.0	0.28125	0.0	0.0	0.0
29	26.702332	11.184437	45.444378	7.6316447	500.0	6.1494884	3.6357508	12.781989	0.08485094	480000	3.7252903e-09	1.6828547	-0.009376479	-0.389243	1.3475134	0.009735259	0.074499995	127.0	711.1876795291901	0.0	0.15625	0.0	0.0	0.0
30	23.991404	10.93853	45.703083	11.34172	500.0	5.3394637	3.4194312	13.5028925	0.33663857	496000	-4.656613e-09	1.2829928	-0.0067170514	-0.38503313	1.3475134	0.0069649564	0.06025	127.0	735.0512142181396	0.0	0.28125	0.0	0.0	0.0
31	20.08309	11.059482	40.818066	1.6239874	500.0	5.512424	3.5611863	13.116428	-0.35431355	512000	-1.8626451e-08	3.3259811	-0.006954413	-1.3453207	1.3475134	0.0050614723	0.053249996	127.0	757.5525944232941	0.0	0.09375	0.0	0.0	0.0
32	21.139193	12.914467	48.011715	1.3271012	500.0	4.946961	3.5045881	12.144312	-1.1590793	528000	1.3038516e-08	2.9077258	-0.005433689	-1.2272384	1.3475134	0.0062528	0.046625003	127.0	780.7367267608643	0.0	0.40625	0.0	0.0	0.0
