Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.075261325	0.044734173	0.22761355	0.013263595	500.0	0.19317144	0.015829965	0.28328496	0.16057086	16000	2.924353e-07	0.023641398	-0.0052471356	-0.022599455	1.3475134	0.004850805	0.031999998	127.0	26.179646253585815	0.0	0.0	0.0	0.0	0.0
1	0.08952732	0.043675456	0.22525482	0.03008312	500.0	0.05083187	0.01880794	0.10616394	-0.0024972558	32000	3.7252903e-09	0.0007672765	-0.008046622	-0.0006126045	1.3475134	0.008185264	0.0765	127.0	47.28858518600464	0.0	0.0	0.0	0.0	0.0
2	0.1166591	0.11275855	0.63001883	0.02037976	500.0	0.034264553	0.016103918	0.09400636	0.0065622404	48000	1.1175871e-08	0.0006631271	-0.006138022	-0.00029857326	1.3475134	0.007938848	0.067	127.0	70.96024489402771	0.0	0.0	0.0	0.0	0.0
3	0.15029317	0.0938799	0.45354497	0.016788336	500.0	0.03084198	0.012727186	0.064297	0.0027893558	64000	1.8626451e-08	0.0003319449	-0.009803403	-6.392844e-05	1.3475134	0.007255668	0.095125005	127.0	92.90830564498901	0.0	0.0	0.0	0.0	0.0
4	0.3146671	0.20647593	0.8103587	0.020433722	500.0	0.04622028	0.011843555	0.08714244	0.011934049	80000	7.450581e-09	0.0021348915	-0.0069011347	-0.0008235685	1.3475134	0.007911494	0.0708125	127.0	114.70898675918579	0.0	0.0	0.0	0.0	0.0
5	0.7665708	0.45852777	2.7679205	0.21121973	500.0	0.08834415	0.020663457	0.14793661	0.028610323	96000	-4.8428774e-08	0.0151773365	-0.0058392105	-0.008131765	1.3475134	0.0054126647	0.0633125	127.0	138.218665599823	0.0	0.0	0.0	0.0	0.0
6	3.1042488	3.0358658	16.144648	0.4106623	500.0	0.2298891	0.07248527	0.4387973	0.032179985	112000	-3.7252903e-08	0.7239869	-0.0042330753	-0.38245708	1.3475134	0.005361706	0.046812497	127.0	161.8672697544098	0.0	0.0	0.0	0.0	0.0
7	2.9578328	2.7778444	11.547277	0.45264554	500.0	0.64586306	0.43394527	1.9483879	-0.2539904	128000	-2.2351742e-08	0.32040983	-0.009744864	-0.13449524	1.3475134	0.010434863	0.13	127.0	185.50558352470398	0.0	0.0	0.0	0.0	0.0
8	8.628305	5.1406913	19.359581	0.86178964	500.0	1.5731723	0.9530766	3.465999	-0.41710725	144000	2.6077032e-08	1.9186653	-0.0056030964	-0.77109253	1.3475134	0.0039618574	0.0690625	127.0	207.36462235450745	0.0	0.15625	0.0	0.0	0.0
9	8.732733	4.7578087	18.241798	0.5771667	500.0	2.6037674	1.4641011	4.9282103	-0.577761	160000	7.450581e-09	1.4362345	-0.0064235823	-0.460462	1.3475134	0.0057864645	0.054625	127.0	235.92208528518677	0.0	0.0	0.0	0.0	0.0
10	14.343678	5.836571	25.251831	0.9057778	500.0	2.9713702	1.6086035	5.368331	-0.4215303	176000	-7.450581e-09	2.4416099	-0.009991368	-0.77867186	1.3475134	0.008890248	0.109125	127.0	274.61668944358826	0.0	0.15625	0.0	0.0	0.0
11	13.026548	7.4408813	26.67009	1.2602865	500.0	3.5867777	1.9614415	6.838544	-0.87535125	192000	2.7939677e-09	1.7631168	-0.0075724134	-0.3259276	1.3475134	0.005753142	0.0664375	127.0	303.299845457077	0.0	0.0625	0.0	0.0	0.0
12	14.608491	8.351999	30.18995	1.4874085	500.0	4.0334764	2.236417	7.705558	-1.4420466	208000	2.9802322e-08	2.5031562	-0.0076340325	-0.57252043	1.3475134	0.0051693907	0.052625	127.0	326.7918767929077	0.0	0.125	0.0	0.0	0.0
13	18.615528	8.514099	33.547268	2.5954208	500.0	4.675313	2.4443986	8.134324	-1.5099635	224000	-1.4901161e-08	3.1331878	-0.0076057264	-0.7897146	1.3475134	0.005256828	0.058562502	127.0	354.6950840950012	0.0	0.0	0.0	0.0	0.0
14	20.163464	8.927776	32.899666	3.9147596	500.0	5.1411424	2.5309508	9.400732	-0.5692024	240000	-8.381903e-09	2.6300244	-0.0078964075	-0.4203735	1.3475134	0.0061629945	0.068125	127.0	381.09422731399536	0.0	0.09375	0.0	0.0	0.0
15	20.891048	6.890906	30.842823	9.520195	500.0	6.042256	2.8495176	9.895476	-0.26612434	256000	-3.7252903e-09	2.1579373	-0.008607898	-0.3718719	1.3475134	0.005990386	0.067875	127.0	406.09618067741394	0.0	0.125	0.0	0.0	0.0
16	19.196526	7.4362473	35.26795	3.1758263	500.0	6.001828	2.7080753	9.60621	0.007311985	272000	-3.5390258e-08	2.9994464	-0.007656067	-0.7105731	1.3475134	0.0058437204	0.0610625	127.0	431.1806962490082	0.0	0.0	0.0	0.0	0.0
17	22.974224	7.801661	35.42933	2.7125986	500.0	5.74612	2.3927176	8.644573	-0.24681762	288000	2.9802322e-08	3.627037	-0.007012254	-0.47941312	1.3475134	0.0056418967	0.048687503	127.0	456.1708800792694	0.0	0.09375	0.0	0.0	0.0
18	20.472565	8.633935	39.38035	4.3478646	500.0	5.9855323	2.041621	8.513578	0.8562206	304000	2.2351742e-08	3.5947378	-0.007677992	-0.8118261	1.3475134	0.005716522	0.051625002	127.0	480.459255695343	0.0	0.0625	0.0	0.0	0.0
19	23.405407	6.0276585	32.49642	8.137915	500.0	5.462047	1.9090552	8.100398	1.0385062	320000	-2.9802322e-08	2.313793	-0.0075717946	-0.42003274	1.3475134	0.008508922	0.0693125	127.0	506.85574078559875	0.0	0.0	0.0	0.0	0.0
20	26.766722	7.242221	40.457874	3.3867683	500.0	6.0515947	1.9740989	8.1882515	0.4413291	336000	0.0	3.4785962	-0.006358235	-0.43889517	1.3475134	0.006226468	0.0460625	127.0	534.0670387744904	0.0	0.15625	0.0	0.0	0.0
21	29.292995	7.12524	42.79843	8.354054	500.0	6.377322	1.9087089	8.235051	0.72088605	352000	-1.8626451e-08	3.625366	-0.0056078304	-0.58968383	1.3475134	0.0050621186	0.043375	127.0	562.0018138885498	0.0	0.03125	0.0	0.0	0.0
22	24.45927	8.233286	43.192566	6.0539064	500.0	6.9289813	2.2019415	8.922277	0.9469299	368000	1.3038516e-08	3.794363	-0.0068816864	-1.0792341	1.3475134	0.003883781	0.04225	127.0	589.178382396698	0.0	0.15625	0.0	0.0	0.0
23	26.442577	7.242178	41.381214	8.486209	500.0	6.0257244	1.9315424	8.2348995	0.99641544	384000	-1.1175871e-08	2.8426878	-0.007312257	-0.43455088	1.3475134	0.0067089163	0.05775	127.0	616.5320694446564	0.0	0.15625	0.0	0.0	0.0
24	26.240803	5.903376	39.09517	11.8911085	500.0	6.58762	2.0885987	8.769253	0.85812837	400000	-2.2351742e-08	1.5874009	-0.006151534	-0.17669147	1.3475134	0.005664452	0.0485	127.0	643.2917246818542	0.0	0.0625	0.0	0.0	0.0
25	26.046518	6.392081	42.698566	11.139224	500.0	6.2318077	1.9917635	8.634422	1.2911245	416000	1.3038516e-08	2.018311	-0.007726142	-0.17007677	1.3475134	0.0070795817	0.06362501	127.0	670.425687789917	0.0	0.03125	0.0	0.0	0.0
26	27.992836	3.9548995	34.062813	14.051731	500.0	6.4253216	1.9360831	8.801323	1.3499584	432000	-2.9802322e-08	0.9135717	-0.008963653	-0.14896914	1.3475134	0.0077098846	0.0636875	127.0	694.9048583507538	0.0	0.125	0.0	0.0	0.0
27	29.077877	4.3917246	42.61523	21.57554	500.0	6.47605	1.8039283	8.896954	1.5861392	448000	0.0	1.3518952	-0.0064107683	-0.23004171	1.3475134	0.0066421526	0.0490625	127.0	718.8306806087494	0.0	0.15625	0.0	0.0	0.0
28	27.484268	5.432633	44.031876	15.307562	500.0	6.694804	1.9788445	9.431949	1.5134518	464000	0.0	1.7315117	-0.006830862	-0.42249995	1.3475134	0.005359849	0.0524375	127.0	743.4743838310242	0.0	0.09375	0.0	0.0	0.0
29	30.309553	7.108775	49.683735	14.552662	500.0	6.4902606	1.8886356	9.259955	1.5892347	480000	-1.1175871e-08	2.8197331	-0.0078460295	-0.71186244	1.3475134	0.0071185706	0.0708125	127.0	770.8356235027313	0.0	0.25	0.0	0.0	0.0
30	30.318897	3.9945526	35.83627	20.70908	500.0	7.0220838	2.094372	10.241977	1.6775572	496000	1.8626451e-08	0.8749451	-0.008529644	-0.07685837	1.3475134	0.0063210516	0.0691875	127.0	799.0183506011963	0.0	0.09375	0.0	0.0	0.0
31	32.23222	3.8548481	39.011787	24.357203	500.0	7.2249827	2.138128	10.086782	1.9777374	512000	0.0	0.79113126	-0.009083955	-0.12525502	1.3475134	0.0074979234	0.075312495	127.0	829.3943293094635	0.0	0.15625	0.0	0.0	0.0
32	36.488014	8.221467	70.48306	11.936645	500.0	7.723588	2.225213	10.588622	2.156604	528000	3.7252903e-09	4.5141606	-0.006427336	-1.2920041	1.3475134	0.007645532	0.0635	127.0	863.2722856998444	0.0	0.40625	0.0	0.0	0.0
33	36.696	7.564849	58.46141	11.739549	500.0	8.370496	2.6490493	11.506467	2.1691942	544000	-3.7252903e-09	2.8256657	-0.006629387	-0.31529474	1.3475134	0.0069958162	0.071062505	127.0	891.1500124931335	0.0	0.59375	0.0	0.0	0.0
34	36.794563	11.771513	75.03062	4.7843413	500.0	8.831709	2.7525709	12.193512	2.3479507	560000	9.313226e-09	5.5706825	-0.007376945	-0.6730654	1.3475134	0.0073643057	0.070125	127.0	914.6529929637909	0.0	0.375	0.0	0.0	0.0
35	38.20272	7.52393	67.658226	19.071093	500.0	9.0053005	2.9161513	12.274222	2.2229567	576000	1.4901161e-08	2.68897	-0.008868394	-0.18730456	1.3475134	0.0067843334	0.084625	127.0	938.123462677002	0.0	0.5625	0.0	0.0	0.0
36	40.449944	9.786112	70.94671	29.677828	500.0	9.284997	2.9877613	12.364087	2.3115761	592000	7.450581e-09	5.0397468	-0.006180563	-0.9462018	1.3475134	0.006819322	0.061750002	127.0	964.288952589035	0.0	0.53125	0.0	0.0	0.0
37	39.342316	12.009825	79.7676	14.286871	500.0	9.595953	3.1283343	13.957905	2.365843	608000	7.450581e-09	5.8279552	-0.006776029	-1.1907654	1.3475134	0.005859224	0.054437496	127.0	992.2249345779419	0.0	0.59375	0.0	0.0	0.0
38	42.471123	10.327386	77.00724	31.978668	500.0	9.725756	3.4339786	15.3440485	1.9443028	624000	1.4901161e-08	4.6551647	-0.0074941595	-0.7614612	1.3475134	0.0072052884	0.068375	127.0	1017.0185928344727	0.0	0.71875	0.0	0.0	0.0
39	40.838936	10.329303	71.969604	16.872196	500.0	9.914422	3.550577	16.452005	2.0579805	640000	1.8626451e-09	4.890194	-0.008085733	-0.53089046	1.3475134	0.008787899	0.0764375	127.0	1044.0416824817657	0.0	0.5	0.0	0.0	0.0
40	42.59989	13.334719	90.89316	25.762873	500.0	10.413731	4.0073905	17.086042	1.8291233	656000	-1.4901161e-08	8.394438	-0.008250952	-0.85010123	1.3475134	0.005646467	0.057625	127.0	1068.9905350208282	0.0	0.46875	0.0	0.0	0.0
41	47.180916	16.472933	89.153206	16.559607	500.0	10.86527	4.0304046	16.86609	2.2323472	672000	0.0	13.311012	-0.006457405	-1.5472915	1.3475134	0.007654316	0.07287499	127.0	1092.5588371753693	0.0	0.625	0.0	0.0	0.0
42	45.075024	17.264318	101.26782	25.210382	500.0	11.637118	4.199375	18.05988	2.187729	688000	-1.8626451e-09	12.513174	-0.007622512	-1.7872118	1.3475134	0.005949402	0.0676875	127.0	1117.9069647789001	0.0	0.625	0.0	0.0	0.0
