Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.15192226	0.103630856	0.55675507	0.03419915	500.0	0.1734519	0.021877866	0.26702532	0.13459188	16000	-1.8626451e-08	0.016451571	-0.0056450176	-0.015533399	1.3475134	0.004923014	0.04175	127.0	25.059237241744995	0.0	0.0	0.0	0.0	0.0
1	0.20647553	0.121694624	0.4723834	0.02868467	500.0	0.058168724	0.013764911	0.11153232	0.030529961	32000	3.7252903e-08	0.0007733603	-0.0067390427	-0.00026504043	1.3475134	0.0064288834	0.048875	127.0	45.05843687057495	0.0	0.0	0.0	0.0	0.0
2	0.47232586	0.6105644	3.5808134	0.051624957	500.0	0.05347591	0.012198456	0.08986245	0.030774336	48000	0.0	0.01695084	-0.003914281	-0.0063218935	1.3475134	0.0073630903	0.071625	127.0	65.2477514743805	0.0	0.0	0.0	0.0	0.0
3	0.9264896	0.97619134	5.317692	0.08682588	500.0	0.11086394	0.05280355	0.2593118	-0.022300728	64000	-1.1175871e-08	0.04791075	-0.006283466	-0.016011942	1.3475134	0.0071446775	0.092625	127.0	88.5662453174591	0.0	0.0	0.0	0.0	0.0
4	2.620626	2.2609646	8.807065	0.13831918	500.0	0.31071797	0.1211673	0.61073387	0.03576917	80000	-2.9802322e-08	0.33874202	-0.0062843887	-0.16659108	1.3475134	0.007435414	0.0731875	127.0	109.63924407958984	0.0	0.0	0.0	0.0	0.0
5	6.038851	4.0751195	15.339769	1.220978	500.0	0.8480822	0.43781972	2.0101867	-0.06561794	96000	3.3527613e-08	1.239924	-0.00733638	-0.6666464	1.3475134	0.0063114883	0.0821875	127.0	137.94668817520142	0.0	0.0	0.0	0.0	0.0
6	10.634181	5.026574	22.800077	1.5168446	500.0	2.1139894	1.0934892	4.1374774	-0.4457863	112000	1.1175871e-08	2.0854597	-0.009116897	-0.7392132	1.3475134	0.00727627	0.10775	127.0	160.0203800201416	0.0	0.0625	0.0	0.0	0.0
7	11.50093	4.730648	21.878017	3.0854194	500.0	3.3140726	1.6348404	6.0267076	-0.7696569	128000	2.2351742e-08	1.7327372	-0.008509424	-0.37790096	1.3475134	0.006353643	0.0705625	127.0	183.49746799468994	0.0	0.0625	0.0	0.0	0.0
8	14.333624	4.409509	23.3614	6.935645	500.0	3.6952064	1.8168936	6.144796	-0.591443	144000	-3.7252903e-09	1.5918205	-0.0074904314	-0.21784885	1.3475134	0.006238801	0.065437496	127.0	209.11784553527832	0.0	0.0	0.0	0.0	0.0
9	15.860757	5.515087	27.00565	5.570158	500.0	4.098136	1.8138337	6.370346	-0.22169797	160000	-3.7252903e-09	1.9019117	-0.007826541	-0.20671116	1.3475134	0.006970537	0.0708125	127.0	231.86271595954895	0.0	0.09375	0.0	0.0	0.0
10	20.598305	5.0841627	34.840084	9.878187	500.0	4.3856378	1.7136679	6.5183926	0.19040173	176000	-1.4901161e-08	2.453977	-0.008527871	-0.72550756	1.3475134	0.0072429376	0.0820625	127.0	253.5644998550415	0.0	0.125	0.0	0.0	0.0
11	23.630486	4.642083	32.986225	14.26973	500.0	5.204877	1.7536063	7.118262	0.4230497	192000	1.1175871e-08	1.8547013	-0.0076358533	-0.2890141	1.3475134	0.0060035354	0.059187498	127.0	274.89738178253174	0.0	0.1875	0.0	0.0	0.0
