Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.06557038	0.043633103	0.22510803	0.012342509	500.0	0.19905877	0.015969213	0.29011482	0.1655325	16000	1.3969839e-08	0.025655173	-0.004960344	-0.024474286	1.3475134	0.0043635513	0.028499998	127.0	28.39620590209961	0.0	0.0	0.0	0.0	0.0
1	0.06931266	0.037497483	0.16750562	0.017745163	500.0	0.053055335	0.020050112	0.11515814	-0.0045353845	32000	-5.5879354e-09	0.0010097384	-0.008776316	-0.0008516846	1.3475134	0.008311709	0.0811875	127.0	52.39981818199158	0.0	0.0	0.0	0.0	0.0
2	0.08808027	0.09099073	0.52461505	0.013343931	500.0	0.03178987	0.017307054	0.0858546	0.0012488067	48000	1.4901161e-08	0.00054426875	-0.006518387	-0.00027796117	1.3475134	0.008185333	0.0665625	127.0	76.47234416007996	0.0	0.0	0.0	0.0	0.0
3	0.1061127	0.077837564	0.36653692	0.014285012	500.0	0.025194732	0.011057537	0.06545513	-0.00041339546	64000	3.7252903e-09	0.00027414836	-0.008045289	-8.448511e-05	1.3475134	0.0069618467	0.08006249	127.0	104.03396511077881	0.0	0.0	0.0	0.0	0.0
4	0.20251618	0.17618728	0.74747455	0.013872868	500.0	0.031508006	0.00890064	0.06563903	0.008923583	80000	-2.9802322e-08	0.0012978961	-0.005943211	-0.00045316992	1.3475134	0.008240708	0.06506251	127.0	130.616760969162	0.0	0.0	0.0	0.0	0.0
5	0.44148386	0.31019986	1.3534385	0.060175598	500.0	0.053445168	0.01427982	0.0920996	0.013101745	96000	0.0	0.0052780556	-0.007012477	-0.0027490724	1.3475134	0.0054021226	0.063875	127.0	155.11517643928528	0.0	0.0	0.0	0.0	0.0
6	1.7135704	2.3610275	13.411667	0.19436376	500.0	0.13106345	0.04153972	0.27405527	0.033134308	112000	1.4901161e-08	0.3554653	-0.004022776	-0.18126595	1.3475134	0.0062274532	0.052687503	127.0	181.94009804725647	0.0	0.0	0.0	0.0	0.0
7	1.5726248	1.518899	6.0943737	0.12347425	500.0	0.39484864	0.33206418	1.5638287	-0.62035	128000	7.450581e-09	0.07175898	-0.01249099	-0.024649631	1.3475134	0.010060595	0.129125	127.0	211.09162735939026	0.0	0.0	0.0	0.0	0.0
8	7.61891	4.5684247	15.745026	0.4929116	500.0	0.9440841	0.61442053	2.1355438	-0.35383227	144000	-1.6763806e-08	1.9948943	-0.00485585	-1.1819854	1.3475134	0.005186381	0.056187503	127.0	239.16461443901062	0.0	0.0	0.0	0.0	0.0
9	7.87882	4.7501507	21.068754	0.72526044	500.0	2.2685504	1.3080094	4.613336	-0.7755601	160000	-3.7252903e-09	1.431339	-0.0072149634	-0.36317888	1.3475134	0.0056156847	0.0601875	127.0	266.2834928035736	0.0	0.0	0.0	0.0	0.0
10	6.413151	6.272207	22.567362	0.41391194	500.0	2.3666518	1.3865176	4.677967	-0.7262914	176000	7.450581e-09	2.16567	-0.005759702	-0.6917464	1.3475134	0.005997682	0.0451875	127.0	292.846951007843	0.0	0.0	0.0	0.0	0.0
11	8.876153	6.731341	25.05934	0.34922773	500.0	2.4593923	1.3957751	5.6946936	-0.5371264	192000	1.8626451e-09	2.1502528	-0.008501369	-0.45349443	1.3475134	0.0074934727	0.075812496	127.0	318.58198618888855	0.0	0.0	0.0	0.0	0.0
