Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.06695788	0.044832535	0.23342974	0.0122432215	500.0	0.19346708	0.015971016	0.28433245	0.16022474	16000	-3.213063e-08	0.02415001	-0.0051787207	-0.023072768	1.3475134	0.004587774	0.029437501	127.0	22.171011924743652	0.0	0.0	0.0	0.0	0.0
1	0.07437683	0.040194824	0.1807431	0.01873178	500.0	0.05076626	0.019377908	0.10773419	-0.004511893	32000	4.284084e-08	0.0008638472	-0.008475767	-0.00071214745	1.3475134	0.008717729	0.08325	127.0	42.92686748504639	0.0	0.0	0.0	0.0	0.0
2	0.098838046	0.10560291	0.6081936	0.012985002	500.0	0.031755026	0.016491633	0.08244815	0.003466189	48000	1.4901161e-08	0.0006161878	-0.0062718936	-0.00027716713	1.3475134	0.00909318	0.074375	127.0	65.31581950187683	0.0	0.0	0.0	0.0	0.0
3	0.13086084	0.09660123	0.4636437	0.01609137	500.0	0.02533553	0.010348563	0.057467844	0.0016342849	64000	7.450581e-09	0.0004026268	-0.007692811	-0.00010783154	1.3475134	0.006138709	0.0746875	127.0	86.7675244808197	0.0	0.0	0.0	0.0	0.0
4	0.25240383	0.22905235	1.0628386	0.017789446	500.0	0.03755172	0.010432815	0.083263606	0.014469642	80000	1.4901161e-08	0.0022792642	-0.0059886593	-0.0008582733	1.3475134	0.007341493	0.062437505	127.0	110.53891229629517	0.0	0.0	0.0	0.0	0.0
5	0.47928667	0.32205817	1.384421	0.061764445	500.0	0.06812054	0.018679008	0.12548794	0.015665945	96000	7.450581e-09	0.0053473543	-0.0075037125	-0.0026440616	1.3475134	0.0058778436	0.07224999	127.0	131.51729130744934	0.0	0.0	0.0	0.0	0.0
6	1.7649037	2.1137335	12.19768	0.2048875	500.0	0.15379986	0.053088997	0.30400792	0.017639391	112000	-7.450581e-09	0.28823555	-0.004400585	-0.14625879	1.3475134	0.0056926524	0.055875003	127.0	153.30166101455688	0.0	0.0	0.0	0.0	0.0
7	1.8859811	1.6848321	6.7472267	0.20124826	500.0	0.41353956	0.31785777	1.4258937	-0.54789484	128000	3.7252903e-09	0.092364594	-0.011844767	-0.03385798	1.3475134	0.011568369	0.1426875	127.0	174.1183319091797	0.0	0.0	0.0	0.0	0.0
8	7.306714	4.156411	15.45954	0.8479881	500.0	1.0517492	0.6306376	2.3340373	-0.3160317	144000	-2.2351742e-08	1.5415192	-0.00567773	-0.73263776	1.3475134	0.0060531558	0.0668125	127.0	195.39493536949158	0.0	0.0	0.0	0.0	0.0
9	6.8474665	4.387829	18.146645	0.57288516	500.0	2.1089902	1.1332861	3.9886205	-0.5543624	160000	-7.450581e-09	1.2825903	-0.005284684	-0.3893187	1.3475134	0.005373274	0.045375	127.0	217.2625880241394	0.0	0.0	0.0	0.0	0.0
10	7.086141	6.352894	25.356792	0.42722008	500.0	2.020231	1.1611911	4.1035786	-0.3491133	176000	3.7252903e-09	1.7754766	-0.006909351	-0.43874472	1.3475134	0.006408341	0.0628125	127.0	239.20640420913696	0.0	0.0	0.0	0.0	0.0
11	11.032486	7.1116467	28.216766	0.4299985	500.0	2.8267436	1.4804801	5.506616	-0.70792675	192000	-2.6077032e-08	2.6183252	-0.008813861	-0.8498423	1.3475134	0.008588742	0.087375	127.0	260.53175115585327	0.0	0.0	0.0	0.0	0.0
12	14.614531	8.6030245	33.09106	0.6802147	500.0	3.032064	1.5310206	6.231336	-0.5189581	208000	0.0	3.5878813	-0.006988082	-0.9443228	1.3475134	0.0071134833	0.07412501	127.0	281.25096893310547	0.0	0.03125	0.0	0.0	0.0
13	18.132702	7.1347246	32.54798	0.5929105	500.0	4.0823483	1.9670157	7.6773224	-0.43251875	224000	1.6763806e-08	2.188774	-0.0074476255	-0.5629238	1.3475134	0.006831417	0.074625	127.0	302.7003057003021	0.0	0.0	0.0	0.0	0.0
14	15.48399	9.202855	31.8658	1.4333056	500.0	4.674284	2.0922148	8.615784	-0.12917922	240000	1.21071935e-08	3.4055004	-0.009110779	-0.7139131	1.3475134	0.006467601	0.078999996	127.0	325.0691430568695	0.0	0.0	0.0	0.0	0.0
15	15.91039	8.450486	34.776478	1.9038153	500.0	4.416037	2.2084796	8.401475	-1.1658969	256000	-3.7252903e-09	2.5439868	-0.0072434573	-0.34940448	1.3475134	0.005192695	0.0555	127.0	347.9545283317566	0.0	0.0	0.0	0.0	0.0
16	19.392162	7.6515203	32.495193	5.1149006	500.0	4.696114	2.4549065	8.695407	-1.6411698	272000	-1.8626451e-08	2.7561598	-0.007516335	-0.38341874	1.3475134	0.007242392	0.061499998	127.0	370.455890417099	0.0	0.125	0.0	0.0	0.0
17	21.64986	8.75163	37.07991	4.5266113	500.0	5.64017	2.5337493	8.990895	-1.1467538	288000	2.0489097e-08	3.8271203	-0.006872894	-0.57484853	1.3475134	0.00488622	0.04375	127.0	393.6723268032074	0.0	0.0625	0.0	0.0	0.0
18	21.084064	9.262603	37.549046	2.7766912	500.0	5.728992	2.4746811	9.273242	-0.27826023	304000	-7.450581e-09	3.1395037	-0.0069575375	-0.27284908	1.3475134	0.0062755123	0.04275	127.0	416.6998493671417	0.0	0.03125	0.0	0.0	0.0
19	25.38639	9.354338	39.651268	9.526177	500.0	5.6212296	2.1846538	9.1004925	-0.07736359	320000	-7.450581e-09	4.2863817	-0.0061752545	-0.74159384	1.3475134	0.005858871	0.05525	127.0	441.46206736564636	0.0	0.0	0.0	0.0	0.0
20	23.57613	8.315914	39.0809	3.4424784	500.0	6.408472	2.374963	10.137628	-0.11589116	336000	-3.7252903e-09	2.9280005	-0.006160003	-0.5188159	1.3475134	0.0063790227	0.04875	127.0	466.01675820350647	0.0	0.0	0.0	0.0	0.0
21	23.267958	10.267175	38.77223	4.4009743	500.0	6.2020154	2.414396	10.183757	-0.29616138	352000	-2.9802322e-08	4.007494	-0.0059083155	-0.91737217	1.3475134	0.005021473	0.045500003	127.0	488.7917523384094	0.0	0.0	0.0	0.0	0.0
22	25.846931	10.39364	50.321613	3.7931776	500.0	6.3116865	2.5526772	10.5801325	-0.41403726	368000	1.4901161e-08	5.391185	-0.006691872	-0.7891416	1.3475134	0.007648646	0.05225	127.0	522.9168152809143	0.0	0.125	0.0	0.0	0.0
23	21.196808	10.026103	38.26807	3.737809	500.0	6.347029	2.5186124	10.626571	0.1546017	384000	-1.1175871e-08	4.0414896	-0.0060522957	-1.1535004	1.3475134	0.006668799	0.044062503	127.0	555.8275072574615	0.0	0.0	0.0	0.0	0.0
24	24.09865	8.185364	41.28381	6.2051044	500.0	6.582298	2.9331524	10.748255	-1.047734	400000	-7.450581e-09	3.245306	-0.0063883737	-0.4087746	1.3475134	0.0053014406	0.0468125	127.0	579.5412213802338	0.0	0.0625	0.0	0.0	0.0
25	22.14208	9.789301	36.85159	4.550245	500.0	6.0065165	2.5715346	9.974812	0.09088134	416000	3.1664968e-08	3.610723	-0.0068114065	-0.4769816	1.3475134	0.0043494627	0.051875003	127.0	603.1780450344086	0.0	0.0625	0.0	0.0	0.0
26	25.592907	10.920509	50.32293	6.1939282	500.0	6.3561616	2.5141845	9.431119	0.20694134	432000	-7.450581e-09	4.8082557	-0.0057433704	-0.49597883	1.3475134	0.006224199	0.044625	127.0	625.9098997116089	0.0	0.09375	0.0	0.0	0.0
27	23.248959	9.886183	40.917145	6.847794	500.0	6.258078	2.361934	9.447829	0.59126043	448000	2.9802322e-08	3.1206384	-0.006026433	-0.49477068	1.3475134	0.004057181	0.0449375	127.0	648.2485163211823	0.0	0.0625	0.0	0.0	0.0
28	27.501495	8.486875	41.834145	12.221715	500.0	6.4401493	2.2941587	9.785207	-0.0005185008	464000	2.4214387e-08	2.9511814	-0.0064161723	-0.5171777	1.3475134	0.0061336327	0.041062497	127.0	671.5600216388702	0.0	0.0625	0.0	0.0	0.0
29	27.526203	8.079472	38.63156	9.186558	500.0	6.911832	2.4636137	10.540268	0.33588445	480000	7.450581e-09	3.1608088	-0.006562965	-0.46150172	1.3475134	0.005663167	0.046375	127.0	694.4442858695984	0.0	0.0	0.0	0.0	0.0
30	25.518593	11.107438	41.749657	1.1231574	500.0	6.8482304	2.3779652	9.755871	0.37601662	496000	7.450581e-09	4.1198225	-0.005975348	-1.0009422	1.3475134	0.004616448	0.0355	127.0	716.7295663356781	0.0	0.03125	0.0	0.0	0.0
31	26.628178	9.353772	41.518394	8.978001	500.0	6.479341	2.4087086	10.201278	0.56617224	512000	-9.313226e-09	2.914937	-0.00711739	-0.37937087	1.3475134	0.0052522197	0.04575	127.0	739.5857689380646	0.0	0.0625	0.0	0.0	0.0
32	27.272896	8.460242	41.15763	10.635972	500.0	6.898362	2.5877817	10.828351	0.5900818	528000	1.4901161e-08	2.705912	-0.0064452216	-0.32077855	1.3475134	0.007586062	0.04775	127.0	762.682799577713	0.0	0.0625	0.0	0.0	0.0
33	29.670889	7.3620353	43.95944	13.640301	500.0	6.93283	2.47231	10.760351	0.5704467	544000	3.7252903e-09	2.6787117	-0.006442604	-0.564138	1.3475134	0.004035622	0.061375	127.0	786.3181521892548	0.0	0.15625	0.0	0.0	0.0
34	30.652834	8.543178	45.094204	5.325194	500.0	7.3915396	2.568956	10.852017	0.88343567	560000	2.2351742e-08	2.5678968	-0.007894692	-0.52410305	1.3475134	0.0070750844	0.062562495	127.0	809.1498715877533	0.0	0.0625	0.0	0.0	0.0
35	28.769924	6.890574	38.06967	6.3241615	500.0	7.2643147	2.754322	11.693825	1.0533354	576000	-1.4901161e-08	1.8283492	-0.007384097	-0.24212137	1.3475134	0.0061433753	0.061874997	127.0	832.7809302806854	0.0	0.125	0.0	0.0	0.0
36	32.2377	8.143397	58.05268	15.41698	500.0	7.832066	2.8083885	11.350732	1.1876715	592000	-3.7252903e-09	4.3801785	-0.005846193	-0.9545864	1.3475134	0.0062598726	0.0500625	127.0	856.8028399944305	0.0	0.1875	0.0	0.0	0.0
37	29.513594	6.5727205	44.173367	16.422338	500.0	7.8366017	2.7774947	11.099568	1.2842356	608000	-2.2351742e-08	2.0485692	-0.0073188646	-0.40419182	1.3475134	0.0054525523	0.0609375	127.0	881.1703560352325	0.0	0.0625	0.0	0.0	0.0
38	27.699402	7.8804784	40.779343	11.376558	500.0	7.290717	2.598202	10.894923	1.1382877	624000	-7.450581e-09	2.8432941	-0.007791594	-0.77047896	1.3475134	0.005764798	0.048625	127.0	904.7464237213135	0.0	0.0625	0.0	0.0	0.0
39	27.871265	7.0998816	40.467354	17.485249	500.0	6.8935604	2.6845374	10.444239	1.4740765	640000	7.450581e-09	2.6497216	-0.0064637475	-0.696869	1.3475134	0.0056433836	0.05225	127.0	928.2609000205994	0.0	0.09375	0.0	0.0	0.0
40	31.962963	9.067082	48.082775	5.486101	500.0	7.228931	2.6920643	10.432616	1.0951928	656000	-1.8626451e-08	3.32975	-0.007866677	-0.8288278	1.3475134	0.0065248227	0.0648125	127.0	952.0471112728119	0.0	0.3125	0.0	0.0	0.0
41	29.675472	8.758849	41.14911	8.198973	500.0	7.432987	2.5478756	10.79214	1.7123957	672000	0.0	2.1674764	-0.0073767733	-0.544014	1.3475134	0.007476581	0.054875	127.0	975.9325819015503	0.0	0.03125	0.0	0.0	0.0
42	29.266186	9.643527	55.435013	12.4273815	500.0	7.101296	2.670216	11.485124	1.2427365	688000	0.0	3.5721567	-0.007583033	-0.7049929	1.3475134	0.006565938	0.070875004	127.0	999.4249057769775	0.0	0.125	0.0	0.0	0.0
43	28.555092	7.3374333	42.471474	13.475326	500.0	7.4779334	2.8220289	12.095826	2.0078459	704000	-7.450581e-09	2.145872	-0.006761709	-0.61357224	1.3475134	0.005655184	0.0535	127.0	1034.7430970668793	0.0	0.09375	0.0	0.0	0.0
44	29.809757	7.48603	44.257557	13.604997	500.0	7.1416054	2.9936469	12.086355	0.90956557	720000	0.0	1.888678	-0.008753624	-0.29495516	1.3475134	0.0070934016	0.061875004	127.0	1063.2562594413757	0.0	0.09375	0.0	0.0	0.0
45	33.072044	10.138091	70.66231	15.824414	500.0	7.5879507	3.0497026	12.061101	1.3284731	736000	1.1175871e-08	3.823595	-0.0071852966	-0.47465235	1.3475134	0.008071365	0.063250005	127.0	1085.9443864822388	0.0	0.1875	0.0	0.0	0.0
46	31.811438	8.633897	43.061096	6.4241896	500.0	8.128023	3.2508836	13.227062	1.3966593	752000	-1.1175871e-08	2.2914555	-0.006711402	-0.37319046	1.3475134	0.006069636	0.0573125	127.0	1109.013860464096	0.0	0.125	0.0	0.0	0.0
47	32.744896	6.547862	42.97161	15.248956	500.0	8.297969	3.2111742	12.501139	1.2626119	768000	-9.313226e-09	1.7512152	-0.0069690314	-0.3454852	1.3475134	0.004856469	0.0488125	127.0	1134.119639635086	0.0	0.375	0.0	0.0	0.0
48	33.735146	7.807872	55.64398	19.652967	500.0	8.22102	2.895972	12.433426	1.5020827	784000	3.7252903e-09	2.249823	-0.005686816	-0.2142906	1.3475134	0.0046801395	0.0476875	127.0	1159.0630486011505	0.0	0.125	0.0	0.0	0.0
