Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.12627313	0.09514814	0.3925437	0.033158574	500.0	-0.19824573	0.022610385	-0.17114915	-0.32450444	16000	-1.3038516e-07	0.034145936	-0.005984381	-0.03243143	1.3564423	0.0063128853	0.063125	127.0	27.954196453094482	0.0	0.0	0.0	0.0	0.0
1	0.22648078	0.16054225	0.6292975	0.044787124	500.0	-0.016510306	0.027198883	0.040913157	-0.09501979	32000	6.7055225e-08	0.00213888	-0.011514977	-0.0013622001	1.3564423	0.006430307	0.12537499	127.0	53.29021620750427	0.0	0.0	0.0	0.0	0.0
2	0.52212214	0.3983047	1.8497021	0.08043108	500.0	0.04270837	0.02276494	0.08842101	-0.03573762	48000	5.9604645e-08	0.00745782	-0.009592782	-0.0027863865	1.3564423	0.007268141	0.091875	127.0	74.28286409378052	0.0	0.0	0.0	0.0	0.0
3	0.7440505	0.4399511	1.636314	0.23011982	500.0	0.104810804	0.020942852	0.16383244	0.02443152	64000	-1.4901161e-08	0.00975848	-0.009661181	-0.0031033019	1.3564423	0.0075111045	0.091125	127.0	101.8566951751709	0.0	0.0	0.0	0.0	0.0
4	1.1231709	0.7518674	3.3474944	0.277175	500.0	0.1633016	0.02715365	0.25665846	0.07692585	80000	-3.7252903e-08	0.030930936	-0.005722125	-0.0133653255	1.3564423	0.006166564	0.0631875	127.0	126.96638298034668	0.0	0.0	0.0	0.0	0.0
5	2.1527684	2.0308344	8.109121	0.41992036	500.0	0.26043877	0.07494759	0.50686204	0.07494792	96000	-3.7252903e-09	0.21917993	-0.006372759	-0.1355904	1.3564423	0.006153601	0.073375	127.0	163.7793607711792	0.0	0.0	0.0	0.0	0.0
6	4.080059	3.017334	12.013235	0.59623325	500.0	0.7233513	0.38783693	1.5231951	-0.03328105	112000	-5.5879354e-09	0.3996786	-0.007621584	-0.18150336	1.3564423	0.00816354	0.099	127.0	195.9090507030487	0.0	0.0	0.0	0.0	0.0
7	6.8410378	5.7644715	23.486473	0.7834941	500.0	1.23243	0.67535186	2.7451065	-0.24351175	128000	-2.2351742e-08	1.4787602	-0.008132137	-0.69720507	1.3564423	0.0072154775	0.095750004	127.0	232.50535130500793	0.0	0.0	0.0	0.0	0.0
8	12.535908	7.234656	25.639662	1.164471	500.0	2.2674696	1.4068284	5.5453253	-0.8823791	144000	3.7252903e-09	2.3814578	-0.008082423	-1.1959487	1.3564423	0.0080949925	0.085062504	127.0	261.1995532512665	0.0	0.0	0.0	0.0	0.0
9	13.280598	8.954938	30.139307	0.65139884	500.0	3.56892	2.3820248	7.52607	-1.8978882	160000	-3.7252903e-09	2.3073466	-0.008642511	-0.5037019	1.3564423	0.005368565	0.0744375	127.0	285.2674379348755	0.0	0.125	0.0	0.0	0.0
10	19.23154	7.4123673	34.69224	6.0089116	500.0	4.6494775	2.08765	7.940727	-0.7603747	176000	1.8626451e-09	2.2574248	-0.009808665	-0.48288655	1.3564423	0.006187695	0.077250004	127.0	309.14786744117737	0.0	0.15625	0.0	0.0	0.0
11	19.48441	7.5534697	37.45223	2.8931913	500.0	5.2877913	2.094009	8.668859	-0.47558406	192000	-1.21071935e-08	2.1047497	-0.008547412	-0.3857814	1.3564423	0.00537187	0.060875	127.0	335.8663456439972	0.0	0.125	0.0	0.0	0.0
12	22.854412	8.6920395	37.35889	5.991755	500.0	5.269954	2.025291	8.894059	-0.22282267	208000	-7.450581e-09	2.712819	-0.00976366	-0.6999561	1.3564423	0.0058133686	0.0725625	127.0	360.78544783592224	0.0	0.15625	0.0	0.0	0.0
13	23.652746	6.9703913	35.183887	7.743972	500.0	6.436568	2.0908685	9.406861	-0.81669843	224000	0.0	3.6903327	-0.009932988	-0.83012015	1.3564423	0.0072152307	0.076124996	127.0	384.19187903404236	0.0	0.0625	0.0	0.0	0.0
14	24.394909	7.7861686	34.683502	0.7511215	500.0	5.852153	1.8764309	8.531692	0.39924803	240000	5.5879354e-09	3.3547227	-0.008813681	-0.69887346	1.3564423	0.0076723583	0.070374995	127.0	407.6884353160858	0.0	0.0625	0.0	0.0	0.0
15	23.484241	8.889309	34.49292	0.6684714	500.0	6.0600286	1.7771275	8.682563	1.0370326	256000	2.7008355e-08	2.869419	-0.008716399	-0.5125905	1.3564423	0.006893067	0.063125	127.0	433.65005826950073	0.0	0.09375	0.0	0.0	0.0
16	25.919556	7.4066076	39.34672	1.1130525	500.0	5.905505	1.7971458	8.501222	-0.34023103	272000	-3.7252903e-09	2.3421412	-0.008567274	-0.15498365	1.3564423	0.00639467	0.0664375	127.0	456.94880199432373	0.0	0.125	0.0	0.0	0.0
17	27.108799	6.4785023	38.93609	9.989243	500.0	6.1834745	1.3952166	8.365195	0.7856073	288000	-2.9802322e-08	3.2790747	-0.0071902983	-0.37846357	1.3564423	0.0063048904	0.0510625	127.0	480.9228057861328	0.0	0.09375	0.0	0.0	0.0
18	29.175587	6.640163	41.718224	15.946966	500.0	6.261584	1.1205288	7.8843427	1.5651982	304000	-2.0489097e-08	3.2167358	-0.00860171	-0.72365594	1.3564423	0.006116784	0.071624994	127.0	506.3187940120697	0.0	0.1875	0.0	0.0	0.0
19	29.715733	7.645348	39.63515	1.196328	500.0	6.483544	1.5714704	8.917588	1.8362614	320000	7.450581e-09	2.559545	-0.008395851	-0.6248834	1.3564423	0.006981345	0.0633125	127.0	534.5638165473938	0.0	0.3125	0.0	0.0	0.0
20	29.058365	7.3039103	40.69381	14.015437	500.0	6.6847115	1.6309807	9.45729	-0.32838002	336000	2.2351742e-08	2.6802056	-0.009408837	-0.36316502	1.3564423	0.0064877644	0.065125	127.0	565.0375792980194	0.0	0.1875	0.0	0.0	0.0
21	30.156464	6.6767864	41.619736	16.898838	500.0	6.3931837	1.7267506	9.534467	-0.2209755	352000	-7.450581e-09	2.4001436	-0.009047608	-0.3451711	1.3564423	0.007118411	0.061312504	127.0	593.5597250461578	0.0	0.25	0.0	0.0	0.0
