Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.25629133	0.1601949	0.8430045	0.08078145	500.0	-0.17307341	0.032049607	-0.14123295	-0.3317219	16000	-7.450581e-09	0.03481181	-0.0052978885	-0.03257031	1.3564423	0.0058355266	0.0459375	127.0	29.777181148529053	0.0	0.0	0.0	0.0	0.0
1	0.527883	0.43289268	1.7890304	0.06416113	500.0	0.012142358	0.030360475	0.076573856	-0.09024446	32000	-4.4703484e-08	0.010073866	-0.009259448	-0.004898232	1.3564423	0.005639718	0.101125	127.0	55.61076784133911	0.0	0.0	0.0	0.0	0.0
2	1.5751207	1.3451229	4.7010975	0.18387341	500.0	0.12793371	0.039795537	0.23654002	-0.013029918	48000	-1.6763806e-08	0.09856598	-0.008273086	-0.037942983	1.3564423	0.0070265015	0.085187495	127.0	77.81179618835449	0.0	0.0	0.0	0.0	0.0
3	2.5200531	1.4833156	6.3144474	0.5539613	500.0	0.36634722	0.08606651	0.67185694	0.11339084	64000	-3.7252903e-08	0.11829874	-0.010651172	-0.04220389	1.3564423	0.007847513	0.1025625	127.0	102.74325370788574	0.0	0.0	0.0	0.0	0.0
4	6.3470383	3.8837457	17.201342	0.78844607	500.0	0.7007107	0.1549241	1.109929	0.23641029	80000	1.1175871e-08	1.1096861	-0.0076336972	-0.53553057	1.3564423	0.0058689495	0.075	127.0	126.30026388168335	0.0	0.0	0.0	0.0	0.0
5	11.637257	4.8029084	24.60371	3.758387	500.0	1.5193385	0.3799516	2.502147	0.35329562	96000	-2.2351742e-08	2.374372	-0.008734964	-1.2748967	1.3564423	0.0052144625	0.077125	127.0	152.18574452400208	0.0	0.0	0.0	0.0	0.0
6	14.350926	6.1329327	29.098812	3.011509	500.0	2.79402	0.6780575	4.2546144	0.8628586	112000	2.9802322e-08	2.2270265	-0.008697763	-0.69926393	1.3564423	0.0064792144	0.0824375	127.0	178.44191813468933	0.0	0.03125	0.0	0.0	0.0
7	19.197802	5.545433	29.205927	7.0457473	500.0	3.842924	1.2177913	5.846248	-0.015787225	128000	-7.450581e-09	2.5549426	-0.010355255	-0.97485185	1.3564423	0.0065172194	0.08624999	127.0	203.35798168182373	0.0	0.0625	0.0	0.0	0.0
8	21.473064	5.4384003	34.04604	9.603923	500.0	4.8259754	1.4687324	6.8598156	0.11611761	144000	9.313226e-09	1.835923	-0.011287661	-0.26096812	1.3564423	0.008245526	0.084750004	127.0	229.3455033302307	0.0	0.125	0.0	0.0	0.0
9	27.160336	4.8931055	37.361088	18.27989	500.0	5.5798497	1.3624215	7.1321526	0.92794544	160000	5.5879354e-09	2.1280148	-0.009173832	-0.5541903	1.3564423	0.0057591917	0.0706875	127.0	252.92880845069885	0.0	0.3125	0.0	0.0	0.0
