Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.10338026	0.07232951	0.35310218	0.030940112	500.0	-0.20042138	0.02284059	-0.17177922	-0.3312338	16000	-1.8626451e-08	0.03376393	-0.00544877	-0.03219291	1.3564423	0.006033166	0.0555625	127.0	24.945389986038208	0.0	0.0	0.0	0.0	0.0
1	0.20595463	0.14269753	0.60651445	0.043469097	500.0	-0.020825977	0.025074355	0.035853013	-0.09409817	32000	-6.7055225e-08	0.0021425597	-0.010849241	-0.001518761	1.3564423	0.0063128993	0.111875	127.0	48.90363359451294	0.0	0.0	0.0	0.0	0.0
2	0.35450906	0.21444982	0.9743315	0.068504855	500.0	0.04102785	0.021442391	0.08618037	-0.03424056	48000	-4.4703484e-08	0.0018611205	-0.01133132	-0.0005935206	1.3564423	0.0075493674	0.103750005	127.0	73.32000374794006	0.0	0.0	0.0	0.0	0.0
3	0.6184487	0.25223944	1.2246035	0.13864066	500.0	0.07568445	0.015412709	0.12157314	0.016369514	64000	-2.6077032e-08	0.0043922835	-0.012132607	-0.0021462427	1.3564423	0.008728789	0.10712501	127.0	98.14108085632324	0.0	0.0	0.0	0.0	0.0
4	1.0543153	0.37362155	2.0770674	0.35900322	500.0	0.13399963	0.017821636	0.17848185	0.049934037	80000	1.8626451e-08	0.013587625	-0.0071134027	-0.006266298	1.3564423	0.003985095	0.0590625	127.0	125.38350868225098	0.0	0.0	0.0	0.0	0.0
5	1.5837785	0.63600695	3.206662	0.65755767	500.0	0.21312243	0.024990294	0.30242443	0.12348182	96000	7.450581e-09	0.03653381	-0.006353055	-0.018139694	1.3564423	0.006153343	0.0585	127.0	149.87198209762573	0.0	0.0	0.0	0.0	0.0
6	1.85971	0.9286249	5.3920703	0.4559217	500.0	0.34774268	0.07359103	0.5112171	0.12747142	112000	-1.1175871e-08	0.050046038	-0.006892535	-0.0203285	1.3564423	0.0067522847	0.0648125	127.0	171.72438025474548	0.0	0.0	0.0	0.0	0.0
7	3.207807	2.5134294	12.669497	1.0796149	500.0	0.45532542	0.16714609	0.8644107	0.025153838	128000	2.2351742e-08	0.38968062	-0.006027205	-0.18682139	1.3564423	0.0061020833	0.0668125	127.0	197.90849447250366	0.0	0.0	0.0	0.0	0.0
8	5.9317966	2.6418989	11.509415	0.9559794	500.0	0.9104915	0.4136645	1.8409181	-0.09539127	144000	4.0978193e-08	0.71075845	-0.0073514287	-0.40698773	1.3564423	0.00849608	0.078625	127.0	222.05759859085083	0.0	0.0	0.0	0.0	0.0
9	8.973218	3.7379446	16.209345	2.8196602	500.0	1.6192158	0.8321201	3.1366768	-0.18856575	160000	2.2351742e-08	1.1133487	-0.008142408	-0.53042436	1.3564423	0.0062921345	0.08499999	127.0	250.85111832618713	0.0	0.0	0.0	0.0	0.0
10	12.075617	4.3123503	23.929672	5.373713	500.0	2.5064702	1.2806824	4.8315635	-0.00018223375	176000	3.1664968e-08	1.2586981	-0.009104485	-0.47892857	1.3564423	0.007879885	0.093187496	127.0	275.60446977615356	0.0	0.0	0.0	0.0	0.0
11	16.788387	6.119395	28.96976	7.474223	500.0	3.370339	1.5580077	5.769558	-0.206388	192000	-7.450581e-09	2.669258	-0.009165773	-0.82041776	1.3564423	0.007832188	0.083	127.0	303.8978464603424	0.0	0.125	0.0	0.0	0.0
