Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.11644173	0.07659822	0.35997	0.030940112	500.0	-0.20054686	0.022816397	-0.1727082	-0.33101636	16000	3.3527613e-08	0.034435418	-0.005386643	-0.032787368	1.3564423	0.005894779	0.053187497	127.0	27.22459650039673	0.0	0.0	0.0	0.0	0.0
1	0.19725308	0.14442779	0.594042	0.044393193	500.0	-0.019042222	0.025932662	0.039435834	-0.102859244	32000	7.4505806e-08	0.0019120558	-0.0114350915	-0.0013048886	1.3564423	0.007042022	0.1213125	127.0	51.66350984573364	0.0	0.0	0.0	0.0	0.0
2	0.40275916	0.22303554	0.97467476	0.062226243	500.0	0.03810273	0.021136465	0.08285803	-0.033180162	48000	-2.6077032e-08	0.0026203902	-0.010916481	-0.0009735748	1.3564423	0.007726804	0.102249995	127.0	79.0168867111206	0.0	0.0	0.0	0.0	0.0
3	0.74247265	0.5928581	3.663645	0.16721144	500.0	0.08116011	0.015844807	0.12403664	0.022715032	64000	0.0	0.019757776	-0.008578034	-0.006776709	1.3564423	0.007061637	0.09625	127.0	104.78620171546936	0.0	0.0	0.0	0.0	0.0
4	1.0253725	0.6732421	4.188942	0.41023916	500.0	0.1603283	0.03006313	0.28242344	0.067820154	80000	2.6077032e-08	0.022305146	-0.0069209733	-0.0064657107	1.3564423	0.006108105	0.078875	127.0	126.93235039710999	0.0	0.0	0.0	0.0	0.0
5	1.7666769	1.3198134	5.099169	0.32981503	500.0	0.25578013	0.07046164	0.46874923	0.08629988	96000	-5.9604645e-08	0.10363935	-0.007090713	-0.045786556	1.3564423	0.0060510742	0.06649999	127.0	152.85251784324646	0.0	0.0	0.0	0.0	0.0
6	3.759973	2.4001005	10.263116	0.5378462	500.0	0.50514436	0.23735829	1.0658603	0.008780092	112000	3.3527613e-08	0.38358933	-0.0064528063	-0.22321516	1.3564423	0.0070781405	0.0698125	127.0	177.3541443347931	0.0	0.0	0.0	0.0	0.0
7	5.7524385	3.6359808	16.614582	0.68127334	500.0	1.016286	0.51214033	2.3291993	-0.0921005	128000	-9.313226e-09	0.70288634	-0.008283815	-0.30333453	1.3564423	0.008074894	0.089687504	127.0	203.995187997818	0.0	0.0	0.0	0.0	0.0
8	10.150167	5.263163	22.047873	0.5403465	500.0	1.7546804	0.9916545	4.005844	-0.3949481	144000	-2.6077032e-08	1.646674	-0.008132177	-0.7557399	1.3564423	0.008194252	0.0790625	127.0	227.24847602844238	0.0	0.03125	0.0	0.0	0.0
9	11.794813	7.0888853	25.000957	0.6104574	500.0	2.9001565	1.5646751	5.698288	-0.23345536	160000	-2.2351742e-08	1.639826	-0.00783612	-0.26178628	1.3564423	0.0058790892	0.0773125	127.0	249.87601852416992	0.0	0.0	0.0	0.0	0.0
10	18.86605	6.0269527	33.847523	10.124817	500.0	3.898456	1.528736	6.2147274	-0.26441514	176000	2.188608e-08	2.6541724	-0.0096479235	-0.7309312	1.3564423	0.006210711	0.087312505	127.0	273.60864520072937	0.0	0.125	0.0	0.0	0.0
11	21.134003	10.413161	45.27781	4.956691	500.0	4.8245225	1.6104544	6.6967106	-0.044662133	192000	-7.450581e-09	5.252561	-0.0064704195	-0.7281518	1.3564423	0.00421404	0.0569375	127.0	296.1546275615692	0.0	0.09375	0.0	0.0	0.0
12	18.663443	6.5633726	33.647144	10.946877	500.0	5.380155	1.8959955	7.531494	-0.90190643	208000	3.7252903e-08	2.2147422	-0.008833771	-0.48108795	1.3564423	0.00673737	0.0714375	127.0	317.94709396362305	0.0	0.0625	0.0	0.0	0.0
13	24.23024	9.123292	48.14292	13.2105465	500.0	5.166788	1.646024	7.441788	-0.06402071	224000	0.0	4.574297	-0.008450373	-0.71017474	1.3564423	0.0071523553	0.071687505	127.0	345.2726500034332	0.0	0.0625	0.0	0.0	0.0
14	25.443142	7.6978464	38.68799	14.4828615	500.0	6.018361	1.5288879	7.892269	0.7466947	240000	1.1175871e-08	2.794043	-0.007884569	-0.2930789	1.3564423	0.0066489326	0.065125	127.0	371.3538177013397	0.0	0.0625	0.0	0.0	0.0
15	26.658968	10.608586	53.54847	1.0216874	500.0	6.0717773	1.5998803	8.246137	0.73653436	256000	-2.2351742e-08	5.077944	-0.008164536	-0.44829696	1.3564423	0.0074286773	0.0733125	127.0	396.4716944694519	0.0	0.3125	0.0	0.0	0.0
16	24.87148	10.918773	44.446743	0.35054526	500.0	5.943056	1.9497222	8.377551	0.31527278	272000	2.2351742e-08	2.9834032	-0.008224622	-0.47467744	1.3564423	0.005308889	0.06275	127.0	419.975031375885	0.0	0.21875	0.0	0.0	0.0
17	28.5895	9.6856165	44.75685	0.28562453	500.0	6.2465906	2.2107725	8.905116	-2.3870587	288000	2.2351742e-08	2.8569384	-0.008398068	-0.342059	1.3564423	0.008546092	0.060125	127.0	442.75410509109497	0.0	0.3125	0.0	0.0	0.0
18	31.036331	10.6925955	66.115204	13.916429	500.0	6.8948293	1.7093328	9.007123	0.36951053	304000	3.7252903e-09	4.752896	-0.007898294	-0.33372152	1.3564423	0.0055201105	0.0534375	127.0	468.9270782470703	0.0	0.34375	0.0	0.0	0.0
19	31.6335	7.1105895	51.699116	19.34233	500.0	7.078589	1.7128041	9.362063	0.41382256	320000	-1.4901161e-08	2.528998	-0.00869454	-0.39919776	1.3564423	0.007605453	0.0590625	127.0	495.0597927570343	0.0	0.3125	0.0	0.0	0.0
20	31.992107	7.8466644	46.329815	16.417667	500.0	7.3885226	1.9356303	10.086121	-0.77640486	336000	-2.2351742e-08	2.1706796	-0.009897778	-0.14229329	1.3564423	0.008693909	0.078125	127.0	518.039302110672	0.0	0.25	0.0	0.0	0.0
