Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.2326518	0.19276677	1.0114744	0.05037783	500.0	-0.17391339	0.032054532	-0.14141348	-0.3333398	16000	-1.4901161e-08	0.034225203	-0.0053311824	-0.03172402	1.3564423	0.005855091	0.0454375	127.0	23.380906581878662	0.0	0.0	0.0	0.0	0.0
1	0.48796153	0.4788101	1.6894809	0.039371606	500.0	0.008973041	0.030052684	0.071531504	-0.08881949	32000	3.7252903e-09	0.0109384805	-0.008414159	-0.0046365736	1.3564423	0.00526794	0.093812495	127.0	44.467528104782104	0.0	0.0	0.0	0.0	0.0
2	1.3338916	1.180105	3.672432	0.11775456	500.0	0.119581744	0.039158724	0.22166781	-0.016247578	48000	3.3527613e-08	0.06772407	-0.008079491	-0.02311531	1.3564423	0.00676281	0.0775	127.0	63.912172079086304	0.0	0.0	0.0	0.0	0.0
3	2.0249019	1.4778324	6.2667017	0.32392558	500.0	0.3025504	0.066902205	0.5578411	0.101858534	64000	-2.2351742e-08	0.08898822	-0.009324963	-0.031937495	1.3564423	0.0070768707	0.0906875	127.0	85.74815726280212	0.0	0.0	0.0	0.0	0.0
4	5.1658964	3.5482242	14.66849	0.52094245	500.0	0.5901694	0.13631901	0.9420621	0.1920993	80000	-7.450581e-09	0.7824552	-0.007888802	-0.36382255	1.3564423	0.0061946544	0.0775625	127.0	107.29992818832397	0.0	0.0	0.0	0.0	0.0
5	10.258017	5.093826	20.826128	1.661499	500.0	1.2819948	0.3464498	2.2342095	0.18233365	96000	-4.4703484e-08	2.1285949	-0.008710882	-1.1231354	1.3564423	0.0053898343	0.0751875	127.0	126.66327595710754	0.0	0.03125	0.0	0.0	0.0
6	12.075467	6.24239	34.64749	2.1633983	500.0	2.5583417	0.6726833	3.9242775	0.6723901	112000	1.4901161e-08	1.8354632	-0.007835114	-0.38271594	1.3564423	0.0068344735	0.081	127.0	147.58653616905212	0.0	0.0625	0.0	0.0	0.0
7	16.9502	7.8029904	38.37459	4.5450873	500.0	3.313312	1.175396	5.2113223	-0.20827684	128000	1.4901161e-08	3.5166755	-0.009224283	-1.0877964	1.3564423	0.0069462745	0.092562504	127.0	168.1790909767151	0.0	0.125	0.0	0.0	0.0
8	19.919954	8.200126	40.92351	10.446327	500.0	4.5428653	1.5043437	6.5490093	-0.42617032	144000	1.4901161e-08	4.12428	-0.00942985	-0.44336474	1.3564423	0.007770314	0.073062494	127.0	189.1551022529602	0.0	0.15625	0.0	0.0	0.0
9	23.671026	9.251923	44.508533	9.674728	500.0	5.109497	1.3949629	7.0376325	0.82995963	160000	-1.4901161e-08	4.283553	-0.008431267	-0.4816283	1.3564423	0.0063940426	0.085	127.0	212.33047103881836	0.0	0.28125	0.0	0.0	0.0
10	22.802355	9.646326	54.13031	13.167475	500.0	5.8106194	1.3842537	7.7734537	1.3269069	176000	-7.450581e-09	4.922348	-0.0068528056	-0.48788726	1.3564423	0.0060843527	0.0523125	127.0	233.28418922424316	0.0	0.25	0.0	0.0	0.0
11	28.8247	11.376557	52.97713	10.460577	500.0	5.557281	0.9807613	7.1033635	2.1586466	192000	-2.2351742e-08	7.751336	-0.00877891	-1.1690003	1.3564423	0.007554261	0.0685	127.0	253.8772909641266	0.0	0.375	0.0	0.0	0.0
12	32.24151	11.056192	60.8935	14.570654	500.0	6.657404	1.2955369	8.38573	1.8003677	208000	0.0	6.008636	-0.008320317	-0.6150182	1.3564423	0.0051593436	0.065875	127.0	274.07053422927856	0.0	0.34375	0.0	0.0	0.0
13	29.540363	11.406375	62.030895	16.098026	500.0	7.371528	1.3684391	9.230914	2.0070286	224000	2.9802322e-08	5.7751174	-0.008706346	-0.36465323	1.3564423	0.0061023217	0.058625005	127.0	297.42278933525085	0.0	0.21875	0.0	0.0	0.0
14	30.73214	7.8782864	50.72371	18.976213	500.0	7.128625	1.1565472	8.714613	2.5829115	240000	-7.450581e-09	2.7732182	-0.009366549	-0.10451049	1.3564423	0.0073543247	0.062875	127.0	319.27060198783875	0.0	0.21875	0.0	0.0	0.0
15	35.109802	9.359066	60.862534	20.361713	500.0	7.148829	1.1392305	8.6922245	2.1529865	256000	1.4901161e-08	5.006484	-0.0077686827	-0.7651312	1.3564423	0.0077606346	0.06325	127.0	340.1661002635956	0.0	0.21875	0.0	0.0	0.0
