Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.29071924	0.2694191	1.2645999	0.039446846	500.0	-0.1910223	0.030704357	-0.15868592	-0.34104812	16000	0.0	0.0440099	-0.005536817	-0.03965833	1.3564423	0.005815259	0.045874998	127.0	25.60629653930664	0.0	0.0	0.0	0.0	0.0
1	0.72543925	0.62703204	2.5220094	0.1061599	500.0	0.010761838	0.025141291	0.068915024	-0.0712532	32000	1.4901161e-08	0.022164173	-0.0063890247	-0.010681139	1.3564423	0.0043965867	0.0514375	127.0	45.568992137908936	0.0	0.0	0.0	0.0	0.0
2	0.9002584	0.6840552	2.6651669	0.12300581	500.0	0.12423799	0.032998007	0.21734132	0.008371718	48000	-2.6077032e-08	0.02098256	-0.007767268	-0.0048902836	1.3564423	0.0072828345	0.07425	127.0	67.55076932907104	0.0	0.0	0.0	0.0	0.0
3	1.941919	1.2930741	5.192419	0.17090397	500.0	0.19581549	0.038001943	0.3218677	0.0732129	64000	1.8626451e-08	0.10479152	-0.009566804	-0.04455602	1.3564423	0.008512616	0.099625	127.0	91.13995552062988	0.0	0.0	0.0	0.0	0.0
4	4.2752314	2.819661	13.062464	0.9324929	500.0	0.46760133	0.083894685	0.7249208	0.21159875	80000	-4.4703484e-08	0.5253933	-0.005406548	-0.21565673	1.3564423	0.004194167	0.04725	127.0	112.22314524650574	0.0	0.0	0.0	0.0	0.0
5	6.560194	4.4320126	19.24081	1.6908586	500.0	0.93935984	0.19947311	1.5032071	0.38958144	96000	-3.7252903e-08	1.1249619	-0.0074352333	-0.43679002	1.3564423	0.0051258816	0.068875	127.0	134.7046947479248	0.0	0.0	0.0	0.0	0.0
6	10.194562	4.510071	22.609903	3.5894005	500.0	1.6903024	0.48633417	2.9621038	0.33059525	112000	-2.4214387e-08	1.4060314	-0.0083649475	-0.66213006	1.3564423	0.006293037	0.0750625	127.0	155.89817762374878	0.0	0.0625	0.0	0.0	0.0
7	14.168291	9.104591	38.80649	2.8875303	500.0	2.6202178	0.9649716	4.415529	-0.010469269	128000	0.0	4.584509	-0.008109936	-1.1003091	1.3564423	0.0082921805	0.103562504	127.0	187.00416350364685	0.0	0.15625	0.0	0.0	0.0
8	21.940544	7.260326	37.719055	10.523431	500.0	3.7763042	1.2849803	6.369145	0.14799355	144000	-5.2154064e-08	4.7673335	-0.008264474	-1.9320257	1.3564423	0.0058785845	0.078875005	127.0	215.19356274604797	0.0	0.1875	0.0	0.0	0.0
9	23.876392	9.755128	57.435215	11.007401	500.0	5.2154346	1.6102005	7.4442306	-0.07314494	160000	-2.2351742e-08	4.8504095	-0.0076718167	-0.42303136	1.3564423	0.0052699307	0.067562506	127.0	239.4527349472046	0.0	0.1875	0.0	0.0	0.0
10	24.331032	10.169439	50.72183	11.358689	500.0	6.150099	1.5581461	7.9594426	0.79746723	176000	0.0	5.540164	-0.007428766	-0.29987016	1.3564423	0.006364164	0.0609375	127.0	260.22264099121094	0.0	0.21875	0.0	0.0	0.0
11	25.955093	11.22611	56.9524	7.794041	500.0	5.987298	1.1964347	7.307722	1.0211759	192000	7.450581e-09	5.9690223	-0.0076901847	-0.24684131	1.3564423	0.007568051	0.0795625	127.0	281.0793867111206	0.0	0.1875	0.0	0.0	0.0
