Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.38915834	0.47046447	2.1348417	0.029908212	500.0	-0.18982266	0.030770244	-0.15661281	-0.34091926	16000	-7.4505806e-08	0.053704657	-0.0053949617	-0.044904068	1.3564423	0.005644109	0.04025	127.0	20.653820753097534	0.0	0.0	0.0	0.0	0.0
1	1.0247579	1.0494815	4.1927733	0.10573488	500.0	0.024860289	0.027353648	0.08777294	-0.06277287	32000	0.0	0.05114509	-0.005744055	-0.020820279	1.3564423	0.004196963	0.04425	127.0	38.101073265075684	0.0	0.0	0.0	0.0	0.0
2	1.0124085	0.8600296	3.8268712	0.122481495	500.0	0.16891372	0.04274392	0.281559	0.020412482	48000	3.7252903e-09	0.02682651	-0.0077642663	-0.004541445	1.3564423	0.007673578	0.076124996	127.0	54.99541974067688	0.0	0.0	0.0	0.0	0.0
3	2.226034	1.6585304	7.1191807	0.1419663	500.0	0.22882223	0.04605623	0.36698163	0.062227204	64000	-3.3527613e-08	0.1420067	-0.0087584555	-0.0569218	1.3564423	0.008371176	0.089625	127.0	72.85887670516968	0.0	0.0	0.0	0.0	0.0
4	5.053281	3.9651723	18.310759	0.88391846	500.0	0.5375591	0.10298498	0.8881583	0.23745586	80000	1.4901161e-08	0.8744408	-0.005475791	-0.33246148	1.3564423	0.0042060763	0.042875003	127.0	90.24593305587769	0.0	0.0	0.0	0.0	0.0
5	6.691418	5.437881	24.172592	1.1629076	500.0	1.0669975	0.24662824	1.7204653	0.36819714	96000	-1.4901161e-08	1.2883729	-0.007366817	-0.45636573	1.3564423	0.004974312	0.0745625	127.0	109.9901807308197	0.0	0.0	0.0	0.0	0.0
6	10.360512	5.8340225	25.420935	2.3087504	500.0	1.8036568	0.5679257	3.3953578	0.016960613	112000	-4.656613e-08	1.6186752	-0.007864879	-0.67439675	1.3564423	0.0067500533	0.084437504	127.0	127.74055886268616	0.0	0.0	0.0	0.0	0.0
7	14.231694	9.719532	35.766155	1.4759457	500.0	2.8016372	1.0724432	4.8516307	-0.3792013	128000	-2.6077032e-08	4.197505	-0.0078928955	-1.4435828	1.3564423	0.00621542	0.0871875	127.0	145.84716653823853	0.0	0.0	0.0	0.0	0.0
8	21.620281	7.179245	37.44444	4.32571	500.0	3.9233258	1.2401981	6.256087	0.053721685	144000	5.5879354e-09	4.1841135	-0.010980853	-1.5608559	1.3564423	0.008123205	0.101625	127.0	164.59247875213623	0.0	0.09375	0.0	0.0	0.0
9	25.718819	13.347082	74.99269	7.830804	500.0	5.2434535	1.6802706	7.802034	-0.2205982	160000	4.8428774e-08	7.996947	-0.00961527	-1.4795127	1.3564423	0.007343857	0.102625	127.0	183.6724672317505	0.0	0.125	0.0	0.0	0.0
10	27.744148	9.138051	43.911026	7.5509133	500.0	6.8701105	1.7433672	9.189255	0.4643808	176000	-1.4901161e-08	4.5380006	-0.010154458	-0.71620226	1.3564423	0.008077551	0.0834375	127.0	201.6657419204712	0.0	0.03125	0.0	0.0	0.0
11	33.52113	16.019535	99.59331	10.610546	500.0	6.7689266	1.2525349	8.3048	-0.055907257	192000	2.2351742e-08	12.5993185	-0.007828304	-1.1053678	1.3564423	0.0068045	0.061125003	127.0	221.16300535202026	0.0	0.21875	0.0	0.0	0.0
12	33.670486	10.046489	50.050915	8.705863	500.0	7.5640445	1.3821189	9.131714	0.7814969	208000	2.9802322e-08	5.5104	-0.008947726	-0.32914513	1.3564423	0.0071955062	0.0738125	127.0	240.68436312675476	0.0	0.09375	0.0	0.0	0.0
13	34.565754	10.752616	76.69651	18.24987	500.0	7.8229957	1.1489868	9.021919	1.4509934	224000	0.0	6.6234474	-0.008631179	-0.5834799	1.3564423	0.008370142	0.07475	127.0	259.7880337238312	0.0	0.125	0.0	0.0	0.0
14	38.808887	14.533225	85.34945	19.220093	500.0	7.8461103	0.8723156	8.893713	2.4843965	240000	-1.4901161e-08	11.772228	-0.007901793	-1.0143343	1.3564423	0.008741025	0.068625	127.0	279.0504312515259	0.0	0.28125	0.0	0.0	0.0
15	34.169777	12.563884	67.83211	14.819256	500.0	8.390562	1.4381907	9.742763	0.8809671	256000	-4.4703484e-08	8.401526	-0.010019354	-1.4438758	1.3564423	0.007997794	0.0621875	127.0	298.08358454704285	0.0	0.1875	0.0	0.0	0.0
16	40.309658	13.026781	92.872	22.428957	500.0	8.081909	0.9238282	9.310484	3.1724663	272000	1.4901161e-08	8.702143	-0.0074151116	-0.74145484	1.3564423	0.0046685245	0.047	127.0	316.6436405181885	0.0	0.1875	0.0	0.0	0.0
17	41.459732	13.944933	89.9536	19.105185	500.0	8.471012	1.1903962	9.883898	2.4074235	288000	-1.4901161e-08	9.010407	-0.009169455	-0.73725486	1.3564423	0.007047469	0.07275	127.0	334.6494390964508	0.0	0.1875	0.0	0.0	0.0
18	45.94007	12.975602	79.64167	22.221899	500.0	9.256869	0.919079	10.516853	2.7793152	304000	2.2351742e-08	10.695478	-0.007573032	-1.0057712	1.3564423	0.006471543	0.066625	127.0	354.42134141921997	0.0	0.28125	0.0	0.0	0.0
