Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.5912556	0.73255366	3.166414	0.04778447	500.0	-0.31381372	0.028191378	-0.15633737	-0.36125237	16000	2.1606684e-07	0.16392003	-0.0053531025	-0.13538374	1.3564423	0.006054125	0.039187502	127.0	24.83897352218628	0.0	0.0	0.0	0.0	0.0
1	1.5359579	1.653392	7.046379	0.12970366	500.0	0.042667262	0.010793302	0.084992535	0.0019814074	32000	3.7252903e-08	0.18527415	-0.0037639458	-0.07166806	1.3564423	0.0038333503	0.0340625	127.0	47.82221031188965	0.0	0.0	0.0	0.0	0.0
2	2.9869423	3.2284863	14.130053	0.21015757	500.0	0.29443088	0.027685404	0.42148027	0.19133458	48000	-2.6077032e-08	0.6362047	-0.0050258264	-0.14111787	1.3564423	0.0067735612	0.05725	127.0	73.35966277122498	0.0	0.0	0.0	0.0	0.0
3	3.9408288	3.862791	15.017936	0.32052073	500.0	0.59974265	0.106260136	0.9515788	0.35338235	64000	7.450581e-09	0.8511182	-0.0068741445	-0.24864805	1.3564423	0.0079776505	0.071875006	127.0	97.61850142478943	0.0	0.0	0.0	0.0	0.0
4	7.770586	5.694277	28.672096	0.7523773	500.0	1.1820923	0.45016596	2.3484838	0.074177355	80000	-4.4703484e-08	2.257896	-0.0063935267	-0.7813505	1.3564423	0.004237344	0.065125	127.0	119.34203100204468	0.0	0.0	0.0	0.0	0.0
5	10.703993	5.6028	22.560692	1.7219764	500.0	2.1473627	1.0196663	4.034323	-0.2973352	96000	-2.9802322e-08	2.1010475	-0.007774556	-0.62681216	1.3564423	0.009206886	0.102875	127.0	139.88807439804077	0.0	0.0	0.0	0.0	0.0
6	10.987795	4.9323444	28.060894	4.5203915	500.0	3.1359897	1.270997	5.196098	-0.45754045	112000	1.4901161e-08	1.7241311	-0.008105194	-0.22353694	1.3564423	0.0068596853	0.0749375	127.0	161.35593485832214	0.0	0.0625	0.0	0.0	0.0
7	17.170204	6.450895	33.69861	5.7365336	500.0	3.1917973	1.5693595	5.5450983	-0.8993835	128000	2.2351742e-08	3.9851937	-0.007981472	-1.4019572	1.3564423	0.007501336	0.093125	127.0	185.39987468719482	0.0	0.0625	0.0	0.0	0.0
8	21.158272	4.8256316	30.120415	13.61368	500.0	4.6078854	1.9563245	6.892076	-0.7848803	144000	4.0978193e-08	2.5949917	-0.00855358	-0.5574841	1.3564423	0.008351347	0.082375005	127.0	216.8857500553131	0.0	0.0625	0.0	0.0	0.0
9	25.203377	7.9099507	43.089005	12.482388	500.0	5.5152116	1.9106523	7.337127	-0.1853362	160000	3.7252903e-09	5.095153	-0.009791177	-0.56144476	1.3564423	0.008847868	0.085374996	127.0	247.93217945098877	0.0	0.09375	0.0	0.0	0.0
10	29.99915	9.343929	56.164055	15.234455	500.0	6.29723	1.6802297	7.7178187	0.5913235	176000	1.4901161e-08	6.7100964	-0.006041119	-0.74753857	1.3564423	0.004690904	0.052125	127.0	279.5181305408478	0.0	0.3125	0.0	0.0	0.0
11	33.74308	8.189753	48.35564	21.66458	500.0	7.0819726	1.8893002	8.46861	0.4245755	192000	-1.4901161e-08	6.0286055	-0.007626949	-0.7823	1.3564423	0.0071096243	0.061187502	127.0	301.6921408176422	0.0	0.40625	0.0	0.0	0.0
12	32.853127	10.481356	54.976414	13.620718	500.0	8.022064	1.9042404	9.302732	0.70185703	208000	-3.7252903e-09	7.254332	-0.0069222846	-0.19649956	1.3564423	0.005473128	0.054375	127.0	325.2105493545532	0.0	0.1875	0.0	0.0	0.0
13	34.592705	10.681468	52.92314	15.059688	500.0	7.858628	1.6841104	9.035661	1.4823813	224000	0.0	6.5394945	-0.008433426	-0.20561887	1.3564423	0.0075047985	0.06981251	127.0	347.26366090774536	0.0	0.21875	0.0	0.0	0.0
14	33.66333	8.535448	51.481346	19.466057	500.0	8.071324	1.7059112	9.333632	1.5332732	240000	0.0	5.700378	-0.008460933	-0.2919042	1.3564423	0.008994157	0.062062502	127.0	368.7561342716217	0.0	0.4375	0.0	0.0	0.0
15	43.457	11.577149	69.28869	13.679721	500.0	8.034828	1.7029424	9.324715	2.046366	256000	-7.450581e-09	11.879541	-0.008199366	-3.2977972	1.3564423	0.006383093	0.0621875	127.0	390.62483286857605	0.0	0.59375	0.0	0.0	0.0
16	43.847244	10.212694	62.67153	18.609554	500.0	9.699183	2.0196111	11.029738	1.570007	272000	3.7252903e-09	7.3443613	-0.0077376133	-1.1299064	1.3564423	0.0063006333	0.0608125	127.0	413.88767170906067	0.0	0.34375	0.0	0.0	0.0
17	41.04124	12.366231	64.04512	20.831003	500.0	10.263943	1.995586	11.674677	2.4270325	288000	1.4901161e-08	8.100847	-0.0075594075	-0.71060616	1.3564423	0.0078090425	0.0559375	127.0	435.02515840530396	0.0	0.3125	0.0	0.0	0.0
18	44.076294	12.971767	81.31068	21.367569	500.0	9.481658	2.0825582	11.455968	2.5419428	304000	3.7252903e-09	8.643833	-0.008263916	-0.4067548	1.3564423	0.0057293456	0.0648125	127.0	457.97181510925293	0.0	0.5625	0.0	0.0	0.0
19	41.948357	10.783633	73.16282	20.63431	500.0	9.687504	2.7836936	11.860139	-4.0894394	320000	-4.656613e-10	7.0447016	-0.00859744	-0.8478681	1.3564423	0.008383442	0.068875	127.0	481.30755639076233	0.0	0.46875	0.0	0.0	0.0
20	45.71132	10.013153	61.116787	23.899487	500.0	9.722094	2.2038605	11.700509	0.4165228	336000	3.7252903e-09	5.3909016	-0.008509671	-0.9865188	1.3564423	0.006547839	0.0748125	127.0	504.4918529987335	0.0	0.34375	0.0	0.0	0.0
21	47.698906	15.566589	88.97773	20.065554	500.0	10.348833	2.4654505	12.781615	0.9967588	352000	8.381903e-09	13.344961	-0.00950502	-0.92262685	1.3564423	0.009630271	0.0806875	127.0	526.9758334159851	0.0	0.53125	0.0	0.0	0.0
