Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.5948802	0.7556227	3.3166869	0.0479412	500.0	-0.30425858	0.02817988	-0.14460003	-0.35400033	16000	7.4505806e-08	0.1597391	-0.0054158596	-0.13008484	1.3564423	0.006139786	0.0420625	127.0	21.29678773880005	0.0	0.0	0.0	0.0	0.0
1	1.537215	1.6746484	7.155292	0.12645666	500.0	0.04362575	0.010321416	0.09235956	0.0025656968	32000	-6.7055225e-08	0.18795687	-0.0039615314	-0.07152253	1.3564423	0.003976207	0.035125002	127.0	47.72555088996887	0.0	0.0	0.0	0.0	0.0
2	3.0251045	3.364418	14.752688	0.20591517	500.0	0.29586378	0.02640914	0.41587478	0.19729659	48000	-1.1175871e-08	0.6839801	-0.005138089	-0.15214896	1.3564423	0.0068404377	0.0571875	127.0	76.77013278007507	0.0	0.0	0.0	0.0	0.0
3	3.678258	3.7936642	15.756493	0.29959717	500.0	0.6024336	0.11428997	0.97657055	0.2926323	64000	-7.450581e-09	0.76968896	-0.0070195314	-0.214357	1.3564423	0.008138177	0.073562495	127.0	99.30922436714172	0.0	0.0	0.0	0.0	0.0
4	7.6369853	5.9177423	29.624996	0.71975213	500.0	1.1449361	0.4557607	2.3094413	-0.025867369	80000	7.450581e-09	2.3600245	-0.0062353034	-0.809802	1.3564423	0.00456688	0.070374995	127.0	118.05434465408325	0.0	0.0	0.0	0.0	0.0
5	10.416074	5.6644197	24.035118	1.3355315	500.0	2.1356778	1.0179713	3.9950726	-0.37356764	96000	0.0	1.9240204	-0.008561324	-0.55720884	1.3564423	0.00868172	0.1063125	127.0	137.16443538665771	0.0	0.0	0.0	0.0	0.0
6	10.666944	4.7449985	24.270132	3.7289422	500.0	3.0348692	1.2244877	4.94076	-0.5251907	112000	2.2351742e-08	1.4948137	-0.0093484875	-0.22556469	1.3564423	0.006437478	0.076625	127.0	158.43284916877747	0.0	0.0	0.0	0.0	0.0
7	17.097527	6.915456	38.570805	5.438452	500.0	3.0746589	1.4922111	5.28256	-0.94722104	128000	1.4901161e-08	4.4361444	-0.008099127	-1.5659366	1.3564423	0.0076752123	0.087437496	127.0	188.00321674346924	0.0	0.0625	0.0	0.0	0.0
8	21.635828	5.8201976	35.724796	11.969129	500.0	4.551651	1.8919605	6.832056	-0.7832334	144000	-3.7252903e-09	2.984246	-0.00928264	-0.72790945	1.3564423	0.008392654	0.0903125	127.0	214.624502658844	0.0	0.0625	0.0	0.0	0.0
9	25.75675	8.02712	53.502316	15.409027	500.0	5.6129003	1.9754388	7.75758	-0.50760585	160000	1.8626451e-09	5.4996414	-0.0092833135	-0.6447021	1.3564423	0.007753335	0.0791875	127.0	236.42756271362305	0.0	0.21875	0.0	0.0	0.0
10	29.832922	8.720028	53.932552	15.444709	500.0	6.452718	1.7252377	8.041218	-0.039080445	176000	1.4901161e-08	5.4143286	-0.007904619	-0.50142395	1.3564423	0.0048442413	0.063062504	127.0	254.94647812843323	0.0	0.125	0.0	0.0	0.0
11	34.462986	8.17567	50.300285	19.924547	500.0	7.1148925	1.8896817	8.6453285	0.41867515	192000	-5.5879354e-09	7.1063576	-0.008678088	-1.0231628	1.3564423	0.0067820353	0.069437504	127.0	276.049348115921	0.0	0.46875	0.0	0.0	0.0
12	32.110382	10.383844	55.99572	12.121958	500.0	8.113677	1.8815153	9.430338	0.54568994	208000	7.450581e-09	7.0433283	-0.0077592526	-0.5895437	1.3564423	0.0073030423	0.053375	127.0	295.2144160270691	0.0	0.15625	0.0	0.0	0.0
13	32.2212	10.341509	56.655678	17.162285	500.0	7.7452273	1.6483532	9.024615	1.180965	224000	-2.2351742e-08	6.8999624	-0.007793035	-0.24839261	1.3564423	0.007359287	0.057	127.0	316.0323450565338	0.0	0.1875	0.0	0.0	0.0
14	34.759655	14.015487	69.5498	19.970787	500.0	7.615098	1.5384942	8.867549	1.7448382	240000	-7.450581e-09	12.16038	-0.007015961	-0.4072188	1.3564423	0.007861438	0.067375004	127.0	334.89569783210754	0.0	0.28125	0.0	0.0	0.0
