Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.39601666	0.55147105	2.9887483	0.022704683	500.0	-0.31483546	0.027033696	-0.16118672	-0.36598063	16000	4.4703484e-08	0.12937668	-0.00539591	-0.11001733	1.3564423	0.0064461227	0.032375	127.0	20.79737663269043	0.0	0.0	0.0	0.0	0.0
1	0.9906408	1.0212284	4.2422833	0.060633875	500.0	0.004979526	0.0067015653	0.041059457	-0.021779928	32000	-3.3527613e-08	0.07136738	-0.0051741544	-0.030938419	1.3564423	0.0042910976	0.0389375	127.0	40.64091157913208	0.0	0.0	0.0	0.0	0.0
2	0.94460034	0.8118274	3.533626	0.1617437	500.0	0.1760111	0.014905543	0.21016455	0.12077197	48000	-5.5879354e-09	0.030098883	-0.004985483	-0.0034522838	1.3564423	0.005812624	0.04	127.0	60.17950916290283	0.0	0.0	0.0	0.0	0.0
3	2.6915598	2.4642942	8.068512	0.14714077	500.0	0.20443054	0.025587324	0.28775385	0.1102943	64000	7.450581e-09	0.43291098	-0.006471213	-0.1847459	1.3564423	0.00843246	0.063187495	127.0	78.76893162727356	0.0	0.0	0.0	0.0	0.0
4	4.129692	2.7246487	11.439902	0.592625	500.0	0.6539309	0.16435069	1.0963163	0.17459705	80000	2.9802322e-08	0.49662736	-0.0063021407	-0.18072659	1.3564423	0.0044704075	0.057	127.0	99.03449583053589	0.0	0.0	0.0	0.0	0.0
5	5.5124426	4.0468264	21.81086	0.9216031	500.0	1.0660044	0.46554378	2.0539277	-0.062881865	96000	-2.9802322e-08	0.9086599	-0.007831393	-0.21368591	1.3564423	0.00817523	0.0945625	127.0	118.95559000968933	0.0	0.0	0.0	0.0	0.0
6	7.190084	3.6745207	17.79091	1.997297	500.0	1.615948	0.63280666	2.8216548	-0.1790821	112000	-1.8626451e-08	0.7461995	-0.007976776	-0.2424486	1.3564423	0.007895176	0.087000005	127.0	138.56574201583862	0.0	0.0	0.0	0.0	0.0
7	11.900543	5.4232516	22.775345	3.8739705	500.0	2.0323608	1.0062855	3.9657307	-0.61013675	128000	3.5390258e-08	2.2138157	-0.01023148	-1.0484997	1.3564423	0.008325578	0.10075	127.0	159.9276201725006	0.0	0.0	0.0	0.0	0.0
8	22.64641	7.234194	44.58855	9.000336	500.0	3.2951155	1.4002596	5.29222	-0.44484133	144000	3.7252903e-08	7.951022	-0.008463331	-4.599079	1.3564423	0.006942442	0.074499995	127.0	179.43788385391235	0.0	0.25	0.0	0.0	0.0
9	25.885292	8.287379	46.960793	11.840025	500.0	5.3949594	2.2082717	7.8851147	-1.6454345	160000	-2.9802322e-08	5.2777004	-0.0098188035	-0.96794057	1.3564423	0.0070674447	0.082	127.0	202.13408660888672	0.0	0.21875	0.0	0.0	0.0
10	31.465523	11.809155	75.40022	16.105814	500.0	6.582034	2.1929283	8.821937	-0.8778089	176000	-1.8626451e-08	10.132429	-0.009808531	-1.2744789	1.3564423	0.007927227	0.07925	127.0	221.94487142562866	0.0	0.21875	0.0	0.0	0.0
