Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.3858161	0.52491665	2.835604	0.022023333	500.0	-0.32566205	0.026795488	-0.17165416	-0.37491834	16000	5.9604645e-08	0.13311365	-0.0053158146	-0.11457753	1.3564423	0.006413321	0.0335625	127.0	23.417869806289673	0.0	0.0	0.0	0.0	0.0
1	0.961741	0.9923736	4.1209474	0.05755377	500.0	0.0026645332	0.006252663	0.047003463	-0.026307598	32000	2.9802322e-08	0.067563385	-0.005184673	-0.02962954	1.3564423	0.004520186	0.041125	127.0	42.436197996139526	0.0	0.0	0.0	0.0	0.0
2	0.91393423	0.7881165	3.6060452	0.15358762	500.0	0.16898021	0.014778403	0.20339805	0.11582526	48000	2.4214387e-08	0.02771655	-0.004782724	-0.0030093752	1.3564423	0.005813732	0.038000003	127.0	61.41481375694275	0.0	0.0	0.0	0.0	0.0
3	2.652007	2.4672554	7.9554825	0.13199335	500.0	0.19723022	0.022914305	0.27579874	0.10913191	64000	7.450581e-09	0.4309379	-0.006264489	-0.18016118	1.3564423	0.008605062	0.063374996	127.0	81.88262796401978	0.0	0.0	0.0	0.0	0.0
4	4.0592337	2.8593342	11.529966	0.51537323	500.0	0.6331982	0.14999314	1.0575907	0.19121088	80000	1.4901161e-08	0.529057	-0.0058684787	-0.18489088	1.3564423	0.004344766	0.053937502	127.0	101.8033561706543	0.0	0.0	0.0	0.0	0.0
5	5.53657	4.149586	22.093096	0.95873654	500.0	1.0448841	0.45120332	2.0354226	-0.05505257	96000	1.4901161e-08	0.98616827	-0.007559971	-0.2272848	1.3564423	0.008311359	0.092250004	127.0	122.29166674613953	0.0	0.0	0.0	0.0	0.0
6	7.296664	3.774296	18.224947	1.8583964	500.0	1.6123255	0.63669574	2.8266406	-0.17780876	112000	5.5879354e-09	0.8060627	-0.0080947615	-0.23785369	1.3564423	0.0079755485	0.0905625	127.0	141.1240894794464	0.0	0.0	0.0	0.0	0.0
7	12.353127	6.1486235	28.633863	3.8826942	500.0	2.0786548	1.0132405	3.9920583	-0.5351912	128000	1.4901161e-08	2.7179084	-0.010271423	-1.1723344	1.3564423	0.00856497	0.10325	127.0	160.27771139144897	0.0	0.0625	0.0	0.0	0.0
8	22.687359	7.188539	39.536057	9.255813	500.0	3.3940806	1.4609338	5.43796	-0.55861664	144000	8.4750354e-08	7.7005606	-0.007945073	-4.2826643	1.3564423	0.007201803	0.071562506	127.0	181.22051405906677	0.0	0.1875	0.0	0.0	0.0
9	26.18304	7.9671235	45.522705	14.4798975	500.0	5.4465237	2.2366805	8.037256	-1.3616651	160000	-2.2351742e-08	5.2907195	-0.008349451	-1.0241437	1.3564423	0.0054096393	0.072	127.0	200.19514751434326	0.0	0.15625	0.0	0.0	0.0
10	31.564434	10.110537	57.76608	17.819838	500.0	6.6618195	2.2444499	8.992576	-0.74504644	176000	1.1175871e-08	7.947858	-0.009260218	-1.1305895	1.3564423	0.007369533	0.0721875	127.0	221.0825002193451	0.0	0.4375	0.0	0.0	0.0
