Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.15229075	0.11794063	0.42204735	0.021612195	500.0	0.04151695	0.02365787	0.12482099	-0.046012655	16000	-5.5879354e-09	0.0010242844	-0.009526538	-0.0006199778	1.3564423	0.0068987748	0.075125	127.0	24.970677852630615	0.0	0.0	0.0	0.0	0.0
1	0.34347022	0.26754868	1.0636005	0.042246263	500.0	0.045049276	0.010923634	0.07538064	-0.0046476778	32000	0.0	0.002352187	-0.008189017	-0.0012273365	1.3564423	0.006019348	0.0775	127.0	47.466209411621094	0.0	0.0	0.0	0.0	0.0
2	0.7248764	0.59712446	2.5285351	0.14360029	500.0	0.08697395	0.021582885	0.16395794	0.03415394	48000	-2.2351742e-08	0.015263554	-0.0075327894	-0.008924624	1.3564423	0.006481887	0.08325	127.0	70.06664037704468	0.0	0.0	0.0	0.0	0.0
3	1.7852024	1.6280776	7.876956	0.15224564	500.0	0.2222795	0.09761662	0.48786655	-0.027725417	64000	4.4703484e-08	0.12009781	-0.0064354213	-0.05643107	1.3564423	0.008170258	0.093375	127.0	94.31470084190369	0.0	0.0	0.0	0.0	0.0
4	3.4166777	2.585146	12.70185	0.1945595	500.0	0.5657844	0.27680185	1.3412766	-0.02176962	80000	-3.7252903e-08	0.3795673	-0.007297366	-0.18739648	1.3564423	0.007610919	0.0918125	127.0	119.62993240356445	0.0	0.0	0.0	0.0	0.0
5	5.5895634	3.1531575	12.738312	0.9432561	500.0	0.94423866	0.50423014	2.1709952	-0.116224214	96000	-2.2351742e-08	0.66719794	-0.009152021	-0.32087672	1.3564423	0.008145038	0.109625004	127.0	143.5502393245697	0.0	0.0	0.0	0.0	0.0
6	13.529116	5.347283	25.014723	4.8317394	500.0	1.8146573	0.7631226	3.2228107	-0.2322611	112000	6.891787e-08	3.2271333	-0.0062486874	-1.8528507	1.3564423	0.0053237444	0.0585	127.0	168.5836055278778	0.0	0.0	0.0	0.0	0.0
7	15.771748	6.5877566	28.799637	3.052197	500.0	3.2925894	1.2417784	5.386164	-0.10356775	128000	7.450581e-09	3.0870469	-0.0057486924	-1.0757086	1.3564423	0.0068091364	0.0706875	127.0	193.28844332695007	0.0	0.0	0.0	0.0	0.0
8	21.07069	7.2459455	38.173862	4.4504085	500.0	4.309986	1.7933335	6.7712026	-0.5777745	144000	5.5879354e-08	3.5736551	-0.0075337198	-0.86612284	1.3564423	0.0074136304	0.078375	127.0	215.98426294326782	0.0	0.0	0.0	0.0	0.0
9	20.302353	6.380429	34.346592	7.394806	500.0	5.386471	2.0706763	7.9629908	-0.1415427	160000	1.8626451e-08	3.285948	-0.0076614926	-0.15921158	1.3564423	0.0069017042	0.0639375	127.0	242.5189974308014	0.0	0.0	0.0	0.0	0.0
