Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.15244316	0.117923334	0.42204735	0.021612195	500.0	0.041542318	0.023644604	0.12482099	-0.046012655	16000	-1.8626451e-09	0.0010245212	-0.009755543	-0.0006197991	1.3564423	0.006923275	0.077125	127.0	35.353116512298584	0.0	0.0	0.0	0.0	0.0
1	0.34676692	0.27037758	1.074825	0.042468067	500.0	0.044998888	0.010890158	0.07518409	-0.0046639666	32000	-5.5879354e-09	0.0024224445	-0.008226786	-0.0012688427	1.3564423	0.0059728064	0.076875	127.0	64.48188042640686	0.0	0.0	0.0	0.0	0.0
2	0.7368877	0.6062394	2.5504613	0.1466424	500.0	0.08761528	0.021727381	0.16483487	0.031848513	48000	3.7252903e-08	0.015914608	-0.0074457787	-0.009320146	1.3564423	0.0064683305	0.082187496	127.0	86.89910507202148	0.0	0.0	0.0	0.0	0.0
3	1.8204699	1.6656082	8.078302	0.15427949	500.0	0.22463895	0.09856431	0.49052665	-0.027861072	64000	2.2351742e-08	0.12704936	-0.006344028	-0.05945198	1.3564423	0.008117519	0.092374995	127.0	106.86172914505005	0.0	0.0	0.0	0.0	0.0
4	3.461123	2.5988874	12.836524	0.1959556	500.0	0.5743983	0.28111154	1.3665116	-0.021858957	80000	-2.2351742e-08	0.3830449	-0.007307605	-0.19149268	1.3564423	0.007684215	0.0931875	127.0	126.91139221191406	0.0	0.0	0.0	0.0	0.0
5	5.6240535	3.17508	12.794224	0.9313556	500.0	0.9590916	0.5127358	2.1911087	-0.12213343	96000	-1.8626451e-09	0.6744314	-0.009006086	-0.32656324	1.3564423	0.008045018	0.107687496	127.0	146.01617765426636	0.0	0.0	0.0	0.0	0.0
6	13.762111	5.511273	25.447441	4.5899987	500.0	1.8195955	0.77233696	3.225086	-0.23036948	112000	1.9557774e-08	3.4290667	-0.0060358588	-2.0076349	1.3564423	0.0052689137	0.055	127.0	165.9509792327881	0.0	0.0	0.0	0.0	0.0
7	15.838533	6.467122	28.182884	2.951521	500.0	3.3345575	1.2775798	5.419368	-0.12150027	128000	1.8626451e-09	2.9806151	-0.0057997997	-1.0249577	1.3564423	0.0068215015	0.072125	127.0	186.1359899044037	0.0	0.0	0.0	0.0	0.0
8	21.136572	7.2364354	37.93014	4.821191	500.0	4.334865	1.8014904	6.83789	-0.56939113	144000	-2.6077032e-08	3.5717576	-0.0075525623	-0.8553422	1.3564423	0.0073954756	0.07906251	127.0	204.25546741485596	0.0	0.0	0.0	0.0	0.0
9	20.317024	6.463933	36.0779	7.195559	500.0	5.4054728	2.0802464	7.9727373	-0.17358857	160000	2.6077032e-08	3.3088677	-0.007739741	-0.16539615	1.3564423	0.0072124097	0.0633125	127.0	222.30066466331482	0.0	0.0	0.0	0.0	0.0
10	22.553139	7.416044	42.749622	11.546352	500.0	5.762819	2.0335267	8.443111	-0.110582754	176000	7.450581e-09	4.13	-0.006711767	-0.5763375	1.3564423	0.005839759	0.0529375	127.0	242.70311307907104	0.0	0.0	0.0	0.0	0.0
11	23.804464	9.644413	43.2579	11.925453	498.21875	5.796251	1.4807256	7.54265	0.73568285	192000	-9.313226e-10	6.227978	-0.0068148184	-0.37119457	1.3564423	0.007579864	0.06725	127.0	262.07811641693115	0.0	0.03125	0.0	0.0	0.0
12	21.458935	8.806705	40.019535	8.019103	500.0	5.8558393	1.1567762	6.9783344	1.5277209	208000	-2.4214387e-08	5.2480936	-0.0057573374	-0.62492704	1.3564423	0.0067353984	0.057125	127.0	285.04400539398193	0.0	0.0	0.0	0.0	0.0
13	22.142622	8.631594	41.855278	12.528046	498.8125	5.2297807	0.86414397	5.998437	1.9437957	224000	1.8626451e-08	4.6823487	-0.0059193443	-0.14312094	1.3564423	0.0072152535	0.0464375	127.0	306.79751777648926	0.0	0.0	0.0	0.0	0.0
