Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.058177583	0.037473336	0.18653867	0.013891688	500.0	0.0030437515	0.030655956	0.10199564	-0.068273485	16000	5.5879354e-09	0.0007441498	-0.008109986	-0.00062892254	1.3564423	0.0062463353	0.071875006	127.0	23.23216724395752	0.0	0.0	0.0	0.0	0.0
1	0.08546786	0.048751857	0.19277786	0.017908959	500.0	0.013252604	0.008029837	0.0603936	-0.03704057	32000	-1.3969839e-08	9.526011e-05	-0.010283936	-4.599613e-05	1.3564423	0.0061046067	0.0865625	127.0	42.05644989013672	0.0	0.0	0.0	0.0	0.0
2	0.17326578	0.12512264	0.5078723	0.028178075	500.0	0.021631274	0.008545582	0.04950072	-0.007509034	48000	3.7252903e-09	0.0005359234	-0.010546107	-0.00033074443	1.3564423	0.007585648	0.100187495	127.0	61.418142795562744	0.0	0.0	0.0	0.0	0.0
3	0.44015554	0.3080423	1.2214153	0.019883499	500.0	0.054557975	0.020839693	0.120505355	0.002197601	64000	4.4703484e-08	0.004525386	-0.009044709	-0.0025449344	1.3564423	0.0089162635	0.10250001	127.0	80.80977869033813	0.0	0.0	0.0	0.0	0.0
4	1.0188581	0.63913554	3.4482334	0.13969119	500.0	0.13739613	0.051095232	0.31154788	-0.024056606	80000	5.2154064e-08	0.02816695	-0.00822413	-0.015599258	1.3564423	0.0068908143	0.0890625	127.0	101.04392099380493	0.0	0.0	0.0	0.0	0.0
5	2.0247047	0.9816648	4.642694	0.33279082	500.0	0.2855149	0.13916421	0.80883306	-0.0361849	96000	7.450581e-09	0.08599794	-0.00893021	-0.05648418	1.3564423	0.008428624	0.1043125	127.0	119.65757179260254	0.0	0.0	0.0	0.0	0.0
6	5.078156	3.1269302	12.894078	1.7042487	500.0	0.68135655	0.304449	1.3300749	-0.09048084	112000	1.8626451e-08	0.81303024	-0.0049938494	-0.42770937	1.3564423	0.003322315	0.050125	127.0	139.45641350746155	0.0	0.0	0.0	0.0	0.0
7	6.5680513	3.059739	14.195277	1.8618946	500.0	1.3440598	0.6931727	2.992205	-0.24415384	128000	1.6763806e-08	0.6583582	-0.007814625	-0.2446504	1.3564423	0.008602921	0.1055	127.0	158.57032442092896	0.0	0.0	0.0	0.0	0.0
8	11.925358	4.8252335	20.910786	2.3215418	500.0	2.1367369	1.0221449	4.1018195	-0.12094495	144000	-7.450581e-09	2.3087773	-0.005800911	-1.078331	1.3564423	0.0048292754	0.050125003	127.0	180.41231989860535	0.0	0.0	0.0	0.0	0.0
9	12.067224	4.9203835	23.186811	5.42232	498.4375	3.2317286	1.6344651	5.870345	-0.43531898	160000	1.1175871e-08	1.5221031	-0.0067189075	-0.16036022	1.3564423	0.0067608356	0.059687503	127.0	200.61913585662842	0.0	0.0	0.0	0.0	0.0
