Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.69004166	0.47464663	2.090132	0.14446573	500.0	0.092978805	0.016052974	0.14000303	0.045530714	16000	0.0	0.010580204	-0.0057213274	-0.003552497	1.3564423	0.007568064	0.047375	127.0	27.703026056289673	0.0	0.0	0.0	0.0	0.0
1	1.1972625	0.8695081	3.3909767	0.27595702	500.0	0.13131022	0.036552083	0.21234742	-0.0037508756	32000	-1.1175871e-08	0.0348804	-0.005040342	-0.011479053	1.3564423	0.006070522	0.052875	127.0	49.880701780319214	0.0	0.0	0.0	0.0	0.0
2	1.5358562	0.8447499	3.5921378	0.35858998	500.0	0.20933624	0.06731951	0.38298157	-0.051249944	48000	-9.313226e-09	0.027663143	-0.0083577875	-0.012929421	1.3564423	0.0056715673	0.0808125	127.0	74.24117136001587	0.0	0.0	0.0	0.0	0.0
3	3.4213195	2.8795145	13.545657	0.35975158	500.0	0.32852885	0.09350212	0.57183105	0.055910364	64000	3.7252903e-08	0.3823291	-0.007158365	-0.15815645	1.3564423	0.006668854	0.0721875	127.0	96.11076521873474	0.0	0.0	0.0	0.0	0.0
4	7.1484165	5.9821825	23.863207	0.5706689	500.0	0.8217961	0.17511956	1.3993094	0.32008797	80000	-1.4901161e-08	1.9204803	-0.0073858975	-0.87745905	1.3564423	0.008427987	0.07431249	127.0	119.32941746711731	0.0	0.0	0.0	0.0	0.0
5	11.942486	7.365212	31.537817	2.0830362	500.0	1.7033948	0.5847097	3.2403498	-0.22681212	96000	1.1175871e-08	3.1711173	-0.008206408	-1.5929353	1.3564423	0.0041974247	0.066062495	127.0	143.33518815040588	0.0	0.0	0.0	0.0	0.0
6	21.340631	8.395104	42.959076	3.5763626	500.0	3.2436552	1.2474606	5.804633	-0.5032485	112000	4.4703484e-08	5.7504764	-0.00828951	-3.150659	1.3564423	0.0032158021	0.065937504	127.0	165.70899057388306	0.0	0.0625	0.0	0.0	0.0
7	21.728836	8.401342	39.994053	7.503617	500.0	4.9107227	1.8219051	8.269591	-0.60911053	128000	-1.8626451e-09	3.0202072	-0.010879642	-0.5865431	1.3564423	0.0070042973	0.09125	127.0	190.3050479888916	0.0	0.0	0.0	0.0	0.0
8	27.605669	6.522028	38.8834	13.337584	500.0	6.446611	2.0718906	9.129344	-0.80857	144000	-7.450581e-09	3.4543517	-0.008137003	-0.44819105	1.3564423	0.0059987428	0.06649999	127.0	215.49599719047546	0.0	0.0625	0.0	0.0	0.0
9	31.340538	11.9506	74.57889	14.121997	500.0	6.733916	1.7269851	8.85999	0.3915484	160000	-3.7252903e-09	8.445679	-0.009312748	-0.70409435	1.3564423	0.007786403	0.09025	127.0	237.38761472702026	0.0	0.21875	0.0	0.0	0.0
10	32.721264	10.972672	68.067474	13.578267	500.0	7.613531	1.8954133	9.695541	0.6580496	176000	1.1175871e-08	7.451997	-0.006761355	-0.72917914	1.3564423	0.006347376	0.0541875	127.0	260.74690437316895	0.0	0.1875	0.0	0.0	0.0
11	33.9842	12.736978	74.72201	11.580919	500.0	7.803628	1.2318485	8.928118	2.0243213	192000	-1.4901161e-08	9.089603	-0.0071238885	-0.10109958	1.3564423	0.0059096953	0.061	127.0	284.9551193714142	0.0	0.28125	0.0	0.0	0.0
12	33.705795	12.351649	70.68323	17.399525	500.0	7.961193	1.2564467	9.037752	2.0691879	208000	-3.7252903e-08	8.240107	-0.007967081	-0.18014817	1.3564423	0.0051032053	0.0598125	127.0	309.12239599227905	0.0	0.1875	0.0	0.0	0.0
13	39.263474	15.245197	89.063194	22.621002	500.0	7.7393713	1.0472732	8.553107	2.4477155	224000	3.7252903e-08	15.256749	-0.007794044	-1.0767729	1.3564423	0.007273202	0.0754375	127.0	334.82743072509766	0.0	0.3125	0.0	0.0	0.0
14	41.6422	16.656227	94.07807	24.173876	500.0	8.695612	1.2999296	9.569703	1.7612317	240000	1.8626451e-08	14.086476	-0.008402817	-0.65851945	1.3564423	0.0074228314	0.0684375	127.0	361.2835602760315	0.0	0.3125	0.0	0.0	0.0
15	44.807014	22.826197	139.60423	22.283503	500.0	9.3215275	1.306913	10.296715	1.6257961	256000	6.7055225e-08	25.8439	-0.00807721	-1.3790108	1.3564423	0.008536793	0.07525	127.0	384.20301938056946	0.0	0.28125	0.03125	0.0	0.0
16	46.31744	12.211678	87.96115	23.674093	500.0	9.859545	1.4460043	10.916759	2.0746155	272000	-1.8626451e-08	9.222815	-0.007080727	-0.31319723	1.3564423	0.0066884235	0.0575625	127.0	410.2738709449768	0.0	0.25	0.0	0.0	0.0
17	49.33625	14.577842	96.349945	29.665989	500.0	10.247354	1.1742797	11.085668	3.9220104	288000	-9.313226e-10	12.765888	-0.008446247	-0.47761607	1.3564423	0.007518542	0.070250005	127.0	435.10889172554016	0.0	0.28125	0.0	0.0	0.0
18	46.827076	17.11491	125.62734	31.932436	500.0	10.936254	1.3129513	11.712776	3.4297187	304000	-1.1175871e-08	13.681945	-0.007780552	-0.34281346	1.3564423	0.008513057	0.0755	127.0	461.43405055999756	0.0	0.15625	0.0	0.0	0.0
19	49.041557	20.741238	129.4643	29.70181	500.0	10.582403	1.3823948	11.538015	3.4662888	320000	7.450581e-09	19.98433	-0.008170897	-0.3286877	1.3564423	0.0087321075	0.083875	127.0	487.52542877197266	0.0	0.40625	0.0	0.0	0.0
20	46.5552	18.543118	112.868774	32.08905	500.0	10.882179	1.2568846	11.786938	3.085108	336000	-7.450581e-09	16.272938	-0.008751463	-0.93821424	1.3564423	0.009363176	0.078875	127.0	512.4632687568665	0.0	0.25	0.0	0.0	0.0
21	50.606903	18.530008	113.92135	32.61134	500.0	10.33866	1.1386698	11.342759	1.5970285	352000	0.0	16.889563	-0.007405619	-1.3487177	1.3564423	0.008213762	0.06625	127.0	537.4213833808899	0.0	0.53125	0.0	0.0	0.0
22	65.344925	32.221764	136.68732	36.977688	500.0	10.889438	1.6448643	12.507679	2.1347287	368000	-2.9802322e-08	57.88871	-0.009164009	-11.38803	1.3564423	0.008360135	0.0818125	127.0	565.5234687328339	0.0	0.5	0.09375	0.0	0.0
23	51.548195	15.599618	127.41804	31.762384	500.0	13.576811	1.8193078	14.76869	4.5101094	384000	7.450581e-09	13.840137	-0.008784695	-3.6080248	1.3564423	0.009592414	0.093875006	127.0	589.5348663330078	0.0	0.375	0.0	0.0	0.0
24	56.16434	24.374262	129.55399	34.347485	500.0	11.937979	1.7946246	13.779319	4.8439646	400000	-1.8626451e-08	26.913883	-0.008692944	-0.99900603	1.3564423	0.008136723	0.0755	127.0	613.8701961040497	0.0	0.4375	0.0	0.0	0.0
25	55.572227	19.414776	133.62708	37.534035	500.0	12.2242365	1.7027189	14.006104	4.7803893	416000	1.4901161e-08	16.268326	-0.009436573	-0.23696291	1.3564423	0.007436104	0.095	127.0	638.7691369056702	0.0	0.53125	0.0	0.0	0.0
26	61.31792	28.009079	132.17274	21.641668	500.0	12.202746	1.6603262	14.164512	5.477355	432000	1.4901161e-08	34.08665	-0.009768376	-3.3572354	1.3564423	0.009542709	0.0903125	127.0	661.6700081825256	0.0	0.5625	0.0	0.0	0.0
27	55.297565	13.55768	84.89261	34.064487	500.0	13.221639	2.2856636	15.540226	1.9575179	448000	0.0	10.994705	-0.008781301	-2.3415742	1.3564423	0.0064650867	0.073312506	127.0	687.4995574951172	0.0	0.5	0.0	0.0	0.0
28	56.707962	19.333199	124.8669	31.726305	500.0	12.458073	1.8757513	15.101398	5.3165517	464000	1.4901161e-08	18.090042	-0.00995573	-1.8235776	1.3564423	0.008896788	0.100187495	127.0	713.1829752922058	0.0	0.46875	0.0	0.0	0.0
29	56.669876	19.166527	124.65541	33.811394	500.0	12.633615	1.9744349	15.358561	2.547249	480000	1.4901161e-08	17.563902	-0.009899852	-0.61705565	1.3564423	0.008058447	0.07924999	127.0	738.5300552845001	0.0	0.53125	0.0	0.0	0.0
30	62.29151	25.70654	139.29498	34.03515	500.0	12.188216	2.2957628	15.284041	1.9648364	496000	2.2351742e-08	32.16252	-0.0080890395	-3.8103986	1.3564423	0.00785156	0.074499995	127.0	765.0873112678528	0.0	0.65625	0.0	0.0	0.0
31	69.401825	31.820446	141.7717	34.8992	500.0	13.569591	2.0504513	15.423244	2.2328079	512000	1.4901161e-08	41.37857	-0.00866563	-3.3548737	1.3564423	0.008943601	0.0845	127.0	790.5105183124542	0.0	0.8125	0.0	0.0	0.0
32	65.64267	28.081211	147.34879	27.765179	500.0	14.818793	2.8903787	16.728662	0.20980334	528000	-1.4901161e-08	32.35415	-0.009172156	-1.3962843	1.3564423	0.0066797715	0.077625	127.0	814.2508478164673	0.0	0.6875	0.0	0.0	0.0
33	70.36145	27.186487	128.27586	44.131485	500.0	14.643444	2.2430356	16.739908	6.523382	544000	-7.450581e-09	35.22661	-0.009387849	-2.001134	1.3564423	0.011516597	0.093375	127.0	838.1648273468018	0.0	0.6875	0.0	0.0	0.0
34	73.71741	31.982136	145.46545	37.854404	500.0	15.185954	2.153226	17.383226	6.4263043	560000	4.656613e-08	43.00765	-0.00936138	-2.485518	1.3564423	0.007138396	0.0751875	127.0	861.6031646728516	0.0	0.6875	0.0	0.0	0.0
35	70.05979	32.98843	141.4965	43.208084	500.0	15.948861	2.3606777	18.521833	5.9782057	576000	1.4901161e-08	40.945557	-0.0075186677	-1.1211388	1.3564423	0.008344508	0.074250005	127.0	887.0284733772278	0.0	0.59375	0.0	0.0	0.0
36	63.04957	25.915031	143.787	43.22437	500.0	15.9815	2.4475923	18.517479	6.5040207	592000	7.450581e-09	34.027046	-0.008680637	-5.9906588	1.3564423	0.005760256	0.07906249	127.0	910.8691101074219	0.0	0.65625	0.0	0.0	0.0
37	71.89809	34.135796	148.40343	38.991753	500.0	13.910677	1.9571741	16.982141	4.4835186	608000	0.0	47.202007	-0.009816814	-4.975419	1.3564423	0.009449383	0.0871875	127.0	935.5200955867767	0.0	0.71875	0.0	0.0	0.0
38	76.31146	35.798634	141.04123	41.01269	500.0	14.849348	2.6049535	18.44554	3.7822351	624000	-1.1175871e-08	50.718742	-0.008026736	-6.918157	1.3564423	0.00914481	0.077374995	127.0	962.121119260788	0.0	0.75	0.0	0.0	0.0
39	64.07286	28.78056	147.35056	40.348972	500.0	15.763324	2.9335938	20.078466	4.3764696	640000	1.4901161e-08	31.721262	-0.0098866755	-5.1183934	1.3564423	0.008270782	0.0835	127.0	986.0819268226624	0.0	0.71875	0.0	0.0	0.0
40	67.73152	29.431158	142.70164	39.541725	500.0	14.494303	2.9994376	19.969944	6.5245748	656000	-1.4901161e-08	34.660835	-0.007864891	-1.6655316	1.3564423	0.0070535014	0.0665	127.0	1012.8258681297302	0.0	0.71875	0.0	0.0	0.0
41	64.20324	27.82476	141.20674	40.24746	500.0	14.930301	2.8980958	20.085882	5.874359	672000	1.6763806e-08	27.418762	-0.008639704	-1.6277716	1.3564423	0.009358758	0.0865625	127.0	1037.914234161377	0.0	0.625	0.0	0.0	0.0
42	71.17468	32.031826	146.2715	34.774044	500.0	14.253966	2.9644008	19.380932	5.186816	688000	2.6077032e-08	39.138714	-0.00915817	-3.2794077	1.3564423	0.007020262	0.07975	127.0	1062.3645343780518	0.0	0.71875	0.0	0.0	0.0
43	73.91624	33.513435	146.67018	42.775185	500.0	15.293691	2.7305748	20.750757	6.46043	704000	-7.450581e-09	49.894653	-0.009407956	-5.777395	1.3564423	0.006951145	0.084	127.0	1089.343735218048	0.0	0.78125	0.0	0.0	0.0
44	69.85893	29.707327	146.11626	44.556618	500.0	16.069761	2.3682036	21.164242	5.4265857	720000	7.450581e-09	35.452335	-0.008664043	-2.2906067	1.3564423	0.0072132354	0.078687504	127.0	1115.8866341114044	0.0	0.84375	0.0	0.0	0.0
45	82.32329	37.675953	144.86452	40.819096	500.0	15.314008	2.8061862	21.40668	4.10424	736000	3.7252903e-08	60.506668	-0.008402091	-7.5318375	1.3564423	0.008233461	0.0620625	127.0	1141.280235528946	0.0	0.59375	0.0	0.0	0.0
46	81.05495	33.780807	145.59282	41.829315	500.0	17.926311	2.7914312	22.562902	5.8537602	752000	6.519258e-09	47.189377	-0.009597207	-5.0158844	1.3564423	0.008151519	0.074687496	127.0	1167.0984172821045	0.0	0.6875	0.0	0.0	0.0
47	73.61549	33.053005	143.83899	39.085793	500.0	18.01644	3.5968344	23.5209	2.305994	768000	-3.7252903e-09	39.498238	-0.010212293	-5.501848	1.3564423	0.006866012	0.0835	127.0	1193.5006141662598	0.0	0.75	0.0	0.0	0.0
48	68.18878	31.185799	144.96739	40.92199	500.0	16.426966	3.5044463	23.699156	4.6929145	784000	-2.9802322e-08	29.524294	-0.00878731	-4.3856025	1.3564423	0.008418522	0.0816875	127.0	1218.8341467380524	0.0	0.65625	0.03125	0.0	0.0
49	80.428375	37.34734	153.02568	41.447403	500.0	16.170046	3.8203897	24.181528	5.7501416	800000	7.450581e-09	47.339012	-0.009007247	-5.907925	1.3564423	0.00987233	0.094187506	127.0	1243.2006721496582	0.0	0.75	0.0	0.0	0.0
50	80.55381	37.378044	147.91719	44.742283	500.0	17.183992	4.2549057	25.202057	6.875153	816000	1.4901161e-08	47.452206	-0.0081055965	-6.2378607	1.3564423	0.0065048803	0.066750005	127.0	1269.3679373264313	0.0	0.71875	0.0625	0.0	0.0
51	71.250084	33.75627	150.79813	39.47534	500.0	16.704641	3.9888318	26.145182	4.6790333	832000	-1.4901161e-08	42.945087	-0.009275332	-8.886438	1.3564423	0.007755426	0.07718751	127.0	1298.0885210037231	0.0	0.84375	0.0625	0.0	0.0
52	72.690994	33.52002	145.18962	42.793373	500.0	15.584869	3.4601536	25.01725	7.6631436	848000	5.5879354e-09	31.156746	-0.009745555	-4.503579	1.3564423	0.009310473	0.078999996	127.0	1325.7454249858856	0.0	0.71875	0.0625	0.0	0.0
53	88.25596	40.444016	153.12257	49.41441	500.0	17.296577	4.6336527	26.857052	4.956618	864000	1.1175871e-08	49.371647	-0.009035759	-10.258705	1.3564423	0.008791451	0.0776875	127.0	1350.425256729126	0.0	0.71875	0.0625	0.0	0.0
54	95.40069	42.98339	166.09113	39.930862	500.0	19.339523	5.328212	28.717257	5.4408903	880000	0.0	48.982876	-0.011161002	-10.267069	1.3564423	0.009368274	0.093187496	127.0	1377.7321491241455	0.0	0.71875	0.15625	0.0	0.0
