Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.99420726	0.82229644	3.1326897	0.14418957	500.0	0.038354028	0.013336235	0.07728466	-0.0072248485	16000	3.7252903e-09	0.046828978	-0.005094439	-0.021257788	1.3564423	0.007507032	0.0473125	127.0	25.111163854599	0.0	0.0	0.0	0.0	0.0
1	1.7252179	1.3486367	4.8332386	0.1816344	500.0	0.16031961	0.059078064	0.29210183	-0.055199236	32000	-1.3969839e-08	0.08813665	-0.0062636854	-0.028316814	1.3564423	0.005672641	0.05775	127.0	49.59407830238342	0.0	0.0	0.0	0.0	0.0
2	2.938355	2.749361	13.255314	0.34796005	500.0	0.32613063	0.10464234	0.5829782	-0.032849096	48000	2.9802322e-08	0.35083002	-0.006415949	-0.08849423	1.3564423	0.0069482904	0.0785625	127.0	71.23576521873474	0.0	0.0	0.0	0.0	0.0
3	6.8396435	5.4743423	21.457321	0.4786484	500.0	0.6590156	0.16666818	1.1253959	0.025597913	64000	4.4703484e-08	1.6817331	-0.006541288	-0.7214676	1.3564423	0.0068812417	0.0639375	127.0	95.0252194404602	0.0	0.0	0.0	0.0	0.0
4	9.201697	5.879213	22.296	0.71453667	500.0	1.581029	0.36634108	2.6054473	0.3244861	80000	-2.2351742e-08	1.8451992	-0.007974917	-0.77722824	1.3564423	0.00755452	0.0715	127.0	118.78982377052307	0.0	0.0	0.0	0.0	0.0
5	17.409977	7.9345784	39.67871	3.6058972	500.0	2.3515182	0.7654719	3.9475417	0.17973718	96000	-1.1175871e-08	5.9473014	-0.008581369	-3.039579	1.3564423	0.0051690186	0.0691875	127.0	143.05910110473633	0.0	0.09375	0.0	0.0	0.0
6	22.871452	8.434318	44.00999	7.6334214	500.0	4.2903624	1.355592	6.5708604	-0.009971101	112000	2.2351742e-08	4.914092	-0.008629364	-1.5464485	1.3564423	0.005373779	0.0708125	127.0	168.21877121925354	0.0	0.125	0.0	0.0	0.0
7	25.65519	6.5909576	44.084774	14.915329	500.0	5.515531	1.7598925	7.9787307	0.11358619	128000	-1.1175871e-08	3.544324	-0.009300168	-0.5983895	1.3564423	0.008084936	0.08849999	127.0	193.8068299293518	0.0	0.09375	0.0	0.0	0.0
8	26.67548	7.227092	39.319027	10.001293	500.0	6.7301135	1.8024554	8.59486	-0.3008293	144000	-4.4703484e-08	3.6408129	-0.008991145	-0.45996243	1.3564423	0.0059132297	0.06837501	127.0	219.8293652534485	0.0	0.03125	0.0	0.0	0.0
9	31.285051	7.2886915	46.878105	13.160879	500.0	6.4323525	1.3777736	7.953512	0.4552141	160000	-3.7252903e-09	4.286231	-0.009232296	-0.795719	1.3564423	0.0077049434	0.0829375	127.0	243.5635702610016	0.0	0.0625	0.0	0.0	0.0
10	38.031185	16.483328	101.73241	15.338117	500.0	7.3803563	1.3902185	8.740672	0.14891508	176000	0.0	14.882032	-0.007818726	-1.5999517	1.3564423	0.006295464	0.0629375	127.0	267.0376901626587	0.0	0.1875	0.0	0.0	0.0
11	38.538685	18.474024	111.452324	24.479578	500.0	8.568371	1.5262812	9.75572	1.0049669	192000	-7.450581e-09	16.236593	-0.0069469586	-0.24984208	1.3564423	0.007772503	0.0628125	127.0	289.90211176872253	0.0	0.1875	0.0	0.0	0.0
12	39.30799	14.810791	99.37346	21.643465	500.0	8.89059	1.3081651	9.851417	2.251752	208000	0.0	11.468066	-0.0074711083	-0.14079556	1.3564423	0.0043130224	0.0545	127.0	312.429048538208	0.0	0.28125	0.0	0.0	0.0
13	36.964195	10.153862	79.19067	22.280792	500.0	8.910666	1.2315753	9.740466	1.1306999	224000	-3.3527613e-08	6.2025747	-0.009039056	-0.30809182	1.3564423	0.006709187	0.062374998	127.0	334.86668491363525	0.0	0.125	0.0	0.0	0.0
14	42.110954	14.771653	99.0705	27.217415	500.0	8.319215	1.0782074	9.270555	0.8123252	240000	1.1175871e-08	11.0361595	-0.008339212	-0.7464855	1.3564423	0.007415566	0.0661875	127.0	359.1912913322449	0.0	0.1875	0.0	0.0	0.0
15	34.71907	8.9742155	60.047558	21.315052	500.0	9.200639	1.001601	9.879905	2.9375465	256000	3.9115548e-08	6.333807	-0.010179829	-1.979891	1.3564423	0.0075958613	0.07393749	127.0	383.0197551250458	0.0	0.0625	0.0	0.0	0.0
16	52.50199	25.423607	129.6883	14.144435	500.0	7.930175	0.6725462	8.46819	2.6429243	272000	-3.3527613e-08	38.689316	-0.007808496	-8.325966	1.3564423	0.0071140477	0.0649375	127.0	407.22235798835754	0.0	0.34375	0.0	0.0	0.0
17	45.975166	13.515349	96.549324	24.128115	500.0	10.438745	0.40889287	10.660007	6.073734	288000	1.4901161e-08	11.490715	-0.0077532134	-0.61349535	1.3564423	0.0074590864	0.06937499	127.0	431.2579536437988	0.0	0.34375	0.0	0.0	0.0
18	49.559357	17.456345	101.62862	27.769962	500.0	10.07023	1.0377482	10.725104	2.6052432	304000	-2.9802322e-08	15.822084	-0.0076418277	-0.70077384	1.3564423	0.008302038	0.0681875	127.0	454.10444378852844	0.0	0.375	0.0	0.0	0.0
19	46.612476	18.290407	114.66795	21.986916	500.0	10.626937	1.1215676	11.288534	2.7842536	320000	1.8626451e-09	16.78033	-0.008067835	-2.207283	1.3564423	0.009725784	0.072125	127.0	476.35824823379517	0.0	0.25	0.0	0.0	0.0
20	50.64203	17.733263	104.62088	24.060144	500.0	10.191381	1.2163887	11.207863	1.7636715	336000	7.450581e-09	15.174435	-0.00934283	-0.8646318	1.3564423	0.0091769155	0.07925	127.0	500.7162525653839	0.0	0.46875	0.0	0.0	0.0
21	48.68815	15.952942	123.76786	31.296724	500.0	10.6168165	1.5564387	11.917903	2.3619943	352000	7.450581e-09	11.4341755	-0.008875994	-0.2907785	1.3564423	0.007066181	0.0779375	127.0	523.6488304138184	0.0	0.46875	0.0	0.0	0.0
22	53.92772	21.24186	144.38568	26.131649	500.0	10.971675	1.3674308	11.900471	2.0083487	368000	-1.1175871e-08	21.264465	-0.008887105	-1.14155	1.3564423	0.008616938	0.083625	127.0	548.5639543533325	0.0	0.46875	0.0	0.0	0.0
23	50.89791	10.222707	84.468216	31.295362	500.0	11.6547365	1.4380869	12.540285	3.8580718	384000	1.8626451e-09	6.2285867	-0.009521666	-0.25765648	1.3564423	0.006954941	0.073874995	127.0	571.3919742107391	0.0	0.5	0.0	0.0	0.0
24	51.195007	9.172321	83.52855	37.268906	500.0	11.478229	1.2959316	12.392295	4.5167966	400000	2.8871e-08	5.071143	-0.009882137	-0.13913077	1.3564423	0.008102227	0.081125	127.0	593.1955461502075	0.0	0.40625	0.0	0.0	0.0
25	56.82341	17.977789	109.88895	37.462315	500.0	11.228754	1.3214992	12.39423	4.7951565	416000	-1.1175871e-08	16.601297	-0.009705767	-1.420207	1.3564423	0.010449126	0.10525	127.0	616.7271499633789	0.0	0.59375	0.0	0.0	0.0
26	58.488747	24.57362	134.23468	23.212065	500.0	12.077579	1.4588261	13.196921	2.8389575	432000	0.0	26.957266	-0.009281186	-2.0861216	1.3564423	0.008108404	0.0795625	127.0	641.0592274665833	0.0	0.625	0.0	0.0	0.0
27	54.68907	23.975885	128.34772	25.72615	500.0	12.49226	2.1680484	14.185023	-0.7819718	448000	-1.1175871e-08	22.07531	-0.008724911	-2.0120757	1.3564423	0.008008908	0.074374996	127.0	665.402952671051	0.0	0.5625	0.0	0.0	0.0
28	59.082973	22.485111	135.2905	17.052557	500.0	12.241511	1.8165133	14.210942	0.8909357	464000	2.6077032e-08	22.048157	-0.010115763	-1.7472525	1.3564423	0.009162577	0.094625	127.0	690.8005084991455	0.0	0.59375	0.0	0.0	0.0
29	57.560825	22.10528	129.86891	25.017046	500.0	12.600827	2.513828	14.947588	-6.073525	480000	-2.9802322e-08	19.373177	-0.009397709	-0.8845184	1.3564423	0.007487094	0.0816875	127.0	714.0445656776428	0.0	0.5625	0.0	0.0	0.0
30	59.69107	23.170275	127.50869	33.690334	500.0	12.825743	2.0612514	14.910921	1.7042158	496000	-3.7252903e-09	23.522211	-0.009010651	-1.652963	1.3564423	0.006637519	0.0750625	127.0	739.1183171272278	0.0	0.625	0.0	0.0	0.0
31	53.900883	19.634224	113.92465	27.769535	500.0	12.370255	2.3761296	15.548365	2.498796	512000	-3.3527613e-08	18.884392	-0.009864833	-2.514876	1.3564423	0.010525137	0.102874994	127.0	765.4430692195892	0.0	0.625	0.0	0.0	0.0
32	55.066788	17.766039	121.18371	36.861034	500.0	12.510238	2.1468332	15.516331	4.9295764	528000	9.313226e-09	14.626168	-0.009300636	-1.1623656	1.3564423	0.0076315347	0.081	127.0	790.5651259422302	0.0	0.5625	0.0	0.0	0.0
33	48.43165	9.793574	83.71589	33.713722	500.0	11.878631	2.043793	15.093811	6.0023623	544000	2.6077032e-08	5.8562307	-0.011769233	-2.0007334	1.3564423	0.009880556	0.103062496	127.0	814.710147857666	0.0	0.21875	0.0	0.0	0.0
34	61.975266	23.12925	122.62332	41.38168	500.0	11.443441	1.7709702	14.880167	6.2341447	560000	-7.450581e-09	26.883568	-0.009314274	-4.9982667	1.3564423	0.010499638	0.102937505	127.0	841.3474230766296	0.0	0.6875	0.0	0.0	0.0
35	68.170395	33.589893	150.2726	39.030857	500.0	13.262572	2.2872212	16.04547	4.656472	576000	-7.450581e-09	44.62654	-0.0072070677	-4.176212	1.3564423	0.009706355	0.0689375	127.0	867.4900438785553	0.0	0.4375	0.0625	0.0	0.0
36	61.278107	24.961617	127.18451	34.090103	500.0	13.984139	2.607246	17.814827	6.0194235	592000	-3.7252903e-09	26.826468	-0.009650086	-3.0496826	1.3564423	0.007120959	0.07925	127.0	892.6423897743225	0.0	0.40625	0.0	0.0	0.0
37	64.69502	32.181473	137.16193	34.8965	500.0	13.237875	2.9745185	18.370125	5.7878256	608000	-2.2351742e-08	35.81548	-0.009694817	-4.3435855	1.3564423	0.008536022	0.0911875	127.0	916.9262850284576	0.0	0.5625	0.0	0.0	0.0
38	54.422684	15.092621	125.71143	41.924534	500.0	13.661666	3.1623182	19.76654	5.311386	624000	-2.6077032e-08	16.31107	-0.010982193	-6.2831373	1.3564423	0.008537176	0.0865625	127.0	941.3053719997406	0.0	0.40625	0.0	0.0	0.0
39	61.48046	29.728111	144.25964	37.75621	500.0	12.137449	2.2747812	19.035095	7.406932	640000	-2.2351742e-08	32.056854	-0.009779473	-5.165029	1.3564423	0.0089039095	0.096	127.0	966.7234416007996	0.0	0.40625	0.0	0.0	0.0
40	64.84206	27.738295	134.7341	39.44257	500.0	13.908567	2.8964772	19.97392	4.897465	656000	-3.7252903e-09	29.467443	-0.011177346	-3.354178	1.3564423	0.009281957	0.0965	127.0	993.2224309444427	0.0	0.46875	0.0	0.0	0.0
41	69.90751	33.131283	138.87282	38.668354	500.0	14.619834	3.2759016	20.370937	5.9840937	672000	1.8626451e-08	44.770363	-0.0087471325	-5.834791	1.3564423	0.006539019	0.0744375	127.0	1016.7343192100525	0.0	0.5625	0.0	0.0	0.0
42	63.16394	28.119677	142.49934	39.245255	500.0	15.193266	3.3135095	20.731836	5.952515	688000	3.1664968e-08	29.288338	-0.0099993255	-4.1754694	1.3564423	0.007886804	0.094125	127.0	1040.8906829357147	0.0	0.375	0.0	0.0	0.0
43	68.0661	30.210684	142.85365	39.45186	500.0	14.316723	2.9090598	21.13001	4.555937	704000	0.0	32.60956	-0.010000054	-5.438033	1.3564423	0.009607691	0.09075001	127.0	1068.8361105918884	0.0	0.5625	0.0	0.0	0.0
44	71.8259	36.049614	148.11546	34.37239	500.0	15.2034645	3.7476273	22.08275	4.663797	720000	1.1175871e-08	42.02491	-0.008679262	-5.1929684	1.3564423	0.007989791	0.080375	127.0	1092.3331043720245	0.0	0.5625	0.0	0.0	0.0
45	72.533875	30.868729	134.05893	41.920246	500.0	14.7182455	3.4435756	22.69732	5.3007464	736000	-1.4901161e-08	29.901287	-0.010437915	-6.354347	1.3564423	0.009681305	0.109375	127.0	1115.5826416015625	0.0	0.71875	0.0	0.0	0.0
