Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.08705929	0.043591183	0.19317156	0.026031384	500.0	0.103011675	0.018314715	0.1462478	0.039898295	16000	-1.2107193e-07	0.005704418	-0.009034162	-0.005370373	1.3564423	0.0064124027	0.08	127.0	17.396862268447876	0.0	0.0	0.0	0.0	0.0
1	0.19057575	0.10601128	0.4979832	0.03610466	500.0	0.040114038	0.014942053	0.08802481	-7.5589865e-05	32000	-1.4901161e-08	0.00055275456	-0.0075129042	-0.00020179106	1.3564423	0.0053995303	0.061124995	127.0	33.06186580657959	0.0	0.0	0.0	0.0	0.0
2	0.2923732	0.121385716	0.5113452	0.082831025	500.0	0.047876433	0.008536513	0.08271181	0.022102399	48000	-1.4901161e-08	0.00072522025	-0.009140329	-0.0002729542	1.3564423	0.0068098744	0.0880625	127.0	49.12865495681763	0.0	0.0	0.0	0.0	0.0
3	0.67254347	0.47486535	2.394101	0.103151016	500.0	0.06843504	0.011646762	0.10660318	0.016235597	64000	5.9604645e-08	0.013548149	-0.0058081904	-0.00638858	1.3564423	0.006529367	0.0615625	127.0	66.18650436401367	0.0	0.0	0.0	0.0	0.0
4	1.7703098	1.2136365	5.0938206	0.1710993	500.0	0.16939056	0.047232952	0.29694995	0.024669517	80000	-1.4901161e-08	0.12097283	-0.0063994117	-0.06295456	1.3564423	0.0069748	0.0736875	127.0	82.34307074546814	0.0	0.0	0.0	0.0	0.0
5	4.0672903	2.4223642	11.324613	0.8083233	500.0	0.4823641	0.18815616	0.9572743	-0.07126496	96000	-1.8626451e-09	0.5570397	-0.0050893705	-0.30922896	1.3564423	0.004414565	0.050875	127.0	98.14834713935852	0.0	0.0	0.0	0.0	0.0
6	8.6931305	3.6110651	16.162735	3.152045	500.0	1.1222835	0.5267842	2.2190826	-0.10555148	112000	-4.1909516e-08	1.7158842	-0.0046043973	-1.0563824	1.3564423	0.003294119	0.03575	127.0	114.44160985946655	0.0	0.0	0.0	0.0	0.0
7	10.6159935	5.159723	20.95533	2.9876275	500.0	2.0385015	1.013117	3.7982545	-0.786871	128000	1.4901161e-08	1.9237484	-0.00836035	-0.76424885	1.3564423	0.0076153856	0.0906875	127.0	130.7267370223999	0.0	0.0	0.0	0.0	0.0
8	16.090302	4.5942597	25.104443	6.159776	500.0	3.1989555	1.5076492	5.479942	-0.85548	144000	5.5879354e-09	2.1839194	-0.0076387255	-0.84932506	1.3564423	0.0059026917	0.0703125	127.0	147.6554183959961	0.0	0.0	0.0	0.0	0.0
9	20.319153	5.493118	31.364885	8.912858	500.0	4.2675333	1.7739574	6.4271665	-0.23237538	160000	2.7008355e-08	2.7788339	-0.009292388	-0.7318955	1.3564423	0.0071100686	0.08925	127.0	164.8033356666565	0.0	0.0	0.0	0.0	0.0
