Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.100039296	0.06706082	0.28097457	0.020670522	500.0	0.042203017	0.022541251	0.0945817	-0.019717474	16000	-1.4901161e-08	0.0009430308	-0.0095609855	-0.0007492108	1.3564423	0.0073472066	0.086812496	127.0	22.089396715164185	0.0	0.0	0.0	0.0	0.0
1	0.22705817	0.14840353	0.5963571	0.037059456	500.0	0.033750236	0.008434209	0.05923628	0.0003749486	32000	-2.6077032e-08	0.00078581617	-0.009186805	-0.00039574903	1.3564423	0.006229204	0.082125	127.0	44.12607979774475	0.0	0.0	0.0	0.0	0.0
2	0.48384804	0.31946883	1.3348087	0.12574817	500.0	0.061136175	0.013689276	0.110425025	0.02524757	48000	2.9802322e-08	0.005106099	-0.008287495	-0.0029385171	1.3564423	0.0062563485	0.083625	127.0	66.3618700504303	0.0	0.0	0.0	0.0	0.0
3	1.2102026	0.9612286	4.442624	0.14822827	500.0	0.13772972	0.052604437	0.2962422	0.002908133	64000	-2.9802322e-08	0.051190592	-0.0063888086	-0.024756936	1.3564423	0.0076755267	0.085812494	127.0	87.24798512458801	0.0	0.0	0.0	0.0	0.0
4	2.5743978	1.7010366	8.140715	0.17617767	500.0	0.3656258	0.16517529	0.81892943	0.028821541	80000	-7.450581e-09	0.21438685	-0.007275435	-0.1119383	1.3564423	0.00710292	0.080749996	127.0	108.32140827178955	0.0	0.0	0.0	0.0	0.0
5	4.9469514	2.8005853	10.888213	0.9700387	500.0	0.6794099	0.34918442	1.5137595	-0.07873062	96000	-1.4901161e-08	0.7317408	-0.0068003396	-0.38751346	1.3564423	0.0065411394	0.078125	127.0	131.23631310462952	0.0	0.0	0.0	0.0	0.0
6	12.178114	5.103237	23.152529	4.0832753	500.0	1.4548277	0.66031265	2.5854938	-0.21331249	112000	0.0	3.4559457	-0.0049581253	-2.1138222	1.3564423	0.0038451422	0.0403125	127.0	151.92006182670593	0.0	0.0	0.0	0.0	0.0
7	14.173412	5.271646	23.077116	3.8559973	500.0	2.8423238	1.2337343	4.8917317	-0.19177209	128000	-1.3038516e-08	2.3479273	-0.006431017	-0.93486786	1.3564423	0.0065495996	0.075937495	127.0	173.18715977668762	0.0	0.03125	0.0	0.0	0.0
8	19.265318	5.191352	31.177574	4.676877	500.0	3.967829	1.7278049	6.29767	-0.5152162	144000	-3.7252903e-08	2.156098	-0.007935161	-0.7820123	1.3564423	0.006919381	0.075625	127.0	194.5187075138092	0.0	0.0	0.0	0.0	0.0
9	20.090454	5.8422613	31.8248	8.434486	500.0	4.96986	2.0158064	7.4024954	-0.33223006	160000	1.3038516e-08	2.6408472	-0.00727573	-0.22551855	1.3564423	0.0066288933	0.057875	127.0	215.35210466384888	0.0	0.0	0.0	0.0	0.0
10	24.211666	5.9210353	36.421543	13.353825	500.0	5.5345354	2.0773451	7.9576807	-0.19827428	176000	3.7252903e-09	3.222836	-0.0071304617	-0.47057387	1.3564423	0.0043015005	0.04575	127.0	237.70975065231323	0.0	0.0	0.0	0.0	0.0
11	22.927244	7.241325	39.0707	12.08576	500.0	6.191418	1.7668482	7.9507523	0.42080268	192000	2.4214387e-08	4.0858774	-0.0074536675	-0.43714896	1.3564423	0.007075995	0.063625	127.0	257.56174182891846	0.0	0.0625	0.0	0.0	0.0
12	26.174145	11.53046	74.643105	13.42519	500.0	5.85358	1.3299481	7.082355	1.4060256	208000	1.4901161e-08	8.380014	-0.0071903486	-0.3891708	1.3564423	0.0068532987	0.060624998	127.0	280.0767970085144	0.0	0.15625	0.0	0.0	0.0
13	22.615835	7.5087953	44.93131	13.556725	500.0	6.249358	1.2071772	7.0973287	1.7418753	224000	7.450581e-09	4.158716	-0.0071623074	-0.5846636	1.3564423	0.0064532086	0.0515625	127.0	301.5873589515686	0.0	0.03125	0.0	0.0	0.0
14	24.134987	6.242468	40.067924	15.159925	500.0	5.562023	1.0701593	6.2671785	1.3180721	240000	3.7252903e-08	3.5131006	-0.005141069	-0.20582026	1.3564423	0.0055612004	0.0390625	127.0	322.899160861969	0.0	0.0	0.0	0.0	0.0
15	24.437965	5.1774564	38.8102	16.04381	500.0	5.578145	0.7352363	5.9964657	2.275134	256000	1.6763806e-08	2.9739041	-0.0066873683	-0.10254448	1.3564423	0.0063015157	0.054125004	127.0	345.9745500087738	0.0	0.03125	0.0	0.0	0.0
16	26.598818	7.9058976	46.54902	14.588902	500.0	5.5439143	0.62832177	5.8355594	2.2901862	272000	-7.450581e-09	4.43309	-0.0061754975	-0.22600326	1.3564423	0.0068685506	0.0543125	127.0	368.6313433647156	0.0	0.125	0.0	0.0	0.0
