Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.04212525	0.025551207	0.13251574	0.013584479	500.0	-0.00053236104	0.029981047	0.08852928	-0.057829425	16000	-1.8626451e-09	0.0007621924	-0.00820744	-0.00066365255	1.3564423	0.0068452437	0.079687506	127.0	24.73763370513916	0.0	0.0	0.0	0.0	0.0
1	0.062048912	0.035201892	0.14115794	0.0143088	500.0	0.011545931	0.006072508	0.032494824	-0.014123445	32000	-1.8626451e-09	6.1691804e-05	-0.010189194	-3.2815504e-05	1.3564423	0.006583831	0.0943125	127.0	47.46761727333069	0.0	0.0	0.0	0.0	0.0
2	0.134731	0.09595699	0.37709424	0.022165935	500.0	0.017672565	0.006681633	0.042108186	-0.0017029289	48000	-1.4901161e-08	0.0003511642	-0.010664474	-0.00022174913	1.3564423	0.0078399945	0.1075625	127.0	69.1547520160675	0.0	0.0	0.0	0.0	0.0
3	0.36484092	0.26666915	1.0306426	0.019286117	500.0	0.044603616	0.018580126	0.10827306	-0.00012791902	64000	-1.4901161e-08	0.0036205847	-0.008587187	-0.0021598972	1.3564423	0.009679058	0.102249995	127.0	89.76258826255798	0.0	0.0	0.0	0.0	0.0
4	0.8131533	0.5198608	2.4922295	0.13613427	500.0	0.114986084	0.044128157	0.2658561	-0.01537367	80000	0.0	0.017445637	-0.008586726	-0.009492945	1.3564423	0.0066139344	0.090312496	127.0	111.44120764732361	0.0	0.0	0.0	0.0	0.0
5	1.7261848	1.052607	6.007035	0.67195374	500.0	0.2511255	0.12387192	0.71138316	-0.07051517	96000	0.0	0.07910988	-0.007926795	-0.04600315	1.3564423	0.008194501	0.105749995	127.0	132.99566674232483	0.0	0.0	0.0	0.0	0.0
6	4.816089	2.958534	13.386282	1.2705995	500.0	0.6480663	0.3233432	1.370638	-0.15736087	112000	2.2351742e-08	0.75756913	-0.0052051796	-0.3674065	1.3564423	0.0037887287	0.054375	127.0	154.59008598327637	0.0	0.0	0.0	0.0	0.0
7	6.673297	3.4522014	14.366969	1.5790964	500.0	1.2379838	0.67077804	2.690034	-0.29533607	128000	-4.1909516e-08	0.86408067	-0.007440378	-0.39343452	1.3564423	0.008335689	0.0990625	127.0	176.90131449699402	0.0	0.0	0.0	0.0	0.0
8	9.973546	4.8173966	19.127895	1.2058123	500.0	2.0605984	1.1071692	4.3454537	-0.18232614	144000	-3.3527613e-08	1.4887336	-0.0068936544	-0.59736717	1.3564423	0.0052630054	0.0613125	127.0	201.18182158470154	0.0	0.0	0.0	0.0	0.0
9	12.181023	6.2297363	28.776602	2.4477994	500.0	2.9774868	1.7436147	6.1090145	-1.041906	160000	2.9802322e-08	2.0925379	-0.0076043233	-0.36377048	1.3564423	0.0059785447	0.064375	127.0	225.73325514793396	0.0	0.0	0.0	0.0	0.0
10	14.708735	6.156932	28.432486	2.070856	500.0	3.9664693	2.0607822	7.023024	-0.35884157	176000	-1.3038516e-08	2.0541644	-0.008027708	-0.37627536	1.3564423	0.0044608926	0.065937504	127.0	247.77927350997925	0.0	0.0	0.0	0.0	0.0
11	18.392925	4.6611485	29.065525	10.649233	500.0	4.546724	1.9544114	7.3199096	0.0020077154	192000	-7.450581e-09	1.720304	-0.0101266075	-0.2710756	1.3564423	0.00703255	0.0898125	127.0	269.4434700012207	0.0	0.0	0.0	0.0	0.0
12	23.073698	6.313714	35.230946	10.047491	500.0	5.018214	1.8520759	7.470811	0.22953765	208000	1.6763806e-08	2.7961667	-0.007655683	-0.63302296	1.3564423	0.0063136974	0.0644375	127.0	290.83839178085327	0.0	0.0	0.0	0.0	0.0
13	20.032276	5.824874	32.44507	10.16546	500.0	5.848456	2.0790699	8.189608	-0.04002798	224000	-3.7252903e-09	2.682557	-0.008109187	-0.7533051	1.3564423	0.0077253003	0.0625	127.0	312.71073603630066	0.0	0.0	0.0	0.0	0.0
14	22.632887	6.8860703	35.405415	11.651058	500.0	5.3618817	1.5802054	7.249142	0.71468896	240000	7.450581e-09	2.8238077	-0.0071083535	-0.4115507	1.3564423	0.006949531	0.05975	127.0	335.06946754455566	0.0	0.0	0.0	0.0	0.0
15	23.802504	6.777831	36.389442	12.16906	500.0	5.5343924	1.6327084	7.6484237	0.7460305	256000	1.8626451e-09	2.5353556	-0.0076607093	-0.43881488	1.3564423	0.0065413234	0.051124997	127.0	358.8189060688019	0.0	0.0	0.0	0.0	0.0
16	28.782295	8.651199	52.755516	15.2242565	500.0	6.02252	1.7625893	8.376599	0.20109214	272000	-3.3527613e-08	4.597392	-0.0069707828	-1.3277869	1.3564423	0.0054366393	0.058	127.0	382.540949344635	0.0	0.15625	0.0	0.0	0.0
17	28.297554	8.740359	45.83677	12.031471	500.0	6.8110538	2.3750293	10.20963	-1.3548684	288000	-3.7252903e-09	3.2328284	-0.00859819	-0.53227603	1.3564423	0.005678215	0.057875	127.0	406.09866166114807	0.0	0.0	0.0	0.0	0.0
18	27.596481	7.596371	41.351116	14.760493	500.0	6.6092157	2.7210534	10.62611	-0.29607284	304000	1.3038516e-08	3.0256267	-0.0073774816	-1.0638151	1.3564423	0.0066524884	0.0553125	127.0	427.5067422389984	0.0	0.03125	0.0	0.0	0.0
19	30.672966	10.417832	59.891933	15.732861	500.0	6.8605328	1.9053088	10.043025	1.1206506	320000	7.450581e-09	4.2335005	-0.0076823216	-0.5660322	1.3564423	0.0046511358	0.0605	127.0	452.51298451423645	0.0	0.125	0.0	0.0	0.0
20	31.198597	9.556686	58.423985	14.67854	500.0	6.815934	2.3134696	10.736446	0.38901407	336000	9.313226e-09	3.4758127	-0.007910874	-0.8282291	1.3564423	0.005868653	0.059249997	127.0	476.45296025276184	0.0	0.15625	0.0	0.0	0.0
21	30.346128	7.5291595	42.323116	12.874809	500.0	7.4604006	2.3518946	12.137855	0.9715387	352000	-7.450581e-09	2.5591054	-0.008506459	-0.5935979	1.3564423	0.0066733463	0.0585	127.0	507.48582553863525	0.0	0.0625	0.0	0.0	0.0
22	30.525127	10.813155	66.6419	2.652093	500.0	7.4527874	2.2272186	11.267842	1.3177696	368000	1.5832484e-08	5.1090403	-0.0074465536	-1.3572378	1.3564423	0.0047341604	0.064125	127.0	539.7231998443604	0.0	0.09375	0.0	0.0	0.0
23	32.634384	8.061538	49.151924	16.56367	500.0	7.425956	2.3805869	11.1083555	1.4610106	384000	1.4901161e-08	2.372664	-0.0100220125	-0.4547701	1.3564423	0.006729944	0.084	127.0	565.496856212616	0.0	0.125	0.0	0.0	0.0
24	31.611658	7.9019737	44.26092	14.975564	500.0	7.0599303	2.1398053	11.418999	1.8928396	400000	-3.7252903e-09	1.8797667	-0.009632133	-0.5684646	1.3564423	0.005563024	0.081625	127.0	588.5871345996857	0.0	0.15625	0.0	0.0	0.0
25	35.3152	8.018845	49.394657	21.848154	500.0	7.9451656	2.1882536	11.612134	2.2369149	416000	-2.2351742e-08	1.8302356	-0.008925754	-0.33296144	1.3564423	0.0058824187	0.078999996	127.0	609.7738671302795	0.0	0.125	0.0	0.0	0.0
26	35.445007	6.399547	45.082363	22.634163	500.0	8.168501	2.195508	11.55903	2.3419476	432000	2.7939677e-09	1.6584512	-0.009144828	-0.19932476	1.3564423	0.0059357965	0.067625	127.0	631.887039899826	0.0	0.375	0.0	0.0	0.0
27	34.35246	7.5404077	49.024704	15.627	500.0	7.9435587	2.112097	11.361334	1.9774151	448000	1.4901161e-08	1.4064317	-0.009990618	-0.24536276	1.3564423	0.007228939	0.078125	127.0	654.3380494117737	0.0	0.1875	0.0	0.0	0.0
28	38.774334	4.571031	46.296562	25.074596	500.0	8.715301	2.123905	11.622532	2.7667825	464000	0.0	0.9389435	-0.0101744	-0.21849379	1.3564423	0.00811039	0.0756875	127.0	676.3190543651581	0.0	0.21875	0.0	0.0	0.0
29	39.285	3.848953	45.383163	29.87394	500.0	9.079152	1.9625654	11.968857	3.185747	480000	-2.2351742e-08	0.7731852	-0.011567329	-0.1261506	1.3564423	0.0063576335	0.090187505	127.0	701.7991678714752	0.0	0.28125	0.0	0.0	0.0
30	38.558784	6.6966963	63.050175	26.607899	500.0	8.735916	2.0497797	11.887468	3.0569746	496000	0.0	2.4939003	-0.0070496397	-0.26750857	1.3564423	0.0066693756	0.06825	127.0	725.2386758327484	0.0	0.34375	0.0	0.0	0.0
31	37.814537	5.697391	45.017975	25.947874	500.0	8.876287	2.1452947	11.744822	2.9037883	512000	7.450581e-09	1.1688766	-0.0092593	-0.13504232	1.3564423	0.0074103056	0.0728125	127.0	749.7883405685425	0.0	0.3125	0.0	0.0	0.0
32	41.80961	7.432533	73.780624	26.37153	500.0	9.326239	2.2089324	11.904973	2.6570032	528000	-1.6763806e-08	3.2726269	-0.008600814	-0.58290184	1.3564423	0.009153669	0.0888125	127.0	773.4645075798035	0.0	0.28125	0.0	0.0	0.0
33	41.88742	5.5908422	59.0329	32.186195	500.0	9.793349	2.1929305	12.501633	3.2308106	544000	-7.450581e-09	2.2092297	-0.008782253	-0.30697483	1.3564423	0.0067099305	0.0824375	127.0	797.1981647014618	0.0	0.1875	0.0	0.0	0.0
34	41.752544	3.6338916	50.065014	32.046783	500.0	9.87576	2.283364	12.474228	3.1466808	560000	6.519258e-09	1.2186111	-0.009733601	-0.25049254	1.3564423	0.007207401	0.069749996	127.0	819.6878333091736	0.0	0.125	0.0	0.0	0.0
