Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.037258767	0.022399701	0.09717226	0.011909237	500.0	0.00013478189	0.030167196	0.09158576	-0.057933822	16000	3.7252903e-09	0.00078238995	-0.007818777	-0.00069870596	1.3564423	0.0065521337	0.0755	127.0	21.004597902297974	0.0	0.0	0.0	0.0	0.0
1	0.048846837	0.026900368	0.12978569	0.013001937	500.0	0.011375886	0.005490742	0.034498878	-0.007505102	32000	1.1175871e-08	4.5457353e-05	-0.01051168	-2.672078e-05	1.3564423	0.0073009	0.09275	127.0	40.77612829208374	0.0	0.0	0.0	0.0	0.0
2	0.09267643	0.072048664	0.3522797	0.016776428	500.0	0.014204786	0.0059932237	0.03397999	-0.00092945434	48000	-1.1175871e-08	0.0001730856	-0.010075738	-0.00010049672	1.3564423	0.00850722	0.113875	127.0	60.53911304473877	0.0	0.0	0.0	0.0	0.0
3	0.28533024	0.22512972	0.85802734	0.01676258	500.0	0.031902168	0.013733173	0.070430025	-0.00044160895	64000	3.7252903e-08	0.002471762	-0.008241014	-0.0015972186	1.3564423	0.009332886	0.0970625	127.0	85.1532051563263	0.0	0.0	0.0	0.0	0.0
4	0.7006582	0.41189685	1.5450771	0.094921574	500.0	0.09626053	0.036469173	0.20378901	-0.021337254	80000	3.3527613e-08	0.0108509585	-0.008765615	-0.0071669356	1.3564423	0.0068686344	0.0839375	127.0	104.29098773002625	0.0	0.0	0.0	0.0	0.0
5	1.2115276	0.97180146	5.2146745	0.41520533	500.0	0.18163572	0.08899752	0.43865028	-0.16124372	96000	1.8626451e-08	0.051980086	-0.0062869256	-0.025711004	1.3564423	0.0067952964	0.083749995	127.0	123.0110878944397	0.0	0.0	0.0	0.0	0.0
6	2.5556285	1.6309874	8.475348	0.7644674	500.0	0.39431256	0.1848028	0.88456315	-0.15461457	112000	-1.4901161e-08	0.15927672	-0.0059404243	-0.09197257	1.3564423	0.005976308	0.0731875	127.0	143.63567280769348	0.0	0.0	0.0	0.0	0.0
7	2.6079826	1.3524306	6.960309	0.79655623	500.0	0.73169655	0.37380794	1.8370339	-0.39272836	128000	-1.6763806e-08	0.0732854	-0.009542421	-0.013240969	1.3564423	0.0067226235	0.093187496	127.0	164.67600989341736	0.0	0.0	0.0	0.0	0.0
8	5.076053	4.9001184	16.578804	0.8326381	500.0	0.9823403	0.5499276	2.1638465	-0.21278884	144000	-2.2351742e-08	1.1465313	-0.00622457	-0.5983683	1.3564423	0.0054714833	0.0589375	127.0	185.87667202949524	0.0	0.0	0.0	0.0	0.0
9	6.303097	5.0760627	20.118593	1.1683291	500.0	1.4765848	1.0693461	4.432913	-1.2982973	160000	2.6077032e-08	0.90415686	-0.008754866	-0.24861884	1.3564423	0.008079181	0.0824375	127.0	205.5371537208557	0.0	0.0	0.0	0.0	0.0
