Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.036765635	0.022091024	0.097050376	0.011816856	500.0	0.0026786113	0.030415509	0.09552074	-0.056376435	16000	-1.8626451e-09	0.0007490709	-0.0077092815	-0.000674245	1.3564423	0.0063465266	0.075375006	127.0	25.020143747329712	0.0	0.0	0.0	0.0	0.0
1	0.045853645	0.02623174	0.1271249	0.012454895	500.0	0.010635174	0.005942279	0.036026087	-0.008103682	32000	-7.450581e-09	4.9458005e-05	-0.009430822	-3.0205454e-05	1.3564423	0.0065406784	0.0874375	127.0	43.92976665496826	0.0	0.0	0.0	0.0	0.0
2	0.08879173	0.06981592	0.35006136	0.018003138	500.0	0.012498777	0.0044799913	0.028064959	0.00023571588	48000	1.1175871e-08	0.00016995979	-0.0090690935	-9.778604e-05	1.3564423	0.007863568	0.105875	127.0	63.72493004798889	0.0	0.0	0.0	0.0	0.0
3	0.28040224	0.23700315	0.94192564	0.018957125	500.0	0.0289739	0.012789274	0.06392248	-0.0005519185	64000	-4.4703484e-08	0.0027779401	-0.007784457	-0.0018253897	1.3564423	0.009053831	0.0954375	127.0	84.18303203582764	0.0	0.0	0.0	0.0	0.0
4	0.65719396	0.37833405	1.469312	0.097916655	500.0	0.09577324	0.036596783	0.2029008	-0.017751284	80000	0.0	0.008819625	-0.00939334	-0.0054784426	1.3564423	0.0071263593	0.0915	127.0	104.0450222492218	0.0	0.0	0.0	0.0	0.0
5	1.2280852	1.2084565	5.8105984	0.4087641	500.0	0.17160699	0.084832564	0.401237	-0.11241569	96000	7.450581e-09	0.08225399	-0.005584636	-0.040532406	1.3564423	0.0065243198	0.0864375	127.0	124.28874969482422	0.0	0.0	0.0	0.0	0.0
6	2.290667	1.2789661	7.331803	0.7598587	500.0	0.4292922	0.2183549	1.026786	-0.18899375	112000	-7.450581e-09	0.07467882	-0.009525776	-0.033556584	1.3564423	0.0074728136	0.11325	127.0	144.31260991096497	0.0	0.0	0.0	0.0	0.0
7	2.790813	1.8440646	9.085119	0.6749349	500.0	0.75851744	0.3819157	1.7940409	-0.21997768	128000	-3.7252903e-09	0.1304842	-0.007698087	-0.036156304	1.3564423	0.0059599457	0.088125005	127.0	162.97919917106628	0.0	0.0	0.0	0.0	0.0
8	4.3716416	4.3773007	14.458187	0.6223935	500.0	0.9919457	0.58411455	2.3425431	-0.30502027	144000	-9.313226e-09	0.76718926	-0.0072554136	-0.37006873	1.3564423	0.005987825	0.066062495	127.0	183.97278451919556	0.0	0.0	0.0	0.0	0.0
9	5.9768057	5.0598307	17.154535	0.6400907	500.0	1.4203904	1.070102	4.506786	-0.80877393	160000	-1.4901161e-08	0.89525247	-0.007841928	-0.2565297	1.3564423	0.008455491	0.076000005	127.0	203.80017566680908	0.0	0.0	0.0	0.0	0.0
10	7.3837576	5.7401643	17.592356	1.5063506	500.0	1.8416497	1.379879	5.764942	-0.90985876	176000	-1.8626451e-08	0.8161249	-0.008185164	-0.10916413	1.3564423	0.0057653436	0.06275	127.0	223.69482469558716	0.0	0.0	0.0	0.0	0.0
11	5.506425	5.154499	16.328325	0.8933429	500.0	1.7940874	1.462806	6.0056086	-0.99109375	192000	7.450581e-09	0.77834636	-0.0078294445	-0.28045934	1.3564423	0.0055911727	0.0683125	127.0	248.6308035850525	0.0	0.0	0.0	0.0	0.0
12	8.218303	6.6688657	21.812775	0.4942979	500.0	2.2449222	1.7026129	6.357353	-0.9566554	208000	-7.450581e-09	0.99731636	-0.007580474	-0.15399732	1.3564423	0.005814096	0.0668125	127.0	269.6817488670349	0.0	0.0	0.0	0.0	0.0
13	10.563176	5.3231087	20.580008	1.3595952	500.0	2.958712	1.7368706	6.47288	-1.081345	224000	-7.450581e-09	1.170411	-0.0069712237	-0.2955116	1.3564423	0.0061106505	0.0675	127.0	292.0075170993805	0.0	0.0	0.0	0.0	0.0
14	11.471134	5.637115	28.17525	2.495332	500.0	3.2063887	1.4499596	6.9412346	-0.7327597	240000	1.4901161e-08	1.7655642	-0.0073571424	-0.49802244	1.3564423	0.0058498	0.059875	127.0	315.67665338516235	0.0	0.0	0.0	0.0	0.0
15	11.376507	5.4090285	24.88253	1.3362672	500.0	3.018311	1.3054181	7.320744	-0.65593463	256000	1.6763806e-08	1.3251462	-0.006127631	-0.19953078	1.3564423	0.006661447	0.0560625	127.0	338.08196449279785	0.0	0.0	0.0	0.0	0.0
16	15.929103	6.4805975	29.234274	2.8915155	500.0	3.7752156	1.4731055	7.3530736	-0.61621135	272000	-1.1175871e-08	1.6658674	-0.0070911716	-0.37636805	1.3564423	0.006375397	0.057	127.0	359.1862118244171	0.0	0.0	0.0	0.0	0.0
17	12.338497	7.897931	28.012173	0.6789762	500.0	3.2837062	1.5735593	7.606618	-1.2139404	288000	-1.8626451e-09	1.228926	-0.0075297784	-0.399486	1.3564423	0.007193413	0.059	127.0	379.456866979599	0.0	0.0	0.0	0.0	0.0
18	15.731298	6.659223	29.708189	5.379074	500.0	3.580961	1.6749724	7.4763184	-1.0197259	304000	1.4901161e-08	1.2592977	-0.007433095	-0.20201194	1.3564423	0.00587762	0.064687505	127.0	401.30374550819397	0.0	0.0	0.0	0.0	0.0
19	16.889069	8.960727	29.360823	1.8142532	500.0	3.6992724	1.8406138	7.277564	-1.0421985	320000	3.7252903e-09	1.2256511	-0.008342378	-0.32407647	1.3564423	0.0069131	0.07775	127.0	422.3551826477051	0.0	0.0625	0.0	0.0	0.0
20	16.18888	8.160704	31.377083	2.5535915	500.0	3.3524516	2.0952773	7.7986274	-1.5789329	336000	-2.2351742e-08	1.0476184	-0.0068267165	-0.27855983	1.3564423	0.005609813	0.060125	127.0	443.06928634643555	0.0	0.0	0.0	0.0	0.0
21	17.521364	9.152918	31.404173	1.3529533	500.0	3.9435077	1.990122	8.2655115	-1.0865983	352000	-7.450581e-09	1.3756719	-0.0075138994	-0.45949203	1.3564423	0.0054849647	0.06425	127.0	465.1085047721863	0.0	0.0	0.0	0.0	0.0
