Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.09444701	0.07625853	0.2763249	0.012850469	500.0	0.0414255	0.022577666	0.09335191	-0.019965522	16000	3.1664968e-08	0.0010022706	-0.009544656	-0.0007850595	1.3564423	0.007625792	0.090687506	127.0	26.393427848815918	0.0	0.0	0.0	0.0	0.0
1	0.21221602	0.16999374	0.70334256	0.026464332	500.0	0.03203727	0.008049445	0.058420166	0.001499908	32000	-1.8626451e-09	0.00094175345	-0.00802305	-0.00050003995	1.3564423	0.0058511156	0.071062505	127.0	49.16773724555969	0.0	0.0	0.0	0.0	0.0
2	0.43849006	0.3681798	1.3953301	0.06733313	500.0	0.05744332	0.015573061	0.11102238	0.012278209	48000	-1.1175871e-08	0.0053542927	-0.007237114	-0.0033100958	1.3564423	0.0063526276	0.082125	127.0	69.16650223731995	0.0	0.0	0.0	0.0	0.0
3	1.1378971	1.073257	5.139934	0.08977144	500.0	0.13416374	0.061958488	0.30393392	-0.024708236	64000	5.9604645e-08	0.053644616	-0.005843021	-0.02647096	1.3564423	0.007810612	0.085374996	127.0	90.12570452690125	0.0	0.0	0.0	0.0	0.0
4	2.281373	1.7421288	8.622153	0.11137508	500.0	0.3507067	0.18217458	0.8540415	-0.064621165	80000	4.4703484e-08	0.18108392	-0.007134931	-0.094872266	1.3564423	0.0074193	0.0863125	127.0	110.96476936340332	0.0	0.0	0.0	0.0	0.0
5	4.3815055	2.6343462	10.680013	0.66726667	500.0	0.62968403	0.3520228	1.4354322	-0.12581947	96000	-4.4703484e-08	0.53756315	-0.007848846	-0.2865088	1.3564423	0.00743904	0.092374995	127.0	132.95505046844482	0.0	0.0	0.0	0.0	0.0
6	11.234257	5.821881	27.772276	2.9202514	500.0	1.3500186	0.61418426	2.5309508	-0.24360466	112000	-4.0978193e-08	3.4681242	-0.00489577	-1.8137937	1.3564423	0.004870856	0.0479375	127.0	158.73905634880066	0.0	0.0625	0.0	0.0	0.0
7	11.47312	5.8966117	22.76492	0.8216107	500.0	2.6199589	1.1618893	4.8935094	-0.42530203	128000	1.3038516e-08	1.9205928	-0.006270349	-0.83053243	1.3564423	0.0064608827	0.072375	127.0	182.57898545265198	0.0	0.0	0.0	0.0	0.0
8	14.712035	6.5276604	28.090034	2.2605422	500.0	3.2936854	1.5450625	5.6776977	-1.1839525	144000	-2.2351742e-08	1.7908139	-0.007437896	-0.38651136	1.3564423	0.006528355	0.071	127.0	205.23098015785217	0.0	0.0	0.0	0.0	0.0
9	15.324147	5.980663	30.18995	4.427257	500.0	3.7752497	1.840614	7.212702	-1.3297967	160000	2.6077032e-08	2.0980935	-0.0091248285	-0.34969828	1.3564423	0.008232153	0.0810625	127.0	230.60717368125916	0.0	0.0	0.0	0.0	0.0
