Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.0946006	0.07622041	0.2763249	0.012850469	500.0	0.041471448	0.02259176	0.09335191	-0.019965522	16000	2.4214387e-08	0.0009872066	-0.009415129	-0.0007713112	1.3564423	0.007482357	0.08975001	127.0	26.613717317581177	0.0	0.0	0.0	0.0	0.0
1	0.21212044	0.17002161	0.70467365	0.026273536	500.0	0.032659985	0.008516604	0.0600752	0.001799101	32000	5.5879354e-09	0.000936097	-0.008056678	-0.0004961281	1.3564423	0.0059829974	0.0729375	127.0	49.372987031936646	0.0	0.0	0.0	0.0	0.0
2	0.43533105	0.36499724	1.3860437	0.06690915	500.0	0.057861347	0.015763396	0.11217138	0.013367937	48000	1.1175871e-08	0.005198919	-0.007296568	-0.0032109849	1.3564423	0.006380818	0.0824375	127.0	71.51655650138855	0.0	0.0	0.0	0.0	0.0
3	1.1370088	1.0682575	5.109228	0.0899781	500.0	0.13370152	0.0618957	0.3031108	-0.023734663	64000	0.0	0.052966118	-0.0057858247	-0.026376659	1.3564423	0.0076676123	0.0830625	127.0	93.21715712547302	0.0	0.0	0.0	0.0	0.0
4	2.2851105	1.7545369	8.69238	0.1106533	500.0	0.34943148	0.18154538	0.85959595	-0.061989836	80000	2.9802322e-08	0.18250462	-0.0071305325	-0.09757592	1.3564423	0.0073764315	0.086624995	127.0	115.68847250938416	0.0	0.0	0.0	0.0	0.0
5	4.3050747	2.6310902	10.634512	0.6410924	500.0	0.6303045	0.35478273	1.4506475	-0.12869409	96000	-2.9802322e-08	0.5200262	-0.007821055	-0.27444208	1.3564423	0.0074458634	0.095125005	127.0	138.7128963470459	0.0	0.0	0.0	0.0	0.0
6	10.884401	5.0808077	20.29262	3.0467887	500.0	1.3379687	0.6129252	2.5146823	-0.2526568	112000	4.4703484e-08	2.7410924	-0.005395274	-1.6247724	1.3564423	0.0047334014	0.05125	127.0	160.5094985961914	0.0	0.0	0.0	0.0	0.0
7	11.869114	5.826319	23.241512	0.85302293	500.0	2.5687652	1.1197292	4.7327857	-0.36976978	128000	-9.313226e-09	1.9559969	-0.0059569855	-0.857288	1.3564423	0.006441037	0.07025	127.0	183.0420560836792	0.0	0.0	0.0	0.0	0.0
8	16.20198	6.563987	29.177176	2.8883214	500.0	3.4013429	1.5753571	6.3422894	-1.1508026	144000	4.0978193e-08	2.2923892	-0.0071560377	-0.55814725	1.3564423	0.006580756	0.0639375	127.0	209.03433752059937	0.0	0.0	0.0	0.0	0.0
9	16.013515	5.723579	27.946543	6.7336006	500.0	4.1152596	1.8651607	7.408883	-1.1513622	160000	-1.6763806e-08	2.0276637	-0.00867017	-0.22176805	1.3564423	0.007644882	0.069875	127.0	232.921977519989	0.0	0.0	0.0	0.0	0.0
