Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.072928935	0.043411575	0.18357673	0.015373248	500.0	0.10326503	0.018384045	0.1465897	0.039499737	16000	-3.1664968e-08	0.006043122	-0.008674973	-0.0057022125	1.3564423	0.006193362	0.0756875	127.0	23.114692211151123	0.0	0.0	0.0	0.0	0.0
1	0.16947062	0.1176979	0.5121372	0.02633517	500.0	0.03808545	0.015757844	0.08795546	-0.0027552657	32000	1.4901161e-08	0.0006300799	-0.00711786	-0.00023695617	1.3564423	0.0053109326	0.058875002	127.0	45.394944190979004	0.0	0.0	0.0	0.0	0.0
2	0.23812214	0.116548546	0.50445557	0.061492655	500.0	0.04454653	0.009389865	0.08276373	0.018632974	48000	7.450581e-09	0.0005089119	-0.008788679	-0.00014606415	1.3564423	0.006731659	0.08418751	127.0	67.45813655853271	0.0	0.0	0.0	0.0	0.0
3	0.5180044	0.45739692	2.4308164	0.056431636	500.0	0.058299407	0.011226974	0.098121494	0.011335606	64000	-1.4901161e-08	0.009696441	-0.0052661328	-0.004100443	1.3564423	0.0062266015	0.054125	127.0	89.32549166679382	0.0	0.0	0.0	0.0	0.0
4	1.3181282	1.0629178	4.1152306	0.113052614	500.0	0.13982311	0.042959884	0.26675642	0.003659619	80000	-1.4901161e-08	0.07449715	-0.0062905042	-0.03618513	1.3564423	0.007299914	0.07675	127.0	111.04011869430542	0.0	0.0	0.0	0.0	0.0
5	3.0298533	2.1551511	10.044846	0.42025152	500.0	0.38208345	0.15661763	0.78410906	-0.11458697	96000	1.4901161e-08	0.33677506	-0.0055879783	-0.18150355	1.3564423	0.0049491646	0.063250005	127.0	132.54468488693237	0.0	0.0	0.0	0.0	0.0
6	6.702669	3.2633572	14.994567	1.5863494	500.0	0.92065537	0.44186643	1.8395724	-0.19891039	112000	-1.8626451e-08	1.0564551	-0.0046719927	-0.5970589	1.3564423	0.0035756251	0.0471875	127.0	154.19473576545715	0.0	0.0	0.0	0.0	0.0
7	8.253747	4.7826667	19.97243	1.8224046	500.0	1.627001	0.85589737	3.3897212	-0.758521	128000	-1.4901161e-08	1.512559	-0.006247597	-0.51139975	1.3564423	0.008181413	0.0905625	127.0	175.18906688690186	0.0	0.03125	0.0	0.0	0.0
8	13.865553	7.380805	41.70248	3.3288355	500.0	2.6207254	1.268574	4.7878594	-1.1569438	144000	-7.450581e-09	3.7845051	-0.0060380464	-1.0233753	1.3564423	0.0057432842	0.0604375	127.0	197.60004115104675	0.0	0.0625	0.0	0.0	0.0
9	17.025833	6.839111	33.00264	4.6812754	500.0	3.6309283	1.653167	5.980764	-1.0226233	160000	-2.2351742e-08	3.1554112	-0.007319035	-0.6666312	1.3564423	0.007335712	0.0805625	127.0	220.90006613731384	0.0	0.125	0.0	0.0	0.0
10	21.432297	5.4676485	31.541525	10.767274	500.0	4.6626277	1.756915	7.1266236	-1.1135372	176000	-3.3527613e-08	2.4458668	-0.008084673	-0.5312443	1.3564423	0.007099788	0.0725	127.0	244.0575430393219	0.0	0.0	0.0	0.0	0.0
11	22.964708	7.9471226	48.795612	9.249373	500.0	5.4835114	1.7334379	7.658425	-1.6987262	192000	-3.7252903e-09	3.657413	-0.0073376773	-0.43273225	1.3564423	0.0051242863	0.049312502	127.0	266.53515219688416	0.0	0.03125	0.0	0.0	0.0
12	26.5065	6.7179055	43.940964	15.100995	500.0	5.8176417	1.7943742	7.838158	0.3220183	208000	1.4901161e-08	2.6252322	-0.006629966	-0.42423457	1.3564423	0.0052300906	0.038875	127.0	288.80688428878784	0.0	0.09375	0.0	0.0	0.0
13	24.611378	6.4258275	40.22573	11.370463	500.0	6.43288	1.9167064	8.518387	0.6282007	224000	2.2351742e-08	2.259293	-0.007320224	-0.1543522	1.3564423	0.0073207645	0.057625	127.0	311.43108892440796	0.0	0.09375	0.0	0.0	0.0
14	28.541435	6.5984645	40.618824	14.123071	500.0	6.3633885	1.657479	8.304821	1.090989	240000	-1.8626451e-09	2.4028192	-0.0071019107	-0.29476377	1.3564423	0.0052566086	0.0474375	127.0	333.77195930480957	0.0	0.125	0.0	0.0	0.0
15	30.146473	8.479285	67.55997	16.653467	500.0	6.8991795	1.7483621	8.9387865	0.8945289	256000	3.7252903e-09	3.5281806	-0.008131061	-0.13917495	1.3564423	0.0074499957	0.0629375	127.0	355.87814354896545	0.0	0.03125	0.0	0.0	0.0
16	31.840778	11.526256	88.87429	17.416056	500.0	7.2837324	1.7371387	9.083392	1.238249	272000	0.0	5.836956	-0.0054813162	-0.43306157	1.3564423	0.0049396185	0.044625	127.0	380.1675851345062	0.0	0.09375	0.0	0.0	0.0
17	29.795609	4.236997	39.083015	23.433521	500.0	7.450042	2.0136273	9.542418	0.03299565	288000	2.4214387e-08	1.013608	-0.007094748	-0.119200334	1.3564423	0.006576312	0.0615625	127.0	402.2475140094757	0.0	0.03125	0.0	0.0	0.0
18	35.33551	17.56632	91.95477	16.242498	500.0	7.3482194	2.005728	9.742052	-0.80689657	304000	-3.3527613e-08	16.88316	-0.005967605	-2.5696692	1.3564423	0.005938828	0.0409375	127.0	425.9359223842621	0.0	0.28125	0.0	0.0	0.0
19	31.001072	8.922722	72.86035	20.025251	500.0	8.093509	2.0707345	9.873188	0.45054758	320000	-7.450581e-09	3.8443222	-0.005725923	-0.57031846	1.3564423	0.0062418915	0.037687503	127.0	451.0631024837494	0.0	0.0625	0.0	0.0	0.0
20	31.32563	13.270983	88.646416	15.287464	500.0	7.81046	1.8810852	10.068556	0.9362838	336000	7.450581e-09	7.7516756	-0.006302023	-0.6126371	1.3564423	0.006884257	0.055062495	127.0	474.1879768371582	0.0	0.125	0.0	0.0	0.0
21	32.380924	6.0529666	46.65728	17.677652	500.0	7.6627755	1.6893001	9.912328	0.4881869	352000	1.8626451e-09	2.0210304	-0.006772898	-0.11971345	1.3564423	0.0059700296	0.054	127.0	496.5469901561737	0.0	0.15625	0.0	0.0	0.0
22	30.972778	13.581165	89.958	19.830486	500.0	7.700212	1.795273	10.420304	0.72017634	368000	-1.4901161e-08	8.353456	-0.0064241886	-1.2189947	1.3564423	0.005851607	0.0503125	127.0	519.9283044338226	0.0	0.125	0.0	0.0	0.0
23	30.396526	12.945023	81.23347	12.561704	500.0	7.561579	2.2177105	11.898819	-0.90382624	384000	3.7252903e-09	6.640714	-0.006847131	-1.1696072	1.3564423	0.0063123684	0.043312497	127.0	543.6224617958069	0.0	0.125	0.0	0.0	0.0
24	31.566051	10.817621	86.45139	21.2471	500.0	7.1568456	2.4181352	13.13634	-8.90165	400000	1.4901161e-08	4.2619114	-0.008130991	-0.43562886	1.3564423	0.0065494804	0.07224999	127.0	567.4753103256226	0.0	0.125	0.0	0.0	0.0
25	32.472527	10.349384	83.86962	21.331495	500.0	7.51897	2.1943197	14.073994	-0.5943433	416000	0.0	3.284255	-0.00797021	-0.31442413	1.3564423	0.0057861917	0.06875001	127.0	591.9553792476654	0.0	0.0625	0.0	0.0	0.0
