Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.5681992	0.5448298	2.0393991	0.06172966	500.0	0.15612769	0.028601669	0.22466606	0.10007825	16000	-7.450581e-09	0.017168613	-0.006215633	-0.006195292	1.3564423	0.006660805	0.055	127.0	22.45824098587036	0.0	0.0	0.0	0.0	0.0
1	1.509069	1.3492035	5.281219	0.112158634	500.0	0.12813045	0.03076635	0.20009783	0.025508277	32000	3.7252903e-09	0.07978224	-0.007200349	-0.03184308	1.3564423	0.0063895304	0.0678125	127.0	40.55357241630554	0.0	0.0	0.0	0.0	0.0
2	3.86194	2.8856516	11.779809	0.49013194	500.0	0.33770913	0.07487476	0.56431323	0.094837785	48000	7.450581e-09	0.47556108	-0.0061136284	-0.22396585	1.3564423	0.005382145	0.0581875	127.0	58.556357622146606	0.0	0.0	0.0	0.0	0.0
3	7.840583	6.856498	33.477924	1.5521048	500.0	0.91208	0.21366058	1.5924752	0.23158114	64000	-4.4703484e-08	2.5789626	-0.0058782334	-0.77877814	1.3564423	0.0054149805	0.06225	127.0	77.9759624004364	0.0	0.0	0.0	0.0	0.0
4	11.437174	9.207902	34.71751	1.2869942	500.0	1.8651311	0.3825724	2.6866634	0.3732714	80000	1.4901161e-08	4.3089824	-0.0058160126	-1.416601	1.3564423	0.00484468	0.05675	127.0	97.75748538970947	0.0	0.0	0.0	0.0	0.0
5	14.468083	9.48897	36.32409	2.055934	500.0	2.751102	1.0209845	5.0535855	-0.3032066	96000	-1.8626451e-08	4.067977	-0.008573959	-1.2589316	1.3564423	0.006218713	0.075625	127.0	116.94976162910461	0.0	0.0	0.0	0.0	0.0
6	20.996756	8.618748	35.888264	6.843782	500.0	4.05735	1.5688394	6.9065433	-0.3012265	112000	0.0	4.3877325	-0.0077911583	-1.2640834	1.3564423	0.0073350696	0.080125004	127.0	137.30535197257996	0.0	0.0	0.0	0.0	0.0
7	25.566431	7.3491616	36.975227	8.034823	500.0	5.3962793	1.836178	8.197091	-0.060151126	128000	3.7252903e-09	4.2337856	-0.007241202	-0.7486367	1.3564423	0.005894581	0.0656875	127.0	157.511465549469	0.0	0.0625	0.0	0.0	0.0
8	27.02128	8.091631	46.36354	12.569766	500.0	6.5367265	1.8973693	8.862203	-0.21280478	144000	7.450581e-09	5.114178	-0.008316489	-0.45722562	1.3564423	0.0071880003	0.0698125	127.0	176.95907831192017	0.0	0.03125	0.0	0.0	0.0
9	27.536556	7.7102466	43.339436	10.997538	500.0	6.638331	1.5481323	8.182944	0.52404904	160000	-1.8626451e-09	5.3289337	-0.0069874814	-0.153877	1.3564423	0.0061159576	0.065437496	127.0	196.90024399757385	0.0	0.09375	0.0	0.0	0.0
