Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.69377685	0.594188	2.3257	0.11532146	500.0	0.15445438	0.029245796	0.23789898	0.07193493	16000	1.1175871e-08	0.018624365	-0.0066053607	-0.0061897435	1.3564423	0.0067048986	0.0541875	127.0	27.173508405685425	0.0	0.0	0.0	0.0	0.0
1	1.8306874	1.4562743	5.8381724	0.17371859	500.0	0.15502763	0.04464203	0.26365665	0.014487843	32000	0.0	0.103530996	-0.008136554	-0.042702265	1.3564423	0.0065175504	0.0760625	127.0	49.99035143852234	0.0	0.0	0.0	0.0	0.0
2	5.040766	3.3038402	14.721649	0.7634401	500.0	0.43056792	0.09599857	0.721239	0.10789803	48000	-2.2351742e-08	0.7230753	-0.006636424	-0.3691096	1.3564423	0.0055313837	0.0618125	127.0	71.09469079971313	0.0	0.0	0.0	0.0	0.0
3	9.291118	5.3022966	24.401987	2.5075848	500.0	1.1928083	0.2543984	1.8698195	0.33762902	64000	3.7252903e-08	2.0130866	-0.00688326	-0.7162249	1.3564423	0.0047732387	0.0595625	127.0	95.8380355834961	0.0	0.0	0.0	0.0	0.0
4	12.258156	6.431159	24.840687	2.4383788	500.0	2.1544507	0.3136221	2.7910793	0.6686104	80000	7.450581e-09	2.5803277	-0.006694486	-0.66337925	1.3564423	0.004751855	0.052125	127.0	118.86238527297974	0.0	0.0	0.0	0.0	0.0
5	15.766064	6.115586	30.90148	3.9493375	500.0	2.8252304	0.6296083	4.1190677	0.32916087	96000	0.0	2.8107471	-0.0078379065	-0.8904629	1.3564423	0.006130643	0.06475	127.0	141.31531763076782	0.0	0.0	0.0	0.0	0.0
6	20.430538	5.905659	34.784508	9.793904	500.0	3.8512032	0.9822817	5.6533914	0.24367902	112000	4.656613e-08	2.962656	-0.0076862583	-0.8695303	1.3564423	0.0057554017	0.065874994	127.0	165.7631733417511	0.0	0.0	0.0	0.0	0.0
7	23.557943	7.2746353	43.14096	8.52011	500.0	4.84986	1.145167	6.5934663	0.4445156	128000	-2.2351742e-08	3.4126763	-0.007480039	-0.4582509	1.3564423	0.0068190615	0.0671875	127.0	189.43621587753296	0.0	0.0	0.0	0.0	0.0
8	25.993425	8.142703	43.865772	16.44264	500.0	5.654092	1.1407803	6.9993463	0.7849905	144000	-1.4901161e-08	4.204626	-0.008380425	-0.30157197	1.3564423	0.006696162	0.074375	127.0	214.8799433708191	0.0	0.0	0.0	0.0	0.0
9	26.798817	7.622479	39.679684	12.210897	500.0	6.085747	0.94611996	7.090239	1.1840082	160000	6.519258e-09	3.8499994	-0.0074362764	-0.06210057	1.3564423	0.0059196115	0.067875	127.0	240.40916967391968	0.0	0.0	0.0	0.0	0.0
10	27.55036	7.782443	48.803097	17.55603	500.0	6.279528	0.87357086	7.077627	1.4477264	176000	1.1175871e-08	3.925897	-0.0069936644	-0.15441072	1.3564423	0.006252807	0.055625	127.0	265.1879620552063	0.0	0.0625	0.0	0.0	0.0
11	28.244738	6.8692117	40.823437	18.728241	500.0	6.244995	0.60896456	6.8156695	2.1854334	192000	1.3038516e-08	3.5636568	-0.0067623057	-0.07455008	1.3564423	0.0073425174	0.063187495	127.0	289.4647898674011	0.0	0.0	0.0	0.0	0.0
12	30.940868	8.7120905	51.741337	18.262154	500.0	6.306243	0.47616434	6.6715217	2.7890892	208000	7.450581e-09	4.7808046	-0.006022305	-0.18324797	1.3564423	0.005550663	0.05	127.0	312.38930463790894	0.0	0.0	0.0	0.0	0.0
13	33.395264	8.558619	53.24212	20.924992	500.0	6.6791797	0.4079777	6.925439	3.0143497	224000	-2.9802322e-08	4.58924	-0.007147638	-0.5878679	1.3564423	0.006460602	0.049812503	127.0	339.23410415649414	0.0	0.0	0.0	0.0	0.0
14	30.761213	9.421406	52.210766	15.934944	500.0	7.306345	0.80765903	7.809776	1.2096689	240000	5.5879354e-09	4.9054832	-0.006060281	-0.3822598	1.3564423	0.0039626425	0.037875	127.0	363.10687255859375	0.0	0.0	0.0	0.0	0.0
15	32.08485	9.246336	46.69497	15.993963	500.0	6.8231583	0.49923736	7.1674004	2.8043594	256000	-1.8626451e-08	4.3162937	-0.0077660857	-0.07744183	1.3564423	0.008447523	0.056625	127.0	388.9871459007263	0.0	0.0625	0.0	0.0	0.0
16	36.25181	8.733439	49.1238	22.715033	500.0	6.919147	0.3923216	7.2055554	3.612632	272000	2.2351742e-08	4.5276027	-0.00674627	-0.626389	1.3564423	0.006065671	0.0531875	127.0	414.4827778339386	0.0	0.0	0.0	0.0	0.0
17	36.364536	10.106987	51.62801	18.833662	500.0	7.6588163	0.5154942	7.9834623	2.545151	288000	1.4901161e-08	5.204348	-0.008959208	-0.38276446	1.3564423	0.00710526	0.059249997	127.0	437.2519133090973	0.0	0.0625	0.0	0.0	0.0
18	39.76406	8.562406	53.546333	23.727257	500.0	7.858539	0.64942366	8.348105	2.7963924	304000	-2.2351742e-08	4.1012373	-0.006902948	-0.582978	1.3564423	0.005311608	0.05375	127.0	461.457888841629	0.0	0.0625	0.0	0.0	0.0
19	37.678246	10.712148	73.21853	23.747393	500.0	8.536064	0.8453037	9.18595	2.4663963	320000	1.7695129e-08	5.3130417	-0.008974706	-0.57671535	1.3564423	0.006205133	0.063	127.0	488.5425682067871	0.0	0.03125	0.0	0.0	0.0
20	36.739655	11.308749	56.572178	21.69215	500.0	7.95851	1.2230154	9.282238	1.5006653	336000	-2.2351742e-08	5.491846	-0.006680655	-0.4255673	1.3564423	0.0071766647	0.054437503	127.0	512.4240956306458	0.0	0.0	0.0	0.0	0.0
21	39.333878	10.967901	55.529934	22.894543	500.0	8.044432	0.8677561	9.30393	2.1937027	352000	3.7252903e-09	5.3015223	-0.0074197073	-0.99782765	1.3564423	0.0058914553	0.056062497	127.0	537.0110988616943	0.0	0.09375	0.0	0.0	0.0
22	42.615265	9.098637	55.572227	20.44832	500.0	8.312814	1.2708685	10.071344	1.6592144	368000	-8.381903e-09	3.8411865	-0.008986394	-0.8769655	1.3564423	0.008435431	0.0709375	127.0	562.1485843658447	0.0	0.0	0.0	0.0	0.0
23	43.87017	9.201443	63.319508	26.150024	500.0	9.045336	1.9663005	10.849376	-6.2233205	384000	-1.4901161e-08	5.4054036	-0.008686237	-1.043797	1.3564423	0.0061546555	0.066375	127.0	586.4123356342316	0.0	0.09375	0.0	0.0	0.0
24	46.9889	9.532449	61.209633	29.592077	500.0	9.7290945	1.145784	11.029181	2.6611545	400000	-7.450581e-09	3.426751	-0.009314254	-0.60099304	1.3564423	0.0076357634	0.070875004	127.0	611.050172328949	0.0	0.03125	0.0	0.0	0.0
25	48.305412	11.818822	82.52306	25.355719	500.0	9.949211	1.9192852	11.975526	-3.5923421	416000	-9.313226e-09	6.349919	-0.008081718	-1.2072276	1.3564423	0.004728134	0.053062502	127.0	636.5471594333649	0.0	0.0625	0.0	0.0	0.0
26	48.526005	9.506646	61.070526	24.936869	500.0	10.638685	1.3265086	12.132077	3.4387748	432000	-2.2351742e-08	3.013167	-0.0090990625	-0.6207663	1.3564423	0.007211396	0.05925	127.0	660.7901418209076	0.0	0.03125	0.0	0.0	0.0
27	50.01145	14.286629	77.908745	23.345165	500.0	10.562949	1.5477941	12.660966	3.4906964	448000	-9.313226e-09	8.077885	-0.008202911	-2.3729198	1.3564423	0.00776089	0.0650625	127.0	685.7999596595764	0.0	0.21875	0.0	0.0	0.0
28	52.370945	7.090358	66.008316	27.562077	500.0	11.274086	1.9052261	14.258346	4.627691	464000	1.4901161e-08	2.0402575	-0.010364167	-0.3471285	1.3564423	0.008613229	0.0771875	127.0	710.2481153011322	0.0	0.03125	0.0	0.0	0.0
29	55.49719	11.307027	88.08213	27.520378	500.0	11.5852995	2.2391472	14.304506	0.7436875	480000	9.313226e-09	5.7195454	-0.008351613	-0.76056695	1.3564423	0.0089858025	0.0764375	127.0	736.287015914917	0.0	0.28125	0.0	0.0	0.0
30	59.393406	6.699219	67.77945	32.17071	500.0	12.778956	2.1949055	15.106463	0.9588076	496000	0.0	1.8760879	-0.009509139	-0.3801285	1.3564423	0.00589839	0.0731875	127.0	762.6209893226624	0.0	0.5625	0.0	0.0	0.0
31	59.0615	9.694689	90.650185	39.83775	500.0	13.112673	2.12312	15.246292	3.243843	512000	-9.313226e-10	5.279602	-0.007775089	-0.9000717	1.3564423	0.005639176	0.0661875	127.0	788.4170432090759	0.0	0.3125	0.0	0.0	0.0
32	53.755394	11.428512	68.87301	24.506197	500.0	12.925711	2.46944	15.41866	1.2856386	528000	1.1175871e-08	6.2109413	-0.008805167	-2.449194	1.3564423	0.0074513312	0.0610625	127.0	811.4989635944366	0.0	0.28125	0.0	0.0	0.0
33	56.79622	13.721855	99.56758	30.283712	500.0	11.901177	2.6120126	15.485851	-0.89808893	544000	1.4901161e-08	6.7953157	-0.009666404	-0.9587467	1.3564423	0.0055786287	0.068875	127.0	838.0675101280212	0.0	0.4375	0.0	0.0	0.0
34	61.12356	9.098285	73.80045	34.30799	500.0	13.183046	2.5068703	16.370455	4.4021816	560000	1.9557774e-08	2.9511032	-0.010654364	-0.6975148	1.3564423	0.008975962	0.0864375	127.0	865.7473611831665	0.0	0.5	0.0	0.0	0.0
35	60.815018	13.239051	90.60788	23.864199	500.0	13.928877	2.2423978	16.927341	6.33153	576000	-1.4901161e-08	5.209384	-0.007856375	-2.0189245	1.3564423	0.0063504856	0.073625	127.0	890.5663268566132	0.0	0.40625	0.0	0.0	0.0
36	63.259827	11.211118	99.81371	26.469841	500.0	14.011814	2.6395266	17.803913	5.030248	592000	3.7252903e-09	4.4688187	-0.009753885	-0.63099825	1.3564423	0.008296842	0.074875	127.0	916.0152540206909	0.0	0.78125	0.0	0.0	0.0
37	57.661465	15.368442	79.393524	24.19614	500.0	13.210252	3.70926	18.403772	1.196451	608000	-3.7252903e-09	5.2110195	-0.012149885	-1.6279438	1.3564423	0.007928566	0.07675	127.0	944.1380841732025	0.0	0.59375	0.0	0.0	0.0
38	67.88875	9.873793	87.972984	36.735764	500.0	14.373201	3.1118624	18.588835	0.9322196	624000	-1.1175871e-08	6.440469	-0.011365024	-1.6918374	1.3564423	0.0057304725	0.0729375	127.0	971.1622076034546	0.0	0.875	0.0	0.0	0.0
39	68.1739	16.142355	96.74087	26.052404	500.0	14.396523	4.2050004	19.355696	-16.012402	640000	-9.313226e-09	10.017513	-0.008859142	-2.6789699	1.3564423	0.0056444397	0.071375	127.0	998.9307613372803	0.0	0.84375	0.0	0.0	0.0
40	69.58824	23.892273	100.313385	19.193048	500.0	14.925196	4.2865086	20.941881	2.7109249	656000	7.450581e-09	15.207267	-0.010380801	-7.1041822	1.3564423	0.009420842	0.09375	127.0	1022.3042669296265	0.0	0.84375	0.0	0.0	0.0
41	77.31794	23.90566	113.1253	18.093603	500.0	16.634928	5.577766	23.149605	-17.058584	672000	-4.1909516e-08	22.427536	-0.009712833	-7.374013	1.3564423	0.0067354124	0.0673125	127.0	1049.9593064785004	0.0	0.8125	0.0	0.0	0.0
42	78.440094	22.65663	111.25763	21.123133	500.0	17.254602	5.5542846	25.276031	-23.486649	688000	1.4901161e-08	23.43854	-0.010261783	-6.7434425	1.3564423	0.0067076627	0.073874995	127.0	1073.055986881256	0.0	0.84375	0.0	0.0	0.0
43	86.12064	23.676638	126.633835	34.290924	500.0	17.856714	5.7695775	26.358795	-13.849389	704000	4.0978193e-08	25.287704	-0.009726262	-9.468098	1.3564423	0.006365679	0.06999999	127.0	1098.3146660327911	0.0	0.875	0.0	0.0	0.0
44	71.2623	35.235184	121.930534	13.270865	500.0	18.244827	6.236981	27.750828	1.7473912	720000	-5.5879354e-09	33.156475	-0.008326062	-14.036998	1.3564423	0.0069620647	0.0641875	127.0	1126.9079608917236	0.0	0.8125	0.0	0.0	0.0
45	75.0161	34.82882	121.2116	13.320388	500.0	17.020525	7.547281	28.37809	-5.0854826	736000	-7.450581e-09	22.242386	-0.009892948	-6.5851336	1.3564423	0.007426255	0.0865625	127.0	1153.3062705993652	0.0	0.75	0.0	0.0	0.0
46	71.475266	37.93313	123.191986	16.235765	500.0	16.323868	9.021587	29.285374	-17.171665	752000	-1.6763806e-08	20.056921	-0.009419345	-7.4356112	1.3564423	0.0074025695	0.0658125	127.0	1180.181321144104	0.0	0.6875	0.0	0.0	0.0
47	64.544	39.007088	121.57523	14.119231	500.0	16.044697	8.948041	31.015121	-10.950936	768000	-1.8626451e-09	24.186274	-0.008947605	-4.737072	1.3564423	0.007241507	0.073374994	127.0	1206.5629343986511	0.0	0.65625	0.0	0.0	0.0
48	66.13914	40.746788	125.829384	13.772746	500.0	15.1779995	9.17106	30.586323	-8.546542	784000	3.7252903e-09	18.195889	-0.0103144245	-6.2679234	1.3564423	0.006663922	0.080312505	127.0	1233.7450947761536	0.0	0.59375	0.0	0.0	0.0
