Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.6766296	0.57809854	2.258649	0.113941684	500.0	0.15578309	0.029344803	0.24164155	0.076911345	16000	-1.4901161e-08	0.018276945	-0.006513295	-0.006121435	1.3564423	0.0063063195	0.053625003	127.0	20.772779941558838	0.0	0.0	0.0	0.0	0.0
1	1.8300629	1.457022	5.720473	0.17636351	500.0	0.15239334	0.042339213	0.24681535	0.015945168	32000	-1.8626451e-08	0.10404341	-0.007963024	-0.043768264	1.3564423	0.006619146	0.075937495	127.0	42.67220497131348	0.0	0.0	0.0	0.0	0.0
2	4.8752894	3.092288	12.4281	0.820134	500.0	0.4238546	0.09379648	0.6920855	0.14104523	48000	4.0978193e-08	0.6465054	-0.006799911	-0.32349628	1.3564423	0.005764842	0.0655	127.0	60.48762369155884	0.0	0.0	0.0	0.0	0.0
3	9.235738	5.400626	23.991508	2.7041702	500.0	1.1510313	0.22230002	1.7074327	0.3616811	64000	0.0	2.0643961	-0.0064288103	-0.740365	1.3564423	0.0051466245	0.0555625	127.0	82.5984296798706	0.0	0.0	0.0	0.0	0.0
4	11.870911	6.382286	23.598034	2.3188326	500.0	2.1219916	0.31216913	2.7845423	0.67812526	80000	0.0	2.4511533	-0.0062919613	-0.6377012	1.3564423	0.004937517	0.051437497	127.0	103.54458856582642	0.0	0.0	0.0	0.0	0.0
5	15.432964	6.260197	30.135239	3.627122	500.0	2.7331893	0.6569612	4.1250806	0.25751758	96000	-1.1175871e-08	2.993556	-0.0076544136	-0.92322963	1.3564423	0.0055183605	0.0615	127.0	123.14740753173828	0.0	0.0	0.0	0.0	0.0
6	20.171974	5.7407346	35.344006	10.059193	500.0	3.8149357	1.009752	5.63047	0.2748251	112000	1.5832484e-08	2.8556952	-0.0077253454	-0.8512814	1.3564423	0.0059265206	0.06712499	127.0	142.75184416770935	0.0	0.0	0.0	0.0	0.0
7	24.150942	6.5671897	39.819183	9.691704	500.0	4.8387794	1.1532382	6.5691147	0.5477173	128000	-3.7252903e-09	3.1169038	-0.0077831405	-0.66699	1.3564423	0.0068261335	0.066875	127.0	161.3341567516327	0.0	0.0	0.0	0.0	0.0
8	25.658476	6.5304008	41.107502	16.157505	500.0	5.8425612	1.3210647	7.35892	0.5068566	144000	-7.450581e-09	3.125237	-0.008430276	-0.249986	1.3564423	0.0072148703	0.0786875	127.0	181.99635696411133	0.0	0.0	0.0	0.0	0.0
9	27.407633	8.467031	52.78252	11.763272	500.0	6.1108174	0.9855539	7.072003	1.1841995	160000	-1.8626451e-09	4.5346336	-0.008353965	-0.10555988	1.3564423	0.006242801	0.0684375	127.0	201.07872700691223	0.0	0.0625	0.0	0.0	0.0
10	27.2939	7.6767464	48.382656	17.169317	500.0	6.458923	1.0236728	7.36834	1.4669956	176000	-1.4901161e-08	3.8547592	-0.006702398	-0.27573887	1.3564423	0.0051754345	0.055437498	127.0	221.41303133964539	0.0	0.0	0.0	0.0	0.0
11	30.788294	7.889414	47.136005	19.810469	500.0	6.2316	0.62125766	6.749025	2.4848256	192000	3.7252903e-09	4.3243093	-0.0069720037	-0.3200659	1.3564423	0.0071057645	0.0605	127.0	240.86901187896729	0.0	0.0	0.0	0.0	0.0
