Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.6547222	0.6037331	2.2748423	0.07618209	500.0	0.14278221	0.02697651	0.23739325	0.06906794	16000	-3.7252903e-09	0.018096413	-0.0068247924	-0.0055990773	1.3564423	0.0067826156	0.053124998	127.0	29.158992052078247	0.0	0.0	0.0	0.0	0.0
1	2.0383239	1.7297846	6.56556	0.14505449	500.0	0.15852441	0.05134047	0.26175925	-0.012181208	32000	2.6077032e-08	0.1475697	-0.008014847	-0.058926117	1.3564423	0.0063795457	0.07275	127.0	54.25471496582031	0.0	0.0	0.0	0.0	0.0
2	5.593848	3.46016	13.337749	0.9130392	500.0	0.4874491	0.088365	0.7302189	0.19382456	48000	-7.450581e-09	0.8687855	-0.0063234405	-0.43675852	1.3564423	0.0051487163	0.059375003	127.0	79.10358452796936	0.0	0.0	0.0	0.0	0.0
3	9.532284	5.4906855	23.894625	2.6716857	500.0	1.2704674	0.23470864	1.8579669	0.40810856	64000	-5.9604645e-08	2.1047754	-0.0065576183	-0.6837505	1.3564423	0.005129804	0.055124998	127.0	106.07374787330627	0.0	0.0	0.0	0.0	0.0
4	12.642357	6.7041383	25.591307	2.5309982	500.0	2.1731246	0.2949847	2.8019648	0.724196	80000	4.4703484e-08	2.8085427	-0.0061551933	-0.7908774	1.3564423	0.004827637	0.04825	127.0	131.37662887573242	0.0	0.0	0.0	0.0	0.0
5	16.691555	6.9807825	32.652287	4.3818884	500.0	2.8682673	0.6575854	4.28305	0.2854067	96000	2.0489097e-08	3.6071413	-0.007877778	-1.2218602	1.3564423	0.0059961397	0.064687505	127.0	158.2624704837799	0.0	0.0	0.0	0.0	0.0
6	21.048004	5.579086	35.889027	8.565364	500.0	4.0612826	1.0435212	5.8725753	0.13847002	112000	4.0978193e-08	2.769698	-0.0074267243	-0.78847194	1.3564423	0.0054327585	0.0623125	127.0	185.64780235290527	0.0	0.0	0.0	0.0	0.0
7	24.385017	6.4961534	39.83518	9.811262	500.0	5.0523176	1.1729667	6.8212147	0.40305525	128000	7.450581e-09	2.893227	-0.007206579	-0.4486821	1.3564423	0.006021607	0.06575	127.0	213.55865597724915	0.0	0.0	0.0	0.0	0.0
8	26.528404	7.7816286	42.63366	16.081032	500.0	5.854716	1.2722889	7.4681854	0.39547232	144000	7.450581e-09	3.729336	-0.008463601	-0.2404073	1.3564423	0.006733763	0.0710625	127.0	241.71630716323853	0.0	0.0	0.0	0.0	0.0
9	27.044384	7.471987	44.50354	11.672302	500.0	6.269447	1.0578048	7.352275	0.96023923	160000	2.6077032e-08	3.64715	-0.008379361	-0.049428537	1.3564423	0.0065181646	0.070750006	127.0	267.7847943305969	0.0	0.0	0.0	0.0	0.0
10	27.852795	8.873555	48.861156	17.084576	500.0	6.429181	0.9745789	7.3859644	1.3883057	176000	1.6763806e-08	4.4468703	-0.006345596	-0.2260054	1.3564423	0.0048740325	0.051625	127.0	294.6744556427002	0.0	0.0625	0.0	0.0	0.0
11	28.615803	7.073831	43.508717	19.908672	500.0	6.307818	0.6022581	6.860294	2.539589	192000	3.7252903e-09	3.3158946	-0.0069534024	-0.064305276	1.3564423	0.0064620646	0.059375003	127.0	321.10682797431946	0.0	0.0	0.0	0.0	0.0
12	30.14566	7.379564	48.84709	19.44907	500.0	6.3692327	0.45112392	6.712829	3.1590908	208000	-7.450581e-09	3.4071865	-0.0066517782	-0.058674686	1.3564423	0.005959861	0.054375	127.0	347.6636290550232	0.0	0.0	0.0	0.0	0.0
13	31.880257	7.6030407	48.62285	20.508778	500.0	6.5312443	0.3773489	6.7815194	3.2514706	224000	-2.9802322e-08	3.7176049	-0.0064162314	-0.23347004	1.3564423	0.005707386	0.0521875	127.0	373.1437692642212	0.0	0.0	0.0	0.0	0.0
14	29.919544	7.7251706	45.08723	16.856659	500.0	6.9651275	0.58388263	7.310692	2.1686292	240000	-1.8626451e-09	3.5228505	-0.0065274206	-0.2100887	1.3564423	0.005066529	0.047374997	127.0	396.96529626846313	0.0	0.0	0.0	0.0	0.0
15	34.061966	10.71475	72.697876	14.850867	500.0	6.5484953	0.39140296	6.7938695	3.1850352	256000	-1.1175871e-08	6.0754204	-0.006556197	-0.49245912	1.3564423	0.0073683327	0.0494375	127.0	422.25732922554016	0.0	0.125	0.0	0.0	0.0
16	35.98009	8.163423	48.913643	20.05941	500.0	7.246096	0.5066689	7.5304747	3.321419	272000	-1.1175871e-08	3.8267236	-0.006959564	-0.43529958	1.3564423	0.0065799397	0.054375	127.0	450.2369842529297	0.0	0.03125	0.0	0.0	0.0
17	36.894283	8.6902075	55.232162	21.928452	500.0	7.646206	0.7158099	8.115119	2.51364	288000	7.450581e-09	4.229682	-0.008308489	-0.35126	1.3564423	0.0075376853	0.0615625	127.0	475.33764600753784	0.0	0.0625	0.0	0.0	0.0
18	38.322205	7.11746	50.577637	25.850328	500.0	8.139417	0.6957026	8.641929	3.7397728	304000	-1.4901161e-08	2.81492	-0.007782222	-0.14208794	1.3564423	0.0068343086	0.0661875	127.0	500.8791000843048	0.0	0.0	0.0	0.0	0.0
19	38.90078	13.299831	94.99018	24.627207	500.0	8.183701	1.3347383	9.040466	-2.5099773	320000	9.313226e-09	8.009689	-0.0077239466	-0.27875766	1.3564423	0.0071523963	0.0649375	127.0	528.2380394935608	0.0	0.09375	0.0	0.0	0.0
20	42.43625	17.29368	88.613785	22.416544	500.0	8.324777	1.3404815	9.450562	-1.5427516	336000	-1.4901161e-08	12.714313	-0.0073828385	-2.5123248	1.3564423	0.0071419096	0.056375	127.0	554.4352996349335	0.0	0.1875	0.0	0.0	0.0
21	42.34112	12.013156	74.624245	23.978083	500.0	8.683177	1.463519	11.496537	-0.126191	352000	-7.450581e-09	5.6796737	-0.008836497	-0.5813585	1.3564423	0.007445456	0.07375	127.0	582.0320589542389	0.0	0.09375	0.0	0.0	0.0
22	46.90955	20.659077	141.28226	26.0032	500.0	9.323706	1.996664	11.961221	-4.162365	368000	-7.450581e-09	17.445454	-0.0083293235	-2.2043805	1.3564423	0.008969903	0.072312504	127.0	610.1739964485168	0.0	0.09375	0.0625	0.0	0.0
23	48.168205	20.791307	112.37094	27.762573	500.0	9.885435	2.4344726	13.534879	-3.2197747	384000	-2.9802322e-08	18.68462	-0.007893527	-0.96696866	1.3564423	0.0070617907	0.0609375	127.0	636.7014350891113	0.0	0.28125	0.0	0.0	0.0
24	44.067886	10.721495	73.15596	27.395676	500.0	9.708527	1.9377197	14.358024	1.4162184	400000	1.4901161e-08	3.9008996	-0.008794899	-0.42291793	1.3564423	0.0061425045	0.0744375	127.0	663.9824941158295	0.0	0.09375	0.0	0.0	0.0
25	47.91296	16.644432	94.719185	24.826283	500.0	10.247725	2.1635067	14.487646	-2.3146362	416000	-2.9802322e-08	10.414558	-0.008391919	-1.6797605	1.3564423	0.007208043	0.0651875	127.0	692.6793837547302	0.0	0.15625	0.0	0.0	0.0
26	49.653793	18.647665	102.9858	24.569435	500.0	10.400295	2.9556203	15.427653	-2.795001	432000	-1.1175871e-08	13.485247	-0.0089846505	-1.1987088	1.3564423	0.005802041	0.075625	127.0	719.6409587860107	0.0	0.15625	0.09375	0.0	0.0
27	47.875435	20.768038	102.727264	22.913319	500.0	10.439125	2.6209555	15.796237	2.994588	448000	-1.8626451e-08	12.036736	-0.0077032503	-2.8416004	1.3564423	0.006561325	0.0690625	127.0	745.4592454433441	0.0	0.3125	0.0	0.0	0.0
28	50.073772	21.915825	112.65069	23.937244	500.0	9.902943	4.154552	17.007288	-7.5769577	464000	-7.450581e-09	18.141155	-0.008827907	-1.9231107	1.3564423	0.009371505	0.093687505	127.0	771.8844606876373	0.0	0.21875	0.0	0.0	0.0
29	50.68815	21.09082	105.65691	26.063349	500.0	10.840742	4.191241	17.642662	-0.8043455	480000	0.0	14.717132	-0.0094536785	-0.9822427	1.3564423	0.008531121	0.0900625	127.0	798.0485754013062	0.0	0.40625	0.0	0.0	0.0
30	56.611416	27.85478	106.24765	17.168947	500.0	11.941759	3.7791495	18.094784	1.2241254	496000	7.450581e-09	24.817776	-0.00874573	-7.719363	1.3564423	0.008567325	0.075625	127.0	826.5135488510132	0.0	0.59375	0.0	0.0	0.0
31	52.98159	26.336908	120.52233	25.353256	500.0	12.58643	4.471961	19.906807	1.7097715	512000	2.2351742e-08	25.526417	-0.008465917	-5.3588166	1.3564423	0.0074244747	0.082625	127.0	853.5922145843506	0.0	0.28125	0.0	0.0	0.0
32	58.140495	28.225065	106.87175	22.604916	500.0	12.337972	4.456834	20.468216	0.80686563	528000	-7.450581e-09	24.153425	-0.0074655637	-3.8465376	1.3564423	0.0072803153	0.068	127.0	879.9290683269501	0.0	0.4375	0.0	0.0	0.0
33	64.88967	33.09364	128.18102	20.925926	500.0	13.204571	5.3695517	21.363573	0.98267233	544000	0.0	28.592281	-0.007881236	-5.870712	1.3564423	0.0070164795	0.067562506	127.0	909.4971616268158	0.0	0.625	0.03125	0.0	0.0
34	59.913406	28.86607	122.70231	25.10357	500.0	13.622372	6.2609844	23.049765	-1.3583752	560000	-7.450581e-09	22.541744	-0.008819908	-1.0863558	1.3564423	0.007336421	0.0883125	127.0	939.609986782074	0.0	0.46875	0.0	0.0	0.0
