Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.26719898	0.19803622	0.9013414	0.05198835	500.0	0.1077965	0.023449104	0.19645847	0.046614297	16000	2.2351742e-08	0.0056436984	-0.0068441695	-0.0035357624	1.3564423	0.005740784	0.046625	127.0	18.227561473846436	0.0	0.0	0.0	0.0	0.0
1	0.6297763	0.46316177	1.6813662	0.05739359	500.0	0.070060916	0.019898621	0.14449391	-0.0023204722	32000	2.4214387e-08	0.009825705	-0.007830592	-0.0043011336	1.3564423	0.006084194	0.0639375	127.0	35.8198037147522	0.0	0.0	0.0	0.0	0.0
2	1.3221958	0.929212	4.402176	0.15019353	500.0	0.142175	0.03166855	0.22295307	0.0008595269	48000	3.7252903e-09	0.043972787	-0.007875892	-0.019655209	1.3564423	0.005932356	0.082625	127.0	53.537802934646606	0.0	0.0	0.0	0.0	0.0
3	1.6264085	0.59501386	3.2236679	0.45971504	500.0	0.29011658	0.047683537	0.39294836	0.096209444	64000	5.5879354e-09	0.021927964	-0.008834931	-0.006992884	1.3564423	0.0055976924	0.082375005	127.0	71.72867155075073	0.0	0.0	0.0	0.0	0.0
4	1.8510344	0.467996	2.9330184	0.9814484	500.0	0.34826335	0.04238654	0.46336192	0.17609134	80000	1.4901161e-08	0.011422714	-0.0103362575	-0.0030635605	1.3564423	0.006826088	0.08175	127.0	89.39786291122437	0.0	0.0	0.0	0.0	0.0
5	2.6343813	2.7746189	17.926584	1.2504666	500.0	0.4146202	0.062232617	0.658123	0.21131173	96000	-7.450581e-09	0.34224662	-0.0032789279	-0.15834893	1.3564423	0.004833999	0.044437498	127.0	106.85579705238342	0.0	0.0	0.0	0.0	0.0
6	3.020701	2.933229	17.443762	0.88456106	500.0	0.65762657	0.35955787	2.6320505	0.026348265	112000	0.0	0.3212134	-0.008124994	-0.15048581	1.3564423	0.008502497	0.112375006	127.0	125.39702463150024	0.0	0.0	0.0	0.0	0.0
7	5.0824366	5.00234	17.388456	1.2985169	500.0	1.08623	0.9910572	4.65707	-0.279078	128000	1.1175871e-08	0.65876377	-0.0074025523	-0.26352885	1.3564423	0.0071844654	0.0884375	127.0	143.49714183807373	0.0	0.0	0.0	0.0	0.0
8	6.114213	6.310482	25.925858	1.1044463	500.0	1.82676	1.6211121	5.8682013	-0.7636161	144000	1.21071935e-08	0.90063727	-0.0080588255	-0.1475247	1.3564423	0.0066589946	0.07325	127.0	161.15904450416565	0.0	0.0	0.0	0.0	0.0
9	9.652433	8.787015	37.126762	1.0484987	500.0	2.0262072	2.0412395	7.164263	-0.9246737	160000	-1.4901161e-08	1.4499683	-0.008867676	-0.4446205	1.3564423	0.006963296	0.0826875	127.0	179.3176784515381	0.0	0.0	0.0	0.0	0.0
10	9.960508	7.698925	26.886293	0.97622615	500.0	3.0658915	2.4222913	8.03551	-0.7160538	176000	-7.450581e-09	1.3308985	-0.008418422	-0.339752	1.3564423	0.0057715196	0.077250004	127.0	197.27694010734558	0.0	0.0	0.0	0.0	0.0
11	6.536175	8.261894	34.031944	0.995164	500.0	1.7604895	1.7883557	6.978587	-0.71925956	192000	1.4901161e-08	1.230575	-0.006658434	-0.21521738	1.3564423	0.006151516	0.056125	127.0	214.45886993408203	0.0	0.0	0.0	0.0	0.0
12	9.137976	8.345031	26.733788	0.7618516	500.0	2.349682	2.4544065	7.36483	-1.0748925	208000	-7.450581e-09	1.3616133	-0.0074636564	-0.117226645	1.3564423	0.006546919	0.07081249	127.0	232.83303046226501	0.0	0.0	0.0	0.0	0.0
13	9.270208	8.189876	28.380491	0.66981095	500.0	2.8022451	2.3705497	7.208173	-0.9455254	224000	0.0	1.8225275	-0.008241956	-0.3855616	1.3564423	0.0072289435	0.074375	127.0	250.57113409042358	0.0	0.0	0.0	0.0	0.0
14	16.832577	13.698339	41.8164	0.6030952	500.0	3.226758	2.2196472	7.65546	-1.1180774	240000	-3.632158e-08	3.761032	-0.0065086093	-1.3681719	1.3564423	0.006919491	0.055124998	127.0	268.6781527996063	0.0	0.0	0.0	0.0	0.0
15	15.243732	9.536519	49.982594	1.0918052	500.0	4.726414	2.645174	8.991097	-2.3047855	256000	2.9802322e-08	4.9502163	-0.008462967	-1.6552746	1.3564423	0.0071862554	0.0696875	127.0	287.4043984413147	0.0	0.0	0.0	0.0	0.0
16	16.880764	3.352429	26.723398	10.086998	500.0	4.743082	1.4885893	7.415301	-1.5284597	272000	2.6077032e-08	1.969403	-0.0073616607	-0.83607674	1.3564423	0.005125249	0.06299999	127.0	306.0963671207428	0.0	0.0	0.0	0.0	0.0
17	15.242971	5.4205246	34.8991	10.03263	500.0	4.6914225	1.0954401	7.129922	-0.3708077	288000	-4.0978193e-08	3.4389663	-0.0068243546	-1.8417946	1.3564423	0.0038675033	0.044249997	127.0	325.16572761535645	0.0	0.0625	0.0	0.0	0.0
18	16.476362	6.8539076	38.631603	0.49658144	500.0	3.4743235	0.90585524	6.222015	0.90871686	304000	9.313226e-09	3.0777323	-0.009587236	-0.58986187	1.3564423	0.007592977	0.09375	127.0	343.6218364238739	0.0	0.0	0.0	0.0	0.0
19	16.527386	7.2106876	37.981567	9.543353	500.0	3.8902135	0.8279876	6.348428	-0.5635856	320000	0.0	2.4533615	-0.00827352	-0.40997815	1.3564423	0.006344482	0.066750005	127.0	363.2818386554718	0.0	0.0	0.0	0.0	0.0
20	19.388771	8.449811	48.170765	8.349333	500.0	3.6586525	1.0185281	7.9957514	-5.5953035	336000	2.9802322e-08	3.779981	-0.0076959566	-0.3311352	1.3564423	0.005678639	0.062375	127.0	382.00737380981445	0.0	0.0	0.0	0.0	0.0
21	20.815533	8.170274	49.054802	8.677443	500.0	4.315114	1.0056806	6.555775	0.45157462	352000	0.0	3.402061	-0.0071017393	-0.33368552	1.3564423	0.0059893467	0.0590625	127.0	399.8024597167969	0.0	0.0	0.0	0.0	0.0
22	24.802439	9.235974	48.57135	13.136632	500.0	4.815366	1.1092182	8.283697	0.12337035	368000	-2.2351742e-08	4.872573	-0.008840324	-1.1196742	1.3564423	0.0053430907	0.077125	127.0	418.1700773239136	0.0	0.0	0.0	0.0	0.0
23	26.796503	9.600092	46.93288	15.477768	500.0	5.5625668	1.4024746	9.625372	0.23182559	384000	1.1175871e-08	4.6044884	-0.009023726	-1.0094237	1.3564423	0.0049915295	0.0689375	127.0	436.9297888278961	0.0	0.0	0.0	0.0	0.0
24	29.026392	10.865832	50.748585	11.404989	500.0	5.879623	1.6346071	10.885373	0.8905578	400000	-1.4901161e-08	5.266064	-0.009096	-1.0950326	1.3564423	0.00798936	0.0815	127.0	456.4482822418213	0.0	0.0	0.0	0.0	0.0
25	27.423733	8.705341	45.68754	12.481586	500.0	6.5084386	2.007548	11.29202	-0.14244665	416000	7.450581e-09	4.083621	-0.008677129	-1.0119693	1.3564423	0.006767952	0.07675	127.0	475.63759875297546	0.0	0.0	0.0	0.0	0.0
26	25.769062	11.331031	47.123096	0.91815954	500.0	6.543829	1.8071645	10.467676	1.3245751	432000	2.9802322e-08	4.8662376	-0.007984435	-1.4031398	1.3564423	0.007416336	0.066375	127.0	494.0570113658905	0.0	0.0	0.0	0.0	0.0
27	30.831371	10.93854	48.800407	16.609962	500.0	6.5756564	1.9437348	11.2538	1.5809591	448000	-7.450581e-09	3.8452775	-0.008495459	-1.2695906	1.3564423	0.0060117804	0.070125	127.0	512.1925804615021	0.0	0.0	0.0	0.0	0.0
28	36.770805	11.307761	50.206825	17.660727	500.0	7.30784	1.9481963	12.058063	1.1520514	464000	-3.7252903e-08	3.7848234	-0.008142531	-1.5064707	1.3564423	0.006870582	0.066	127.0	530.4621322154999	0.0	0.0	0.0	0.0	0.0
29	34.31332	11.228534	51.9088	18.686552	500.0	7.7468324	2.4456317	14.133377	-0.10972607	480000	-7.450581e-09	3.4365022	-0.01029785	-0.74561226	1.3564423	0.0073378654	0.086875	127.0	549.0692172050476	0.0	0.0	0.0	0.0	0.0
30	39.405205	9.85019	50.948074	18.562016	500.0	8.46291	2.4918406	14.148259	-2.008866	496000	1.8626451e-08	3.4884033	-0.010421479	-0.6831214	1.3564423	0.0076428284	0.0734375	127.0	567.3919730186462	0.0	0.0	0.0	0.0	0.0
31	41.912476	10.016963	57.081436	23.985134	500.0	8.883105	1.9474225	13.161759	1.9737303	512000	-2.2351742e-08	2.9530826	-0.011273787	-0.5947668	1.3564423	0.00831696	0.094312504	127.0	586.9478001594543	0.0	0.0	0.0	0.0	0.0
32	40.193962	10.548329	52.0332	21.624432	500.0	9.371075	2.3290784	13.711671	-0.5295608	528000	9.313226e-10	3.259453	-0.0092855785	-1.0594467	1.3564423	0.006740962	0.07325	127.0	606.4811103343964	0.0	0.0	0.0	0.0	0.0
33	40.334007	11.303235	54.178997	16.161451	500.0	9.299846	2.1834483	12.8085	-0.41605157	544000	-1.9557774e-08	4.495384	-0.00968105	-1.8909043	1.3564423	0.0071670962	0.067875	127.0	625.3068161010742	0.0	0.0	0.0	0.0	0.0
34	41.5336	9.908723	55.125366	23.432978	500.0	9.352848	2.083529	12.054715	-0.7204088	560000	-7.450581e-09	3.4414783	-0.011059464	-0.46117362	1.3564423	0.008440183	0.083	127.0	643.9355700016022	0.0	0.0	0.0	0.0	0.0
35	42.084225	9.822078	52.61035	17.056734	500.0	9.477326	1.8726895	12.194449	0.7730985	576000	1.4901161e-08	2.4752996	-0.009432787	-0.74167794	1.3564423	0.007887551	0.074625	127.0	663.0521795749664	0.0	0.0	0.0	0.0	0.0
36	45.33607	8.612049	56.45717	26.457207	500.0	9.845239	2.062792	12.393249	2.1218517	592000	7.450581e-09	2.1963038	-0.008613262	-0.7324338	1.3564423	0.0062021287	0.0639375	127.0	681.0759432315826	0.0	0.0	0.0	0.0	0.0
37	45.298176	8.217365	54.46253	25.07522	500.0	10.205194	2.5680873	13.024973	-8.662604	608000	7.450581e-09	1.7004392	-0.008559759	-0.38614896	1.3564423	0.0058224765	0.056562502	127.0	700.1156022548676	0.0	0.0	0.0	0.0	0.0
38	47.16378	7.6384597	57.549877	24.364225	500.0	10.4169235	2.0919049	14.181417	0.926659	624000	9.313226e-09	1.5506599	-0.009085706	-0.22692254	1.3564423	0.0055860523	0.0588125	127.0	718.7746031284332	0.0	0.0	0.0	0.0	0.0
39	47.254646	8.900721	55.833916	28.6288	500.0	10.203305	1.9737855	13.104359	1.3567092	640000	-2.6077032e-08	1.828996	-0.008817152	-0.42646894	1.3564423	0.006634339	0.05625	127.0	738.3032922744751	0.0	0.0	0.0	0.0	0.0
