Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.31965542	0.1891837	0.8457623	0.08091015	500.0	0.043689154	0.026362471	0.10142182	-0.03884353	16000	-2.2351742e-08	0.0034790507	-0.005255471	-0.0021493577	1.3564423	0.0072598215	0.055812497	127.0	28.734328508377075	0.0	0.0	0.0	0.0	0.0
1	0.47447768	0.28325504	1.3471702	0.096201345	500.0	0.05812964	0.024100091	0.1199652	-0.008309035	32000	-2.7939677e-08	0.002942854	-0.008148942	-0.0013261941	1.3564423	0.0059555117	0.070250005	127.0	48.59840273857117	0.0	0.0	0.0	0.0	0.0
2	0.78103995	0.40922436	2.3916514	0.32790008	500.0	0.10842158	0.037859324	0.22035153	-0.0027199704	48000	-4.4703484e-08	0.0054419544	-0.012223629	-0.0019401175	1.3564423	0.008433136	0.124875	127.0	73.94584441184998	0.0	0.0	0.0	0.0	0.0
3	1.2771671	0.89464533	5.1420593	0.22962016	500.0	0.17044292	0.053131357	0.33047855	0.00511257	64000	-1.4901161e-08	0.03405054	-0.007963857	-0.014367268	1.3564423	0.007469411	0.09137501	127.0	93.84366106987	0.0	0.0	0.0	0.0	0.0
4	1.8595982	1.4767858	7.27836	0.5297416	500.0	0.31570473	0.13578509	0.75634044	0.06591416	80000	4.0978193e-08	0.08241741	-0.007690682	-0.051785383	1.3564423	0.0076511335	0.096562505	127.0	115.79474544525146	0.0	0.0	0.0	0.0	0.0
5	4.499279	3.7761586	13.866587	0.43010712	500.0	0.6241929	0.43909886	2.0677702	-0.12043507	96000	7.450581e-09	0.6330937	-0.0066681514	-0.33133608	1.3564423	0.006584336	0.076312505	127.0	140.77047324180603	0.0	0.0	0.0	0.0	0.0
6	10.5461235	6.8690867	24.328588	1.3508348	500.0	1.6499683	0.95101184	3.7603464	-0.085875526	112000	-3.7252903e-09	3.0234652	-0.0071904436	-1.2780033	1.3564423	0.0044316677	0.061750002	127.0	160.99656414985657	0.0	0.0	0.0	0.0	0.0
7	14.878277	8.530084	35.664944	0.36846375	500.0	2.5227613	1.7290273	5.892775	-0.7754035	128000	-5.2154064e-08	3.566449	-0.008670831	-1.821099	1.3564423	0.008371538	0.090187505	127.0	185.05840873718262	0.0	0.0625	0.0	0.0	0.0
8	16.348106	9.438588	29.875978	0.7813073	500.0	4.8735948	2.202392	7.900472	-1.0120469	144000	-4.656613e-09	3.706703	-0.0094053475	-0.82551825	1.3564423	0.005157948	0.087625	127.0	207.2105073928833	0.0	0.0	0.0	0.0	0.0
9	19.534065	10.143706	37.923264	1.3475678	500.0	4.264177	2.1282117	7.74951	-0.97552043	160000	-1.4901161e-08	3.1538591	-0.009297883	-0.62236863	1.3564423	0.008518599	0.08131249	127.0	230.3816590309143	0.0	0.0	0.0	0.0	0.0
10	27.134172	14.334215	71.882225	0.52055657	500.0	5.403038	2.3617196	8.691275	-1.0502115	176000	-2.4214387e-08	8.47998	-0.0065196287	-1.6256588	1.3564423	0.006853645	0.066125	127.0	255.94794535636902	0.0	0.1875	0.0	0.0	0.0
