Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.17930177	0.12854236	0.58173484	0.043720994	500.0	0.10955672	0.02313495	0.1895279	0.067393795	16000	4.8428774e-08	0.005835238	-0.007132897	-0.004778987	1.3564423	0.006024008	0.048687503	127.0	23.23534059524536	0.0	0.0	0.0	0.0	0.0
1	0.46288604	0.2728767	1.06116	0.044498187	500.0	0.052780468	0.013779865	0.10400128	0.022363724	32000	1.3038516e-08	0.0038492128	-0.007728438	-0.0021794895	1.3564423	0.007039523	0.065125	127.0	46.84795260429382	0.0	0.0	0.0	0.0	0.0
2	0.80019784	0.3748729	1.4893049	0.15523994	500.0	0.10528259	0.023575	0.15727605	0.0075827437	48000	5.5879354e-08	0.0062872954	-0.009612584	-0.0032041431	1.3564423	0.0056194756	0.0726875	127.0	68.4187433719635	0.0	0.0	0.0	0.0	0.0
3	1.593071	0.81523037	4.424686	0.5796398	500.0	0.19104232	0.038472366	0.28840378	0.06968807	64000	0.0	0.047281004	-0.0077010905	-0.022226028	1.3564423	0.007285172	0.0856875	127.0	90.86265301704407	0.0	0.0	0.0	0.0	0.0
4	3.9172275	2.7871294	13.692759	0.9423898	500.0	0.3791631	0.08229481	0.59152496	0.11727767	80000	-3.7252903e-09	0.6727786	-0.0051884977	-0.31711453	1.3564423	0.00498177	0.03975	127.0	112.10293769836426	0.0	0.0	0.0	0.0	0.0
5	5.9352064	2.858194	11.570947	1.8262752	500.0	0.8300106	0.33627373	1.6727229	-0.0777992	96000	-9.313226e-09	0.8499236	-0.006665985	-0.48743722	1.3564423	0.005711247	0.0625	127.0	133.3303723335266	0.0	0.0	0.0	0.0	0.0
6	9.8559265	5.4997735	19.838829	2.257185	500.0	1.5884635	0.7858374	3.340192	-0.11808266	112000	2.0489097e-08	2.123612	-0.006462064	-1.0901709	1.3564423	0.0057766265	0.0643125	127.0	153.95250487327576	0.0	0.0	0.0	0.0	0.0
7	13.513156	5.485239	22.226912	1.768672	500.0	2.4659076	1.4732807	5.7012258	-0.39744854	128000	0.0	2.2612498	-0.008679628	-1.1455758	1.3564423	0.0076951603	0.084625	127.0	176.42347359657288	0.0	0.0	0.0	0.0	0.0
8	18.246534	4.990348	30.64551	7.0227957	500.0	4.200744	2.0086732	6.810896	-0.44769812	144000	-3.7252903e-08	2.2183905	-0.008721808	-0.44388062	1.3564423	0.0051762974	0.07025	127.0	197.64427065849304	0.0	0.0	0.0	0.0	0.0
9	19.341537	3.9164577	25.643782	12.12174	500.0	4.9642444	1.953127	7.077642	-0.057938393	160000	1.21071935e-08	1.6342249	-0.008360129	-0.15332226	1.3564423	0.0056902776	0.065937504	127.0	218.6168692111969	0.0	0.0625	0.0	0.0	0.0
10	23.6188	5.194668	36.261772	14.463651	500.0	5.160498	1.6995174	6.911722	0.45917848	176000	-1.8626451e-08	2.3819914	-0.008921447	-0.41963983	1.3564423	0.0065175863	0.0739375	127.0	241.42246198654175	0.0	0.0	0.0	0.0	0.0
11	24.285057	4.3820324	32.974434	16.321234	500.0	6.0510387	1.580989	7.2429857	0.38841408	192000	1.4901161e-08	2.2016606	-0.008778058	-0.33463514	1.3564423	0.0060534654	0.0690625	127.0	263.79723739624023	0.0	0.0	0.0	0.0	0.0
12	29.225952	5.6347566	40.459873	21.018845	500.0	5.792425	1.1336584	6.661852	1.4999465	208000	-2.2351742e-08	3.0423467	-0.0075889966	-0.88459575	1.3564423	0.007216955	0.0606875	127.0	285.92544960975647	0.0	0.03125	0.0	0.0	0.0
13	27.987053	4.290674	34.358704	16.65417	500.0	6.708632	1.442397	7.6509366	0.9440999	224000	-5.5879354e-09	1.5508816	-0.008613242	-0.06500833	1.3564423	0.005685063	0.063125	127.0	310.2409243583679	0.0	0.21875	0.0	0.0	0.0
14	27.775879	4.2329574	37.059963	19.562538	500.0	6.627868	1.2804587	7.4191027	1.4489045	240000	-7.450581e-09	1.6261693	-0.0087698335	-0.0773811	1.3564423	0.0060227215	0.06575	127.0	333.92924904823303	0.0	0.0625	0.0	0.0	0.0
15	32.155586	11.123767	84.46667	12.588244	500.0	6.4563	1.06885	7.135172	1.7678938	256000	-1.4901161e-08	6.409299	-0.00771589	-0.810736	1.3564423	0.007051307	0.073875	127.0	355.5267639160156	0.0	0.125	0.0	0.0	0.0
16	34.712166	7.448008	70.59067	25.377445	500.0	7.3336625	1.3920246	8.138743	1.5235071	272000	0.0	3.8841953	-0.0058327	-0.290952	1.3564423	0.006655904	0.058875	127.0	379.42903780937195	0.0	0.1875	0.0	0.0	0.0
17	33.99166	4.2458763	40.071312	22.33353	500.0	7.865578	1.3229518	8.596843	1.9607935	288000	7.450581e-09	1.3208134	-0.0089888405	-0.046165656	1.3564423	0.008327397	0.079312496	127.0	402.1857531070709	0.0	0.25	0.0	0.0	0.0
18	34.013626	3.200617	42.96151	26.304558	500.0	7.7582283	1.1612022	8.371893	2.1692364	304000	-1.1175871e-08	0.83801895	-0.008960152	-0.0075569116	1.3564423	0.007294494	0.072125	127.0	425.6061954498291	0.0	0.28125	0.0	0.0	0.0
19	35.837692	4.6496115	50.779453	27.404085	500.0	7.726009	1.0959339	8.314314	2.7542355	320000	-1.1175871e-08	1.5434601	-0.007824708	-0.10126555	1.3564423	0.0059162052	0.0604375	127.0	451.11833477020264	0.0	0.34375	0.0	0.0	0.0
20	37.126724	4.167133	46.866863	27.840693	500.0	8.056487	1.039859	8.553349	2.868546	336000	5.5879354e-09	1.2314204	-0.0060635777	-0.065733336	1.3564423	0.0051864265	0.0435625	127.0	473.1758177280426	0.0	0.21875	0.0	0.0	0.0
21	37.52611	2.8690603	42.71974	31.838045	500.0	8.299131	1.081147	8.813725	2.9382133	352000	-6.0535967e-09	0.91383815	-0.0077648647	-0.019446595	1.3564423	0.0068619912	0.058375	127.0	494.8302674293518	0.0	0.25	0.0	0.0	0.0
22	38.743	7.3990717	73.57224	29.458614	500.0	8.36182	1.0025547	8.847077	3.4832203	368000	7.450581e-09	3.2979448	-0.0068591493	-0.08576111	1.3564423	0.008407825	0.0656875	127.0	518.1004214286804	0.0	0.15625	0.0	0.0	0.0
23	40.06579	4.4105415	56.279507	33.82016	500.0	8.6494665	1.1000882	9.153506	3.0646994	384000	-7.450581e-09	1.790739	-0.006165529	-0.07196391	1.3564423	0.006898043	0.060875002	127.0	540.9611296653748	0.0	0.46875	0.0	0.0	0.0
24	39.40791	2.9391377	45.94543	32.32688	500.0	8.891402	1.1103398	9.400718	3.125326	400000	-6.0535967e-09	0.9188366	-0.008729669	-0.011472171	1.3564423	0.008209528	0.06725	127.0	564.5000696182251	0.0	0.15625	0.0	0.0	0.0
25	39.01519	3.4747062	45.584805	28.93195	500.0	8.825713	1.0787114	9.354091	3.1435885	416000	1.4901161e-08	0.8939383	-0.010282362	-0.016805412	1.3564423	0.008322995	0.085062504	127.0	587.2295854091644	0.0	0.09375	0.0	0.0	0.0
26	41.160053	3.958631	51.45741	32.28785	500.0	8.75317	1.0525638	9.247406	3.4878242	432000	-3.7252903e-09	1.5250063	-0.008642618	-0.10757755	1.3564423	0.0070122816	0.06	127.0	610.9998540878296	0.0	0.375	0.0	0.0	0.0
27	42.49546	3.4274797	54.04045	36.858013	500.0	9.056268	1.0165285	9.564887	4.2300367	448000	-2.9802322e-08	1.2697976	-0.008973667	-0.15407957	1.3564423	0.0058615245	0.073750004	127.0	632.1023182868958	0.0	0.375	0.0	0.0	0.0
28	45.163086	11.13826	101.06938	30.762646	500.0	9.436549	1.0777259	10.027248	4.19496	464000	2.9802322e-08	6.3984585	-0.0068887887	-0.48546535	1.3564423	0.0069212075	0.0623125	127.0	654.2056014537811	0.0	0.1875	0.0	0.0	0.0
29	47.426437	18.76585	118.33735	31.609911	500.0	9.986961	1.251967	10.966796	4.3207955	480000	-3.7252903e-08	16.28002	-0.0066612484	-1.226145	1.3564423	0.008119765	0.078187495	127.0	677.3991873264313	0.0	0.4375	0.0	0.0	0.0
30	44.62818	7.073909	78.50534	36.459457	500.0	10.221242	1.7191105	12.243237	4.064387	496000	2.9802322e-08	3.4414227	-0.00722054	-0.31246644	1.3564423	0.007675645	0.071375	127.0	700.233380317688	0.0	0.1875	0.0	0.0	0.0
31	44.017952	9.1153555	83.68133	33.820667	500.0	10.309531	1.4642712	11.910591	4.115569	512000	-7.450581e-09	5.155642	-0.0071524736	-0.29267743	1.3564423	0.0077413423	0.0696875	127.0	723.736882686615	0.0	0.3125	0.0	0.0	0.0
32	44.224274	8.079221	81.56818	36.313545	500.0	10.027872	1.4533912	11.323913	3.9671345	528000	-1.8626451e-08	3.5389857	-0.0072890837	-0.11674793	1.3564423	0.005974409	0.06675	127.0	749.0892922878265	0.0	0.40625	0.0	0.0	0.0
33	48.467888	13.290291	102.23655	35.968082	500.0	10.002705	1.2823672	10.9676075	4.474526	544000	0.0	9.422899	-0.0073648375	-0.82024765	1.3564423	0.008289274	0.08356249	127.0	773.1916124820709	0.0	0.59375	0.0	0.0	0.0
34	45.366203	7.1410103	66.50919	34.831745	500.0	10.702914	1.5567367	12.138367	4.1556783	560000	7.450581e-09	2.9082265	-0.007899448	-0.28545943	1.3564423	0.006796051	0.06675	127.0	795.2914922237396	0.0	0.53125	0.0	0.0	0.0
35	45.556843	9.299605	90.29852	34.49174	500.0	10.240156	1.5105367	11.883457	4.3846526	576000	0.0	4.154051	-0.007806814	-0.12806517	1.3564423	0.0073122345	0.06725	127.0	818.6962320804596	0.0	0.25	0.0	0.0	0.0
36	44.93282	10.0375595	97.82214	35.699986	500.0	10.243297	1.3891177	11.402615	4.538169	592000	-1.8626451e-09	4.760898	-0.0075062723	-0.18335897	1.3564423	0.006375916	0.07225	127.0	842.4979829788208	0.0	0.5625	0.0	0.0	0.0
37	52.820976	22.031414	132.8251	33.156803	500.0	10.242018	1.55463	11.829173	3.5719917	608000	-3.7252903e-09	24.036709	-0.0074917725	-3.0093694	1.3564423	0.008568945	0.066874996	127.0	865.3862905502319	0.0	0.65625	0.0	0.0	0.0
38	48.316643	9.7245865	94.39614	40.10956	500.0	11.098429	1.6936419	13.689079	4.2381597	624000	-2.2351742e-08	5.0829773	-0.007459811	-0.31080475	1.3564423	0.008476474	0.0916875	127.0	889.3826198577881	0.0	0.46875	0.0	0.0	0.0
39	46.28687	8.0520935	83.154465	34.91122	500.0	11.134465	1.8258011	14.056073	2.9347255	640000	-1.1175871e-08	4.198174	-0.0077637443	-0.84906334	1.3564423	0.005559341	0.073312506	127.0	911.6159093379974	0.0	0.53125	0.0	0.0	0.0
40	48.09089	17.069155	137.93677	30.094309	500.0	10.669922	1.7426288	14.192209	3.1929426	656000	0.0	10.138832	-0.008127345	-0.7352763	1.3564423	0.0072880024	0.087437496	127.0	933.9736216068268	0.0	0.53125	0.0	0.0	0.0
41	43.7802	8.693993	57.082886	6.586307	500.0	10.919584	1.8823988	14.694932	3.9790926	672000	-7.450581e-09	4.748337	-0.007961657	-1.722368	1.3564423	0.005592211	0.0558125	127.0	956.3128070831299	0.0	0.5625	0.0	0.0	0.0
42	53.039276	23.73761	128.07744	27.333662	500.0	10.328494	1.8253669	14.345929	3.2729115	688000	7.450581e-09	23.936771	-0.0076430226	-6.1822066	1.3564423	0.008176778	0.0875625	127.0	981.4319941997528	0.0	0.4375	0.0	0.0	0.0
43	46.517937	16.172535	133.06955	34.59476	500.0	11.782737	2.4911456	16.416952	3.2916572	704000	0.0	10.963236	-0.006235934	-2.1141524	1.3564423	0.005750366	0.052875005	127.0	1005.7390637397766	0.0	0.4375	0.0	0.0	0.0
44	51.070347	19.92035	120.6485	30.642105	500.0	10.730497	1.9581726	16.32825	3.9596243	720000	-1.8626451e-08	14.894078	-0.0062073553	-2.1670904	1.3564423	0.0072981818	0.0725625	127.0	1028.6296129226685	0.0	0.5	0.0	0.0	0.0
45	49.50157	15.449005	124.47584	34.845448	500.0	11.374551	2.4432287	17.775864	2.3737285	736000	1.4901161e-08	7.8662777	-0.0066194413	-0.7316107	1.3564423	0.0064190123	0.0725	127.0	1050.3818683624268	0.0	0.625	0.0	0.0	0.0
46	52.65964	21.164494	129.54614	27.96468	500.0	11.848363	2.623967	18.622673	3.2513225	752000	-7.450581e-09	15.515454	-0.008791311	-1.6089337	1.3564423	0.009681371	0.097187504	127.0	1074.7393848896027	0.0	0.625	0.0	0.0	0.0
47	47.847218	21.407148	126.763916	2.7135067	500.0	12.200707	3.2962272	19.315386	0.97614026	768000	-2.2351742e-08	13.280472	-0.008527691	-2.5635147	1.3564423	0.007275061	0.070375	127.0	1100.067406654358	0.0	0.46875	0.0	0.0	0.0
48	47.98706	19.10728	121.66191	3.3106542	500.0	11.954271	3.5951126	19.523468	-2.0469944	784000	-1.4901161e-08	11.909775	-0.00749223	-1.5052266	1.3564423	0.0073945792	0.0739375	127.0	1123.6498184204102	0.0	0.375	0.0	0.0	0.0
49	50.62092	24.36354	139.12392	33.4063	500.0	10.921556	2.732	20.425545	2.622151	800000	7.450581e-09	15.273865	-0.0065343035	-3.1503475	1.3564423	0.0058227177	0.0675	127.0	1147.025348186493	0.0	0.375	0.0	0.0	0.0
50	44.544106	11.200712	98.25205	29.529415	500.0	11.437942	2.6516705	21.05582	2.6863496	816000	-2.0489097e-08	7.2856183	-0.007640073	-1.425736	1.3564423	0.0059520793	0.0640625	127.0	1169.6945917606354	0.0	0.375	0.0	0.0	0.0
51	61.028385	36.822952	138.51114	2.0817544	500.0	11.742819	3.627119	21.106003	0.8001374	832000	0.0	36.640724	-0.008893022	-13.861508	1.3564423	0.009560275	0.07762501	127.0	1192.578782081604	0.0	0.625	0.0	0.0	0.0
52	49.34189	21.279577	133.91466	31.320179	500.0	12.217092	3.63759	23.394102	0.44936317	848000	-3.7252903e-08	11.085565	-0.007783775	-2.7476158	1.3564423	0.0060097985	0.057125	127.0	1217.352812051773	0.0	0.53125	0.0	0.0	0.0
53	59.187916	32.62846	131.76076	32.836952	500.0	12.769811	4.7083015	23.829468	1.8398149	864000	3.7252903e-09	24.901075	-0.007885526	-4.8249083	1.3564423	0.008528881	0.0794375	127.0	1243.8799922466278	0.0	0.625	0.0	0.0	0.0
54	49.62006	23.824493	133.57379	6.7938924	500.0	12.256992	3.9316347	24.861742	1.7076218	880000	2.2351742e-08	11.181031	-0.007882774	-2.6814864	1.3564423	0.0066805203	0.068937495	127.0	1268.2449758052826	0.0	0.34375	0.0	0.0	0.0
55	49.14197	19.404968	120.56971	29.427391	500.0	12.295662	4.305138	25.463423	2.683673	896000	-1.3038516e-08	12.938969	-0.008023145	-1.476608	1.3564423	0.0055281688	0.0660625	127.0	1291.080293416977	0.0	0.375	0.0	0.0	0.0
56	54.72312	28.686762	134.22787	35.43752	500.0	12.271848	4.885289	25.400835	1.5179746	912000	0.0	13.102736	-0.008541674	-2.7091866	1.3564423	0.010873745	0.09625	127.0	1313.251534461975	0.0	0.375	0.0	0.0	0.0
57	51.376648	24.185987	132.07387	33.21447	500.0	11.926051	4.2168746	26.363813	2.471605	928000	-7.450581e-09	11.384565	-0.0073334165	-1.6189439	1.3564423	0.00519294	0.059062496	127.0	1335.473640680313	0.0	0.4375	0.0	0.0	0.0
58	53.97679	28.750444	130.94168	26.355066	500.0	13.656772	5.4032607	27.053507	2.5278513	944000	3.7252903e-09	13.989346	-0.007424817	-1.9459053	1.3564423	0.005166391	0.0653125	127.0	1360.535638809204	0.0	0.40625	0.0	0.0	0.0
59	59.676765	33.227962	140.80814	35.115166	500.0	12.87924	6.128933	27.56193	2.6818657	960000	-2.7008355e-08	14.758303	-0.0089369565	-3.1416276	1.3564423	0.006855174	0.0785625	127.0	1384.6784114837646	0.0	0.4375	0.0	0.0	0.0
60	52.28569	27.328552	131.78534	1.8139712	500.0	14.590438	5.91535	28.615095	3.1589448	976000	-2.2351742e-08	25.592533	-0.0093724225	-10.035791	1.3564423	0.008906573	0.076312505	127.0	1408.775682926178	0.0	0.40625	0.0	0.0	0.0
61	50.93114	27.816544	134.02513	28.839231	500.0	12.613412	4.808866	28.716785	2.5495734	992000	2.2351742e-08	14.1448145	-0.008846708	-1.9093176	1.3564423	0.007518671	0.081750005	127.0	1433.4884448051453	0.0	0.28125	0.0	0.0	0.0
62	58.63442	35.545967	135.60574	27.376549	500.0	13.795134	6.679856	29.445099	2.5809991	1008000	-1.1175871e-08	20.40316	-0.008753385	-2.6565711	1.3564423	0.0069242814	0.089375	127.0	1456.200760602951	0.0	0.46875	0.0	0.0	0.0
63	70.60913	36.482822	131.22948	29.804834	500.0	15.397026	7.46309	29.969774	3.3563304	1024000	3.7252903e-09	29.994646	-0.008198371	-8.52935	1.3564423	0.0075983414	0.087437496	127.0	1479.2776334285736	0.0	0.65625	0.0	0.0	0.0
64	52.75769	33.228844	138.03375	31.090227	500.0	14.456972	6.6904035	29.847784	3.4419951	1040000	-9.313226e-10	22.09139	-0.009018932	-6.5908985	1.3564423	0.0064061447	0.076625	127.0	1503.1143517494202	0.0	0.375	0.0	0.0	0.0
65	73.134026	44.114796	137.53967	25.033073	500.0	15.448567	8.531594	29.942339	3.5173426	1056000	-2.2351742e-08	23.903374	-0.009085325	-4.7682037	1.3564423	0.009203187	0.09425	127.0	1527.0816571712494	0.0	0.625	0.0	0.0	0.0
66	60.903255	36.100513	141.40092	17.169868	500.0	14.69573	7.3439207	31.270061	1.9543003	1072000	1.1175871e-08	15.372933	-0.007507979	-2.1750224	1.3564423	0.006713235	0.080125004	127.0	1552.640554189682	0.0	0.5	0.0	0.0	0.0
67	69.282166	40.122673	143.48682	31.675564	500.0	15.917724	8.3857765	31.910992	1.8261266	1088000	1.1175871e-08	26.479584	-0.008465648	-1.284157	1.3564423	0.00715237	0.094625	127.0	1576.9471316337585	0.0	0.625	0.0	0.0	0.0
68	72.548485	44.85738	139.36592	4.772595	500.0	16.776646	9.095305	32.017403	1.6164503	1104000	-1.4901161e-08	28.584732	-0.008336012	-3.2488596	1.3564423	0.008202192	0.0864375	127.0	1603.3540604114532	0.0	0.59375	0.0	0.0	0.0
69	57.848	32.44679	136.9564	33.775875	500.0	14.163182	7.401142	32.24606	1.4323963	1120000	-3.7252903e-09	12.029676	-0.009070676	-1.3831153	1.3564423	0.0074425046	0.0839375	127.0	1627.6966774463654	0.0	0.5	0.0	0.0	0.0
70	67.468765	39.195724	138.05885	30.462639	500.0	16.011751	8.795214	32.76409	1.6017005	1136000	7.450581e-09	26.14759	-0.008765659	-2.329639	1.3564423	0.0074730134	0.0840625	127.0	1651.1051564216614	0.0	0.53125	0.0	0.0	0.0
71	96.83238	42.488667	140.66481	29.607841	500.0	21.536118	10.363472	33.169876	2.3847094	1152000	7.450581e-09	35.098076	-0.007437917	-6.737906	1.3564423	0.00815652	0.0929375	127.0	1674.1353282928467	0.0	0.84375	0.0	0.0	0.0
72	71.176895	40.86281	140.55048	5.8900394	500.0	17.535563	9.192003	32.909252	-6.7034535	1168000	-2.2351742e-08	18.287924	-0.008148185	-4.2485356	1.3564423	0.00793821	0.0693125	127.0	1698.564949274063	0.0	0.6875	0.0	0.0	0.0
