Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.16836531	0.13957696	0.7057826	0.039998297	500.0	0.11100914	0.022798905	0.189766	0.066958055	16000	4.284084e-08	0.00623871	-0.0072424263	-0.005095483	1.3564423	0.0055263224	0.0528125	127.0	19.463874340057373	0.0	0.0	0.0	0.0	0.0
1	0.39029747	0.34444264	1.4869527	0.04310588	500.0	0.05423436	0.017061654	0.106738	0.016603079	32000	7.450581e-09	0.004645533	-0.0068250815	-0.0018395706	1.3564423	0.006076622	0.0564375	127.0	38.102269649505615	0.0	0.0	0.0	0.0	0.0
2	0.5724317	0.2729894	1.0906242	0.1302042	500.0	0.09213547	0.022615675	0.16816674	0.019740809	48000	-5.9604645e-08	0.002423562	-0.011287693	-0.0010574746	1.3564423	0.005700138	0.0955625	127.0	55.517590045928955	0.0	0.0	0.0	0.0	0.0
3	1.0676017	0.8286334	5.1890855	0.3568027	500.0	0.14482948	0.026975194	0.23512723	0.057924427	64000	-1.6763806e-08	0.03787773	-0.0055247326	-0.020808723	1.3564423	0.005821592	0.07000001	127.0	76.1684787273407	0.0	0.0	0.0	0.0	0.0
4	1.0300527	0.23224539	1.3321537	0.42713168	500.0	0.20615965	0.052205715	0.46998954	0.045369178	80000	2.2351742e-08	0.0055638747	-0.013516611	-0.0027808102	1.3564423	0.0072740493	0.111999996	127.0	94.35627245903015	0.0	0.0	0.0	0.0	0.0
5	1.2859323	0.7093324	4.9001594	0.5280224	500.0	0.26064563	0.07662233	0.62048256	0.1163418	96000	1.4901161e-08	0.024795024	-0.0063439496	-0.0061091376	1.3564423	0.007409981	0.0955	127.0	112.49232697486877	0.0	0.0	0.0	0.0	0.0
6	2.0340967	1.8398485	10.449407	0.47309896	500.0	0.32860515	0.14536075	1.1022389	0.09246267	112000	-1.8626451e-08	0.18646704	-0.0052846	-0.11123541	1.3564423	0.0072731636	0.0919375	127.0	132.8156864643097	0.0	0.0	0.0	0.0	0.0
7	3.6359496	4.055263	14.107841	0.6377457	500.0	0.807276	0.7159664	2.9062214	-0.18522757	128000	-4.4703484e-08	0.41852382	-0.0073718596	-0.120079756	1.3564423	0.006696456	0.0846875	127.0	151.55905652046204	0.0	0.0	0.0	0.0	0.0
8	4.0742474	5.2130704	19.991955	0.4990522	500.0	1.1090834	1.0472643	4.2788625	-0.4897137	144000	-3.7252903e-09	0.64272654	-0.009066348	-0.22008479	1.3564423	0.006434039	0.080375	127.0	171.65988969802856	0.0	0.0625	0.0	0.0	0.0
9	6.290889	6.5469556	19.418344	0.41418493	500.0	1.320911	1.2890272	5.4245996	-0.59477633	160000	-3.7252903e-09	1.2136321	-0.008941362	-0.4423374	1.3564423	0.008699134	0.0905625	127.0	191.9848711490631	0.0	0.0	0.0	0.0	0.0
10	6.337979	7.0062904	25.139854	0.63587266	500.0	1.696719	1.7391738	6.7137938	-0.8138319	176000	-7.450581e-09	0.8820708	-0.007989237	-0.15768199	1.3564423	0.0060059186	0.082562506	127.0	210.99342155456543	0.0	0.0	0.0	0.0	0.0
11	4.584508	6.3811502	24.166052	0.62784904	500.0	1.3390664	1.625641	6.699287	-0.79561526	192000	7.450581e-09	0.6677289	-0.0072418144	-0.14299089	1.3564423	0.006513546	0.06631251	127.0	229.7332124710083	0.0	0.0	0.0	0.0	0.0
12	8.794609	6.59979	18.68276	0.7039022	500.0	2.4706616	1.9707061	6.1907797	-0.88968784	208000	1.8626451e-09	1.2227722	-0.007953773	-0.18808466	1.3564423	0.0055380063	0.0695625	127.0	247.96314644813538	0.0	0.0	0.0	0.0	0.0
13	11.571979	7.0455356	23.506617	0.6481128	500.0	3.0564137	1.9213767	6.3086348	-0.4284656	224000	-1.8626451e-08	1.9623315	-0.007802201	-0.3531006	1.3564423	0.0074366974	0.06925	127.0	268.21396708488464	0.0	0.0	0.0	0.0	0.0
14	14.804577	4.926474	25.105864	1.0889472	500.0	3.6850123	1.3732955	6.4051127	-0.25714538	240000	-7.450581e-09	2.1290994	-0.008675207	-0.53386045	1.3564423	0.008044736	0.0698125	127.0	294.5509159564972	0.0	0.0	0.0	0.0	0.0
15	16.171234	3.5042186	23.135489	11.233315	500.0	3.6243558	1.2271386	6.0948124	0.30889836	256000	5.5879354e-09	1.4484533	-0.0070223184	-0.26552206	1.3564423	0.0061822375	0.056	127.0	321.2165608406067	0.0	0.03125	0.0	0.0	0.0
16	16.323214	4.2397685	27.891365	7.3636484	500.0	3.7485394	1.1143191	6.1343327	0.50632656	272000	1.3038516e-08	1.5866315	-0.00924818	-0.36832404	1.3564423	0.006988735	0.0813125	127.0	345.84785413742065	0.0	0.0	0.0	0.0	0.0
17	17.328934	5.0487995	30.638922	3.8361433	500.0	3.7344546	1.107738	5.9948053	0.6777883	288000	-1.0244548e-08	1.6189742	-0.0073612994	-0.4398617	1.3564423	0.0044655763	0.0604375	127.0	365.6189033985138	0.0	0.03125	0.0	0.0	0.0
18	20.641354	4.650527	32.13096	12.663806	500.0	3.5596392	1.1010929	6.4066176	0.41409582	304000	-6.519258e-09	1.9146979	-0.009382047	-0.92300534	1.3564423	0.008592828	0.091375	127.0	385.0712125301361	0.0	0.0625	0.0	0.0	0.0
19	21.60061	4.6510606	30.624498	13.3394985	500.0	4.664605	1.3497835	7.5454926	1.3736038	320000	7.450581e-09	1.0232139	-0.011298951	-0.11934337	1.3564423	0.00783478	0.098812506	127.0	404.95915389060974	0.0	0.0	0.0	0.0	0.0
20	24.305233	5.519524	34.82781	14.373688	500.0	5.0100665	1.3110428	7.579772	1.3720782	336000	0.0	1.2285743	-0.010655351	-0.27005523	1.3564423	0.007903615	0.096499994	127.0	425.1446285247803	0.0	0.0	0.0	0.0	0.0
