Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.17433763	0.14530733	0.72854096	0.040631868	500.0	0.10704666	0.022903576	0.18500257	0.061559204	16000	6.891787e-08	0.0056949966	-0.0069860485	-0.004525572	1.3564423	0.0053980593	0.047937497	127.0	24.272873401641846	0.0	0.0	0.0	0.0	0.0
1	0.39517647	0.35363126	1.6000165	0.042907402	500.0	0.054091964	0.0161765	0.10495659	0.01674616	32000	2.2351742e-08	0.004801957	-0.0067432835	-0.0018945823	1.3564423	0.005990389	0.058125	127.0	46.61300325393677	0.0	0.0	0.0	0.0	0.0
2	0.6022552	0.28594837	1.1569389	0.12445529	500.0	0.09568051	0.025182176	0.17891979	0.021800742	48000	2.9802322e-08	0.002782091	-0.011449572	-0.0012222175	1.3564423	0.0059757866	0.0988125	127.0	68.22983646392822	0.0	0.0	0.0	0.0	0.0
3	1.1092424	0.7308324	4.5984406	0.378532	500.0	0.15184385	0.02944372	0.24274617	0.04297662	64000	-1.21071935e-08	0.031168673	-0.0057971524	-0.01738934	1.3564423	0.0061816107	0.0690625	127.0	88.59748244285583	0.0	0.0	0.0	0.0	0.0
4	1.0451533	0.26112452	1.3924983	0.44143492	500.0	0.21458237	0.04194943	0.37131163	0.08809127	80000	-7.450581e-09	0.005324616	-0.013641898	-0.0020232843	1.3564423	0.007392348	0.106125	127.0	109.93428111076355	0.0	0.0	0.0	0.0	0.0
5	1.3684447	0.52551156	3.965267	0.71983415	500.0	0.25044855	0.0651078	0.60262597	0.12392583	96000	7.450581e-09	0.014882678	-0.008163105	-0.00809858	1.3564423	0.0064947587	0.0921875	127.0	131.75349688529968	0.0	0.0	0.0	0.0	0.0
6	2.9021006	3.336037	13.932456	0.5679818	500.0	0.366674	0.2077899	1.4692229	0.07499384	112000	1.4901161e-08	0.5944135	-0.0062588966	-0.44239885	1.3564423	0.006136816	0.065312505	127.0	159.30163645744324	0.0	0.0	0.0	0.0	0.0
7	3.6052387	4.9296207	19.986162	0.4123649	500.0	0.87864345	0.9750357	4.0740733	-0.28945857	128000	1.3038516e-08	0.57873726	-0.0073796366	-0.11115396	1.3564423	0.0063480213	0.085125	127.0	186.2774178981781	0.0	0.0	0.0	0.0	0.0
8	4.3934927	5.6434584	20.73013	0.5163871	500.0	1.3717178	1.3648199	5.409815	-0.37268856	144000	-1.8626451e-09	0.7495296	-0.007628075	-0.17072433	1.3564423	0.0056806374	0.077999994	127.0	218.11759400367737	0.0	0.0	0.0	0.0	0.0
9	8.670486	7.6974554	23.559423	0.6931845	500.0	2.0141435	1.6488245	5.5061903	-0.6928411	160000	-2.2351742e-08	1.5554986	-0.009953878	-0.5358835	1.3564423	0.0076983245	0.0883125	127.0	247.88912558555603	0.0	0.0625	0.0	0.0	0.0
10	10.974009	7.797983	25.887388	0.6828445	500.0	2.791248	2.1888053	7.6105437	-0.7838021	176000	-3.7252903e-09	1.3429594	-0.009265758	-0.2852916	1.3564423	0.0075710826	0.0919375	127.0	272.3226511478424	0.0	0.0	0.0	0.0	0.0
11	10.984822	8.264706	34.997845	0.8133582	500.0	3.2163267	2.1427193	7.836206	-0.7703239	192000	-7.450581e-09	1.6881859	-0.009147806	-0.32718	1.3564423	0.0066461028	0.08912501	127.0	294.59299492836	0.0	0.0	0.0	0.0	0.0
