Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.1712108	0.14199974	0.71332026	0.040241163	500.0	0.10913315	0.022714624	0.18779059	0.06511739	16000	-4.0978193e-08	0.0059732245	-0.0072783087	-0.0048204893	1.3564423	0.0056597902	0.054	127.0	22.399648189544678	0.0	0.0	0.0	0.0	0.0
1	0.39828455	0.35094082	1.5583143	0.044072825	500.0	0.05512239	0.017091671	0.10634876	0.017150216	32000	-1.4901161e-08	0.004826304	-0.0069772513	-0.0018940795	1.3564423	0.0061031086	0.0575	127.0	41.40741991996765	0.0	0.0	0.0	0.0	0.0
2	0.58305687	0.26757762	1.094353	0.13787581	500.0	0.09402614	0.022371035	0.17079756	0.025397815	48000	2.2351742e-08	0.0024708791	-0.011039024	-0.0010122212	1.3564423	0.005889292	0.095875	127.0	63.40162181854248	0.0	0.0	0.0	0.0	0.0
3	1.1022892	0.8380124	5.255919	0.3931285	500.0	0.14373252	0.02619351	0.22925305	0.0501393	64000	1.4901161e-08	0.03966545	-0.005396786	-0.021235865	1.3564423	0.005873029	0.06675	127.0	85.17213320732117	0.0	0.0	0.0	0.0	0.0
4	1.0691013	0.23708925	1.4186844	0.43894333	500.0	0.20984158	0.051537175	0.45684704	0.065976195	80000	1.4901161e-08	0.005474557	-0.01427838	-0.0025569713	1.3564423	0.0077766213	0.114875	127.0	106.99228620529175	0.0	0.0	0.0	0.0	0.0
5	1.375875	1.1592278	7.613407	0.5890872	500.0	0.26821777	0.0792651	0.6615637	0.13097858	96000	7.450581e-09	0.07188796	-0.0056411372	-0.019175	1.3564423	0.007361416	0.0954375	127.0	126.74020481109619	0.0	0.0	0.0	0.0	0.0
6	2.351128	2.380335	11.938279	0.49543336	500.0	0.37208247	0.22097075	1.4641479	-0.017870706	112000	2.9802322e-08	0.2766155	-0.0056338087	-0.18376347	1.3564423	0.0072675818	0.081687495	127.0	145.58467864990234	0.0	0.0	0.0	0.0	0.0
7	3.7219582	3.8694558	13.94031	0.6352748	500.0	0.96752614	0.92245716	3.3555079	-0.25503972	128000	-7.450581e-09	0.34747654	-0.007430984	-0.08582374	1.3564423	0.006830258	0.0789375	127.0	166.07192611694336	0.0	0.0	0.0	0.0	0.0
8	4.4314346	5.535606	18.864082	0.58114237	500.0	1.1815568	1.1465869	4.522777	-0.44638914	144000	1.1175871e-08	0.7625005	-0.0068365065	-0.29498595	1.3564423	0.0062045194	0.0664375	127.0	186.72086834907532	0.0	0.0625	0.0	0.0	0.0
9	7.6775846	7.1466603	24.823622	0.5145046	500.0	1.4469895	1.351831	5.085643	-0.7407752	160000	3.3527613e-08	1.4009347	-0.010209119	-0.5891285	1.3564423	0.007914894	0.0914375	127.0	212.07965517044067	0.0	0.0	0.0	0.0	0.0
10	9.133244	8.16662	31.10047	0.59868133	500.0	2.1592276	2.0824232	7.7793894	-1.047152	176000	-1.3969839e-08	1.2684574	-0.008266329	-0.31459025	1.3564423	0.0065788026	0.0744375	127.0	242.7959225177765	0.0	0.0	0.0	0.0	0.0
